"pld0045","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","17-34","(noch) kein Abschluss","41","0.0671884265852332","0.0481034531573458","0.0862734000131207"
"Sehr oft","2003","17-34","Hauptschule","57","0.0415264705564465","0.0304534160845895","0.0525995250283035"
"Sehr oft","2003","17-34","Realschule","107","0.0697810896218307","0.0582673832794324","0.081294795964229"
"Sehr oft","2003","17-34","(Fach-)Abitur","72","0.0544233661332","0.0418122480411089","0.0670344842252911"
"Sehr oft","2003","17-34","AkademikerIn","34","0.0419417527615301","0.0253095321706509","0.0585739733524093"
"Sehr oft","2003","35-65","(noch) kein Abschluss","7","","",""
"Sehr oft","2003","35-65","Hauptschule","193","0.0397297098437915","0.0341686293728228","0.0452907903147602"
"Sehr oft","2003","35-65","Realschule","150","0.0442368241773277","0.0373824861448259","0.0510911622098295"
"Sehr oft","2003","35-65","(Fach-)Abitur","57","0.0499938583381882","0.036566846591052","0.0634208700853243"
"Sehr oft","2003","35-65","AkademikerIn","180","0.0563396189687848","0.0483531972179684","0.0643260407196012"
"Sehr oft","2003","66 +","(noch) kein Abschluss","3","","",""
"Sehr oft","2003","66 +","Hauptschule","75","0.0325877972705241","0.0254842421671156","0.0396913523739325"
"Sehr oft","2003","66 +","Realschule","20","","",""
"Sehr oft","2003","66 +","(Fach-)Abitur","8","","",""
"Sehr oft","2003","66 +","AkademikerIn","21","","",""
"Oft","2003","17-34","(noch) kein Abschluss","54","0.0933416268737298","0.0711644182153202","0.11551883553214"
"Oft","2003","17-34","Hauptschule","110","0.0890270531326182","0.073220811990549","0.104833294274687"
"Oft","2003","17-34","Realschule","187","0.0956854259299921","0.0823920172811924","0.108978834578792"
"Oft","2003","17-34","(Fach-)Abitur","106","0.089029544520398","0.073197691527896","0.1048613975129"
"Oft","2003","17-34","AkademikerIn","55","0.0973738675869173","0.0727755075959367","0.121972227577898"
"Oft","2003","35-65","(noch) kein Abschluss","6","","",""
"Oft","2003","35-65","Hauptschule","360","0.0739911539137361","0.0665386501407885","0.0814436576866836"
"Oft","2003","35-65","Realschule","262","0.0768121446609742","0.0679353047404807","0.0856889845814676"
"Oft","2003","35-65","(Fach-)Abitur","115","0.107275196083662","0.0882089017071236","0.126341490460201"
"Oft","2003","35-65","AkademikerIn","322","0.0972247241229264","0.0869631115157118","0.107486336730141"
"Oft","2003","66 +","(noch) kein Abschluss","4","","",""
"Oft","2003","66 +","Hauptschule","115","0.0426628892835142","0.0345775164778936","0.0507482620891349"
"Oft","2003","66 +","Realschule","26","","",""
"Oft","2003","66 +","(Fach-)Abitur","7","","",""
"Oft","2003","66 +","AkademikerIn","34","0.0465694045354269","0.0292405918325886","0.0638982172382652"
"Manchmal","2003","17-34","(noch) kein Abschluss","72","0.103085905274058","0.0799054249754877","0.126266385572628"
"Manchmal","2003","17-34","Hauptschule","137","0.108698707452191","0.0914228615170452","0.125974553387336"
"Manchmal","2003","17-34","Realschule","212","0.112329860008773","0.0980597570160259","0.12659996300152"
"Manchmal","2003","17-34","(Fach-)Abitur","140","0.131982120996446","0.113165812980433","0.150798429012458"
"Manchmal","2003","17-34","AkademikerIn","64","0.129599063148501","0.101731974605201","0.157466151691802"
"Manchmal","2003","35-65","(noch) kein Abschluss","11","","",""
"Manchmal","2003","35-65","Hauptschule","425","0.0863578315683067","0.078360526391748","0.0943551367448654"
"Manchmal","2003","35-65","Realschule","393","0.107451905628671","0.0971285407960462","0.117775270461295"
"Manchmal","2003","35-65","(Fach-)Abitur","128","0.138356398637464","0.117083763420296","0.159629033854632"
"Manchmal","2003","35-65","AkademikerIn","418","0.129719173070761","0.118081417783418","0.141356928358104"
"Manchmal","2003","66 +","(noch) kein Abschluss","3","","",""
"Manchmal","2003","66 +","Hauptschule","167","0.0655020691208174","0.055603802411649","0.0754003358299858"
"Manchmal","2003","66 +","Realschule","33","0.098582057452219","0.0699704602978448","0.127193654606593"
"Manchmal","2003","66 +","(Fach-)Abitur","12","","",""
"Manchmal","2003","66 +","AkademikerIn","52","0.10177639101016","0.0769113213941413","0.126641460626179"
"Selten","2003","17-34","(noch) kein Abschluss","134","0.197214367152068","0.16688129262401","0.227547441680126"
"Selten","2003","17-34","Hauptschule","236","0.190962173603649","0.169146282723414","0.212778064483884"
"Selten","2003","17-34","Realschule","372","0.196233759605508","0.178286198689778","0.214181320521237"
"Selten","2003","17-34","(Fach-)Abitur","243","0.191548931292432","0.16967235965224","0.213425502932623"
"Selten","2003","17-34","AkademikerIn","119","0.2104746481301","0.1766515077928","0.244297788467399"
"Selten","2003","35-65","(noch) kein Abschluss","21","","",""
"Selten","2003","35-65","Hauptschule","785","0.164516224302001","0.15396074122237","0.175071707381632"
"Selten","2003","35-65","Realschule","653","0.183045521365696","0.170154810011443","0.19593623271995"
"Selten","2003","35-65","(Fach-)Abitur","190","0.19331698986795","0.168986867011546","0.217647112724353"
"Selten","2003","35-65","AkademikerIn","679","0.200823370695696","0.186947317986413","0.214699423404979"
"Selten","2003","66 +","(noch) kein Abschluss","8","","",""
"Selten","2003","66 +","Hauptschule","289","0.1205317685105","0.107506001290917","0.133557535730082"
"Selten","2003","66 +","Realschule","39","0.0808547366188297","0.0546894875208207","0.107019985716839"
"Selten","2003","66 +","(Fach-)Abitur","22","","",""
"Selten","2003","66 +","AkademikerIn","79","0.16373614691137","0.133305031660454","0.194167262162286"
"Nie","2003","17-34","(noch) kein Abschluss","360","0.539169674114911","0.501169934972233","0.577169413257589"
"Nie","2003","17-34","Hauptschule","707","0.569785595255096","0.542305826679866","0.597265363830325"
"Nie","2003","17-34","Realschule","1003","0.525969864833897","0.503404773268336","0.548534956399457"
"Nie","2003","17-34","(Fach-)Abitur","682","0.533016037057524","0.50528068723877","0.560751386876279"
"Nie","2003","17-34","AkademikerIn","286","0.520610668372952","0.479159983963557","0.562061352782346"
"Nie","2003","35-65","(noch) kein Abschluss","113","0.693094006574578","0.62117920209298","0.765008811056175"
"Nie","2003","35-65","Hauptschule","2976","0.635405080372165","0.621701457932247","0.649108702812083"
"Nie","2003","35-65","Realschule","1999","0.588453604167331","0.572049069481011","0.604858138853651"
"Nie","2003","35-65","(Fach-)Abitur","522","0.511057557072736","0.480259621145584","0.541855492999888"
"Nie","2003","35-65","AkademikerIn","1603","0.515893113141832","0.498583477637728","0.533202748645936"
"Nie","2003","66 +","(noch) kein Abschluss","45","0.732332675747357","0.623005104257434","0.84166024723728"
"Nie","2003","66 +","Hauptschule","1754","0.738715475814645","0.72113875265195","0.756292198977339"
