year,migback,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Yes,0.11236,957,8652,0.10570,0.11901
1984,No migration background,West,No,0.88764,7695,8652,0.88099,0.89430
1984,Direct migration background,West,Yes,0.12151,403,3361,0.11046,0.13256
1984,Direct migration background,West,No,0.87849,2958,3361,0.86744,0.88954
1984,Indirect migration background,West,No,0.98900,120,120,0.97026,1.00774
1985,No migration background,West,Yes,0.11422,901,7962,0.10724,0.12121
1985,No migration background,West,No,0.88578,7061,7962,0.87879,0.89276
1985,Direct migration background,West,Yes,0.10378,335,2902,0.09268,0.11488
1985,Direct migration background,West,No,0.89622,2567,2902,0.88512,0.90732
1985,Indirect migration background,West,No,0.88399,123,123,0.82716,0.94081
1986,No migration background,West,Yes,0.12190,890,7582,0.11454,0.12927
1986,No migration background,West,No,0.87810,6692,7582,0.87073,0.88546
1986,Direct migration background,West,Yes,0.13224,384,2819,0.11973,0.14475
1986,Direct migration background,West,No,0.86776,2435,2819,0.85525,0.88027
1986,Indirect migration background,West,No,0.81693,136,136,0.75169,0.88217
1987,No migration background,West,Yes,0.12561,900,7438,0.11807,0.13314
1987,No migration background,West,No,0.87439,6538,7438,0.86686,0.88193
1987,Direct migration background,West,Yes,0.11742,318,2810,0.10552,0.12933
1987,Direct migration background,West,No,0.88258,2492,2810,0.87067,0.89448
1987,Indirect migration background,West,No,0.88109,156,156,0.83013,0.93205
1988,No migration background,West,Yes,0.12740,881,7059,0.11962,0.13518
1988,No migration background,West,No,0.87260,6178,7059,0.86482,0.88038
1988,Direct migration background,West,Yes,0.11338,301,2659,0.10133,0.12543
1988,Direct migration background,West,No,0.88662,2358,2659,0.87457,0.89867
1988,Indirect migration background,West,No,0.90935,201,201,0.86956,0.94914
1989,No migration background,West,Yes,0.12531,831,6800,0.11744,0.13318
1989,No migration background,West,No,0.87469,5969,6800,0.86682,0.88256
1989,Direct migration background,West,Yes,0.10936,291,2574,0.09730,0.12142
1989,Direct migration background,West,No,0.89064,2283,2574,0.87858,0.90270
1989,Indirect migration background,West,No,0.91161,233,233,0.87509,0.94814
1991,No migration background,West,Yes,0.13600,861,6561,0.12770,0.14429
1991,No migration background,West,No,0.86400,5700,6561,0.85571,0.87230
1991,Direct migration background,West,Yes,0.12016,282,2473,0.10735,0.13298
1991,Direct migration background,West,No,0.87984,2191,2473,0.86702,0.89265
1991,Indirect migration background,West,No,0.91423,318,318,0.88340,0.94505
1992,No migration background,West,Yes,0.12967,815,6513,0.12151,0.13783
1992,No migration background,West,No,0.87033,5698,6513,0.86217,0.87849
1992,No migration background,East,Yes,0.09690,349,3804,0.08750,0.10630
1992,No migration background,East,No,0.90310,3455,3804,0.89370,0.91250
1992,Direct migration background,West,Yes,0.11498,264,2397,0.10220,0.12775
1992,Direct migration background,West,No,0.88502,2133,2397,0.87225,0.89780
1992,Direct migration background,East,No,0.87236,128,128,0.81432,0.93039
1992,Indirect migration background,West,Yes,0.13806,39,393,0.10391,0.17221
1992,Indirect migration background,West,No,0.86194,354,393,0.82779,0.89609
1994,No migration background,West,Yes,0.13840,816,6386,0.12993,0.14687
1994,No migration background,West,No,0.86160,5570,6386,0.85313,0.87007
1994,No migration background,East,Yes,0.11110,376,3612,0.10085,0.12136
1994,No migration background,East,No,0.88890,3236,3612,0.87864,0.89915
1994,Direct migration background,West,Yes,0.11223,243,2207,0.09905,0.12540
1994,Direct migration background,West,No,0.88777,1964,2207,0.87460,0.90095
1994,Direct migration background,East,No,0.89128,128,128,0.83714,0.94542
1994,Indirect migration background,West,Yes,0.12357,46,470,0.09379,0.15336
1994,Indirect migration background,West,No,0.87643,424,470,0.84664,0.90621
1995,No migration background,West,Yes,0.13125,794,6432,0.12300,0.13950
1995,No migration background,West,No,0.86875,5638,6432,0.86050,0.87700
1995,No migration background,East,Yes,0.12033,411,3517,0.10957,0.13108
1995,No migration background,East,No,0.87967,3106,3517,0.86892,0.89043
1995,Direct migration background,West,Yes,0.11988,303,2622,0.10744,0.13231
1995,Direct migration background,West,No,0.88012,2319,2622,0.86769,0.89256
1995,Direct migration background,East,No,0.89089,127,127,0.83645,0.94533
1995,Indirect migration background,West,Yes,0.06037,42,486,0.03917,0.08157
1995,Indirect migration background,West,No,0.93963,444,486,0.91843,0.96083
1996,No migration background,West,Yes,0.12793,782,6354,0.11971,0.13614
1996,No migration background,West,No,0.87207,5572,6354,0.86386,0.88029
1996,No migration background,East,Yes,0.13140,427,3520,0.12024,0.14256
1996,No migration background,East,No,0.86860,3093,3520,0.85744,0.87976
1996,Direct migration background,West,Yes,0.13067,302,2450,0.11732,0.14402
1996,Direct migration background,West,No,0.86933,2148,2450,0.85598,0.88268
1996,Direct migration background,East,No,0.84199,117,117,0.77561,0.90837
1996,Indirect migration background,West,Yes,0.09012,52,522,0.06553,0.11471
1996,Indirect migration background,West,No,0.90988,470,522,0.88529,0.93447
1997,No migration background,West,Yes,0.13141,795,6283,0.12305,0.13976
1997,No migration background,West,No,0.86859,5488,6283,0.86024,0.87695
1997,No migration background,East,Yes,0.12674,402,3476,0.11568,0.13780
1997,No migration background,East,No,0.87326,3074,3476,0.86220,0.88432
1997,Direct migration background,West,Yes,0.12151,275,2324,0.10823,0.13480
1997,Direct migration background,West,No,0.87849,2049,2324,0.86520,0.89177
1997,Direct migration background,East,No,0.87766,114,114,0.81725,0.93808
1997,Indirect migration background,West,Yes,0.09341,58,544,0.06893,0.11789
1997,Indirect migration background,West,No,0.90659,486,544,0.88211,0.93107
1998,No migration background,West,Yes,0.12799,921,7509,0.12043,0.13554
1998,No migration background,West,No,0.87201,6588,7509,0.86446,0.87957
1998,No migration background,East,Yes,0.13033,462,3718,0.11950,0.14115
1998,No migration background,East,No,0.86967,3256,3718,0.85885,0.88050
1998,Direct migration background,West,Yes,0.13009,284,2278,0.11628,0.14391
1998,Direct migration background,West,No,0.86991,1994,2278,0.85609,0.88372
1998,Direct migration background,East,No,0.82797,99,99,0.75324,0.90269
1998,Indirect migration background,West,Yes,0.06077,45,571,0.04115,0.08038
1998,Indirect migration background,West,No,0.93923,526,571,0.91962,0.95885
1999,No migration background,West,Yes,0.12970,882,7204,0.12194,0.13746
1999,No migration background,West,No,0.87030,6322,7204,0.86254,0.87806
1999,No migration background,East,Yes,0.13329,458,3649,0.12226,0.14432
1999,No migration background,East,No,0.86671,3191,3649,0.85568,0.87774
1999,Direct migration background,West,Yes,0.13307,262,2089,0.11850,0.14763
1999,Direct migration background,West,No,0.86693,1827,2089,0.85237,0.88150
1999,Direct migration background,East,No,0.81985,89,89,0.73955,0.90015
1999,Indirect migration background,West,Yes,0.09177,46,582,0.06829,0.11524
1999,Indirect migration background,West,No,0.90823,536,582,0.88476,0.93171
2000,No migration background,West,Yes,0.12258,1714,14281,0.11720,0.12796
2000,No migration background,West,No,0.87742,12567,14281,0.87204,0.88280
2000,No migration background,East,Yes,0.12607,685,5662,0.11743,0.13472
2000,No migration background,East,No,0.87393,4977,5662,0.86528,0.88257
2000,Direct migration background,West,Yes,0.11024,349,3147,0.09930,0.12119
2000,Direct migration background,West,No,0.88976,2798,3147,0.87881,0.90070
2000,Direct migration background,East,No,0.83296,125,125,0.76731,0.89862
2000,Indirect migration background,West,Yes,0.09439,79,790,0.07399,0.11479
2000,Indirect migration background,West,No,0.90561,711,790,0.88521,0.92601
2001,No migration background,West,Yes,0.12794,1580,12909,0.12218,0.13370
2001,No migration background,West,No,0.87206,11329,12909,0.86630,0.87782
2001,No migration background,East,Yes,0.11940,614,5274,0.11065,0.12816
2001,No migration background,East,No,0.88060,4660,5274,0.87184,0.88935
2001,Direct migration background,West,Yes,0.11266,321,2784,0.10091,0.12440
2001,Direct migration background,West,No,0.88734,2463,2784,0.87560,0.89909
2001,Direct migration background,East,No,0.78397,96,96,0.70122,0.86673
2001,Indirect migration background,West,Yes,0.10162,78,739,0.07982,0.12342
2001,Indirect migration background,West,No,0.89838,661,739,0.87658,0.92018
2002,No migration background,West,Yes,0.12760,1667,14136,0.12210,0.13310
2002,No migration background,West,No,0.87240,12469,14136,0.86690,0.87790
2002,No migration background,East,Yes,0.12874,625,5285,0.11971,0.13777
2002,No migration background,East,No,0.87126,4660,5285,0.86223,0.88029
2002,Direct migration background,West,Yes,0.11416,305,2677,0.10211,0.12621
2002,Direct migration background,West,No,0.88584,2372,2677,0.87379,0.89789
2002,Direct migration background,East,No,0.82446,95,95,0.74755,0.90136
2002,Indirect migration background,West,Yes,0.08829,80,744,0.06789,0.10869
2002,Indirect migration background,West,No,0.91171,664,744,0.89131,0.93211
2003,No migration background,West,Yes,0.12262,1606,13520,0.11709,0.12815
2003,No migration background,West,No,0.87738,11914,13520,0.87185,0.88291
2003,No migration background,East,Yes,0.12840,633,5195,0.11931,0.13750
2003,No migration background,East,No,0.87160,4562,5195,0.86250,0.88069
2003,Direct migration background,West,Yes,0.12554,288,2492,0.11253,0.13855
2003,Direct migration background,West,No,0.87446,2204,2492,0.86145,0.88747
2003,Direct migration background,East,No,0.80999,88,88,0.72756,0.89243
2003,Indirect migration background,West,Yes,0.08879,66,742,0.06831,0.10927
2003,Indirect migration background,West,No,0.91121,676,742,0.89073,0.93169
2004,No migration background,West,Yes,0.13075,1599,13155,0.12499,0.13651
2004,No migration background,West,No,0.86925,11556,13155,0.86349,0.87501
2004,No migration background,East,Yes,0.12746,600,5083,0.11829,0.13662
2004,No migration background,East,No,0.87254,4483,5083,0.86338,0.88171
2004,Direct migration background,West,Yes,0.11917,281,2420,0.10626,0.13208
2004,Direct migration background,West,No,0.88083,2139,2420,0.86792,0.89374
2004,Direct migration background,East,No,0.81306,81,81,0.72762,0.89849
2004,Indirect migration background,West,Yes,0.07663,71,758,0.05768,0.09558
2004,Indirect migration background,West,No,0.92337,687,758,0.90442,0.94232
2005,No migration background,West,Yes,0.11528,1365,12570,0.10969,0.12086
2005,No migration background,West,No,0.88472,11205,12570,0.87914,0.89031
2005,No migration background,East,Yes,0.13076,594,4879,0.12129,0.14022
2005,No migration background,East,No,0.86924,4285,4879,0.85978,0.87871
2005,Direct migration background,West,Yes,0.11115,242,2258,0.09819,0.12412
2005,Direct migration background,West,No,0.88885,2016,2258,0.87588,0.90181
2005,Direct migration background,East,No,0.83793,85,85,0.75912,0.91674
2005,Indirect migration background,West,Yes,0.09705,62,784,0.07632,0.11779
2005,Indirect migration background,West,No,0.90295,722,784,0.88221,0.92368
2005,Indirect migration background,East,No,0.82888,32,32,0.69630,0.96146
2006,No migration background,West,Yes,0.12420,1587,13627,0.11867,0.12974
2006,No migration background,West,No,0.87580,12040,13627,0.87026,0.88133
2006,No migration background,East,Yes,0.13409,633,5116,0.12475,0.14343
2006,No migration background,East,No,0.86591,4483,5116,0.85657,0.87525
2006,Direct migration background,West,Yes,0.11446,245,2264,0.10135,0.12758
2006,Direct migration background,West,No,0.88554,2019,2264,0.87242,0.89865
2006,Direct migration background,East,No,0.81833,92,92,0.73911,0.89755
2006,Indirect migration background,West,Yes,0.08571,64,773,0.06597,0.10546
2006,Indirect migration background,West,No,0.91429,709,773,0.89454,0.93403
2006,Indirect migration background,East,No,0.81427,34,34,0.68158,0.94695
2007,No migration background,West,Yes,0.12604,1522,12699,0.12027,0.13182
2007,No migration background,West,No,0.87396,11177,12699,0.86818,0.87973
2007,No migration background,East,Yes,0.12843,612,4862,0.11903,0.13784
2007,No migration background,East,No,0.87157,4250,4862,0.86216,0.88097
2007,Direct migration background,West,Yes,0.10544,223,2022,0.09205,0.11883
2007,Direct migration background,West,No,0.89456,1799,2022,0.88117,0.90795
2007,Direct migration background,East,No,0.88169,77,77,0.80908,0.95430
2007,Indirect migration background,West,Yes,0.10559,60,738,0.08340,0.12778
2007,Indirect migration background,West,No,0.89441,678,738,0.87222,0.91660
2007,Indirect migration background,East,No,0.91314,36,36,0.81984,1.00644
2008,No migration background,West,Yes,0.11774,1371,11960,0.11196,0.12351
2008,No migration background,West,No,0.88226,10589,11960,0.87649,0.88804
2008,No migration background,East,Yes,0.13113,593,4628,0.12140,0.14085
2008,No migration background,East,No,0.86887,4035,4628,0.85915,0.87860
2008,Direct migration background,West,Yes,0.10448,204,1824,0.09044,0.11852
2008,Direct migration background,West,No,0.89552,1620,1824,0.88148,0.90956
2008,Direct migration background,East,No,0.91936,70,70,0.85511,0.98361
2008,Indirect migration background,West,Yes,0.06784,65,718,0.04944,0.08625
2008,Indirect migration background,West,No,0.93216,653,718,0.91375,0.95056
2008,Indirect migration background,East,No,0.91133,38,38,0.81973,1.00293
2009,No migration background,West,Yes,0.13286,1446,11197,0.12657,0.13915
2009,No migration background,West,No,0.86714,9751,11197,0.86085,0.87343
2009,No migration background,East,Yes,0.13293,589,4413,0.12291,0.14294
2009,No migration background,East,No,0.86707,3824,4413,0.85706,0.87709
2009,Direct migration background,West,Yes,0.11277,183,1582,0.09718,0.12836
2009,Direct migration background,West,No,0.88723,1399,1582,0.87164,0.90282
2009,Direct migration background,East,No,0.85960,61,61,0.77169,0.94750
2009,Indirect migration background,West,Yes,0.08925,58,669,0.06763,0.11087
2009,Indirect migration background,West,No,0.91075,611,669,0.88913,0.93237
2009,Indirect migration background,East,No,0.84281,37,37,0.72391,0.96171
2010,No migration background,West,Yes,0.12896,1951,14602,0.12352,0.13440
2010,No migration background,West,No,0.87104,12651,14602,0.86560,0.87648
2010,No migration background,East,Yes,0.13471,742,5258,0.12549,0.14394
2010,No migration background,East,No,0.86529,4516,5258,0.85606,0.87451
2010,Direct migration background,West,Yes,0.11346,419,2840,0.10180,0.12513
2010,Direct migration background,West,No,0.88654,2421,2840,0.87487,0.89820
2010,Direct migration background,East,No,0.89794,116,116,0.84261,0.95327
2010,Indirect migration background,West,Yes,0.09604,130,1016,0.07791,0.11417
2010,Indirect migration background,West,No,0.90396,886,1016,0.88583,0.92209
2010,Indirect migration background,East,No,0.92610,62,62,0.86045,0.99175
2011,No migration background,West,Yes,0.13864,2377,17707,0.13355,0.14373
2011,No migration background,West,No,0.86136,15330,17707,0.85627,0.86645
2011,No migration background,East,Yes,0.14153,893,6064,0.13276,0.15031
2011,No migration background,East,No,0.85847,5171,6064,0.84969,0.86724
2011,Direct migration background,West,Yes,0.12248,467,3177,0.11107,0.13388
2011,Direct migration background,West,No,0.87752,2710,3177,0.86612,0.88893
2011,Direct migration background,East,Yes,0.15847,31,167,0.10291,0.21402
2011,Direct migration background,East,No,0.84153,136,167,0.78598,0.89709
2011,Indirect migration background,West,Yes,0.08979,127,1160,0.07333,0.10624
2011,Indirect migration background,West,No,0.91021,1033,1160,0.89376,0.92667
2011,Indirect migration background,East,No,0.95522,72,72,0.90711,1.00333
2012,No migration background,West,Yes,0.13907,2289,17283,0.13391,0.14423
2012,No migration background,West,No,0.86093,14994,17283,0.85577,0.86609
2012,No migration background,East,Yes,0.15511,868,5916,0.14589,0.16434
2012,No migration background,East,No,0.84489,5048,5916,0.83566,0.85411
2012,Direct migration background,West,Yes,0.12689,399,3010,0.11499,0.13878
2012,Direct migration background,West,No,0.87311,2611,3010,0.86122,0.88501
2012,Direct migration background,East,No,0.89630,157,157,0.84846,0.94414
2012,Indirect migration background,West,Yes,0.13997,149,1128,0.11971,0.16023
2012,Indirect migration background,West,No,0.86003,979,1128,0.83977,0.88029
2012,Indirect migration background,East,No,0.98350,67,67,0.95277,1.01423
2013,No migration background,West,Yes,0.14829,2193,16169,0.14281,0.15377
2013,No migration background,West,No,0.85171,13976,16169,0.84623,0.85719
