year,age_gr,bula_h,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,No,0.92485,88,88,0.86945,0.98025
1984,17-29 y.,Hamburg,No,0.91225,63,63,0.84182,0.98268
1984,17-29 y.,Lower Saxony,Yes,0.12385,41,334,0.08847,0.15923
1984,17-29 y.,Lower Saxony,No,0.87615,293,334,0.84077,0.91153
1984,17-29 y.,North Rhine-Westphalia,Yes,0.09017,95,965,0.07208,0.10825
1984,17-29 y.,North Rhine-Westphalia,No,0.90983,870,965,0.89175,0.92792
1984,17-29 y.,Hesse,Yes,0.07843,35,377,0.05125,0.10560
1984,17-29 y.,Hesse,No,0.92157,342,377,0.89440,0.94875
1984,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.89314,222,222,0.85240,0.93387
1984,17-29 y.,Baden-Wuerttemberg,Yes,0.10577,76,650,0.08211,0.12943
1984,17-29 y.,Baden-Wuerttemberg,No,0.89423,574,650,0.87057,0.91789
1984,17-29 y.,Bavaria,Yes,0.08777,47,566,0.06443,0.11110
1984,17-29 y.,Bavaria,No,0.91223,519,566,0.88890,0.93557
1984,17-29 y.,Berlin,No,0.94149,94,94,0.89379,0.98919
1984,30-45 y.,Schleswig-Holstein,No,0.89621,126,126,0.84274,0.94967
1984,30-45 y.,Hamburg,No,0.89992,110,110,0.84358,0.95626
1984,30-45 y.,Lower Saxony,Yes,0.10696,43,390,0.07625,0.13767
1984,30-45 y.,Lower Saxony,No,0.89304,347,390,0.86233,0.92375
1984,30-45 y.,North Rhine-Westphalia,Yes,0.10821,119,1089,0.08975,0.12666
1984,30-45 y.,North Rhine-Westphalia,No,0.89179,970,1089,0.87334,0.91025
1984,30-45 y.,Hesse,Yes,0.08599,37,369,0.05735,0.11464
1984,30-45 y.,Hesse,No,0.91401,332,369,0.88536,0.94265
1984,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.91822,189,189,0.87905,0.95739
1984,30-45 y.,Baden-Wuerttemberg,Yes,0.10226,77,739,0.08040,0.12412
1984,30-45 y.,Baden-Wuerttemberg,No,0.89774,662,739,0.87588,0.91960
1984,30-45 y.,Bavaria,Yes,0.11858,80,674,0.09415,0.14301
1984,30-45 y.,Bavaria,No,0.88142,594,674,0.85699,0.90585
1984,30-45 y.,Berlin,No,0.91839,126,126,0.87040,0.96638
1984,46-65 y.,Schleswig-Holstein,No,0.90724,93,93,0.84796,0.96652
1984,46-65 y.,Hamburg,No,0.81232,60,60,0.71269,0.91196
1984,46-65 y.,Lower Saxony,Yes,0.09608,36,356,0.06542,0.12674
1984,46-65 y.,Lower Saxony,No,0.90392,320,356,0.87326,0.93458
1984,46-65 y.,Bremen,No,0.88015,38,38,0.77550,0.98480
1984,46-65 y.,North Rhine-Westphalia,Yes,0.11275,104,908,0.09216,0.13333
1984,46-65 y.,North Rhine-Westphalia,No,0.88725,804,908,0.86667,0.90784
1984,46-65 y.,Hesse,Yes,0.13354,57,398,0.10008,0.16700
1984,46-65 y.,Hesse,No,0.86646,341,398,0.83300,0.89992
1984,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.89408,257,257,0.85638,0.93177
1984,46-65 y.,Baden-Wuerttemberg,Yes,0.11150,81,644,0.08717,0.13583
1984,46-65 y.,Baden-Wuerttemberg,No,0.88850,563,644,0.86417,0.91283
1984,46-65 y.,Bavaria,Yes,0.11251,70,614,0.08750,0.13753
1984,46-65 y.,Bavaria,No,0.88749,544,614,0.86247,0.91250
1984,46-65 y.,Berlin,No,0.88064,110,110,0.81977,0.94150
1984,66 and older,Schleswig-Holstein,No,0.87586,38,38,0.76961,0.98211
1984,66 and older,Hamburg,No,0.87143,40,40,0.76638,0.97648
1984,66 and older,Lower Saxony,No,0.87762,136,136,0.82233,0.93290
1984,66 and older,North Rhine-Westphalia,Yes,0.16366,47,281,0.12032,0.20699
1984,66 and older,North Rhine-Westphalia,No,0.83634,234,281,0.79301,0.87968
1984,66 and older,Hesse,No,0.86558,88,88,0.79391,0.93726
1984,66 and older,"Rhineland-Palatinate, Saarland",No,0.81561,92,92,0.73593,0.89529
1984,66 and older,Baden-Wuerttemberg,No,0.86126,184,184,0.81118,0.91134
1984,66 and older,Bavaria,Yes,0.15388,36,233,0.10745,0.20031
1984,66 and older,Bavaria,No,0.84612,197,233,0.79969,0.89255
1984,66 and older,Berlin,No,0.82450,37,37,0.70024,0.94876
1985,17-29 y.,Schleswig-Holstein,No,0.86113,74,74,0.78180,0.94046
1985,17-29 y.,Hamburg,No,0.90063,56,56,0.82157,0.97970
1985,17-29 y.,Lower Saxony,No,0.94263,280,280,0.91534,0.96991
1985,17-29 y.,North Rhine-Westphalia,Yes,0.10179,100,862,0.08159,0.12198
1985,17-29 y.,North Rhine-Westphalia,No,0.89821,762,862,0.87802,0.91841
1985,17-29 y.,Hesse,Yes,0.09177,34,333,0.06072,0.12283
1985,17-29 y.,Hesse,No,0.90823,299,333,0.87717,0.93928
1985,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.92340,221,221,0.88826,0.95855
1985,17-29 y.,Baden-Wuerttemberg,Yes,0.11234,70,613,0.08732,0.13736
1985,17-29 y.,Baden-Wuerttemberg,No,0.88766,543,613,0.86264,0.91268
1985,17-29 y.,Bavaria,Yes,0.12822,68,523,0.09954,0.15690
1985,17-29 y.,Bavaria,No,0.87178,455,523,0.84310,0.90046
1985,17-29 y.,Berlin,No,0.89761,85,85,0.83278,0.96244
1985,30-45 y.,Schleswig-Holstein,No,0.89497,115,115,0.83869,0.95125
1985,30-45 y.,Hamburg,No,0.89228,88,88,0.82714,0.95743
1985,30-45 y.,Lower Saxony,Yes,0.10064,34,351,0.06912,0.13216
1985,30-45 y.,Lower Saxony,No,0.89936,317,351,0.86784,0.93088
1985,30-45 y.,North Rhine-Westphalia,Yes,0.09858,102,987,0.07998,0.11719
1985,30-45 y.,North Rhine-Westphalia,No,0.90142,885,987,0.88281,0.92002
1985,30-45 y.,Hesse,No,0.91823,307,307,0.88753,0.94893
1985,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.89172,145,145,0.84097,0.94247
1985,30-45 y.,Baden-Wuerttemberg,Yes,0.09012,73,644,0.06798,0.11225
1985,30-45 y.,Baden-Wuerttemberg,No,0.90988,571,644,0.88775,0.93202
1985,30-45 y.,Bavaria,Yes,0.11479,66,602,0.08930,0.14027
1985,30-45 y.,Bavaria,No,0.88521,536,602,0.85973,0.91070
1985,30-45 y.,Berlin,No,0.93355,110,110,0.88679,0.98031
1985,46-65 y.,Schleswig-Holstein,No,0.88180,87,87,0.81357,0.95004
1985,46-65 y.,Hamburg,No,0.85870,64,64,0.77268,0.94471
1985,46-65 y.,Lower Saxony,Yes,0.10475,36,327,0.07151,0.13800
1985,46-65 y.,Lower Saxony,No,0.89525,291,327,0.86200,0.92849
1985,46-65 y.,North Rhine-Westphalia,Yes,0.12220,107,859,0.10028,0.14411
1985,46-65 y.,North Rhine-Westphalia,No,0.87780,752,859,0.85589,0.89972
1985,46-65 y.,Hesse,Yes,0.08923,36,369,0.06010,0.11835
1985,46-65 y.,Hesse,No,0.91077,333,369,0.88165,0.93990
1985,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.90925,241,241,0.87291,0.94560
1985,46-65 y.,Baden-Wuerttemberg,Yes,0.10401,73,602,0.07960,0.12842
1985,46-65 y.,Baden-Wuerttemberg,No,0.89599,529,602,0.87158,0.92040
1985,46-65 y.,Bavaria,Yes,0.12595,69,560,0.09844,0.15345
1985,46-65 y.,Bavaria,No,0.87405,491,560,0.84655,0.90156
1985,46-65 y.,Berlin,No,0.91769,103,103,0.86436,0.97103
1985,66 and older,Schleswig-Holstein,No,0.82066,33,33,0.68774,0.95358
1985,66 and older,Hamburg,No,0.88636,39,39,0.78544,0.98727
1985,66 and older,Lower Saxony,No,0.78240,101,101,0.70152,0.86327
1985,66 and older,North Rhine-Westphalia,Yes,0.14612,37,244,0.10171,0.19053
1985,66 and older,North Rhine-Westphalia,No,0.85388,207,244,0.80947,0.89829
1985,66 and older,Hesse,No,0.85694,81,81,0.78022,0.93367
1985,66 and older,"Rhineland-Palatinate, Saarland",No,0.79178,76,76,0.69989,0.88368
1985,66 and older,Baden-Wuerttemberg,No,0.86474,157,157,0.81108,0.91841
1985,66 and older,Bavaria,No,0.85519,177,177,0.80319,0.90718
1985,66 and older,Berlin,No,0.84078,32,32,0.71198,0.96958
1986,17-29 y.,Schleswig-Holstein,No,0.90761,74,74,0.84118,0.97404
1986,17-29 y.,Hamburg,No,0.91017,54,54,0.83318,0.98715
1986,17-29 y.,Lower Saxony,No,0.90805,297,297,0.87513,0.94096
1986,17-29 y.,North Rhine-Westphalia,Yes,0.14010,112,830,0.11648,0.16373
1986,17-29 y.,North Rhine-Westphalia,No,0.85990,718,830,0.83627,0.88352
1986,17-29 y.,Hesse,Yes,0.11107,37,310,0.07603,0.14611
1986,17-29 y.,Hesse,No,0.88893,273,310,0.85389,0.92397
1986,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.85173,204,204,0.80284,0.90061
1986,17-29 y.,Baden-Wuerttemberg,Yes,0.09340,71,615,0.07038,0.11642
1986,17-29 y.,Baden-Wuerttemberg,No,0.90660,544,615,0.88358,0.92962
1986,17-29 y.,Bavaria,Yes,0.10940,57,489,0.08170,0.13709
1986,17-29 y.,Bavaria,No,0.89060,432,489,0.86291,0.91830
1986,17-29 y.,Berlin,No,0.86857,77,77,0.79261,0.94454
1986,30-45 y.,Schleswig-Holstein,No,0.85321,101,101,0.78385,0.92257
1986,30-45 y.,Hamburg,No,0.95095,83,83,0.90420,0.99770
1986,30-45 y.,Lower Saxony,No,0.93466,302,302,0.90674,0.96258
1986,30-45 y.,North Rhine-Westphalia,Yes,0.09974,96,933,0.08051,0.11898
1986,30-45 y.,North Rhine-Westphalia,No,0.90026,837,933,0.88102,0.91949
1986,30-45 y.,Hesse,Yes,0.10146,34,320,0.06833,0.13460
1986,30-45 y.,Hesse,No,0.89854,286,320,0.86540,0.93167
1986,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.90788,161,161,0.86307,0.95269
1986,30-45 y.,Baden-Wuerttemberg,Yes,0.11834,85,601,0.09249,0.14418
1986,30-45 y.,Baden-Wuerttemberg,No,0.88166,516,601,0.85582,0.90751
1986,30-45 y.,Bavaria,Yes,0.11465,72,566,0.08838,0.14092
1986,30-45 y.,Bavaria,No,0.88535,494,566,0.85908,0.91162
1986,30-45 y.,Berlin,No,0.98701,104,104,0.96514,1.00888
1986,46-65 y.,Schleswig-Holstein,No,0.91588,84,84,0.85617,0.97560
1986,46-65 y.,Hamburg,No,0.85900,57,57,0.76784,0.95015
1986,46-65 y.,Lower Saxony,Yes,0.13383,43,338,0.09748,0.17018
1986,46-65 y.,Lower Saxony,No,0.86617,295,338,0.82982,0.90252
1986,46-65 y.,North Rhine-Westphalia,Yes,0.11824,109,856,0.09660,0.13988
1986,46-65 y.,North Rhine-Westphalia,No,0.88176,747,856,0.86012,0.90340
1986,46-65 y.,Hesse,Yes,0.10952,43,327,0.07562,0.14342
1986,46-65 y.,Hesse,No,0.89048,284,327,0.85658,0.92438
1986,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.88484,232,232,0.84367,0.92600
1986,46-65 y.,Baden-Wuerttemberg,Yes,0.11562,74,608,0.09019,0.14106
