year,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.11236,957,8652,0.10570,0.11901
1984,No migration background,No,0.88764,7695,8652,0.88099,0.89430
1984,Direct migration background,Yes,0.12151,403,3361,0.11046,0.13256
1984,Direct migration background,No,0.87849,2958,3361,0.86744,0.88954
1984,Indirect migration background,No,0.98900,120,120,0.97026,1.00774
1985,No migration background,Yes,0.11422,901,7962,0.10724,0.12121
1985,No migration background,No,0.88578,7061,7962,0.87879,0.89276
1985,Direct migration background,Yes,0.10378,335,2902,0.09268,0.11488
1985,Direct migration background,No,0.89622,2567,2902,0.88512,0.90732
1985,Indirect migration background,No,0.88399,123,123,0.82716,0.94081
1986,No migration background,Yes,0.12190,890,7582,0.11454,0.12927
1986,No migration background,No,0.87810,6692,7582,0.87073,0.88546
1986,Direct migration background,Yes,0.13224,384,2819,0.11973,0.14475
1986,Direct migration background,No,0.86776,2435,2819,0.85525,0.88027
1986,Indirect migration background,No,0.81693,136,136,0.75169,0.88217
1987,No migration background,Yes,0.12561,900,7438,0.11807,0.13314
1987,No migration background,No,0.87439,6538,7438,0.86686,0.88193
1987,Direct migration background,Yes,0.11742,318,2810,0.10552,0.12933
1987,Direct migration background,No,0.88258,2492,2810,0.87067,0.89448
1987,Indirect migration background,No,0.88109,156,156,0.83013,0.93205
1988,No migration background,Yes,0.12740,881,7059,0.11962,0.13518
1988,No migration background,No,0.87260,6178,7059,0.86482,0.88038
1988,Direct migration background,Yes,0.11338,301,2659,0.10133,0.12543
1988,Direct migration background,No,0.88662,2358,2659,0.87457,0.89867
1988,Indirect migration background,No,0.90935,201,201,0.86956,0.94914
1989,No migration background,Yes,0.12531,831,6800,0.11744,0.13318
1989,No migration background,No,0.87469,5969,6800,0.86682,0.88256
1989,Direct migration background,Yes,0.10936,291,2574,0.09730,0.12142
1989,Direct migration background,No,0.89064,2283,2574,0.87858,0.90270
1989,Indirect migration background,No,0.91161,233,233,0.87509,0.94814
1991,No migration background,Yes,0.13600,861,6561,0.12770,0.14429
1991,No migration background,No,0.86400,5700,6561,0.85571,0.87230
1991,Direct migration background,Yes,0.12016,282,2473,0.10735,0.13298
1991,Direct migration background,No,0.87984,2191,2473,0.86702,0.89265
1991,Indirect migration background,No,0.91423,318,318,0.88340,0.94505
1992,No migration background,Yes,0.12249,1164,10317,0.11616,0.12882
1992,No migration background,No,0.87751,9153,10317,0.87118,0.88384
1992,Direct migration background,Yes,0.11600,280,2541,0.10354,0.12845
1992,Direct migration background,No,0.88400,2261,2541,0.87155,0.89646
1992,Indirect migration background,Yes,0.13353,39,403,0.10028,0.16678
1992,Indirect migration background,No,0.86647,364,403,0.83322,0.89972
1994,No migration background,Yes,0.13243,1192,9998,0.12579,0.13908
1994,No migration background,No,0.86757,8806,9998,0.86092,0.87421
1994,Direct migration background,Yes,0.11194,258,2350,0.09919,0.12469
1994,Direct migration background,No,0.88806,2092,2350,0.87531,0.90081
1994,Indirect migration background,Yes,0.12274,47,485,0.09350,0.15197
1994,Indirect migration background,No,0.87726,438,485,0.84803,0.90650
1995,No migration background,Yes,0.12887,1205,9949,0.12228,0.13545
1995,No migration background,No,0.87113,8744,9949,0.86455,0.87772
1995,Direct migration background,Yes,0.11913,319,2765,0.10705,0.13121
1995,Direct migration background,No,0.88087,2446,2765,0.86879,0.89295
1995,Indirect migration background,Yes,0.06026,43,501,0.03940,0.08112
1995,Indirect migration background,No,0.93974,458,501,0.91888,0.96060
1996,No migration background,Yes,0.12868,1209,9874,0.12207,0.13528
1996,No migration background,No,0.87132,8665,9874,0.86472,0.87793
1996,Direct migration background,Yes,0.13255,324,2589,0.11948,0.14561
1996,Direct migration background,No,0.86745,2265,2589,0.85439,0.88052
1996,Indirect migration background,Yes,0.09286,55,541,0.06838,0.11734
1996,Indirect migration background,No,0.90714,486,541,0.88266,0.93162
1997,No migration background,Yes,0.13040,1197,9759,0.12372,0.13708
1997,No migration background,No,0.86960,8562,9759,0.86292,0.87628
1997,Direct migration background,Yes,0.12157,291,2454,0.10864,0.13450
1997,Direct migration background,No,0.87843,2163,2454,0.86550,0.89136
1997,Indirect migration background,Yes,0.09541,61,564,0.07115,0.11968
1997,Indirect migration background,No,0.90459,503,564,0.88032,0.92885
1998,No migration background,Yes,0.12850,1383,11227,0.12231,0.13469
1998,No migration background,No,0.87150,9844,11227,0.86531,0.87769
1998,Direct migration background,Yes,0.13262,303,2396,0.11904,0.14620
1998,Direct migration background,No,0.86738,2093,2396,0.85380,0.88096
1998,Indirect migration background,Yes,0.06082,47,595,0.04160,0.08004
1998,Indirect migration background,No,0.93918,548,595,0.91996,0.95840
1999,No migration background,Yes,0.13048,1340,10853,0.12414,0.13681
1999,No migration background,No,0.86952,9513,10853,0.86319,0.87586
1999,Direct migration background,Yes,0.13570,282,2198,0.12138,0.15002
1999,Direct migration background,No,0.86430,1916,2198,0.84998,0.87862
1999,Indirect migration background,Yes,0.08983,47,603,0.06699,0.11267
1999,Indirect migration background,No,0.91017,556,603,0.88733,0.93301
2000,No migration background,Yes,0.12335,2399,19943,0.11878,0.12791
2000,No migration background,No,0.87665,17544,19943,0.87209,0.88122
2000,Direct migration background,Yes,0.11287,373,3296,0.10207,0.12368
2000,Direct migration background,No,0.88713,2923,3296,0.87632,0.89793
2000,Indirect migration background,Yes,0.09799,83,815,0.07757,0.11841
2000,Indirect migration background,No,0.90201,732,815,0.88159,0.92243
2001,No migration background,Yes,0.12609,2194,18183,0.12127,0.13092
2001,No migration background,No,0.87391,15989,18183,0.86908,0.87873
2001,Direct migration background,Yes,0.11712,347,2906,0.10543,0.12881
2001,Direct migration background,No,0.88288,2559,2906,0.87119,0.89457
