year,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.12665,321,2481,0.11356,0.13974
1984,1st Quintile,No,0.87335,2160,2481,0.86026,0.88644
1984,2nd Quintile,Yes,0.11668,274,2392,0.10381,0.12955
1984,2nd Quintile,No,0.88332,2118,2392,0.87045,0.89619
1984,3rd Quintile,Yes,0.11193,254,2350,0.09918,0.12468
1984,3rd Quintile,No,0.88807,2096,2350,0.87532,0.90082
1984,4th Quintile,Yes,0.10223,254,2479,0.09030,0.11416
1984,4th Quintile,No,0.89777,2225,2479,0.88584,0.90970
1984,5th Quintile,Yes,0.10824,260,2415,0.09584,0.12063
1984,5th Quintile,No,0.89176,2155,2415,0.87937,0.90416
1985,1st Quintile,Yes,0.12962,290,2252,0.11575,0.14350
1985,1st Quintile,No,0.87038,1962,2252,0.85650,0.88425
1985,2nd Quintile,Yes,0.12905,280,2151,0.11487,0.14322
1985,2nd Quintile,No,0.87095,1871,2151,0.85678,0.88513
1985,3rd Quintile,Yes,0.10764,246,2205,0.09470,0.12058
1985,3rd Quintile,No,0.89236,1959,2205,0.87942,0.90530
1985,4th Quintile,Yes,0.10428,226,2209,0.09154,0.11703
1985,4th Quintile,No,0.89572,1983,2209,0.88297,0.90846
1985,5th Quintile,Yes,0.09949,211,2180,0.08692,0.11205
1985,5th Quintile,No,0.90051,1969,2180,0.88795,0.91308
1986,1st Quintile,Yes,0.13644,290,2071,0.12165,0.15123
1986,1st Quintile,No,0.86356,1781,2071,0.84877,0.87835
1986,2nd Quintile,Yes,0.12621,260,2084,0.11195,0.14048
1986,2nd Quintile,No,0.87379,1824,2084,0.85952,0.88805
1986,3rd Quintile,Yes,0.13560,278,2090,0.12092,0.15028
1986,3rd Quintile,No,0.86440,1812,2090,0.84972,0.87908
1986,4th Quintile,Yes,0.11113,243,2214,0.09804,0.12423
1986,4th Quintile,No,0.88887,1971,2214,0.87577,0.90196
1986,5th Quintile,Yes,0.11004,220,2089,0.09662,0.12346
1986,5th Quintile,No,0.88996,1869,2089,0.87654,0.90338
1987,1st Quintile,Yes,0.16135,295,2026,0.14532,0.17737
1987,1st Quintile,No,0.83865,1731,2026,0.82263,0.85468
1987,2nd Quintile,Yes,0.14140,274,2060,0.12635,0.15645
1987,2nd Quintile,No,0.85860,1786,2060,0.84355,0.87365
1987,3rd Quintile,Yes,0.11591,223,2097,0.10220,0.12961
1987,3rd Quintile,No,0.88409,1874,2097,0.87039,0.89780
1987,4th Quintile,Yes,0.09823,212,2151,0.08565,0.11081
1987,4th Quintile,No,0.90177,1939,2151,0.88919,0.91435
1987,5th Quintile,Yes,0.11219,229,2083,0.09863,0.12574
1987,5th Quintile,No,0.88781,1854,2083,0.87426,0.90137
1988,1st Quintile,Yes,0.14505,262,1964,0.12947,0.16063
1988,1st Quintile,No,0.85495,1702,1964,0.83937,0.87053
1988,2nd Quintile,Yes,0.13940,256,1978,0.12413,0.15467
1988,2nd Quintile,No,0.86060,1722,1978,0.84533,0.87587
1988,3rd Quintile,Yes,0.11843,229,1996,0.10425,0.13261
1988,3rd Quintile,No,0.88157,1767,1996,0.86739,0.89575
1988,4th Quintile,Yes,0.10873,224,2063,0.09529,0.12217
1988,4th Quintile,No,0.89127,1839,2063,0.87783,0.90471
1988,5th Quintile,Yes,0.11950,229,1935,0.10504,0.13395
