year,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.11283,1366,12139,0.10720,0.11846
1984,West,No,0.88717,10773,12139,0.88154,0.89280
1985,West,Yes,0.11325,1254,11005,0.10733,0.11917
1985,West,No,0.88675,9751,11005,0.88083,0.89267
1986,West,Yes,0.12327,1291,10554,0.11699,0.12954
1986,West,No,0.87673,9263,10554,0.87046,0.88301
1987,West,Yes,0.12472,1234,10420,0.11837,0.13106
1987,West,No,0.87528,9186,10420,0.86894,0.88163
1988,West,Yes,0.12572,1201,9938,0.11920,0.13223
1988,West,No,0.87428,8737,9938,0.86777,0.88080
1989,West,Yes,0.12327,1145,9630,0.11670,0.12984
1989,West,No,0.87673,8485,9630,0.87016,0.88330
1991,West,Yes,0.13346,1169,9378,0.12658,0.14034
1991,West,No,0.86654,8209,9378,0.85966,0.87342
1992,West,Yes,0.12794,1118,9303,0.12115,0.13473
1992,West,No,0.87206,8185,9303,0.86527,0.87885
1992,East,Yes,0.09805,365,3958,0.08879,0.10732
1992,East,No,0.90195,3593,3958,0.89268,0.91121
1994,West,Yes,0.13447,1105,9063,0.12745,0.14150
1994,West,No,0.86553,7958,9063,0.85850,0.87255
1994,East,Yes,0.11095,392,3770,0.10092,0.12098
1994,East,No,0.88905,3378,3770,0.87902,0.89908
1995,West,Yes,0.12789,1139,9540,0.12119,0.13459
1995,West,No,0.87211,8401,9540,0.86541,0.87881
1995,East,Yes,0.11956,428,3675,0.10907,0.13005
1995,East,No,0.88044,3247,3675,0.86995,0.89093
1996,West,Yes,0.12748,1136,9326,0.12071,0.13425
1996,West,No,0.87252,8190,9326,0.86575,0.87929
1996,East,Yes,0.13287,452,3678,0.12190,0.14384
1996,East,No,0.86713,3226,3678,0.85616,0.87810
1997,West,Yes,0.12879,1128,9151,0.12193,0.13566
1997,West,No,0.87121,8023,9151,0.86434,0.87807
1997,East,Yes,0.12663,421,3626,0.11580,0.13745
1997,East,No,0.87337,3205,3626,0.86255,0.88420
1998,West,Yes,0.12623,1250,10358,0.11983,0.13262
1998,West,No,0.87377,9108,10358,0.86738,0.88017
1998,East,Yes,0.13174,483,3860,0.12107,0.14242
1998,East,No,0.86826,3377,3860,0.85758,0.87893
1999,West,Yes,0.12893,1190,9875,0.12232,0.13554
1999,West,No,0.87107,8685,9875,0.86446,0.87768
1999,East,Yes,0.13466,479,3779,0.12378,0.14555
1999,East,No,0.86534,3300,3779,0.85445,0.87622
2000,West,Yes,0.11980,2142,18218,0.11508,0.12451
2000,West,No,0.88020,16076,18218,0.87549,0.88492
2000,East,Yes,0.12774,713,5836,0.11917,0.13630
2000,East,No,0.87226,5123,5836,0.86370,0.88083
2001,West,Yes,0.12480,1979,16432,0.11975,0.12985
2001,West,No,0.87520,14453,16432,0.87015,0.88025
2001,East,Yes,0.12196,642,5420,0.11324,0.13067
2001,East,No,0.87804,4778,5420,0.86933,0.88676
2002,West,Yes,0.12424,2052,17557,0.11936,0.12912
2002,West,No,0.87576,15505,17557,0.87088,0.88064
2002,East,Yes,0.13039,648,5422,0.12142,0.13935
2002,East,No,0.86961,4774,5422,0.86065,0.87858
2003,West,Yes,0.12185,1960,16754,0.11690,0.12680
2003,West,No,0.87815,14794,16754,0.87320,0.88310
2003,East,Yes,0.13184,656,5330,0.12275,0.14092
2003,East,No,0.86816,4674,5330,0.85908,0.87725
2004,West,Yes,0.12681,1951,16333,0.12171,0.13192
2004,West,No,0.87319,14382,16333,0.86808,0.87829
2004,East,Yes,0.13026,625,5217,0.12113,0.13940
2004,East,No,0.86974,4592,5217,0.86060,0.87887
2005,West,Yes,0.11381,1669,15612,0.10883,0.11879
2005,West,No,0.88619,13943,15612,0.88121,0.89117
2005,East,Yes,0.13187,611,5013,0.12250,0.14124
2005,East,No,0.86813,4402,5013,0.85876,0.87750
2006,West,Yes,0.12084,1896,16664,0.11589,0.12579
2006,West,No,0.87916,14768,16664,0.87421,0.88411
2006,East,Yes,0.13577,656,5265,0.12651,0.14502
2006,East,No,0.86423,4609,5265,0.85498,0.87349
2007,West,Yes,0.12185,1805,15459,0.11669,0.12700
2007,West,No,0.87815,13654,15459,0.87300,0.88331
2007,East,Yes,0.12782,630,4993,0.11855,0.13708
2007,East,No,0.87218,4363,4993,0.86292,0.88145
2008,West,Yes,0.11301,1640,14502,0.10786,0.11816
2008,West,No,0.88699,12862,14502,0.88184,0.89214
2008,East,Yes,0.12964,605,4748,0.12009,0.13920
2008,East,No,0.87036,4143,4748,0.86080,0.87991
2009,West,Yes,0.12735,1687,13448,0.12171,0.13298
2009,West,No,0.87265,11761,13448,0.86702,0.87829
2009,East,Yes,0.13330,606,4528,0.12340,0.14320
2009,East,No,0.86670,3922,4528,0.85680,0.87660
2010,West,Yes,0.12485,2500,18458,0.12008,0.12962
2010,West,No,0.87515,15958,18458,0.87038,0.87992
2010,East,Yes,0.13330,771,5465,0.12428,0.14231
2010,East,No,0.86670,4694,5465,0.85769,0.87572
2011,West,Yes,0.13374,2971,22044,0.12925,0.13823
2011,West,No,0.86626,19073,22044,0.86177,0.87075
2011,East,Yes,0.14107,929,6308,0.13248,0.14966
2011,East,No,0.85893,5379,6308,0.85034,0.86752
