year,bula_h,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Yes,0.08210,37,340,0.05288,0.11133
1984,Schleswig-Holstein,No migration background,No,0.73990,303,340,0.69320,0.78660
1984,Schleswig-Holstein,Direct migration background,No,0.72527,38,38,0.58144,0.86910
1984,Hamburg,No migration background,No,0.79842,191,191,0.74137,0.85546
1984,Hamburg,Direct migration background,No,0.81590,81,81,0.73097,0.90083
1984,Lower Saxony,No migration background,Yes,0.08770,106,1026,0.07038,0.10502
1984,Lower Saxony,No migration background,No,0.74767,920,1026,0.72108,0.77426
1984,Lower Saxony,Direct migration background,No,0.70944,170,170,0.64099,0.77789
1984,Bremen,No migration background,No,0.81385,87,87,0.73159,0.89612
1984,North Rhine-Westphalia,No migration background,Yes,0.09455,255,2260,0.08249,0.10662
1984,North Rhine-Westphalia,No migration background,No,0.73833,2005,2260,0.72021,0.75646
1984,North Rhine-Westphalia,Direct migration background,Yes,0.09975,109,944,0.08062,0.11887
1984,North Rhine-Westphalia,Direct migration background,No,0.77269,835,944,0.74594,0.79944
1984,North Rhine-Westphalia,Indirect migration background,No,0.08065,38,38,-0.00709,0.16840
1984,Hesse,No migration background,Yes,0.08979,76,764,0.06950,0.11007
1984,Hesse,No migration background,No,0.77166,688,764,0.74187,0.80144
1984,Hesse,Direct migration background,Yes,0.12932,67,470,0.09895,0.15969
1984,Hesse,Direct migration background,No,0.78839,403,470,0.75143,0.82536
1984,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.10307,79,696,0.08046,0.12567
1984,"Rhineland-Palatinate, Saarland",No migration background,No,0.76357,617,696,0.73198,0.79516
1984,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.82083,138,138,0.75661,0.88505
1984,Baden-Wuerttemberg,No migration background,Yes,0.08947,147,1343,0.07420,0.10474
1984,Baden-Wuerttemberg,No migration background,No,0.72598,1196,1343,0.70211,0.74984
1984,Baden-Wuerttemberg,Direct migration background,Yes,0.12023,115,875,0.09867,0.14179
1984,Baden-Wuerttemberg,Direct migration background,No,0.77642,760,875,0.74880,0.80405
1984,Bavaria,No migration background,Yes,0.09686,184,1616,0.08244,0.11129
1984,Bavaria,No migration background,No,0.73838,1432,1616,0.71694,0.75981
1984,Bavaria,Direct migration background,Yes,0.10187,48,445,0.07373,0.13000
1984,Bavaria,Direct migration background,No,0.78532,397,445,0.74713,0.82351
1984,Berlin,No migration background,Yes,0.10231,34,290,0.06737,0.13725
1984,Berlin,No migration background,No,0.76120,256,290,0.71204,0.81035
1984,Berlin,Direct migration background,No,0.82710,109,109,0.75578,0.89842
