year,bula_h,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,No,0.86124,72,72,0.78083,0.94165
1984,Schleswig-Holstein,Upper Secondary Level,No,0.90201,198,198,0.86050,0.94353
1984,Hamburg,Lower Secondary Level,No,0.85669,57,57,0.76492,0.94846
1984,Hamburg,Upper Secondary Level,No,0.89287,141,141,0.84164,0.94410
1984,Lower Saxony,Primary Level,No,0.85742,54,54,0.76329,0.95155
1984,Lower Saxony,Lower Secondary Level,Yes,0.14235,47,365,0.10646,0.17825
1984,Lower Saxony,Lower Secondary Level,No,0.85421,318,365,0.81796,0.89046
1984,Lower Saxony,Upper Secondary Level,Yes,0.09474,58,591,0.07111,0.11837
1984,Lower Saxony,Upper Secondary Level,No,0.90526,533,591,0.88163,0.92889
1984,Lower Saxony,First Stage of Tertiary Education,No,0.89201,70,70,0.81877,0.96524
1984,Lower Saxony,Second Stage of Tertiary Education,No,0.90798,72,72,0.84074,0.97521
1984,Bremen,Lower Secondary Level,No,0.85376,36,36,0.73669,0.97082
1984,Bremen,Upper Secondary Level,No,0.86437,64,64,0.77982,0.94892
1984,North Rhine-Westphalia,Pre-primary Level,No,0.92103,58,58,0.85102,0.99105
1984,North Rhine-Westphalia,Primary Level,Yes,0.10783,39,305,0.07296,0.14270
1984,North Rhine-Westphalia,Primary Level,No,0.89217,266,305,0.85730,0.92704
1984,North Rhine-Westphalia,Lower Secondary Level,Yes,0.12076,98,862,0.09899,0.14253
1984,North Rhine-Westphalia,Lower Secondary Level,No,0.87456,764,862,0.85243,0.89668
1984,North Rhine-Westphalia,Upper Secondary Level,Yes,0.11136,169,1522,0.09555,0.12717
1984,North Rhine-Westphalia,Upper Secondary Level,No,0.88604,1353,1522,0.87007,0.90201
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.90718,79,79,0.84279,0.97158
1984,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.85116,134,134,0.79067,0.91165
