year,quintil_oecd,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Yes,0.11194,125,1097,0.09327,0.13060
1984,1st Quintile,male,No,0.88806,972,1097,0.86940,0.90673
1984,1st Quintile,female,Yes,0.13609,196,1384,0.11801,0.15416
1984,1st Quintile,female,No,0.86391,1188,1384,0.84584,0.88199
1984,2nd Quintile,male,Yes,0.10955,115,1119,0.09124,0.12785
1984,2nd Quintile,male,No,0.89045,1004,1119,0.87215,0.90876
1984,2nd Quintile,female,Yes,0.12238,159,1273,0.10437,0.14039
1984,2nd Quintile,female,No,0.87762,1114,1273,0.85961,0.89563
1984,3rd Quintile,male,Yes,0.09907,110,1186,0.08206,0.11608
1984,3rd Quintile,male,No,0.90093,1076,1186,0.88392,0.91794
1984,3rd Quintile,female,Yes,0.12436,144,1164,0.10539,0.14332
1984,3rd Quintile,female,No,0.87564,1020,1164,0.85668,0.89461
1984,4th Quintile,male,Yes,0.08789,109,1264,0.07227,0.10350
1984,4th Quintile,male,No,0.91211,1155,1264,0.89650,0.92773
1984,4th Quintile,female,Yes,0.11648,145,1215,0.09843,0.13452
1984,4th Quintile,female,No,0.88352,1070,1215,0.86548,0.90157
1984,5th Quintile,male,Yes,0.10026,122,1268,0.08372,0.11680
1984,5th Quintile,male,No,0.89974,1146,1268,0.88320,0.91628
1984,5th Quintile,female,Yes,0.11672,138,1147,0.09813,0.13531
1984,5th Quintile,female,No,0.88328,1009,1147,0.86469,0.90187
1985,1st Quintile,male,Yes,0.10708,108,1000,0.08791,0.12626
1985,1st Quintile,male,No,0.89292,892,1000,0.87374,0.91209
1985,1st Quintile,female,Yes,0.14444,182,1252,0.12496,0.16393
1985,1st Quintile,female,No,0.85556,1070,1252,0.83607,0.87504
1985,2nd Quintile,male,Yes,0.10893,113,1028,0.08988,0.12799
1985,2nd Quintile,male,No,0.89107,915,1028,0.87201,0.91012
1985,2nd Quintile,female,Yes,0.14540,167,1123,0.12477,0.16602
1985,2nd Quintile,female,No,0.85460,956,1123,0.83398,0.87523
1985,3rd Quintile,male,Yes,0.08997,96,1108,0.07311,0.10682
1985,3rd Quintile,male,No,0.91003,1012,1108,0.89318,0.92689
1985,3rd Quintile,female,Yes,0.12387,150,1097,0.10437,0.14338
1985,3rd Quintile,female,No,0.87613,947,1097,0.85662,0.89563
1985,4th Quintile,male,Yes,0.08385,96,1146,0.06780,0.09991
1985,4th Quintile,male,No,0.91615,1050,1146,0.90009,0.93220
1985,4th Quintile,female,Yes,0.12551,130,1063,0.10558,0.14543
1985,4th Quintile,female,No,0.87449,933,1063,0.85457,0.89442
1985,5th Quintile,male,Yes,0.07844,83,1120,0.06269,0.09419
1985,5th Quintile,male,No,0.92156,1037,1120,0.90581,0.93731
1985,5th Quintile,female,Yes,0.12130,128,1060,0.10163,0.14096
1985,5th Quintile,female,No,0.87870,932,1060,0.85904,0.89837
1986,1st Quintile,male,Yes,0.12593,118,917,0.10444,0.14741
1986,1st Quintile,male,No,0.87407,799,917,0.85259,0.89556
1986,1st Quintile,female,Yes,0.14322,172,1154,0.12300,0.16344
1986,1st Quintile,female,No,0.85678,982,1154,0.83656,0.87700
1986,2nd Quintile,male,Yes,0.12159,116,1025,0.10157,0.14161
1986,2nd Quintile,male,No,0.87841,909,1025,0.85839,0.89843
1986,2nd Quintile,female,Yes,0.13025,144,1059,0.10997,0.15053
1986,2nd Quintile,female,No,0.86975,915,1059,0.84947,0.89003
1986,3rd Quintile,male,Yes,0.12223,123,1043,0.10234,0.14212
1986,3rd Quintile,male,No,0.87777,920,1043,0.85788,0.89766
1986,3rd Quintile,female,Yes,0.14760,155,1047,0.12610,0.16909
1986,3rd Quintile,female,No,0.85240,892,1047,0.83091,0.87390
1986,4th Quintile,male,Yes,0.10600,120,1147,0.08817,0.12382
1986,4th Quintile,male,No,0.89400,1027,1147,0.87618,0.91183
1986,4th Quintile,female,Yes,0.11649,123,1067,0.09723,0.13574
1986,4th Quintile,female,No,0.88351,944,1067,0.86426,0.90277
1986,5th Quintile,male,Yes,0.08475,89,1087,0.06819,0.10132
1986,5th Quintile,male,No,0.91525,998,1087,0.89868,0.93181
1986,5th Quintile,female,Yes,0.13702,131,1002,0.11572,0.15832
1986,5th Quintile,female,No,0.86298,871,1002,0.84168,0.88428
1987,1st Quintile,male,Yes,0.12364,99,900,0.10213,0.14516
1987,1st Quintile,male,No,0.87636,801,900,0.85484,0.89787
1987,1st Quintile,female,Yes,0.18537,196,1126,0.16266,0.20808
1987,1st Quintile,female,No,0.81463,930,1126,0.79192,0.83734
1987,2nd Quintile,male,Yes,0.11954,113,991,0.09933,0.13975
1987,2nd Quintile,male,No,0.88046,878,991,0.86025,0.90067
1987,2nd Quintile,female,Yes,0.15946,161,1069,0.13750,0.18141
1987,2nd Quintile,female,No,0.84054,908,1069,0.81859,0.86250
1987,3rd Quintile,male,Yes,0.10049,84,1040,0.08220,0.11877
1987,3rd Quintile,male,No,0.89951,956,1040,0.88123,0.91780
1987,3rd Quintile,female,Yes,0.12975,139,1057,0.10948,0.15002
1987,3rd Quintile,female,No,0.87025,918,1057,0.84998,0.89052
1987,4th Quintile,male,Yes,0.07621,91,1122,0.06068,0.09174
1987,4th Quintile,male,No,0.92379,1031,1122,0.90826,0.93932
1987,4th Quintile,female,Yes,0.12168,121,1029,0.10170,0.14167
1987,4th Quintile,female,No,0.87832,908,1029,0.85833,0.89830
1987,5th Quintile,male,Yes,0.08769,91,1103,0.07099,0.10439
