year,pgisced97,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,1st Quintile,No,0.90362,34,34,0.80293,1.00431
1984,Pre-primary Level,2nd Quintile,No,0.89782,44,44,0.80728,0.98835
1984,Pre-primary Level,3rd Quintile,No,0.97150,33,33,0.91385,1.02915
1984,Pre-primary Level,4th Quintile,No,0.94814,42,42,0.88026,1.01602
1984,Primary Level,1st Quintile,Yes,0.12538,50,359,0.09107,0.15968
1984,Primary Level,1st Quintile,No,0.87462,309,359,0.84032,0.90893
1984,Primary Level,2nd Quintile,Yes,0.12408,35,235,0.08184,0.16632
1984,Primary Level,2nd Quintile,No,0.87457,200,235,0.83213,0.91700
1984,Primary Level,3rd Quintile,No,0.87250,142,142,0.81744,0.92755
1984,Primary Level,4th Quintile,No,0.86694,138,138,0.81007,0.92382
1984,Primary Level,5th Quintile,No,0.92645,73,73,0.86616,0.98675
1984,Lower Secondary Level,1st Quintile,Yes,0.13291,125,938,0.11118,0.15465
1984,Lower Secondary Level,1st Quintile,No,0.86422,813,938,0.84229,0.88615
1984,Lower Secondary Level,2nd Quintile,Yes,0.13176,103,827,0.10870,0.15483
1984,Lower Secondary Level,2nd Quintile,No,0.86625,724,827,0.84304,0.88946
1984,Lower Secondary Level,3rd Quintile,Yes,0.12680,80,702,0.10217,0.15143
1984,Lower Secondary Level,3rd Quintile,No,0.86781,622,702,0.84274,0.89288
1984,Lower Secondary Level,4th Quintile,Yes,0.09455,55,584,0.07080,0.11830
1984,Lower Secondary Level,4th Quintile,No,0.90060,529,584,0.87631,0.92488
1984,Lower Secondary Level,5th Quintile,Yes,0.11409,39,384,0.08225,0.14593
1984,Lower Secondary Level,5th Quintile,No,0.88341,345,384,0.85127,0.91555
1984,Upper Secondary Level,1st Quintile,Yes,0.12525,115,910,0.10373,0.14676
1984,Upper Secondary Level,1st Quintile,No,0.87448,795,910,0.85294,0.89602
1984,Upper Secondary Level,2nd Quintile,Yes,0.11439,122,1102,0.09559,0.13319
1984,Upper Secondary Level,2nd Quintile,No,0.88546,980,1102,0.86665,0.90427
1984,Upper Secondary Level,3rd Quintile,Yes,0.10611,123,1162,0.08840,0.12383
1984,Upper Secondary Level,3rd Quintile,No,0.89190,1039,1162,0.87404,0.90976
1984,Upper Secondary Level,4th Quintile,Yes,0.10153,131,1284,0.08501,0.11806
1984,Upper Secondary Level,4th Quintile,No,0.89754,1153,1284,0.88094,0.91413
1984,Upper Secondary Level,5th Quintile,Yes,0.11240,138,1226,0.09472,0.13009
1984,Upper Secondary Level,5th Quintile,No,0.88572,1088,1226,0.86790,0.90354
1984,Post-secondary Non-tertiary Level,1st Quintile,No,0.89315,53,53,0.80919,0.97712
1984,Post-secondary Non-tertiary Level,2nd Quintile,No,0.92266,43,43,0.84188,1.00345
1984,Post-secondary Non-tertiary Level,3rd Quintile,No,0.93990,52,52,0.87467,1.00513
1984,Post-secondary Non-tertiary Level,4th Quintile,No,0.90908,54,54,0.83168,0.98648
1984,Post-secondary Non-tertiary Level,5th Quintile,No,0.91400,71,71,0.84833,0.97968
1984,First Stage of Tertiary Education,1st Quintile,No,0.86140,63,63,0.77539,0.94741
1984,First Stage of Tertiary Education,2nd Quintile,No,0.89411,74,74,0.82353,0.96470
1984,First Stage of Tertiary Education,3rd Quintile,No,0.86114,99,99,0.79267,0.92960
1984,First Stage of Tertiary Education,4th Quintile,No,0.84513,139,139,0.78477,0.90549
1984,First Stage of Tertiary Education,5th Quintile,Yes,0.14439,33,227,0.09856,0.19021
1984,First Stage of Tertiary Education,5th Quintile,No,0.85561,194,227,0.80979,0.90144
1984,Second Stage of Tertiary Education,1st Quintile,No,0.87829,65,65,0.79819,0.95839
1984,Second Stage of Tertiary Education,2nd Quintile,No,0.93797,45,45,0.86669,1.00924
1984,Second Stage of Tertiary Education,3rd Quintile,No,0.90370,103,103,0.84645,0.96095
1984,Second Stage of Tertiary Education,4th Quintile,No,0.90116,160,160,0.85477,0.94755
1984,Second Stage of Tertiary Education,5th Quintile,No,0.92302,353,353,0.89518,0.95087
1985,Pre-primary Level,1st Quintile,No,0.93410,36,36,0.85191,1.01630
1985,Pre-primary Level,3rd Quintile,No,0.92460,43,43,0.84475,1.00445
1985,Pre-primary Level,4th Quintile,No,0.87438,33,33,0.75955,0.98921
1985,Primary Level,1st Quintile,Yes,0.16730,43,312,0.12581,0.20878
1985,Primary Level,1st Quintile,No,0.83270,269,312,0.79122,0.87419
1985,Primary Level,2nd Quintile,No,0.90129,159,159,0.85478,0.94780
1985,Primary Level,3rd Quintile,No,0.89288,134,134,0.84032,0.94544
1985,Primary Level,4th Quintile,No,0.85780,107,107,0.79131,0.92429
1985,Primary Level,5th Quintile,No,0.87828,56,56,0.79187,0.96469
1985,Lower Secondary Level,1st Quintile,Yes,0.14260,115,846,0.11903,0.16618
1985,Lower Secondary Level,1st Quintile,No,0.85267,731,846,0.82878,0.87657
1985,Lower Secondary Level,2nd Quintile,Yes,0.14240,96,713,0.11673,0.16807
1985,Lower Secondary Level,2nd Quintile,No,0.85279,617,713,0.82677,0.87882
1985,Lower Secondary Level,3rd Quintile,Yes,0.10076,72,664,0.07784,0.12367
1985,Lower Secondary Level,3rd Quintile,No,0.89750,592,664,0.87441,0.92058
1985,Lower Secondary Level,4th Quintile,Yes,0.07610,42,489,0.05257,0.09962
1985,Lower Secondary Level,4th Quintile,No,0.92139,447,489,0.89751,0.94527
1985,Lower Secondary Level,5th Quintile,Yes,0.11195,38,339,0.07833,0.14556
1985,Lower Secondary Level,5th Quintile,No,0.88518,301,339,0.85119,0.91917
1985,Upper Secondary Level,1st Quintile,Yes,0.12717,109,849,0.10475,0.14960
1985,Upper Secondary Level,1st Quintile,No,0.87124,740,849,0.84870,0.89378
1985,Upper Secondary Level,2nd Quintile,Yes,0.13163,138,1017,0.11084,0.15242
1985,Upper Secondary Level,2nd Quintile,No,0.86573,879,1017,0.84476,0.88669
1985,Upper Secondary Level,3rd Quintile,Yes,0.10767,118,1061,0.08901,0.12633
1985,Upper Secondary Level,3rd Quintile,No,0.89233,943,1061,0.87367,0.91099
1985,Upper Secondary Level,4th Quintile,Yes,0.11178,123,1157,0.09361,0.12994
1985,Upper Secondary Level,4th Quintile,No,0.88617,1034,1157,0.86786,0.90448
1985,Upper Secondary Level,5th Quintile,Yes,0.09082,95,1083,0.07370,0.10794
1985,Upper Secondary Level,5th Quintile,No,0.90747,988,1083,0.89020,0.92474
1985,Post-secondary Non-tertiary Level,1st Quintile,No,0.91648,46,46,0.83564,0.99732
