year,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.10065,581,5941,0.09300,0.10830
1984,male,No,0.89935,5360,5941,0.89170,0.90700
1984,female,Yes,0.12362,785,6198,0.11543,0.13182
1984,female,No,0.87638,5413,6198,0.86818,0.88457
1985,male,Yes,0.09194,496,5405,0.08423,0.09964
1985,male,No,0.90806,4909,5405,0.90036,0.91577
1985,female,Yes,0.13220,758,5600,0.12333,0.14108
1985,female,No,0.86780,4842,5600,0.85892,0.87667
1986,male,Yes,0.11018,566,5222,0.10168,0.11867
1986,male,No,0.88982,4656,5222,0.88133,0.89832
1986,female,Yes,0.13504,725,5332,0.12587,0.14422
1986,female,No,0.86496,4607,5332,0.85578,0.87413
1987,male,Yes,0.09883,478,5158,0.09069,0.10698
1987,male,No,0.90117,4680,5158,0.89302,0.90931
1987,female,Yes,0.14798,756,5262,0.13839,0.15758
1987,female,No,0.85202,4506,5262,0.84242,0.86161
1988,male,Yes,0.10976,499,4918,0.10102,0.11850
1988,male,No,0.89024,4419,4918,0.88150,0.89898
1988,female,Yes,0.14025,702,5020,0.13064,0.14985
1988,female,No,0.85975,4318,5020,0.85015,0.86936
1989,male,Yes,0.10145,449,4747,0.09286,0.11004
1989,male,No,0.89855,4298,4747,0.88996,0.90714
1989,female,Yes,0.14316,696,4883,0.13334,0.15299
1989,female,No,0.85684,4187,4883,0.84701,0.86666
1991,male,Yes,0.10785,467,4621,0.09890,0.11679
1991,male,No,0.89215,4154,4621,0.88321,0.90110
1991,female,Yes,0.15690,702,4757,0.14656,0.16723
1991,female,No,0.84310,4055,4757,0.83277,0.85344
1992,male,Yes,0.10321,600,6442,0.09578,0.11064
1992,male,No,0.89679,5842,6442,0.88936,0.90422
1992,female,Yes,0.13920,883,6819,0.13098,0.14741
1992,female,No,0.86080,5936,6819,0.85259,0.86902
1994,male,Yes,0.10427,568,6198,0.09666,0.11188
1994,male,No,0.89573,5630,6198,0.88812,0.90334
1994,female,Yes,0.15340,929,6635,0.14473,0.16207
1994,female,No,0.84660,5706,6635,0.83793,0.85527
1995,male,Yes,0.10297,616,6379,0.09551,0.11043
1995,male,No,0.89703,5763,6379,0.88957,0.90449
1995,female,Yes,0.14786,951,6836,0.13944,0.15627
1995,female,No,0.85214,5885,6836,0.84373,0.86056
1996,male,Yes,0.10956,621,6275,0.10183,0.11728
1996,male,No,0.89044,5654,6275,0.88272,0.89817
1996,female,Yes,0.14614,967,6729,0.13770,0.15458
1996,female,No,0.85386,5762,6729,0.84542,0.86230
1997,male,Yes,0.10839,616,6184,0.10065,0.11614
1997,male,No,0.89161,5568,6184,0.88386,0.89935
1997,female,Yes,0.14703,933,6593,0.13848,0.15557
1997,female,No,0.85297,5660,6593,0.84443,0.86152
1998,male,Yes,0.10160,685,6880,0.09446,0.10874
1998,male,No,0.89840,6195,6880,0.89126,0.90554
1998,female,Yes,0.15134,1048,7338,0.14314,0.15955
1998,female,No,0.84866,6290,7338,0.84045,0.85686
1999,male,Yes,0.10850,688,6604,0.10100,0.11600
1999,male,No,0.89150,5916,6604,0.88400,0.89900
1999,female,Yes,0.15030,981,7050,0.14196,0.15865
1999,female,No,0.84970,6069,7050,0.84135,0.85804
2000,male,Yes,0.10623,1192,11553,0.10061,0.11185
2000,male,No,0.89377,10361,11553,0.88815,0.89939
2000,female,Yes,0.13544,1663,12501,0.12944,0.14144
2000,female,No,0.86456,10838,12501,0.85856,0.87056
2001,male,Yes,0.10646,1077,10495,0.10056,0.11236
2001,male,No,0.89354,9418,10495,0.88764,0.89944
2001,female,Yes,0.14104,1544,11357,0.13464,0.14744
2001,female,No,0.85896,9813,11357,0.85256,0.86536
2002,male,Yes,0.11259,1199,11111,0.10672,0.11847
2002,male,No,0.88741,9912,11111,0.88153,0.89328
2002,female,Yes,0.13750,1501,11868,0.13130,0.14369
2002,female,No,0.86250,10367,11868,0.85631,0.86870
2003,male,Yes,0.10915,1128,10637,0.10322,0.11508
2003,male,No,0.89085,9509,10637,0.88492,0.89678
2003,female,Yes,0.13753,1488,11447,0.13122,0.14384
2003,female,No,0.86247,9959,11447,0.85616,0.86878
2004,male,Yes,0.11360,1090,10342,0.10748,0.11972
2004,male,No,0.88640,9252,10342,0.88028,0.89252
2004,female,Yes,0.14057,1486,11208,0.13413,0.14700
2004,female,No,0.85943,9722,11208,0.85300,0.86587
2005,male,Yes,0.10347,988,9865,0.09746,0.10948
2005,male,No,0.89653,8877,9865,0.89052,0.90254
2005,female,Yes,0.13011,1292,10760,0.12375,0.13647
2005,female,No,0.86989,9468,10760,0.86353,0.87625
2006,male,Yes,0.11103,1095,10452,0.10500,0.11705
2006,male,No,0.88897,9357,10452,0.88295,0.89500
2006,female,Yes,0.13559,1457,11477,0.12932,0.14185
2006,female,No,0.86441,10020,11477,0.85815,0.87068
2007,male,Yes,0.11281,1074,9742,0.10653,0.11910
2007,male,No,0.88719,8668,9742,0.88090,0.89347
2007,female,Yes,0.13257,1361,10710,0.12615,0.13899
2007,female,No,0.86743,9349,10710,0.86101,0.87385
2008,male,Yes,0.10711,1002,9170,0.10078,0.11344
2008,male,No,0.89289,8168,9170,0.88656,0.89922
2008,female,Yes,0.12462,1243,10080,0.11818,0.13107
2008,female,No,0.87538,8837,10080,0.86893,0.88182
2009,male,Yes,0.11573,1027,8576,0.10896,0.12250
2009,male,No,0.88427,7549,8576,0.87750,0.89104
2009,female,Yes,0.14055,1266,9400,0.13352,0.14758
2009,female,No,0.85945,8134,9400,0.85242,0.86648
2010,male,Yes,0.11899,1193,10886,0.11290,0.12507
2010,male,No,0.88101,9693,10886,0.87493,0.88710
2010,female,Yes,0.13345,2078,13037,0.12761,0.13929
2010,female,No,0.86655,10959,13037,0.86071,0.87239
2011,male,Yes,0.12052,1485,12843,0.11489,0.12615
2011,male,No,0.87948,11358,12843,0.87385,0.88511
2011,female,Yes,0.14876,2415,15509,0.14316,0.15436
2011,female,No,0.85124,13094,15509,0.84564,0.85684
2012,male,Yes,0.13068,1579,12525,0.12478,0.13658
2012,male,No,0.86932,10946,12525,0.86342,0.87522
2012,female,Yes,0.14850,2145,15055,0.14282,0.15418
