year,age_gr,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Yes,0.06877,121,1730,0.05684,0.08070
1984,17-29 y.,male,No,0.92815,1609,1730,0.91598,0.94032
1984,17-29 y.,female,Yes,0.12034,217,1696,0.10485,0.13582
1984,17-29 y.,female,No,0.87476,1479,1696,0.85901,0.89052
1984,30-45 y.,male,Yes,0.07896,156,1933,0.06694,0.09099
1984,30-45 y.,male,No,0.91769,1777,1933,0.90543,0.92994
1984,30-45 y.,female,Yes,0.12948,261,1966,0.11464,0.14432
1984,30-45 y.,female,No,0.86933,1705,1966,0.85443,0.88424
1984,46-65 y.,male,Yes,0.12919,230,1773,0.11357,0.14480
1984,46-65 y.,male,No,0.86902,1543,1773,0.85331,0.88472
1984,46-65 y.,female,Yes,0.09914,189,1776,0.08523,0.11304
1984,46-65 y.,female,No,0.89960,1587,1776,0.88562,0.91358
1984,66 and older,male,Yes,0.14293,74,505,0.11237,0.17349
1984,66 and older,male,No,0.85707,431,505,0.82651,0.88763
1984,66 and older,female,Yes,0.15482,118,760,0.12909,0.18056
1984,66 and older,female,No,0.84249,642,760,0.81657,0.86841
1985,17-29 y.,male,Yes,0.06791,116,1609,0.05562,0.08021
1985,17-29 y.,male,No,0.93091,1493,1609,0.91851,0.94330
1985,17-29 y.,female,Yes,0.13528,226,1528,0.11813,0.15244
1985,17-29 y.,female,No,0.86457,1302,1528,0.84741,0.88173
1985,30-45 y.,male,Yes,0.06911,126,1704,0.05706,0.08116
1985,30-45 y.,male,No,0.92926,1578,1704,0.91708,0.94144
1985,30-45 y.,female,Yes,0.12776,239,1762,0.11217,0.14335
1985,30-45 y.,female,No,0.86753,1523,1762,0.85170,0.88337
1985,46-65 y.,male,Yes,0.10596,187,1651,0.09111,0.12081
1985,46-65 y.,male,No,0.89378,1464,1651,0.87891,0.90864
1985,46-65 y.,female,Yes,0.11315,188,1649,0.09785,0.12844
1985,46-65 y.,female,No,0.88560,1461,1649,0.87024,0.90097
1985,66 and older,male,Yes,0.15369,67,441,0.11999,0.18739
1985,66 and older,male,No,0.84107,374,441,0.80691,0.87523
1985,66 and older,female,Yes,0.16054,105,661,0.13253,0.18855
1985,66 and older,female,No,0.83646,556,661,0.80824,0.86467
1986,17-29 y.,male,Yes,0.08687,139,1587,0.07301,0.10073
1986,17-29 y.,male,No,0.91302,1448,1587,0.89915,0.92689
1986,17-29 y.,female,Yes,0.14641,224,1466,0.12830,0.16451
1986,17-29 y.,female,No,0.85225,1242,1466,0.83408,0.87042
1986,30-45 y.,male,Yes,0.07282,129,1576,0.05998,0.08565
1986,30-45 y.,male,No,0.92566,1447,1576,0.91270,0.93861
1986,30-45 y.,female,Yes,0.12529,222,1683,0.10947,0.14111
1986,30-45 y.,female,No,0.87059,1461,1683,0.85455,0.88663
1986,46-65 y.,male,Yes,0.11853,211,1642,0.10289,0.13417
1986,46-65 y.,male,No,0.87989,1431,1642,0.86416,0.89562
1986,46-65 y.,female,Yes,0.11639,184,1579,0.10056,0.13221
1986,46-65 y.,female,No,0.88011,1395,1579,0.86409,0.89614
1986,66 and older,male,Yes,0.21303,87,417,0.17368,0.25238
1986,66 and older,male,No,0.78101,330,417,0.74127,0.82075
1986,66 and older,female,Yes,0.15843,95,604,0.12928,0.18757
1986,66 and older,female,No,0.83114,509,604,0.80124,0.86105
1987,17-29 y.,male,Yes,0.07601,119,1560,0.06285,0.08916
1987,17-29 y.,male,No,0.91785,1441,1560,0.90421,0.93148
1987,17-29 y.,female,Yes,0.15675,237,1440,0.13797,0.17554
1987,17-29 y.,female,No,0.84314,1203,1440,0.82435,0.86193
1987,30-45 y.,male,Yes,0.06460,102,1548,0.05235,0.07685
1987,30-45 y.,male,No,0.93540,1446,1548,0.92315,0.94765
1987,30-45 y.,female,Yes,0.14080,225,1611,0.12381,0.15779
1987,30-45 y.,female,No,0.85115,1386,1611,0.83376,0.86853
1987,46-65 y.,male,Yes,0.10179,176,1630,0.08710,0.11647
1987,46-65 y.,male,No,0.89582,1454,1630,0.88098,0.91066
1987,46-65 y.,female,Yes,0.11202,173,1567,0.09640,0.12764
1987,46-65 y.,female,No,0.88012,1394,1567,0.86403,0.89621
1987,66 and older,male,Yes,0.20199,81,420,0.16354,0.24043
