year,migback,quintil_oecd,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Direct migration background,4th Quintile,Yes,0.06766,45,10904,0.06714,0.06817
1985,Direct migration background,4th Quintile,No,0.93234,447,10904,0.93183,0.93286
1985,Direct migration background,5th Quintile,No,1.00000,293,10904,1.00000,1.00000
1985,Indirect migration background,1st Quintile,No,1.00000,31,10904,1.00000,1.00000
1985,Indirect migration background,2nd Quintile,No,1.00000,34,10904,1.00000,1.00000
1986,No migration background,1st Quintile,Yes,0.13250,158,10435,0.13226,0.13273
1986,No migration background,1st Quintile,No,0.86750,1064,10435,0.86727,0.86774
1986,No migration background,2nd Quintile,Yes,0.12670,166,10435,0.12647,0.12692
1986,No migration background,2nd Quintile,No,0.87330,1210,10435,0.87308,0.87353
1986,No migration background,3rd Quintile,Yes,0.12510,179,10435,0.12488,0.12531
1986,No migration background,3rd Quintile,No,0.87490,1326,10435,0.87469,0.87512
1986,No migration background,4th Quintile,Yes,0.11996,200,10435,0.11975,0.12017
1986,No migration background,4th Quintile,No,0.88004,1484,10435,0.87983,0.88025
1986,No migration background,5th Quintile,Yes,0.10870,187,10435,0.10851,0.10889
1986,No migration background,5th Quintile,No,0.89130,1604,10435,0.89111,0.89149
1986,Direct migration background,1st Quintile,Yes,0.16049,125,10435,0.15984,0.16113
1986,Direct migration background,1st Quintile,No,0.83951,675,10435,0.83887,0.84016
1986,Direct migration background,2nd Quintile,Yes,0.12681,93,10435,0.12619,0.12742
1986,Direct migration background,2nd Quintile,No,0.87319,577,10435,0.87258,0.87381
1986,Direct migration background,3rd Quintile,Yes,0.16618,88,10435,0.16545,0.16690
1986,Direct migration background,3rd Quintile,No,0.83382,476,10435,0.83310,0.83455
1986,Direct migration background,4th Quintile,Yes,0.07950,47,10435,0.07893,0.08007
1986,Direct migration background,4th Quintile,No,0.92050,449,10435,0.91993,0.92107
1986,Direct migration background,5th Quintile,Yes,0.10991,31,10435,0.10921,0.11062
1986,Direct migration background,5th Quintile,No,0.89009,256,10435,0.88938,0.89079
1986,Indirect migration background,1st Quintile,No,1.00000,40,10435,1.00000,1.00000
