year,bula_h,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,No,0.72920,176,176,0.66336,0.79504
1984,Schleswig-Holstein,female,No,0.73695,169,169,0.67037,0.80353
1984,Hamburg,male,No,0.75353,133,133,0.68001,0.82705
1984,Hamburg,female,No,0.80089,140,140,0.73451,0.86728
1984,Lower Saxony,male,Yes,0.06613,51,601,0.04624,0.08601
1984,Lower Saxony,male,No,0.75124,550,601,0.71665,0.78583
1984,Lower Saxony,female,Yes,0.11355,86,632,0.08879,0.13830
1984,Lower Saxony,female,No,0.71926,546,632,0.68420,0.75432
1984,Bremen,male,No,0.77080,53,53,0.65656,0.88505
1984,Bremen,female,No,0.79800,61,61,0.69641,0.89959
1984,North Rhine-Westphalia,male,Yes,0.07851,153,1601,0.06533,0.09169
1984,North Rhine-Westphalia,male,No,0.72699,1448,1601,0.70516,0.74882
1984,North Rhine-Westphalia,female,Yes,0.10476,212,1642,0.08994,0.11958
1984,North Rhine-Westphalia,female,No,0.71722,1430,1642,0.69543,0.73901
1984,Hesse,male,Yes,0.07446,57,625,0.05387,0.09506
1984,Hesse,male,No,0.75612,568,625,0.72243,0.78982
1984,Hesse,female,Yes,0.11027,86,621,0.08561,0.13492
1984,Hesse,female,No,0.75616,535,621,0.72236,0.78996
1984,"Rhineland-Palatinate, Saarland",male,Yes,0.08717,41,416,0.06003,0.11431
1984,"Rhineland-Palatinate, Saarland",male,No,0.75484,375,416,0.71345,0.79623
1984,"Rhineland-Palatinate, Saarland",female,Yes,0.10827,50,435,0.07904,0.13751
1984,"Rhineland-Palatinate, Saarland",female,No,0.74530,385,435,0.70431,0.78629
1984,Baden-Wuerttemberg,male,Yes,0.07498,108,1113,0.05950,0.09045
1984,Baden-Wuerttemberg,male,No,0.70949,1005,1113,0.68281,0.73618
1984,Baden-Wuerttemberg,female,Yes,0.10367,156,1134,0.08592,0.12142
1984,Baden-Wuerttemberg,female,No,0.71289,978,1134,0.68655,0.73924
1984,Bavaria,male,Yes,0.09371,110,989,0.07554,0.11189
1984,Bavaria,male,No,0.71178,879,989,0.68354,0.74003
1984,Bavaria,female,Yes,0.09595,123,1098,0.07852,0.11338
1984,Bavaria,female,No,0.74517,975,1098,0.71938,0.77095
1984,Berlin,male,No,0.69105,173,173,0.62199,0.76010
1984,Berlin,female,No,0.78999,194,194,0.73252,0.84745
1985,Schleswig-Holstein,male,No,0.73894,159,159,0.67045,0.80743
1985,Schleswig-Holstein,female,Yes,0.15063,32,182,0.09852,0.20274
1985,Schleswig-Holstein,female,No,0.70006,150,182,0.63331,0.76682
1985,Hamburg,male,No,0.82321,126,126,0.75634,0.89009
1985,Hamburg,female,No,0.78121,121,121,0.70724,0.85518
1985,Lower Saxony,male,Yes,0.07705,45,540,0.05454,0.09956
1985,Lower Saxony,male,No,0.76950,495,540,0.73395,0.80506
1985,Lower Saxony,female,Yes,0.11002,73,567,0.08424,0.13580
1985,Lower Saxony,female,No,0.73412,494,567,0.69773,0.77052
1985,Bremen,male,No,0.81664,50,50,0.70829,0.92499
1985,Bremen,female,No,0.87326,58,58,0.78689,0.95962
1985,North Rhine-Westphalia,male,Yes,0.07384,137,1462,0.06043,0.08725
1985,North Rhine-Westphalia,male,No,0.74021,1325,1462,0.71772,0.76269
1985,North Rhine-Westphalia,female,Yes,0.11196,209,1490,0.09594,0.12798
1985,North Rhine-Westphalia,female,No,0.72241,1281,1490,0.69967,0.74516
1985,Hesse,male,Yes,0.06060,41,568,0.04096,0.08024
1985,Hesse,male,No,0.77789,527,568,0.74368,0.81211
1985,Hesse,female,Yes,0.10648,71,564,0.08100,0.13196
1985,Hesse,female,No,0.77073,493,564,0.73600,0.80545
1985,"Rhineland-Palatinate, Saarland",male,Yes,0.09415,41,382,0.06482,0.12347
1985,"Rhineland-Palatinate, Saarland",male,No,0.76520,341,382,0.72264,0.80776
1985,"Rhineland-Palatinate, Saarland",female,Yes,0.09725,47,389,0.06776,0.12673
1985,"Rhineland-Palatinate, Saarland",female,No,0.75485,342,389,0.71204,0.79765
1985,Baden-Wuerttemberg,male,Yes,0.06114,97,1014,0.04638,0.07589
1985,Baden-Wuerttemberg,male,No,0.74313,917,1014,0.71622,0.77003
1985,Baden-Wuerttemberg,female,Yes,0.11243,142,1025,0.09308,0.13178
1985,Baden-Wuerttemberg,female,No,0.71473,883,1025,0.68707,0.74238
1985,Bavaria,male,Yes,0.09277,91,900,0.07380,0.11173
1985,Bavaria,male,No,0.72544,809,900,0.69627,0.75461
1985,Bavaria,female,Yes,0.11792,142,992,0.09784,0.13800
1985,Bavaria,female,No,0.73253,850,992,0.70497,0.76009
1985,Berlin,male,No,0.75284,160,160,0.68579,0.81989
1985,Berlin,female,No,0.77599,170,170,0.71313,0.83885
1986,Schleswig-Holstein,male,No,0.73490,145,145,0.66281,0.80700
1986,Schleswig-Holstein,female,No,0.73041,142,142,0.65716,0.80365
1986,Hamburg,male,No,0.78897,110,110,0.71237,0.86557
1986,Hamburg,female,No,0.80306,116,116,0.73038,0.87575
1986,Lower Saxony,male,Yes,0.09053,49,541,0.06633,0.11473
1986,Lower Saxony,male,No,0.76087,492,541,0.72489,0.79685
1986,Lower Saxony,female,Yes,0.10087,63,566,0.07604,0.12570
1986,Lower Saxony,female,No,0.74169,503,566,0.70560,0.77778
1986,Bremen,male,No,0.76849,43,43,0.64093,0.89606
1986,Bremen,female,No,0.84468,53,53,0.74624,0.94313
1986,North Rhine-Westphalia,male,Yes,0.08099,142,1421,0.06680,0.09518
1986,North Rhine-Westphalia,male,No,0.73564,1279,1421,0.71270,0.75858
1986,North Rhine-Westphalia,female,Yes,0.12082,211,1433,0.10394,0.13770
1986,North Rhine-Westphalia,female,No,0.71025,1222,1433,0.68675,0.73375
1986,Hesse,male,Yes,0.08829,58,523,0.06395,0.11263
1986,Hesse,male,No,0.74374,465,523,0.70629,0.78119
1986,Hesse,female,Yes,0.12382,75,521,0.09551,0.15213
1986,Hesse,female,No,0.73398,446,521,0.69600,0.77196
1986,"Rhineland-Palatinate, Saarland",male,Yes,0.12588,48,376,0.09231,0.15946
1986,"Rhineland-Palatinate, Saarland",male,No,0.72699,328,376,0.68189,0.77208
1986,"Rhineland-Palatinate, Saarland",female,Yes,0.11646,46,390,0.08458,0.14834
1986,"Rhineland-Palatinate, Saarland",female,No,0.73581,344,390,0.69199,0.77962
1986,Baden-Wuerttemberg,male,Yes,0.07775,111,1002,0.06116,0.09434
1986,Baden-Wuerttemberg,male,No,0.73117,891,1002,0.70371,0.75864
1986,Baden-Wuerttemberg,female,Yes,0.11786,145,980,0.09766,0.13806
1986,Baden-Wuerttemberg,female,No,0.71196,835,980,0.68360,0.74033
1986,Bavaria,male,Yes,0.10144,102,847,0.08110,0.12178
1986,Bavaria,male,No,0.71460,745,847,0.68417,0.74503
1986,Bavaria,female,Yes,0.10703,124,919,0.08703,0.12703
1986,Bavaria,female,No,0.73503,795,919,0.70648,0.76358
1986,Berlin,male,No,0.75147,158,158,0.68387,0.81907
1986,Berlin,female,No,0.72624,151,151,0.65488,0.79760
1987,Schleswig-Holstein,male,No,0.74842,147,147,0.67803,0.81881
1987,Schleswig-Holstein,female,No,0.67949,143,143,0.60273,0.75625
1987,Hamburg,male,No,0.78352,100,100,0.70240,0.86465
1987,Hamburg,female,No,0.77366,100,100,0.69123,0.85609
1987,Lower Saxony,male,Yes,0.06312,40,538,0.04255,0.08368
1987,Lower Saxony,male,No,0.78455,498,538,0.74978,0.81933
1987,Lower Saxony,female,Yes,0.13519,91,565,0.10697,0.16341
1987,Lower Saxony,female,No,0.70586,474,565,0.66825,0.74346
1987,Bremen,male,No,0.66628,40,40,0.51829,0.81428
1987,Bremen,female,No,0.91141,50,50,0.83184,0.99097
1987,North Rhine-Westphalia,male,Yes,0.08225,141,1410,0.06791,0.09660
1987,North Rhine-Westphalia,male,No,0.72765,1269,1410,0.70441,0.75090
1987,North Rhine-Westphalia,female,Yes,0.11723,196,1403,0.10039,0.13407
1987,North Rhine-Westphalia,female,No,0.71661,1207,1403,0.69302,0.74020
1987,Hesse,male,Yes,0.07642,43,528,0.05373,0.09910
1987,Hesse,male,No,0.75117,485,528,0.71426,0.78809
1987,Hesse,female,Yes,0.13637,78,525,0.10698,0.16575
1987,Hesse,female,No,0.72224,447,525,0.68389,0.76059
1987,"Rhineland-Palatinate, Saarland",male,No,0.79534,356,356,0.75337,0.83731
1987,"Rhineland-Palatinate, Saarland",female,Yes,0.13018,58,386,0.09656,0.16379
1987,"Rhineland-Palatinate, Saarland",female,No,0.72286,328,386,0.67815,0.76757
1987,Baden-Wuerttemberg,male,Yes,0.07939,100,983,0.06248,0.09630
1987,Baden-Wuerttemberg,male,No,0.71638,883,983,0.68818,0.74457
1987,Baden-Wuerttemberg,female,Yes,0.13155,150,975,0.11032,0.15277
1987,Baden-Wuerttemberg,female,No,0.69745,825,975,0.66861,0.72630
1987,Bavaria,male,Yes,0.09703,85,827,0.07684,0.11721
1987,Bavaria,male,No,0.71646,742,827,0.68572,0.74719
1987,Bavaria,female,Yes,0.11900,119,893,0.09775,0.14025
1987,Bavaria,female,No,0.72054,774,893,0.69109,0.74999
1987,Berlin,male,No,0.74112,160,160,0.67304,0.80921
1987,Berlin,female,No,0.75459,158,158,0.68728,0.82191
1988,Schleswig-Holstein,male,No,0.75176,145,145,0.68121,0.82232
