year,bula_h,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Yes,0.09774,40,385,0.06804,0.12745
1984,Schleswig-Holstein,No answer / don't know,No,0.90226,345,385,0.87255,0.93196
1984,Hamburg,No answer / don't know,Yes,0.12688,35,308,0.08965,0.16411
1984,Hamburg,No answer / don't know,No,0.87312,273,308,0.83589,0.91035
1984,Lower Saxony,No answer / don't know,Yes,0.11062,137,1233,0.09311,0.12814
1984,Lower Saxony,No answer / don't know,No,0.88938,1096,1233,0.87186,0.90689
1984,Bremen,No answer / don't know,No,0.86354,114,114,0.80025,0.92683
1984,North Rhine-Westphalia,No answer / don't know,Yes,0.11329,365,3243,0.10238,0.12420
1984,North Rhine-Westphalia,No answer / don't know,No,0.88671,2878,3243,0.87580,0.89762
1984,Hesse,No answer / don't know,Yes,0.10857,143,1246,0.09129,0.12585
1984,Hesse,No answer / don't know,No,0.89143,1103,1246,0.87415,0.90871
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Yes,0.11576,91,851,0.09425,0.13727
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,No,0.88424,760,851,0.86273,0.90575
1984,Baden-Wuerttemberg,No answer / don't know,Yes,0.11237,264,2247,0.09931,0.12543
1984,Baden-Wuerttemberg,No answer / don't know,No,0.88763,1983,2247,0.87457,0.90069
1984,Bavaria,No answer / don't know,Yes,0.11512,233,2087,0.10143,0.12882
1984,Bavaria,No answer / don't know,No,0.88488,1854,2087,0.87118,0.89857
1984,Berlin,No answer / don't know,Yes,0.10918,40,407,0.07884,0.13952
1984,Berlin,No answer / don't know,No,0.89082,367,407,0.86048,0.92116
1985,Schleswig-Holstein,Urban regions,No,0.89707,150,150,0.84828,0.94586
1985,Schleswig-Holstein,Rural regions,No,0.84979,159,159,0.79408,0.90550
1985,Hamburg,Urban regions,Yes,0.11939,32,273,0.08086,0.15793
1985,Hamburg,Urban regions,No,0.88061,241,273,0.84207,0.91914
1985,Lower Saxony,Urban regions,Yes,0.09644,47,511,0.07082,0.12206
1985,Lower Saxony,Urban regions,No,0.90356,464,511,0.87794,0.92918
1985,Lower Saxony,Rural regions,Yes,0.12400,71,596,0.09752,0.15048
1985,Lower Saxony,Rural regions,No,0.87600,525,596,0.84952,0.90248
1985,Bremen,Urban regions,No,0.92089,108,108,0.86975,0.97203
1985,North Rhine-Westphalia,Urban regions,Yes,0.11307,338,2879,0.10150,0.12463
1985,North Rhine-Westphalia,Urban regions,No,0.88693,2541,2879,0.87537,0.89850
1985,North Rhine-Westphalia,Rural regions,No,0.86764,65,65,0.78462,0.95067
1985,Hesse,Urban regions,Yes,0.09234,96,978,0.07419,0.11049
1985,Hesse,Urban regions,No,0.90766,882,978,0.88951,0.92581
1985,Hesse,Rural regions,No,0.87994,138,138,0.82551,0.93437
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.11646,76,631,0.09141,0.14150
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.88354,555,631,0.85850,0.90859
1985,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90587,128,128,0.85509,0.95666
1985,Baden-Wuerttemberg,Urban regions,Yes,0.10929,200,1743,0.09464,0.12394
1985,Baden-Wuerttemberg,Urban regions,No,0.89071,1543,1743,0.87606,0.90536
1985,Baden-Wuerttemberg,Rural regions,Yes,0.10196,39,296,0.06743,0.13649
1985,Baden-Wuerttemberg,Rural regions,No,0.89804,257,296,0.86351,0.93257
1985,Bavaria,Urban regions,Yes,0.12264,117,1004,0.10234,0.14294
1985,Bavaria,Urban regions,No,0.87736,887,1004,0.85706,0.89766
1985,Bavaria,Rural regions,Yes,0.13152,116,888,0.10928,0.15377
1985,Bavaria,Rural regions,No,0.86848,772,888,0.84623,0.89072
1985,Berlin,Urban regions,Yes,0.09861,34,364,0.06794,0.12928
1985,Berlin,Urban regions,No,0.90139,330,364,0.87072,0.93206
1986,Schleswig-Holstein,Urban regions,No,0.91305,138,138,0.86587,0.96023
1986,Schleswig-Holstein,Rural regions,No,0.87271,149,149,0.81901,0.92641
1986,Hamburg,Urban regions,No,0.89126,221,221,0.85012,0.93240
1986,Lower Saxony,Urban regions,Yes,0.11304,51,531,0.08608,0.14000
1986,Lower Saxony,Urban regions,No,0.88696,480,531,0.86000,0.91392
1986,Lower Saxony,Rural regions,Yes,0.11380,61,576,0.08785,0.13976
1986,Lower Saxony,Rural regions,No,0.88620,515,576,0.86024,0.91215
1986,Bremen,Urban regions,No,0.87777,96,96,0.81190,0.94364
1986,North Rhine-Westphalia,Urban regions,Yes,0.12077,338,2785,0.10866,0.13287
1986,North Rhine-Westphalia,Urban regions,No,0.87923,2447,2785,0.86713,0.89134
1986,North Rhine-Westphalia,Rural regions,No,0.78971,54,54,0.68000,0.89943
1986,Hesse,Urban regions,Yes,0.12814,117,902,0.10631,0.14996
1986,Hesse,Urban regions,No,0.87186,785,902,0.85004,0.89369
1986,Hesse,Rural regions,No,0.88818,126,126,0.83293,0.94343
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.14646,78,620,0.11861,0.17432
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.85354,542,620,0.82568,0.88139
1986,"Rhineland-Palatinate, Saarland",Rural regions,No,0.87496,130,130,0.81788,0.93204
1986,Baden-Wuerttemberg,Urban regions,Yes,0.11933,213,1682,0.10383,0.13482
1986,Baden-Wuerttemberg,Urban regions,No,0.88067,1469,1682,0.86518,0.89617
1986,Baden-Wuerttemberg,Rural regions,Yes,0.12560,43,300,0.08804,0.16316
1986,Baden-Wuerttemberg,Rural regions,No,0.87440,257,300,0.83684,0.91196
1986,Bavaria,Urban regions,Yes,0.13528,128,950,0.11352,0.15704
1986,Bavaria,Urban regions,No,0.86472,822,950,0.84296,0.88648
1986,Bavaria,Rural regions,Yes,0.11572,98,816,0.09376,0.13768
1986,Bavaria,Rural regions,No,0.88428,718,816,0.86232,0.90624
1986,Berlin,Urban regions,Yes,0.13465,42,351,0.09889,0.17042
1986,Berlin,Urban regions,No,0.86535,309,351,0.82958,0.90111
1987,Schleswig-Holstein,Urban regions,No,0.91628,137,137,0.86973,0.96283
1987,Schleswig-Holstein,Rural regions,No,0.86047,153,153,0.80539,0.91556
1987,Hamburg,Urban regions,No,0.86800,196,196,0.82050,0.91551
