year,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.11283,1366,12139,0.10720,0.11846
1984,No answer / don't know,No,0.88717,10773,12139,0.88154,0.89280
1985,Urban regions,Yes,0.10953,966,8667,0.10295,0.11610
1985,Urban regions,No,0.89047,7701,8667,0.88390,0.89705
1985,Rural regions,Yes,0.12482,288,2338,0.11142,0.13822
1985,Rural regions,No,0.87518,2050,2338,0.86178,0.88858
1986,Urban regions,Yes,0.12392,1022,8331,0.11684,0.13099
1986,Urban regions,No,0.87608,7309,8331,0.86901,0.88316
1986,Rural regions,Yes,0.12121,269,2223,0.10764,0.13478
1986,Rural regions,No,0.87879,1954,2223,0.86522,0.89236
1987,Urban regions,Yes,0.12377,959,8219,0.11665,0.13089
1987,Urban regions,No,0.87623,7260,8219,0.86911,0.88335
1987,Rural regions,Yes,0.12774,275,2201,0.11379,0.14169
1987,Rural regions,No,0.87226,1926,2201,0.85831,0.88621
1988,Urban regions,Yes,0.12747,962,7878,0.12011,0.13484
1988,Urban regions,No,0.87253,6916,7878,0.86516,0.87989
1988,Rural regions,Yes,0.11998,239,2060,0.10595,0.13402
1988,Rural regions,No,0.88002,1821,2060,0.86598,0.89405
1989,Urban regions,Yes,0.11902,893,7671,0.11178,0.12627
1989,Urban regions,No,0.88098,6778,7671,0.87373,0.88822
1989,Rural regions,Yes,0.13752,252,1959,0.12227,0.15278
1989,Rural regions,No,0.86248,1707,1959,0.84722,0.87773
1991,Urban regions,Yes,0.13228,909,7398,0.12456,0.14000
1991,Urban regions,No,0.86772,6489,7398,0.86000,0.87544
1991,Rural regions,Yes,0.13728,260,1980,0.12212,0.15244
1991,Rural regions,No,0.86272,1720,1980,0.84756,0.87788
1992,No answer / don't know,No,0.87086,100,100,0.80480,0.93692
1992,Urban regions,Yes,0.12132,981,8636,0.11443,0.12821
1992,Urban regions,No,0.87868,7655,8636,0.87179,0.88557
1992,Rural regions,Yes,0.12308,483,4506,0.11349,0.13267
1992,Rural regions,No,0.87692,4023,4506,0.86733,0.88651
1994,Urban regions,Yes,0.13209,1001,8450,0.12487,0.13931
1994,Urban regions,No,0.86791,7449,8450,0.86069,0.87513
1994,Rural regions,Yes,0.12468,496,4383,0.11490,0.13446
1994,Rural regions,No,0.87532,3887,4383,0.86554,0.88510
1995,Urban regions,Yes,0.12426,1005,8689,0.11732,0.13120
1995,Urban regions,No,0.87574,7684,8689,0.86880,0.88268
1995,Rural regions,Yes,0.13066,562,4526,0.12084,0.14048
1995,Rural regions,No,0.86934,3964,4526,0.85952,0.87916
1996,Urban regions,Yes,0.12452,1019,8513,0.11751,0.13154
1996,Urban regions,No,0.87548,7494,8513,0.86846,0.88249
1996,Rural regions,Yes,0.13739,569,4491,0.12732,0.14746
1996,Rural regions,No,0.86261,3922,4491,0.85254,0.87268
1997,Urban regions,Yes,0.12768,1004,8352,0.12052,0.13484
1997,Urban regions,No,0.87232,7348,8352,0.86516,0.87948
1997,Rural regions,Yes,0.13000,545,4424,0.12009,0.13991
1997,Rural regions,No,0.87000,3879,4424,0.86009,0.87991
1998,Urban regions,Yes,0.12325,1087,9275,0.11656,0.12995
1998,Urban regions,No,0.87675,8188,9275,0.87005,0.88344
1998,Rural regions,Yes,0.13619,646,4943,0.12663,0.14576
1998,Rural regions,No,0.86381,4297,4943,0.85424,0.87337
1999,Urban regions,Yes,0.12767,1065,8876,0.12073,0.13461
1999,Urban regions,No,0.87233,7811,8876,0.86539,0.87927
1999,Rural regions,Yes,0.13524,604,4778,0.12554,0.14494
1999,Rural regions,No,0.86476,4174,4778,0.85506,0.87446
2000,Urban regions,Yes,0.11601,1804,15707,0.11100,0.12102
2000,Urban regions,No,0.88399,13903,15707,0.87898,0.88900
2000,Rural regions,Yes,0.13274,1051,8347,0.12546,0.14002
2000,Rural regions,No,0.86726,7296,8347,0.85998,0.87454
2001,Urban regions,Yes,0.11866,1655,14286,0.11336,0.12396
2001,Urban regions,No,0.88134,12631,14286,0.87604,0.88664
2001,Rural regions,Yes,0.13635,966,7566,0.12862,0.14408
2001,Rural regions,No,0.86365,6600,7566,0.85592,0.87138
2002,Urban regions,Yes,0.12156,1742,15268,0.11637,0.12674
2002,Urban regions,No,0.87844,13526,15268,0.87326,0.88363
2002,Rural regions,Yes,0.13365,958,7711,0.12605,0.14124
2002,Rural regions,No,0.86635,6753,7711,0.85876,0.87395
2003,Urban regions,Yes,0.12082,1707,14698,0.11555,0.12609
2003,Urban regions,No,0.87918,12991,14698,0.87391,0.88445
2003,Rural regions,Yes,0.13004,909,7386,0.12236,0.13771
2003,Rural regions,No,0.86996,6477,7386,0.86229,0.87764
2004,Urban regions,Yes,0.12566,1682,14328,0.12023,0.13109
2004,Urban regions,No,0.87434,12646,14328,0.86891,0.87977
2004,Rural regions,Yes,0.13135,894,7222,0.12356,0.13915
2004,Rural regions,No,0.86865,6328,7222,0.86085,0.87644
2005,Urban regions,Yes,0.11351,1461,13742,0.10821,0.11882
2005,Urban regions,No,0.88649,12281,13742,0.88118,0.89179
2005,Rural regions,Yes,0.12512,819,6883,0.11731,0.13294
2005,Rural regions,No,0.87488,6064,6883,0.86706,0.88269
2006,Urban regions,Yes,0.11919,1643,14464,0.11391,0.12447
2006,Urban regions,No,0.88081,12821,14464,0.87553,0.88609
2006,Rural regions,Yes,0.13316,909,7465,0.12545,0.14087
2006,Rural regions,No,0.86684,6556,7465,0.85913,0.87455
2007,Urban regions,Yes,0.12024,1555,13448,0.11474,0.12574
2007,Urban regions,No,0.87976,11893,13448,0.87426,0.88526
2007,Rural regions,Yes,0.12876,880,7004,0.12092,0.13661
2007,Rural regions,No,0.87124,6124,7004,0.86339,0.87908
2008,Urban regions,Yes,0.10990,1405,12657,0.10445,0.11535
2008,Urban regions,No,0.89010,11252,12657,0.88465,0.89555
2008,Rural regions,Yes,0.12939,840,6593,0.12128,0.13749
2008,Rural regions,No,0.87061,5753,6593,0.86251,0.87872
2009,Urban regions,Yes,0.12220,1433,11692,0.11627,0.12814
2009,Urban regions,No,0.87780,10259,11692,0.87186,0.88373
2009,Rural regions,Yes,0.14158,860,6284,0.13296,0.15020
2009,Rural regions,No,0.85842,5424,6284,0.84980,0.86704
2010,Urban regions,Yes,0.12657,2126,15638,0.12136,0.13179
2010,Urban regions,No,0.87343,13512,15638,0.86821,0.87864
2010,Rural regions,Yes,0.12602,1145,8285,0.11888,0.13317
2010,Rural regions,No,0.87398,7140,8285,0.86683,0.88112
2011,Urban regions,Yes,0.13079,2447,18198,0.12589,0.13569
2011,Urban regions,No,0.86921,15751,18198,0.86431,0.87411
