year,quintil_oecd,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.12665,321,2481,0.11356,0.13974
1984,1st Quintile,West,No,0.87335,2160,2481,0.86026,0.88644
1984,2nd Quintile,West,Yes,0.11668,274,2392,0.10381,0.12955
1984,2nd Quintile,West,No,0.88332,2118,2392,0.87045,0.89619
1984,3rd Quintile,West,Yes,0.11193,254,2350,0.09918,0.12468
1984,3rd Quintile,West,No,0.88807,2096,2350,0.87532,0.90082
1984,4th Quintile,West,Yes,0.10223,254,2479,0.09030,0.11416
1984,4th Quintile,West,No,0.89777,2225,2479,0.88584,0.90970
1984,5th Quintile,West,Yes,0.10824,260,2415,0.09584,0.12063
1984,5th Quintile,West,No,0.89176,2155,2415,0.87937,0.90416
1985,1st Quintile,West,Yes,0.12962,290,2252,0.11575,0.14350
1985,1st Quintile,West,No,0.87038,1962,2252,0.85650,0.88425
1985,2nd Quintile,West,Yes,0.12905,280,2151,0.11487,0.14322
1985,2nd Quintile,West,No,0.87095,1871,2151,0.85678,0.88513
1985,3rd Quintile,West,Yes,0.10764,246,2205,0.09470,0.12058
1985,3rd Quintile,West,No,0.89236,1959,2205,0.87942,0.90530
1985,4th Quintile,West,Yes,0.10428,226,2209,0.09154,0.11703
1985,4th Quintile,West,No,0.89572,1983,2209,0.88297,0.90846
1985,5th Quintile,West,Yes,0.09949,211,2180,0.08692,0.11205
1985,5th Quintile,West,No,0.90051,1969,2180,0.88795,0.91308
1986,1st Quintile,West,Yes,0.13644,290,2071,0.12165,0.15123
1986,1st Quintile,West,No,0.86356,1781,2071,0.84877,0.87835
1986,2nd Quintile,West,Yes,0.12621,260,2084,0.11195,0.14048
1986,2nd Quintile,West,No,0.87379,1824,2084,0.85952,0.88805
1986,3rd Quintile,West,Yes,0.13560,278,2090,0.12092,0.15028
1986,3rd Quintile,West,No,0.86440,1812,2090,0.84972,0.87908
1986,4th Quintile,West,Yes,0.11113,243,2214,0.09804,0.12423
1986,4th Quintile,West,No,0.88887,1971,2214,0.87577,0.90196
1986,5th Quintile,West,Yes,0.11004,220,2089,0.09662,0.12346
1986,5th Quintile,West,No,0.88996,1869,2089,0.87654,0.90338
1987,1st Quintile,West,Yes,0.16135,295,2026,0.14532,0.17737
1987,1st Quintile,West,No,0.83865,1731,2026,0.82263,0.85468
1987,2nd Quintile,West,Yes,0.14140,274,2060,0.12635,0.15645
1987,2nd Quintile,West,No,0.85860,1786,2060,0.84355,0.87365
1987,3rd Quintile,West,Yes,0.11591,223,2097,0.10220,0.12961
1987,3rd Quintile,West,No,0.88409,1874,2097,0.87039,0.89780
1987,4th Quintile,West,Yes,0.09823,212,2151,0.08565,0.11081
1987,4th Quintile,West,No,0.90177,1939,2151,0.88919,0.91435
1987,5th Quintile,West,Yes,0.11219,229,2083,0.09863,0.12574
1987,5th Quintile,West,No,0.88781,1854,2083,0.87426,0.90137
1988,1st Quintile,West,Yes,0.14505,262,1964,0.12947,0.16063
1988,1st Quintile,West,No,0.85495,1702,1964,0.83937,0.87053
1988,2nd Quintile,West,Yes,0.13940,256,1978,0.12413,0.15467
1988,2nd Quintile,West,No,0.86060,1722,1978,0.84533,0.87587
1988,3rd Quintile,West,Yes,0.11843,229,1996,0.10425,0.13261
1988,3rd Quintile,West,No,0.88157,1767,1996,0.86739,0.89575
1988,4th Quintile,West,Yes,0.10873,224,2063,0.09529,0.12217
1988,4th Quintile,West,No,0.89127,1839,2063,0.87783,0.90471
1988,5th Quintile,West,Yes,0.11950,229,1935,0.10504,0.13395
1988,5th Quintile,West,No,0.88050,1706,1935,0.86605,0.89496
1989,1st Quintile,West,Yes,0.14191,240,1914,0.12627,0.15754
1989,1st Quintile,West,No,0.85809,1674,1914,0.84246,0.87373
1989,2nd Quintile,West,Yes,0.15120,268,1958,0.13533,0.16707
1989,2nd Quintile,West,No,0.84880,1690,1958,0.83293,0.86467
1989,3rd Quintile,West,Yes,0.12219,224,1890,0.10742,0.13696
1989,3rd Quintile,West,No,0.87781,1666,1890,0.86304,0.89258
1989,4th Quintile,West,Yes,0.11973,247,2006,0.10552,0.13394
1989,4th Quintile,West,No,0.88027,1759,2006,0.86606,0.89448
1989,5th Quintile,West,Yes,0.08775,166,1861,0.07489,0.10061
1989,5th Quintile,West,No,0.91225,1695,1861,0.89939,0.92511
1991,1st Quintile,West,Yes,0.18610,288,1834,0.16828,0.20391
1991,1st Quintile,West,No,0.81390,1546,1834,0.79609,0.83172
1991,2nd Quintile,West,Yes,0.13110,238,1885,0.11586,0.14634
1991,2nd Quintile,West,No,0.86890,1647,1885,0.85366,0.88414
1991,3rd Quintile,West,Yes,0.12971,234,1876,0.11450,0.14492
1991,3rd Quintile,West,No,0.87029,1642,1876,0.85508,0.88550
1991,4th Quintile,West,Yes,0.11643,210,1939,0.10215,0.13071
1991,4th Quintile,West,No,0.88357,1729,1939,0.86929,0.89785
1991,5th Quintile,West,Yes,0.11037,199,1844,0.09607,0.12468
1991,5th Quintile,West,No,0.88963,1645,1844,0.87532,0.90393
1992,1st Quintile,West,Yes,0.17097,168,1166,0.14935,0.19259
1992,1st Quintile,West,No,0.82903,998,1166,0.80741,0.85065
1992,1st Quintile,East,Yes,0.11806,175,1588,0.10219,0.13394
1992,1st Quintile,East,No,0.88194,1413,1588,0.86606,0.89781
1992,2nd Quintile,West,Yes,0.13400,197,1644,0.11753,0.15048
1992,2nd Quintile,West,No,0.86600,1447,1644,0.84952,0.88247
1992,2nd Quintile,East,Yes,0.08833,103,1212,0.07235,0.10431
1992,2nd Quintile,East,No,0.91167,1109,1212,0.89569,0.92765
1992,3rd Quintile,West,Yes,0.14462,250,1951,0.12901,0.16023
1992,3rd Quintile,West,No,0.85538,1701,1951,0.83977,0.87099
1992,3rd Quintile,East,Yes,0.07212,51,710,0.05308,0.09116
1992,3rd Quintile,East,No,0.92788,659,710,0.90884,0.94692
1992,4th Quintile,West,Yes,0.10918,263,2284,0.09639,0.12197
1992,4th Quintile,West,No,0.89082,2021,2284,0.87803,0.90361
1992,4th Quintile,East,No,0.93086,288,288,0.90151,0.96021
1992,5th Quintile,West,Yes,0.10828,238,2255,0.09545,0.12111
1992,5th Quintile,West,No,0.89172,2017,2255,0.87889,0.90455
1992,5th Quintile,East,No,0.90445,124,124,0.85250,0.95641
1994,1st Quintile,West,Yes,0.17263,229,1549,0.15381,0.19146
1994,1st Quintile,West,No,0.82737,1320,1549,0.80854,0.84619
1994,1st Quintile,East,Yes,0.14415,126,965,0.12197,0.16632
1994,1st Quintile,East,No,0.85585,839,965,0.83368,0.87803
1994,2nd Quintile,West,Yes,0.13373,185,1582,0.11695,0.15051
1994,2nd Quintile,West,No,0.86627,1397,1582,0.84949,0.88305
1994,2nd Quintile,East,Yes,0.11629,114,1076,0.09712,0.13545
1994,2nd Quintile,East,No,0.88371,962,1076,0.86455,0.90288
1994,3rd Quintile,West,Yes,0.14344,235,1806,0.12727,0.15961
1994,3rd Quintile,West,No,0.85656,1571,1806,0.84039,0.87273
1994,3rd Quintile,East,Yes,0.07904,78,896,0.06136,0.09671
1994,3rd Quintile,East,No,0.92096,818,896,0.90329,0.93864
1994,4th Quintile,West,Yes,0.11854,222,1987,0.10432,0.13276
1994,4th Quintile,West,No,0.88146,1765,1987,0.86724,0.89568
1994,4th Quintile,East,Yes,0.10160,53,550,0.07633,0.12688
1994,4th Quintile,East,No,0.89840,497,550,0.87312,0.92367
1994,5th Quintile,West,Yes,0.11787,233,2133,0.10418,0.13156
1994,5th Quintile,West,No,0.88213,1900,2133,0.86844,0.89582
1994,5th Quintile,East,No,0.92930,261,261,0.89815,0.96046
1995,1st Quintile,West,Yes,0.16526,245,1735,0.14778,0.18274
1995,1st Quintile,West,No,0.83474,1490,1735,0.81726,0.85222
1995,1st Quintile,East,Yes,0.12946,108,785,0.10596,0.15296
1995,1st Quintile,East,No,0.87054,677,785,0.84704,0.89404
1995,2nd Quintile,West,Yes,0.13284,219,1830,0.11729,0.14839
1995,2nd Quintile,West,No,0.86716,1611,1830,0.85161,0.88271
1995,2nd Quintile,East,Yes,0.13162,127,1039,0.11106,0.15219
1995,2nd Quintile,East,No,0.86838,912,1039,0.84781,0.88894
1995,3rd Quintile,West,Yes,0.13552,238,1860,0.11996,0.15108
1995,3rd Quintile,West,No,0.86448,1622,1860,0.84892,0.88004
1995,3rd Quintile,East,Yes,0.12764,109,855,0.10526,0.15002
1995,3rd Quintile,East,No,0.87236,746,855,0.84998,0.89474
1995,4th Quintile,West,Yes,0.10417,207,1984,0.09072,0.11761
