year,migback,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Yes,0.08381,403,4107,0.07534,0.09229
1984,No migration background,male,No,0.74338,3704,4107,0.73002,0.75674
1984,No migration background,female,Yes,0.10387,554,4545,0.09500,0.11274
1984,No migration background,female,No,0.74763,3991,4545,0.73500,0.76026
1984,Direct migration background,male,Yes,0.08488,174,1774,0.07190,0.09785
1984,Direct migration background,male,No,0.78930,1600,1774,0.77032,0.80828
1984,Direct migration background,female,Yes,0.13191,229,1587,0.11526,0.14857
1984,Direct migration background,female,No,0.76554,1358,1587,0.74469,0.78639
1984,Indirect migration background,male,No,0.08490,56,56,0.01123,0.15856
1984,Indirect migration background,female,No,0.14700,64,64,0.05956,0.23444
1985,No migration background,male,Yes,0.07875,346,3806,0.07019,0.08731
1985,No migration background,male,No,0.76365,3460,3806,0.75015,0.77715
1985,No migration background,female,Yes,0.11406,555,4156,0.10439,0.12373
1985,No migration background,female,No,0.74745,3601,4156,0.73424,0.76066
1985,Direct migration background,male,Yes,0.07136,142,1536,0.05849,0.08424
1985,Direct migration background,male,No,0.83375,1394,1536,0.81512,0.85237
1985,Direct migration background,female,Yes,0.11856,193,1366,0.10141,0.13571
1985,Direct migration background,female,No,0.79562,1173,1366,0.77422,0.81701
1985,Indirect migration background,male,No,0.10435,55,55,0.02281,0.18588
1985,Indirect migration background,female,No,0.15121,68,68,0.06543,0.23700
1986,No migration background,male,Yes,0.09264,376,3642,0.08322,0.10206
1986,No migration background,male,No,0.75268,3266,3642,0.73866,0.76669
1986,No migration background,female,Yes,0.11365,514,3940,0.10374,0.12357
1986,No migration background,female,No,0.74215,3426,3940,0.72849,0.75581
1986,Direct migration background,male,Yes,0.10030,181,1510,0.08515,0.11546
1986,Direct migration background,male,No,0.80947,1329,1510,0.78966,0.82929
1986,Direct migration background,female,Yes,0.14370,203,1309,0.12469,0.16271
1986,Direct migration background,female,No,0.78073,1106,1309,0.75831,0.80316
1986,Indirect migration background,male,No,0.08925,61,61,0.01711,0.16139
1986,Indirect migration background,female,No,0.15143,75,75,0.06976,0.23311
1987,No migration background,male,Yes,0.08281,332,3581,0.07379,0.09184
1987,No migration background,male,No,0.75528,3249,3581,0.74120,0.76937
1987,No migration background,female,Yes,0.12796,568,3857,0.11742,0.13850
1987,No migration background,female,No,0.72906,3289,3857,0.71503,0.74308
1987,Direct migration background,male,Yes,0.09017,140,1498,0.07566,0.10468
1987,Direct migration background,male,No,0.83086,1358,1498,0.81187,0.84985
1987,Direct migration background,female,Yes,0.12971,178,1312,0.11152,0.14790
1987,Direct migration background,female,No,0.81059,1134,1312,0.78938,0.83180
1987,Indirect migration background,male,No,0.09910,73,73,0.03008,0.16812
