year,bula_h,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Yes,0.07942,40,385,0.05238,0.10647
1984,Schleswig-Holstein,No,0.73314,345,385,0.68890,0.77739
1984,Hamburg,Yes,0.11316,35,308,0.07772,0.14860
1984,Hamburg,No,0.77870,273,308,0.73226,0.82514
1984,Lower Saxony,Yes,0.09133,137,1233,0.07524,0.10741
1984,Lower Saxony,No,0.73425,1096,1233,0.70958,0.75891
1984,Bremen,No,0.78548,114,114,0.70979,0.86117
1984,North Rhine-Westphalia,Yes,0.09223,365,3243,0.08227,0.10219
1984,North Rhine-Westphalia,No,0.72189,2878,3243,0.70646,0.73731
1984,Hesse,Yes,0.09209,143,1246,0.07603,0.10815
1984,Hesse,No,0.75614,1103,1246,0.73229,0.78000
1984,"Rhineland-Palatinate, Saarland",Yes,0.09817,91,851,0.07817,0.11817
1984,"Rhineland-Palatinate, Saarland",No,0.74987,760,851,0.72075,0.77898
1984,Baden-Wuerttemberg,Yes,0.09004,264,2247,0.07821,0.10188
1984,Baden-Wuerttemberg,No,0.71128,1983,2247,0.69254,0.73002
1984,Bavaria,Yes,0.09489,233,2087,0.08232,0.10747
1984,Bavaria,No,0.72938,1854,2087,0.71032,0.74845
1984,Berlin,Yes,0.09116,40,407,0.06316,0.11916
1984,Berlin,No,0.74380,367,407,0.70134,0.78626
1985,Schleswig-Holstein,Yes,0.10628,44,353,0.07408,0.13848
1985,Schleswig-Holstein,No,0.71901,309,353,0.67205,0.76596
1985,Hamburg,Yes,0.10553,32,279,0.06941,0.14165
1985,Hamburg,No,0.80196,247,279,0.75512,0.84881
1985,Lower Saxony,Yes,0.09471,118,1107,0.07745,0.11197
1985,Lower Saxony,No,0.75055,989,1107,0.72505,0.77605
1985,Bremen,No,0.84795,108,108,0.77992,0.91599
1985,North Rhine-Westphalia,Yes,0.09374,346,2952,0.08322,0.10426
1985,North Rhine-Westphalia,No,0.73092,2606,2952,0.71492,0.74692
1985,Hesse,Yes,0.08307,112,1132,0.06699,0.09916
1985,Hesse,No,0.77438,1020,1132,0.75002,0.79874
1985,"Rhineland-Palatinate, Saarland",Yes,0.09574,88,771,0.07496,0.11653
1985,"Rhineland-Palatinate, Saarland",No,0.75987,683,771,0.72969,0.79004
1985,Baden-Wuerttemberg,Yes,0.08829,239,2039,0.07597,0.10061
1985,Baden-Wuerttemberg,No,0.72809,1800,2039,0.70878,0.74741
1985,Bavaria,Yes,0.10613,233,1892,0.09224,0.12001
1985,Bavaria,No,0.72920,1659,1892,0.70917,0.74923
1985,Berlin,Yes,0.08372,34,364,0.05523,0.11221
1985,Berlin,No,0.76526,330,364,0.72166,0.80886
1986,Schleswig-Holstein,Yes,0.08991,34,321,0.05856,0.12125
1986,Schleswig-Holstein,No,0.73263,287,321,0.68414,0.78113
1986,Hamburg,No,0.79625,226,226,0.74362,0.84888
1986,Lower Saxony,Yes,0.09606,112,1107,0.07870,0.11343
1986,Lower Saxony,No,0.75061,995,1107,0.72511,0.77611
1986,Bremen,No,0.81264,96,96,0.73418,0.89111
1986,North Rhine-Westphalia,Yes,0.10174,353,2854,0.09065,0.11283
1986,North Rhine-Westphalia,No,0.72241,2501,2854,0.70598,0.73884
1986,Hesse,Yes,0.10601,133,1044,0.08732,0.12469
