year,quintil_oecd,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Yes,0.12665,321,2481,0.11356,0.13974
1984,1st Quintile,No answer / don't know,No,0.87335,2160,2481,0.86026,0.88644
1984,2nd Quintile,No answer / don't know,Yes,0.11668,274,2392,0.10381,0.12955
1984,2nd Quintile,No answer / don't know,No,0.88332,2118,2392,0.87045,0.89619
1984,3rd Quintile,No answer / don't know,Yes,0.11193,254,2350,0.09918,0.12468
1984,3rd Quintile,No answer / don't know,No,0.88807,2096,2350,0.87532,0.90082
1984,4th Quintile,No answer / don't know,Yes,0.10223,254,2479,0.09030,0.11416
1984,4th Quintile,No answer / don't know,No,0.89777,2225,2479,0.88584,0.90970
1984,5th Quintile,No answer / don't know,Yes,0.10824,260,2415,0.09584,0.12063
1984,5th Quintile,No answer / don't know,No,0.89176,2155,2415,0.87937,0.90416
1985,1st Quintile,Urban regions,Yes,0.12096,212,1733,0.10560,0.13631
1985,1st Quintile,Urban regions,No,0.87904,1521,1733,0.86369,0.89440
1985,1st Quintile,Rural regions,Yes,0.15084,78,519,0.12002,0.18166
1985,1st Quintile,Rural regions,No,0.84916,441,519,0.81834,0.87998
1985,2nd Quintile,Urban regions,Yes,0.12917,216,1653,0.11300,0.14535
1985,2nd Quintile,Urban regions,No,0.87083,1437,1653,0.85465,0.88700
1985,2nd Quintile,Rural regions,Yes,0.12870,64,498,0.09926,0.15814
1985,2nd Quintile,Rural regions,No,0.87130,434,498,0.84186,0.90074
1985,3rd Quintile,Urban regions,Yes,0.10231,187,1727,0.08801,0.11660
1985,3rd Quintile,Urban regions,No,0.89769,1540,1727,0.88340,0.91199
1985,3rd Quintile,Rural regions,Yes,0.12290,59,478,0.09343,0.15236
1985,3rd Quintile,Rural regions,No,0.87710,419,478,0.84764,0.90657
1985,4th Quintile,Urban regions,Yes,0.10448,185,1808,0.09038,0.11858
1985,4th Quintile,Urban regions,No,0.89552,1623,1808,0.88142,0.90962
1985,4th Quintile,Rural regions,Yes,0.10352,41,401,0.07366,0.13337
1985,4th Quintile,Rural regions,No,0.89648,360,401,0.86663,0.92634
1985,5th Quintile,Urban regions,Yes,0.09643,166,1739,0.08255,0.11031
1985,5th Quintile,Urban regions,No,0.90357,1573,1739,0.88969,0.91745
1985,5th Quintile,Rural regions,Yes,0.11097,45,441,0.08162,0.14032
1985,5th Quintile,Rural regions,No,0.88903,396,441,0.85968,0.91838
1986,1st Quintile,Urban regions,Yes,0.13577,231,1625,0.11911,0.15243
1986,1st Quintile,Urban regions,No,0.86423,1394,1625,0.84757,0.88089
1986,1st Quintile,Rural regions,Yes,0.13831,59,446,0.10624,0.17039
1986,1st Quintile,Rural regions,No,0.86169,387,446,0.82961,0.89376
1986,2nd Quintile,Urban regions,Yes,0.12819,199,1589,0.11175,0.14464
1986,2nd Quintile,Urban regions,No,0.87181,1390,1589,0.85536,0.88825
1986,2nd Quintile,Rural regions,Yes,0.12105,61,495,0.09229,0.14982
1986,2nd Quintile,Rural regions,No,0.87895,434,495,0.85018,0.90771
1986,3rd Quintile,Urban regions,Yes,0.13453,218,1639,0.11800,0.15105
1986,3rd Quintile,Urban regions,No,0.86547,1421,1639,0.84895,0.88200
1986,3rd Quintile,Rural regions,Yes,0.13892,60,451,0.10696,0.17088
1986,3rd Quintile,Rural regions,No,0.86108,391,451,0.82912,0.89304
1986,4th Quintile,Urban regions,Yes,0.11171,194,1784,0.09709,0.12634
1986,4th Quintile,Urban regions,No,0.88829,1590,1784,0.87366,0.90291
1986,4th Quintile,Rural regions,Yes,0.10905,49,430,0.07956,0.13855
1986,4th Quintile,Rural regions,No,0.89095,381,430,0.86145,0.92044
1986,5th Quintile,Urban regions,Yes,0.11376,180,1688,0.09861,0.12891
1986,5th Quintile,Urban regions,No,0.88624,1508,1688,0.87109,0.90139
1986,5th Quintile,Rural regions,Yes,0.09565,40,401,0.06683,0.12447
1986,5th Quintile,Rural regions,No,0.90435,361,401,0.87553,0.93317
1987,1st Quintile,Urban regions,Yes,0.15675,217,1556,0.13868,0.17482
1987,1st Quintile,Urban regions,No,0.84325,1339,1556,0.82518,0.86132
1987,1st Quintile,Rural regions,Yes,0.17306,78,470,0.13882,0.20730
1987,1st Quintile,Rural regions,No,0.82694,392,470,0.79270,0.86118
1987,2nd Quintile,Urban regions,Yes,0.13527,206,1599,0.11850,0.15203
1987,2nd Quintile,Urban regions,No,0.86473,1393,1599,0.84797,0.88150
1987,2nd Quintile,Rural regions,Yes,0.15934,68,461,0.12590,0.19279
1987,2nd Quintile,Rural regions,No,0.84066,393,461,0.80721,0.87410
1987,3rd Quintile,Urban regions,Yes,0.11581,170,1627,0.10025,0.13136
1987,3rd Quintile,Urban regions,No,0.88419,1457,1627,0.86864,0.89975
1987,3rd Quintile,Rural regions,Yes,0.11618,53,470,0.08718,0.14519
1987,3rd Quintile,Rural regions,No,0.88382,417,470,0.85481,0.91282
1987,4th Quintile,Urban regions,Yes,0.10208,172,1729,0.08780,0.11635
1987,4th Quintile,Urban regions,No,0.89792,1557,1729,0.88365,0.91220
1987,4th Quintile,Rural regions,Yes,0.08341,40,422,0.05699,0.10982
1987,4th Quintile,Rural regions,No,0.91659,382,422,0.89018,0.94301
1987,5th Quintile,Urban regions,Yes,0.11652,193,1705,0.10128,0.13175
1987,5th Quintile,Urban regions,No,0.88348,1512,1705,0.86825,0.89872
1987,5th Quintile,Rural regions,Yes,0.09381,36,378,0.06437,0.12324
1987,5th Quintile,Rural regions,No,0.90619,342,378,0.87676,0.93563
1988,1st Quintile,Urban regions,Yes,0.14710,205,1530,0.12934,0.16485
1988,1st Quintile,Urban regions,No,0.85290,1325,1530,0.83515,0.87066
1988,1st Quintile,Rural regions,Yes,0.13975,57,434,0.10709,0.17241
1988,1st Quintile,Rural regions,No,0.86025,377,434,0.82759,0.89291
1988,2nd Quintile,Urban regions,Yes,0.14607,208,1560,0.12854,0.16361
1988,2nd Quintile,Urban regions,No,0.85393,1352,1560,0.83639,0.87146
1988,2nd Quintile,Rural regions,Yes,0.11852,48,418,0.08750,0.14955
1988,2nd Quintile,Rural regions,No,0.88148,370,418,0.85045,0.91250
1988,3rd Quintile,Urban regions,Yes,0.11640,178,1571,0.10054,0.13227
1988,3rd Quintile,Urban regions,No,0.88360,1393,1571,0.86773,0.89946
1988,3rd Quintile,Rural regions,Yes,0.12494,51,425,0.09347,0.15641
1988,3rd Quintile,Rural regions,No,0.87506,374,425,0.84359,0.90653
1988,4th Quintile,Urban regions,Yes,0.11103,178,1609,0.09567,0.12638
1988,4th Quintile,Urban regions,No,0.88897,1431,1609,0.87362,0.90433
1988,4th Quintile,Rural regions,Yes,0.10153,46,454,0.07371,0.12934
1988,4th Quintile,Rural regions,No,0.89847,408,454,0.87066,0.92629
1988,5th Quintile,Urban regions,Yes,0.12086,192,1606,0.10491,0.13681
1988,5th Quintile,Urban regions,No,0.87914,1414,1606,0.86319,0.89509
1988,5th Quintile,Rural regions,Yes,0.11334,37,329,0.07903,0.14764
1988,5th Quintile,Rural regions,No,0.88666,292,329,0.85236,0.92097
1989,1st Quintile,Urban regions,Yes,0.12378,175,1531,0.10728,0.14028
1989,1st Quintile,Urban regions,No,0.87622,1356,1531,0.85972,0.89272
1989,1st Quintile,Rural regions,Yes,0.19518,65,383,0.15544,0.23493
1989,1st Quintile,Rural regions,No,0.80482,318,383,0.76507,0.84456
1989,2nd Quintile,Urban regions,Yes,0.14869,207,1540,0.13091,0.16647
1989,2nd Quintile,Urban regions,No,0.85131,1333,1540,0.83353,0.86909
1989,2nd Quintile,Rural regions,Yes,0.15850,61,418,0.12344,0.19355
1989,2nd Quintile,Rural regions,No,0.84150,357,418,0.80645,0.87656
1989,3rd Quintile,Urban regions,Yes,0.12135,179,1487,0.10475,0.13795
1989,3rd Quintile,Urban regions,No,0.87865,1308,1487,0.86205,0.89525
1989,3rd Quintile,Rural regions,Yes,0.12493,45,403,0.09261,0.15725
1989,3rd Quintile,Rural regions,No,0.87507,358,403,0.84275,0.90739
1989,4th Quintile,Urban regions,Yes,0.12594,197,1581,0.10958,0.14230
1989,4th Quintile,Urban regions,No,0.87406,1384,1581,0.85770,0.89042
1989,4th Quintile,Rural regions,Yes,0.09848,50,425,0.07012,0.12684
1989,4th Quintile,Rural regions,No,0.90152,375,425,0.87316,0.92988
1989,5th Quintile,Urban regions,Yes,0.08357,135,1531,0.06970,0.09743
1989,5th Quintile,Urban regions,No,0.91643,1396,1531,0.90257,0.93030
1989,5th Quintile,Rural regions,Yes,0.10615,31,330,0.07287,0.13944
1989,5th Quintile,Rural regions,No,0.89385,299,330,0.86056,0.92713
1991,1st Quintile,Urban regions,Yes,0.18636,215,1412,0.16605,0.20668
1991,1st Quintile,Urban regions,No,0.81364,1197,1412,0.79332,0.83395
1991,1st Quintile,Rural regions,Yes,0.18543,73,422,0.14831,0.22256
1991,1st Quintile,Rural regions,No,0.81457,349,422,0.77744,0.85169
1991,2nd Quintile,Urban regions,Yes,0.13573,190,1481,0.11828,0.15317
1991,2nd Quintile,Urban regions,No,0.86427,1291,1481,0.84683,0.88172
1991,2nd Quintile,Rural regions,Yes,0.11693,48,404,0.08556,0.14830
1991,2nd Quintile,Rural regions,No,0.88307,356,404,0.85170,0.91444
1991,3rd Quintile,Urban regions,Yes,0.12359,176,1491,0.10688,0.14030
1991,3rd Quintile,Urban regions,No,0.87641,1315,1491,0.85970,0.89312
1991,3rd Quintile,Rural regions,Yes,0.15136,58,385,0.11552,0.18721
1991,3rd Quintile,Rural regions,No,0.84864,327,385,0.81279,0.88448
1991,4th Quintile,Urban regions,Yes,0.11235,158,1471,0.09621,0.12849
1991,4th Quintile,Urban regions,No,0.88765,1313,1471,0.87151,0.90379
1991,4th Quintile,Rural regions,Yes,0.12803,52,468,0.09772,0.15833
1991,4th Quintile,Rural regions,No,0.87197,416,468,0.84167,0.90228
1991,5th Quintile,Urban regions,Yes,0.11434,170,1543,0.09845,0.13022
1991,5th Quintile,Urban regions,No,0.88566,1373,1543,0.86978,0.90155
1991,5th Quintile,Rural regions,No,0.90824,272,272,0.87387,0.94261
1992,1st Quintile,No answer / don't know,No,0.84152,41,41,0.72834,0.95469
1992,1st Quintile,Urban regions,Yes,0.13826,168,1397,0.12015,0.15637
1992,1st Quintile,Urban regions,No,0.86174,1229,1397,0.84363,0.87985
1992,1st Quintile,Rural regions,Yes,0.15392,166,1307,0.13434,0.17349
1992,1st Quintile,Rural regions,No,0.84608,1141,1307,0.82651,0.86566
1992,2nd Quintile,Urban regions,Yes,0.12701,180,1668,0.11103,0.14300
1992,2nd Quintile,Urban regions,No,0.87299,1488,1668,0.85700,0.88897
1992,2nd Quintile,Rural regions,Yes,0.10766,114,1157,0.08980,0.12553
1992,2nd Quintile,Rural regions,No,0.89234,1043,1157,0.87447,0.91020
1992,3rd Quintile,Urban regions,Yes,0.14314,216,1746,0.12671,0.15957
1992,3rd Quintile,Urban regions,No,0.85686,1530,1746,0.84043,0.87329
1992,3rd Quintile,Rural regions,Yes,0.11044,84,901,0.08996,0.13092
1992,3rd Quintile,Rural regions,No,0.88956,817,901,0.86908,0.91004
1992,4th Quintile,Urban regions,Yes,0.10722,211,1876,0.09322,0.12122
