year,regtyp,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.11283,1366,12139,0.10720,0.11846
1984,No answer / don't know,West,No,0.88717,10773,12139,0.88154,0.89280
1985,Urban regions,West,Yes,0.10953,966,8667,0.10295,0.11610
1985,Urban regions,West,No,0.89047,7701,8667,0.88390,0.89705
1985,Rural regions,West,Yes,0.12482,288,2338,0.11142,0.13822
1985,Rural regions,West,No,0.87518,2050,2338,0.86178,0.88858
1986,Urban regions,West,Yes,0.12392,1022,8331,0.11684,0.13099
1986,Urban regions,West,No,0.87608,7309,8331,0.86901,0.88316
1986,Rural regions,West,Yes,0.12121,269,2223,0.10764,0.13478
1986,Rural regions,West,No,0.87879,1954,2223,0.86522,0.89236
1987,Urban regions,West,Yes,0.12377,959,8219,0.11665,0.13089
1987,Urban regions,West,No,0.87623,7260,8219,0.86911,0.88335
1987,Rural regions,West,Yes,0.12774,275,2201,0.11379,0.14169
1987,Rural regions,West,No,0.87226,1926,2201,0.85831,0.88621
1988,Urban regions,West,Yes,0.12747,962,7878,0.12011,0.13484
1988,Urban regions,West,No,0.87253,6916,7878,0.86516,0.87989
1988,Rural regions,West,Yes,0.11998,239,2060,0.10595,0.13402
1988,Rural regions,West,No,0.88002,1821,2060,0.86598,0.89405
1989,Urban regions,West,Yes,0.11902,893,7671,0.11178,0.12627
1989,Urban regions,West,No,0.88098,6778,7671,0.87373,0.88822
1989,Rural regions,West,Yes,0.13752,252,1959,0.12227,0.15278
1989,Rural regions,West,No,0.86248,1707,1959,0.84722,0.87773
1991,Urban regions,West,Yes,0.13228,909,7398,0.12456,0.14000
1991,Urban regions,West,No,0.86772,6489,7398,0.86000,0.87544
1991,Rural regions,West,Yes,0.13728,260,1980,0.12212,0.15244
1991,Rural regions,West,No,0.86272,1720,1980,0.84756,0.87788
1992,No answer / don't know,East,No,0.86511,89,89,0.79373,0.93648
1992,Urban regions,West,Yes,0.12429,865,7323,0.11673,0.13184
1992,Urban regions,West,No,0.87571,6458,7323,0.86816,0.88327
1992,Urban regions,East,Yes,0.09601,116,1313,0.08007,0.11195
1992,Urban regions,East,No,0.90399,1197,1313,0.88805,0.91993
1992,Rural regions,West,Yes,0.14004,251,1967,0.12470,0.15538
1992,Rural regions,West,No,0.85996,1716,1967,0.84462,0.87530
1992,Rural regions,East,Yes,0.09777,232,2539,0.08622,0.10933
1992,Rural regions,East,No,0.90223,2307,2539,0.89067,0.91378
1994,Urban regions,West,Yes,0.13506,869,7143,0.12714,0.14299
1994,Urban regions,West,No,0.86494,6274,7143,0.85701,0.87286
1994,Urban regions,East,Yes,0.10641,132,1307,0.08968,0.12313
1994,Urban regions,East,No,0.89359,1175,1307,0.87687,0.91032
1994,Rural regions,West,Yes,0.13246,236,1920,0.11730,0.14763
1994,Rural regions,West,No,0.86754,1684,1920,0.85237,0.88270
1994,Rural regions,East,Yes,0.11351,260,2463,0.10098,0.12604
1994,Rural regions,East,No,0.88649,2203,2463,0.87396,0.89902
1995,Urban regions,West,Yes,0.12555,880,7480,0.11804,0.13306
1995,Urban regions,West,No,0.87445,6600,7480,0.86694,0.88196
1995,Urban regions,East,Yes,0.11220,125,1209,0.09440,0.13000
1995,Urban regions,East,No,0.88780,1084,1209,0.87000,0.90560
1995,Rural regions,West,Yes,0.13564,259,2060,0.12085,0.15043
1995,Rural regions,West,No,0.86436,1801,2060,0.84957,0.87915
1995,Rural regions,East,Yes,0.12337,303,2466,0.11039,0.13635
1995,Rural regions,East,No,0.87663,2163,2466,0.86365,0.88961
1996,Urban regions,West,Yes,0.12359,881,7276,0.11602,0.13115
1996,Urban regions,West,No,0.87641,6395,7276,0.86885,0.88398
1996,Urban regions,East,Yes,0.13313,138,1237,0.11419,0.15207
1996,Urban regions,East,No,0.86687,1099,1237,0.84793,0.88581
1996,Rural regions,West,Yes,0.14050,255,2050,0.12545,0.15554
1996,Rural regions,West,No,0.85950,1795,2050,0.84446,0.87455
1996,Rural regions,East,Yes,0.13272,314,2441,0.11926,0.14619
1996,Rural regions,East,No,0.86728,2127,2441,0.85381,0.88074
1997,Urban regions,West,Yes,0.12923,874,7142,0.12145,0.13701
1997,Urban regions,West,No,0.87077,6268,7142,0.86299,0.87855
1997,Urban regions,East,Yes,0.11320,130,1210,0.09534,0.13106
1997,Urban regions,East,No,0.88680,1080,1210,0.86894,0.90466
1997,Rural regions,West,Yes,0.12742,254,2008,0.11284,0.14201
1997,Rural regions,West,No,0.87258,1754,2008,0.85799,0.88716
1997,Rural regions,East,Yes,0.13383,291,2416,0.12025,0.14741
1997,Rural regions,East,No,0.86617,2125,2416,0.85259,0.87975
1998,Urban regions,West,Yes,0.12458,952,8022,0.11736,0.13181
1998,Urban regions,West,No,0.87542,7070,8022,0.86819,0.88264
1998,Urban regions,East,Yes,0.11031,135,1253,0.09295,0.12766
1998,Urban regions,East,No,0.88969,1118,1253,0.87234,0.90705
1998,Rural regions,West,Yes,0.13181,298,2336,0.11809,0.14554
1998,Rural regions,West,No,0.86819,2038,2336,0.85446,0.88191
1998,Rural regions,East,Yes,0.14247,348,2607,0.12905,0.15589
1998,Rural regions,East,No,0.85753,2259,2607,0.84411,0.87095
1999,Urban regions,West,Yes,0.12808,914,7640,0.12059,0.13558
1999,Urban regions,West,No,0.87192,6726,7640,0.86442,0.87941
1999,Urban regions,East,Yes,0.12362,151,1236,0.10526,0.14198
1999,Urban regions,East,No,0.87638,1085,1236,0.85802,0.89474
1999,Rural regions,West,Yes,0.13181,276,2235,0.11778,0.14584
1999,Rural regions,West,No,0.86819,1959,2235,0.85416,0.88222
1999,Rural regions,East,Yes,0.14030,328,2543,0.12680,0.15380
1999,Rural regions,East,No,0.85970,2215,2543,0.84620,0.87320
2000,Urban regions,West,Yes,0.11612,1592,13862,0.11078,0.12145
2000,Urban regions,West,No,0.88388,12270,13862,0.87855,0.88922
2000,Urban regions,East,Yes,0.11491,212,1845,0.10035,0.12946
2000,Urban regions,East,No,0.88509,1633,1845,0.87054,0.89965
2000,Rural regions,West,Yes,0.13201,550,4356,0.12196,0.14207
2000,Rural regions,West,No,0.86799,3806,4356,0.85793,0.87804
2000,Rural regions,East,Yes,0.13378,501,3991,0.12322,0.14434
2000,Rural regions,East,No,0.86622,3490,3991,0.85566,0.87678
2001,Urban regions,West,Yes,0.11918,1457,12543,0.11351,0.12485
2001,Urban regions,West,No,0.88082,11086,12543,0.87515,0.88649
2001,Urban regions,East,Yes,0.11342,198,1743,0.09852,0.12831
2001,Urban regions,East,No,0.88658,1545,1743,0.87169,0.90148
2001,Rural regions,West,Yes,0.14322,522,3889,0.13221,0.15423
2001,Rural regions,West,No,0.85678,3367,3889,0.84577,0.86779
2001,Rural regions,East,Yes,0.12613,444,3677,0.11539,0.13686
2001,Rural regions,East,No,0.87387,3233,3677,0.86314,0.88461
2002,Urban regions,West,Yes,0.12277,1557,13501,0.11723,0.12830
2002,Urban regions,West,No,0.87723,11944,13501,0.87170,0.88277
2002,Urban regions,East,Yes,0.10945,185,1767,0.09489,0.12401
2002,Urban regions,East,No,0.89055,1582,1767,0.87599,0.90511
2002,Rural regions,West,Yes,0.12903,495,4056,0.11872,0.13935
2002,Rural regions,West,No,0.87097,3561,4056,0.86065,0.88128
2002,Rural regions,East,Yes,0.14055,463,3655,0.12928,0.15182
2002,Rural regions,East,No,0.85945,3192,3655,0.84818,0.87072
2003,Urban regions,West,Yes,0.12110,1506,12940,0.11548,0.12672
2003,Urban regions,West,No,0.87890,11434,12940,0.87328,0.88452
2003,Urban regions,East,Yes,0.11795,201,1758,0.10286,0.13303
2003,Urban regions,East,No,0.88205,1557,1758,0.86697,0.89714
2003,Rural regions,West,Yes,0.12431,454,3814,0.11384,0.13478
2003,Rural regions,West,No,0.87569,3360,3814,0.86522,0.88616
2003,Rural regions,East,Yes,0.13852,455,3572,0.12719,0.14985
2003,Rural regions,East,No,0.86148,3117,3572,0.85015,0.87281
2004,Urban regions,West,Yes,0.12685,1489,12566,0.12103,0.13267
2004,Urban regions,West,No,0.87315,11077,12566,0.86733,0.87897
2004,Urban regions,East,Yes,0.11407,193,1762,0.09923,0.12892
2004,Urban regions,East,No,0.88593,1569,1762,0.87108,0.90077
2004,Rural regions,West,Yes,0.12670,462,3767,0.11608,0.13732
2004,Rural regions,West,No,0.87330,3305,3767,0.86268,0.88392
2004,Rural regions,East,Yes,0.13865,432,3455,0.12712,0.15017
2004,Rural regions,East,No,0.86135,3023,3455,0.84983,0.87288
2005,Urban regions,West,Yes,0.11393,1289,12040,0.10826,0.11961
2005,Urban regions,West,No,0.88607,10751,12040,0.88039,0.89174
2005,Urban regions,East,Yes,0.10951,172,1702,0.09467,0.12435
2005,Urban regions,East,No,0.89049,1530,1702,0.87565,0.90533
2005,Rural regions,West,Yes,0.11343,380,3572,0.10303,0.12383
2005,Rural regions,West,No,0.88657,3192,3572,0.87617,0.89697
2005,Rural regions,East,Yes,0.14389,439,3311,0.13193,0.15584
2005,Rural regions,East,No,0.85611,2872,3311,0.84416,0.86807
2006,Urban regions,West,Yes,0.11745,1423,12721,0.11186,0.12305
2006,Urban regions,West,No,0.88255,11298,12721,0.87695,0.88814
2006,Urban regions,East,Yes,0.13592,220,1743,0.11982,0.15201
2006,Urban regions,East,No,0.86408,1523,1743,0.84799,0.88018
2006,Rural regions,West,Yes,0.13155,473,3943,0.12100,0.14211
2006,Rural regions,West,No,0.86845,3470,3943,0.85789,0.87900
2006,Rural regions,East,Yes,0.13569,436,3522,0.12438,0.14700
2006,Rural regions,East,No,0.86431,3086,3522,0.85300,0.87562
2007,Urban regions,West,Yes,0.12077,1371,11783,0.11488,0.12665
2007,Urban regions,West,No,0.87923,10412,11783,0.87335,0.88512
2007,Urban regions,East,Yes,0.11523,184,1665,0.09989,0.13058
2007,Urban regions,East,No,0.88477,1481,1665,0.86942,0.90011
2007,Rural regions,West,Yes,0.12523,434,3676,0.11453,0.13593
2007,Rural regions,West,No,0.87477,3242,3676,0.86407,0.88547
2007,Rural regions,East,Yes,0.13431,446,3328,0.12272,0.14590
2007,Rural regions,East,No,0.86569,2882,3328,0.85410,0.87728
2008,Urban regions,West,Yes,0.10951,1224,11052,0.10369,0.11533
2008,Urban regions,West,No,0.89049,9828,11052,0.88467,0.89631
2008,Urban regions,East,Yes,0.11364,181,1605,0.09811,0.12917
2008,Urban regions,East,No,0.88636,1424,1605,0.87083,0.90189
2008,Rural regions,West,Yes,0.12398,416,3450,0.11298,0.13498
