year,sampreg,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Yes,0.10065,581,5941,0.09300,0.10830
1984,West,male,No,0.89935,5360,5941,0.89170,0.90700
1984,West,female,Yes,0.12362,785,6198,0.11543,0.13182
1984,West,female,No,0.87638,5413,6198,0.86818,0.88457
1985,West,male,Yes,0.09194,496,5405,0.08423,0.09964
1985,West,male,No,0.90806,4909,5405,0.90036,0.91577
1985,West,female,Yes,0.13220,758,5600,0.12333,0.14108
1985,West,female,No,0.86780,4842,5600,0.85892,0.87667
1986,West,male,Yes,0.11018,566,5222,0.10168,0.11867
1986,West,male,No,0.88982,4656,5222,0.88133,0.89832
1986,West,female,Yes,0.13504,725,5332,0.12587,0.14422
1986,West,female,No,0.86496,4607,5332,0.85578,0.87413
1987,West,male,Yes,0.09883,478,5158,0.09069,0.10698
1987,West,male,No,0.90117,4680,5158,0.89302,0.90931
1987,West,female,Yes,0.14798,756,5262,0.13839,0.15758
1987,West,female,No,0.85202,4506,5262,0.84242,0.86161
1988,West,male,Yes,0.10976,499,4918,0.10102,0.11850
1988,West,male,No,0.89024,4419,4918,0.88150,0.89898
1988,West,female,Yes,0.14025,702,5020,0.13064,0.14985
1988,West,female,No,0.85975,4318,5020,0.85015,0.86936
1989,West,male,Yes,0.10145,449,4747,0.09286,0.11004
1989,West,male,No,0.89855,4298,4747,0.88996,0.90714
1989,West,female,Yes,0.14316,696,4883,0.13334,0.15299
1989,West,female,No,0.85684,4187,4883,0.84701,0.86666
1991,West,male,Yes,0.10785,467,4621,0.09890,0.11679
1991,West,male,No,0.89215,4154,4621,0.88321,0.90110
1991,West,female,Yes,0.15690,702,4757,0.14656,0.16723
1991,West,female,No,0.84310,4055,4757,0.83277,0.85344
1992,West,male,Yes,0.11027,469,4560,0.10117,0.11936
1992,West,male,No,0.88973,4091,4560,0.88064,0.89883
1992,West,female,Yes,0.14432,649,4743,0.13432,0.15432
1992,West,female,No,0.85568,4094,4743,0.84568,0.86568
1992,East,male,Yes,0.07505,131,1882,0.06315,0.08696
1992,East,male,No,0.92495,1751,1882,0.91304,0.93685
1992,East,female,Yes,0.11904,234,2076,0.10511,0.13298
1992,East,female,No,0.88096,1842,2076,0.86702,0.89489
1994,West,male,Yes,0.10859,421,4403,0.09940,0.11778
1994,West,male,No,0.89141,3982,4403,0.88222,0.90060
1994,West,female,Yes,0.15833,684,4660,0.14785,0.16881
1994,West,female,No,0.84167,3976,4660,0.83119,0.85215
1994,East,male,Yes,0.08699,147,1795,0.07395,0.10003
1994,East,male,No,0.91301,1648,1795,0.89997,0.92605
1994,East,female,Yes,0.13339,245,1975,0.11839,0.14839
1994,East,female,No,0.86661,1730,1975,0.85161,0.88161
1995,West,male,Yes,0.10347,448,4633,0.09470,0.11224
1995,West,male,No,0.89653,4185,4633,0.88776,0.90530
1995,West,female,Yes,0.15051,691,4907,0.14051,0.16052
1995,West,female,No,0.84949,4216,4907,0.83948,0.85949
1995,East,male,Yes,0.10089,168,1746,0.08676,0.11503
1995,East,male,No,0.89911,1578,1746,0.88497,0.91324
1995,East,female,Yes,0.13682,260,1929,0.12148,0.15216
1995,East,female,No,0.86318,1669,1929,0.84784,0.87852
1996,West,male,Yes,0.10871,452,4522,0.09963,0.11778
1996,West,male,No,0.89129,4070,4522,0.88222,0.90037
