year,bula_h,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,No,0.64708,51,51,0.51461,0.77954
1984,Schleswig-Holstein,2nd Quintile,No,0.72012,72,72,0.61569,0.82455
1984,Schleswig-Holstein,3rd Quintile,No,0.70367,53,53,0.57955,0.82778
1984,Schleswig-Holstein,4th Quintile,No,0.71789,84,84,0.62108,0.81471
1984,Schleswig-Holstein,5th Quintile,No,0.84264,83,83,0.76383,0.92146
1984,Hamburg,1st Quintile,No,0.70083,45,45,0.56553,0.83613
1984,Hamburg,2nd Quintile,No,0.69322,45,45,0.55696,0.82948
1984,Hamburg,3rd Quintile,No,0.89088,50,50,0.80358,0.97818
1984,Hamburg,4th Quintile,No,0.82699,70,70,0.73774,0.91624
1984,Hamburg,5th Quintile,No,0.75407,63,63,0.64687,0.86126
1984,Lower Saxony,1st Quintile,Yes,0.08460,38,298,0.05295,0.11625
1984,Lower Saxony,1st Quintile,No,0.69438,260,298,0.64199,0.74677
1984,Lower Saxony,2nd Quintile,No,0.71462,208,208,0.65310,0.77614
1984,Lower Saxony,3rd Quintile,No,0.73924,206,206,0.67914,0.79935
1984,Lower Saxony,4th Quintile,No,0.75830,220,220,0.70160,0.81500
1984,Lower Saxony,5th Quintile,No,0.77490,199,199,0.71672,0.83307
1984,North Rhine-Westphalia,1st Quintile,Yes,0.09185,96,771,0.07145,0.11225
1984,North Rhine-Westphalia,1st Quintile,No,0.65112,675,771,0.61746,0.68479
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.10266,78,629,0.07892,0.12640
1984,North Rhine-Westphalia,2nd Quintile,No,0.68609,551,629,0.64979,0.72239
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.09245,65,579,0.06884,0.11607
1984,North Rhine-Westphalia,3rd Quintile,No,0.71843,514,579,0.68177,0.75510
1984,North Rhine-Westphalia,4th Quintile,Yes,0.08463,63,651,0.06323,0.10602
1984,North Rhine-Westphalia,4th Quintile,No,0.77310,588,651,0.74090,0.80529
1984,North Rhine-Westphalia,5th Quintile,Yes,0.08609,61,608,0.06378,0.10841
1984,North Rhine-Westphalia,5th Quintile,No,0.79335,547,608,0.76114,0.82556
1984,Hesse,1st Quintile,Yes,0.12383,40,268,0.08432,0.16334
1984,Hesse,1st Quintile,No,0.68981,228,268,0.63433,0.74530
1984,Hesse,2nd Quintile,No,0.74524,206,206,0.68559,0.80489
1984,Hesse,3rd Quintile,No,0.72510,183,183,0.66023,0.78996
1984,Hesse,4th Quintile,No,0.75087,211,211,0.69237,0.80937
1984,Hesse,5th Quintile,Yes,0.09770,35,308,0.06449,0.13091
1984,Hesse,5th Quintile,No,0.82919,273,308,0.78709,0.87129
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.62896,140,140,0.54865,0.70927
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.73512,184,184,0.67119,0.79906
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.77348,170,170,0.71037,0.83659
1984,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.86535,151,151,0.81072,0.91998
1984,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.79133,115,115,0.71673,0.86592
1984,Baden-Wuerttemberg,1st Quintile,Yes,0.07150,44,383,0.04566,0.09734
1984,Baden-Wuerttemberg,1st Quintile,No,0.65786,339,383,0.61028,0.70544
1984,Baden-Wuerttemberg,2nd Quintile,Yes,0.08815,58,472,0.06254,0.11375
1984,Baden-Wuerttemberg,2nd Quintile,No,0.65698,414,472,0.61410,0.69985
1984,Baden-Wuerttemberg,3rd Quintile,Yes,0.08385,53,458,0.05844,0.10926
1984,Baden-Wuerttemberg,3rd Quintile,No,0.70640,405,458,0.66464,0.74815
1984,Baden-Wuerttemberg,4th Quintile,Yes,0.10250,60,492,0.07567,0.12933
1984,Baden-Wuerttemberg,4th Quintile,No,0.72659,432,492,0.68716,0.76601
1984,Baden-Wuerttemberg,5th Quintile,Yes,0.10178,49,440,0.07350,0.13007
1984,Baden-Wuerttemberg,5th Quintile,No,0.80434,391,440,0.76723,0.84145
1984,Bavaria,1st Quintile,Yes,0.10200,48,386,0.07176,0.13223
1984,Bavaria,1st Quintile,No,0.68816,338,386,0.64189,0.73444
1984,Bavaria,2nd Quintile,Yes,0.09324,49,415,0.06523,0.12125
1984,Bavaria,2nd Quintile,No,0.68957,366,415,0.64500,0.73414
1984,Bavaria,3rd Quintile,Yes,0.08840,43,434,0.06166,0.11513
1984,Bavaria,3rd Quintile,No,0.71394,391,434,0.67137,0.75651
1984,Bavaria,4th Quintile,Yes,0.08929,44,416,0.06185,0.11673
1984,Bavaria,4th Quintile,No,0.76810,372,416,0.72749,0.80870
1984,Bavaria,5th Quintile,Yes,0.10396,49,430,0.07508,0.13284
1984,Bavaria,5th Quintile,No,0.78642,381,430,0.74764,0.82520
1984,Berlin,1st Quintile,No,0.76908,55,55,0.65668,0.88149
1984,Berlin,2nd Quintile,No,0.76326,47,47,0.64042,0.88610
1984,Berlin,3rd Quintile,No,0.65709,94,94,0.56062,0.75357
1984,Berlin,4th Quintile,No,0.75323,74,74,0.65433,0.85214
1984,Berlin,5th Quintile,No,0.81776,96,96,0.74013,0.89539
1985,Schleswig-Holstein,1st Quintile,No,0.61761,64,64,0.49760,0.73761
1985,Schleswig-Holstein,2nd Quintile,No,0.69356,65,65,0.58061,0.80651
1985,Schleswig-Holstein,3rd Quintile,No,0.77645,53,53,0.66321,0.88969
1985,Schleswig-Holstein,4th Quintile,No,0.69639,59,59,0.57805,0.81473
1985,Schleswig-Holstein,5th Quintile,No,0.85571,67,67,0.77093,0.94048
1985,Hamburg,1st Quintile,No,0.77256,46,46,0.65009,0.89504
1985,Hamburg,2nd Quintile,No,0.76702,32,32,0.61821,0.91583
1985,Hamburg,3rd Quintile,No,0.79356,54,54,0.68459,0.90253
1985,Hamburg,4th Quintile,No,0.79362,51,51,0.68144,0.90580
1985,Hamburg,5th Quintile,No,0.85598,64,64,0.76928,0.94268
1985,Lower Saxony,1st Quintile,No,0.67559,209,209,0.61197,0.73922
1985,Lower Saxony,2nd Quintile,No,0.69268,165,165,0.62207,0.76330
1985,Lower Saxony,3rd Quintile,No,0.75994,210,210,0.70203,0.81784
1985,Lower Saxony,4th Quintile,No,0.81969,181,181,0.76353,0.87585
1985,Lower Saxony,5th Quintile,No,0.80658,223,223,0.75462,0.85854
1985,Bremen,3rd Quintile,No,0.85385,31,31,0.72743,0.98026
1985,North Rhine-Westphalia,1st Quintile,Yes,0.08560,84,676,0.06450,0.10671
1985,North Rhine-Westphalia,1st Quintile,No,0.67478,592,676,0.63944,0.71012
1985,North Rhine-Westphalia,2nd Quintile,Yes,0.09307,76,619,0.07016,0.11597
1985,North Rhine-Westphalia,2nd Quintile,No,0.68705,543,619,0.65049,0.72361
1985,North Rhine-Westphalia,3rd Quintile,Yes,0.09685,58,522,0.07146,0.12225
1985,North Rhine-Westphalia,3rd Quintile,No,0.74404,464,522,0.70657,0.78152
1985,North Rhine-Westphalia,4th Quintile,Yes,0.09653,67,597,0.07282,0.12024
1985,North Rhine-Westphalia,4th Quintile,No,0.78155,530,597,0.74838,0.81472
1985,North Rhine-Westphalia,5th Quintile,Yes,0.09802,61,538,0.07287,0.12317
1985,North Rhine-Westphalia,5th Quintile,No,0.77934,477,538,0.74426,0.81441
1985,Hesse,1st Quintile,No,0.75001,232,232,0.69417,0.80585
1985,Hesse,2nd Quintile,No,0.67298,177,177,0.60367,0.74229
1985,Hesse,3rd Quintile,No,0.76797,181,181,0.70630,0.82964
1985,Hesse,4th Quintile,No,0.82674,220,220,0.77662,0.87687
1985,Hesse,5th Quintile,No,0.83943,209,209,0.78953,0.88932
1985,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.64085,150,150,0.56382,0.71788
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.74055,111,111,0.65864,0.82247
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.78737,163,163,0.72436,0.85038
1985,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.81229,143,143,0.74807,0.87652
1985,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.87114,116,116,0.80991,0.93238
1985,Baden-Wuerttemberg,1st Quintile,Yes,0.11473,57,388,0.08298,0.14648
1985,Baden-Wuerttemberg,1st Quintile,No,0.64162,331,388,0.59384,0.68939
1985,Baden-Wuerttemberg,2nd Quintile,Yes,0.07102,46,405,0.04597,0.09607
1985,Baden-Wuerttemberg,2nd Quintile,No,0.70297,359,405,0.65841,0.74753
1985,Baden-Wuerttemberg,3rd Quintile,Yes,0.08194,57,470,0.05712,0.10676
1985,Baden-Wuerttemberg,3rd Quintile,No,0.73318,413,470,0.69315,0.77321
1985,Baden-Wuerttemberg,4th Quintile,Yes,0.09574,49,419,0.06753,0.12395
1985,Baden-Wuerttemberg,4th Quintile,No,0.73621,370,419,0.69397,0.77846
1985,Baden-Wuerttemberg,5th Quintile,No,0.82661,324,324,0.78532,0.86790
1985,Bavaria,1st Quintile,Yes,0.11885,45,297,0.08198,0.15572
1985,Bavaria,1st Quintile,No,0.66239,252,297,0.60852,0.71627
1985,Bavaria,2nd Quintile,Yes,0.10635,58,404,0.07625,0.13645
1985,Bavaria,2nd Quintile,No,0.66891,346,404,0.62296,0.71486
1985,Bavaria,3rd Quintile,Yes,0.09906,43,368,0.06850,0.12962
1985,Bavaria,3rd Quintile,No,0.72726,325,368,0.68169,0.77283
1985,Bavaria,4th Quintile,Yes,0.10518,39,380,0.07429,0.13606
1985,Bavaria,4th Quintile,No,0.76461,341,380,0.72190,0.80732
1985,Bavaria,5th Quintile,Yes,0.10332,47,441,0.07488,0.13176
1985,Bavaria,5th Quintile,No,0.80798,394,441,0.77118,0.84479
1985,Berlin,1st Quintile,No,0.67319,58,58,0.55142,0.79495
1985,Berlin,2nd Quintile,No,0.67731,52,52,0.54900,0.80562
1985,Berlin,3rd Quintile,No,0.77762,65,65,0.67574,0.87950
1985,Berlin,4th Quintile,No,0.82239,68,68,0.73087,0.91390
1985,Berlin,5th Quintile,No,0.81700,87,87,0.73528,0.89872
1986,Schleswig-Holstein,1st Quintile,No,0.74568,52,52,0.62617,0.86520
1986,Schleswig-Holstein,2nd Quintile,No,0.70769,76,76,0.60476,0.81063
1986,Schleswig-Holstein,3rd Quintile,No,0.60058,45,45,0.45586,0.74530
1986,Schleswig-Holstein,4th Quintile,No,0.82287,57,57,0.72288,0.92287
1986,Schleswig-Holstein,5th Quintile,No,0.77525,57,57,0.66592,0.88458
1986,Hamburg,1st Quintile,No,0.74585,40,40,0.60921,0.88250
1986,Hamburg,2nd Quintile,No,0.85390,41,41,0.74443,0.96336
