"hlf0094","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr guenstig","1984","Schleswig-Holstein","Westdeutschland","74","0.285349099680485","0.231484748265505","0.339213451095466"
"Sehr guenstig","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Sehr guenstig","1984","Hamburg","Westdeutschland","","","",""
"Sehr guenstig","1984","Hamburg","Ostdeutschland","","","",""
"Sehr guenstig","1984","Niedersachsen","Westdeutschland","179","0.251720604333741","0.220576922527547","0.282864286139935"
"Sehr guenstig","1984","Niedersachsen","Ostdeutschland","","","",""
"Sehr guenstig","1984","Bremen","Westdeutschland","","","",""
"Sehr guenstig","1984","Bremen","Ostdeutschland","","","",""
"Sehr guenstig","1984","Nordrhein-Westfalen","Westdeutschland","313","0.270356109902259","0.245724633656924","0.294987586147595"
"Sehr guenstig","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Sehr guenstig","1984","Hessen","Westdeutschland","124","0.308865429030983","0.265743840088645","0.35198701797332"
"Sehr guenstig","1984","Hessen","Ostdeutschland","","","",""
"Sehr guenstig","1984","Rheinland-Pfalz,Saarland","Westdeutschland","118","0.216721050519488","0.182256652678412","0.251185448360564"
"Sehr guenstig","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Sehr guenstig","1984","Baden-Wuerttemberg","Westdeutschland","253","0.236961516246748","0.212013953430567","0.261909079062928"
"Sehr guenstig","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Sehr guenstig","1984","Bayern","Westdeutschland","281","0.255996687769723","0.230662891544093","0.281330483995353"
"Sehr guenstig","1984","Bayern","Ostdeutschland","","","",""
"Sehr guenstig","1984","Berlin","Westdeutschland","","","",""
"Sehr guenstig","1984","Berlin","Ostdeutschland","","","",""
"Sehr guenstig","1984","Brandenburg","Westdeutschland","","","",""
"Sehr guenstig","1984","Brandenburg","Ostdeutschland","","","",""
"Sehr guenstig","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Sehr guenstig","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
