year,sampreg,hlf0094,proportion,n,lower_confidence,upper_confidence
1984,West,3.0,0.3322784810126582,5863,0.32022132393500236,0.3443356380903141
1984,West,2.0,0.30748945147679324,5863,0.2956774244583189,0.3193014784952676
1984,West,1.0,0.2579113924050633,5863,0.24671290748426195,0.2691098773258646
1984,West,4.0,0.07542194092827004,5863,0.06866240675420832,0.08218147510233176
1984,West,5.0,0.02689873417721519,5863,0.02275739248521872,0.03104007586921166
1985,West,3.0,0.34669678147939015,5272,0.33384981253091783,0.35954375042786246
1985,West,2.0,0.3094297007340486,5272,0.29695146122927313,0.321907940238824
1985,West,1.0,0.2326369282891022,5272,0.22123159066913747,0.24404226590906694
1985,West,4.0,0.08413325804630152,5272,0.07664004003220595,0.09162647606039709
1985,West,5.0,0.02710333145115754,5272,0.02271991163330991,0.03148675126900517
1986,West,3.0,0.3819789939192924,5039,0.36856354373985206,0.39539444409873276
1986,West,2.0,0.3123272526257601,5039,0.2995310903378681,0.3251234149136521
1986,West,1.0,0.18021006080707574,5039,0.16959738981069009,0.1908227318034614
1986,West,4.0,0.09729132117191819,5039,0.08910865654572574,0.10547398579811064
1986,West,5.0,0.028192371475953566,5039,0.023622122618659265,0.032762620333247866
1987,West,3.0,0.36670353982300885,4975,0.3533123054777919,0.3800947741682258
1987,West,2.0,0.3418141592920354,4975,0.32863375229811487,0.35499456628595594
1987,West,1.0,0.17809734513274336,4975,0.1674657496675841,0.18872894059790263
1987,West,4.0,0.0868362831858407,4975,0.07901128103643736,0.09466128533524405
1987,West,5.0,0.02654867256637168,4975,0.022081445218981775,0.031015899913761587
1988,West,3.0,0.3813953488372093,4770,0.3676108440486088,0.3951798536258099
1988,West,2.0,0.34593023255813954,4770,0.332431183395485,0.3594292817207941
1988,West,1.0,0.17790697674418604,4770,0.1670538755371401,0.18876007795123198
1988,West,4.0,0.07732558139534884,4770,0.0697453455384963,0.08490581725220138
1988,West,5.0,0.01744186046511628,4770,0.013726744157434818,0.02115697677279774
1989,West,2.0,0.36101295641931685,4651,0.34720942137906047,0.37481649145957324
1989,West,3.0,0.3451118963486455,4651,0.3314488853693461,0.35877490732794487
1989,West,1.0,0.20789163722025913,4651,0.19622908206755538,0.2195541923729629
1989,West,4.0,0.07243816254416961,4651,0.0649884751272014,0.07988784996113782
1989,West,5.0,0.013545347467608953,4651,0.010223218107592065,0.016867476827625842
1990,West,2.0,0.36257309941520466,6750,0.3511043208330842,0.37404187799732513
1990,West,3.0,0.35789473684210527,6750,0.34645845221224314,0.3693310214719674
1990,West,1.0,0.2023391812865497,6750,0.19275503775403377,0.21192332481906564
1990,West,4.0,0.06549707602339182,6750,0.05959499083871248,0.07139916120807115
1990,West,5.0,0.011695906432748537,6750,0.00913103013225822,0.014260782733238855
1991,West,3.0,0.2929467762873215,6629,0.2819907648536913,0.30390278772095175
1991,West,2.0,0.2630895716140199,6629,0.25248992881712673,0.2736892144109131
1991,West,1.0,0.13197749891821722,6629,0.12382956495724864,0.1401254328791858
1991,East,4.0,0.07788836001730852,6629,0.0714368690467304,0.08433985098788664
