"hlf0094","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr guenstig","1995","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","2","289","0.157665940634524","0.141331086116914","0.174000795152134"
"Sehr guenstig","1995","3","182","0.140168353709168","0.121738076729781","0.158598630688554"
"Sehr guenstig","1995","4","156","0.164862714880151","0.14066109830088","0.189064331459422"
"Sehr guenstig","1995","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","2","621","0.357229085133485","0.335750500413777","0.378707669853193"
"Guenstig","1995","3","458","0.333807759203036","0.308772726567697","0.358842791838376"
"Guenstig","1995","4","242","0.284322334844292","0.254900589221793","0.31374408046679"
"Guenstig","1995","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","2","815","0.407331534107731","0.385308148969912","0.42935491924555"
"Angemessen","1995","3","556","0.41805433822384","0.391869026527892","0.444239649919788"
"Angemessen","1995","4","400","0.435189894820996","0.402853258212429","0.467526531429562"
"Angemessen","1995","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","2","163","0.0696616388851946","0.0582506980061456","0.0810725797642436"
"Etwas zu hoch","1995","3","140","0.0912450773703805","0.0759578659032202","0.106532288837541"
"Etwas zu hoch","1995","4","89","0.103323962933571","0.0834711282947198","0.123176797572423"
"Etwas zu hoch","1995","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","2","24","","",""
"Viel zu hoch","1995","3","27","","",""
"Viel zu hoch","1995","4","16","","",""
"Viel zu hoch","1995","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1996","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1996","2","234","0.145694053814509","0.129855545711171","0.161532561917847"
"Sehr guenstig","1996","3","197","0.153780353834454","0.13536452248345","0.172196185185457"
"Sehr guenstig","1996","4","166","0.182795708180433","0.158707845758596","0.206883570602271"
"Sehr guenstig","1996","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1996","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1996","2","648","0.355989817069494","0.334494106903201","0.377485527235786"
"Guenstig","1996","3","462","0.316862147898532","0.293110775714125","0.34061352008294"
"Guenstig","1996","4","277","0.290002003626511","0.261722029615336","0.318281977637687"
"Guenstig","1996","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1996","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1996","2","854","0.419891538910537","0.397734597744695","0.442048480076379"
"Angemessen","1996","3","632","0.420009482945403","0.394813033666808","0.445205932223998"
"Angemessen","1996","4","438","0.428669471689773","0.397826590679147","0.459512352700399"
"Angemessen","1996","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1996","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1996","2","137","0.0670540490966416","0.0558254031294582","0.078282695063825"
"Etwas zu hoch","1996","3","150","0.0847944681212437","0.070573065636693","0.0990158706057944"
"Etwas zu hoch","1996","4","93","0.0732168237141775","0.0569821165943092","0.0894515308340458"
"Etwas zu hoch","1996","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1996","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1996","2","33","0.0113705411088184","0.00661068326039192","0.016130398957245"
"Viel zu hoch","1996","3","33","0.0245535472003675","0.016652981527872","0.032454112872863"
"Viel zu hoch","1996","4","15","","",""
"Viel zu hoch","1996","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1997","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1997","2","247","0.132805650269106","0.117727670052713","0.147883630485499"
"Sehr guenstig","1997","3","184","0.137152636123756","0.119714640567579","0.154590631679932"
"Sehr guenstig","1997","4","176","0.187842095189122","0.163682039315492","0.212002151062752"
"Sehr guenstig","1997","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1997","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1997","2","563","0.317454919110718","0.296773355309478","0.338136482911958"
"Guenstig","1997","3","437","0.307433711451786","0.284043512669044","0.330823910234528"
"Guenstig","1997","4","284","0.301904705834802","0.273507635894613","0.33030177577499"
"Guenstig","1997","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1997","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1997","2","944","0.475055098497509","0.452867743823272","0.497242453171746"
"Angemessen","1997","3","696","0.431633641550407","0.40652638155398","0.456740901546835"
"Angemessen","1997","4","461","0.446967195041235","0.416213698087079","0.477720691995392"
"Angemessen","1997","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1997","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1997","2","173","0.0652938563763221","0.0543176975812124","0.0762700151714319"
"Etwas zu hoch","1997","3","134","0.0957087183092833","0.0807959793160868","0.11062145730248"
"Etwas zu hoch","1997","4","62","0.0532954070098431","0.039401212696568","0.0671896013231182"
"Etwas zu hoch","1997","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1997","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1997","2","19","","",""
"Viel zu hoch","1997","3","44","0.0280712925647681","0.0196983925539501","0.036444192575586"
"Viel zu hoch","1997","4","21","","",""
"Viel zu hoch","1997","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1998","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1998","2","321","0.166029039224644","0.150476440458235","0.181581637991053"
"Sehr guenstig","1998","3","258","0.176815457729549","0.158748787074577","0.194882128384521"
"Sehr guenstig","1998","4","185","0.146620698286583","0.127097127921557","0.166144268651609"
"Sehr guenstig","1998","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1998","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1998","2","615","0.296169640656516","0.277086944139086","0.315252337173945"
"Guenstig","1998","3","536","0.310517472195812","0.28860587360999","0.332429070781634"
"Guenstig","1998","4","388","0.310456756243237","0.284919639653144","0.335993872833329"
"Guenstig","1998","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1998","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1998","2","1034","0.454246820620876","0.433436462129126","0.475057179112626"
"Angemessen","1998","3","695","0.403219785264711","0.379989874862345","0.426449695667078"
"Angemessen","1998","4","560","0.453909589340879","0.426430173145654","0.481389005536104"
"Angemessen","1998","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1998","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1998","2","209","0.0749201417912131","0.0639168055537912","0.0859234780286351"
"Etwas zu hoch","1998","3","183","0.0833819251963225","0.0702901187144857","0.0964737316781594"
"Etwas zu hoch","1998","4","116","0.0801282939587832","0.0651436259239146","0.0951129619936518"
"Etwas zu hoch","1998","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1998","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1998","2","20","","",""
"Viel zu hoch","1998","3","41","0.0260653596136057","0.0185202391759426","0.0336104800512687"
"Viel zu hoch","1998","4","12","","",""
"Viel zu hoch","1998","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1999","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1999","2","301","0.144422967884207","0.129760865495277","0.159085070273136"
"Sehr guenstig","1999","3","309","0.171921740286491","0.154811317300693","0.189032163272289"
"Sehr guenstig","1999","4","196","0.157200782849357","0.137527599993083","0.176873965705632"
"Sehr guenstig","1999","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1999","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1999","2","715","0.349563763403378","0.329674709544472","0.369452817262283"
"Guenstig","1999","3","573","0.317003215198334","0.295902323024762","0.338104107371905"
"Guenstig","1999","4","366","0.283510840920623","0.259150976798287","0.30787070504296"
"Guenstig","1999","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1999","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1999","2","949","0.408639183895693","0.388134889303018","0.429143478488367"
"Angemessen","1999","3","766","0.404388240547471","0.382132577067037","0.426643904027905"
"Angemessen","1999","4","609","0.46170190145005","0.43475694605203","0.488646856848071"
"Angemessen","1999","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1999","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1999","2","220","0.0881170008450121","0.0762934487428155","0.0999405529472087"
"Etwas zu hoch","1999","3","168","0.0767406244350133","0.0646698764513409","0.0888113724186857"
"Etwas zu hoch","1999","4","114","0.0807609136181398","0.0660343957905014","0.0954874314457781"
"Etwas zu hoch","1999","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1999","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1999","2","23","","",""
"Viel zu hoch","1999","3","52","0.029946179532691","0.0222170909944499","0.0376752680709321"
"Viel zu hoch","1999","4","30","0.0168255611618289","0.00987395302473936","0.0237771692989184"
"Viel zu hoch","1999","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2000","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2000","2","516","0.135746351771958","0.125278599640722","0.146214103903194"
"Sehr guenstig","2000","3","476","0.136798578260819","0.125697579665645","0.147899576855994"
"Sehr guenstig","2000","4","392","0.144819553703913","0.131735380001028","0.157903727406798"
"Sehr guenstig","2000","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2000","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2000","2","1416","0.354926395627974","0.340303192209679","0.369549599046268"
"Guenstig","2000","3","1139","0.305497418582652","0.290617317313605","0.320377519851699"
"Guenstig","2000","4","858","0.315721252805519","0.29844011823388","0.333002387377159"
"Guenstig","2000","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2000","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2000","2","1754","0.416202487159753","0.401138074907622","0.431266899411883"
"Angemessen","2000","3","1608","0.4342154405649","0.418203522494066","0.450227358635733"
"Angemessen","2000","4","1232","0.436088485127132","0.417651215422062","0.454525754832202"
"Angemessen","2000","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2000","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2000","2","383","0.0846931370701424","0.0761841824904874","0.0932020916497973"
"Etwas zu hoch","2000","3","399","0.109987867610318","0.0998805587563812","0.120095176464255"
"Etwas zu hoch","2000","4","240","0.0837452162965776","0.0734462900164477","0.0940441425767075"
"Etwas zu hoch","2000","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2000","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2000","2","44","0.00843162837017338","0.00563724622792316","0.0112260105124236"
"Viel zu hoch","2000","3","59","0.0135006949813104","0.00977255992490816","0.0172288300377127"
"Viel zu hoch","2000","4","57","0.0196254920668581","0.014468338070768","0.0247826460629481"
"Viel zu hoch","2000","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2001","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2001","2","373","0.114410328259727","0.103951235698986","0.124869420820467"
"Sehr guenstig","2001","3","373","0.124704493854291","0.113647948993006","0.135761038715577"
"Sehr guenstig","2001","4","325","0.127850407159425","0.115117480625895","0.140583333692955"
"Sehr guenstig","2001","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2001","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2001","2","983","0.286638260639625","0.271780029663098","0.301496491616152"
"Guenstig","2001","3","1130","0.315068693582745","0.29952238923223","0.33061499793326"
"Guenstig","2001","4","825","0.307507146380833","0.289911025415072","0.325103267346594"
"Guenstig","2001","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2001","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2001","2","1848","0.516098157230779","0.499677523604096","0.532518790857463"
"Angemessen","2001","3","1574","0.460160270006882","0.443480578561401","0.476839961452363"
"Angemessen","2001","4","1222","0.471116594684597","0.452082779165871","0.490150410203323"
"Angemessen","2001","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2001","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2001","2","290","0.0670882539979494","0.0588679355057661","0.0753085724901328"
"Etwas zu hoch","2001","3","294","0.0804492043243357","0.0713469331506071","0.0895514754980644"
"Etwas zu hoch","2001","4","212","0.0735486169758987","0.0635950153106875","0.0835022186411098"
"Etwas zu hoch","2001","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2001","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2001","2","64","0.0157649998719199","0.0116720021085154","0.0198579976353244"
"Viel zu hoch","2001","3","59","0.0196173382317461","0.0149762600754686","0.0242584163880235"
"Viel zu hoch","2001","4","58","0.0199772347992459","0.0146418290370974","0.0253126405613945"
"Viel zu hoch","2001","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2002","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2002","2","322","0.124851377065846","0.113205952149338","0.136496801982354"
"Sehr guenstig","2002","3","323","0.104966811452153","0.0943701093108596","0.115563513593447"
"Sehr guenstig","2002","4","460","0.148148003533564","0.136422353946607","0.159873653120521"
"Sehr guenstig","2002","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2002","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2002","2","904","0.286949289333846","0.271013244253667","0.302885334414024"
"Guenstig","2002","3","1024","0.30412706626516","0.28822265258117","0.320031479949151"
"Guenstig","2002","4","1055","0.296663270861541","0.281586078488844","0.311740463234239"
"Guenstig","2002","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2002","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2002","2","1522","0.481617041096012","0.464013742932563","0.499220339259461"
"Angemessen","2002","3","1555","0.503098872832504","0.485813178940871","0.520384566724137"
"Angemessen","2002","4","1604","0.461372779920206","0.444918568629995","0.477826991210418"
"Angemessen","2002","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2002","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2002","2","303","0.0901992996342107","0.080106945517934","0.100291653750488"
"Etwas zu hoch","2002","3","292","0.0827337919417964","0.0732099031205925","0.0922576807630003"
"Etwas zu hoch","2002","4","359","0.0831700689800402","0.0740555267948221","0.0922846111652583"
"Etwas zu hoch","2002","5 Einkommensstärkstes Quintil","","","",""
