"hlf0094","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr günstig","1985","Städtischer Raum","288","0.252668693770769","0.22849213382752","0.276845253714019"
"Sehr günstig","1985","Ländlicher Raum","124","0.242804023386224","0.20629987303454","0.279308173737908"
"Günstig","1985","Städtischer Raum","394","0.326868313584553","0.300770830258707","0.352965796910399"
"Günstig","1985","Ländlicher Raum","154","0.294340793867334","0.255540689789956","0.333140897944712"
"Angemessen","1985","Städtischer Raum","421","0.321242452503797","0.295262640589791","0.347222264417802"
"Angemessen","1985","Ländlicher Raum","193","0.36206029663654","0.321144555363227","0.402976037909852"
"Etwas zu hoch","1985","Städtischer Raum","108","0.0774438204386118","0.0625724156124955","0.0923152252647281"
"Etwas zu hoch","1985","Ländlicher Raum","41","0.0709919909123282","0.0491282454244682","0.0928557364001882"
"Viel zu hoch","1985","Städtischer Raum","30","0.0217767197022692","0.0136563196010083","0.02989711980353"
"Viel zu hoch","1985","Ländlicher Raum","18","","",""
"Sehr günstig","1986","Städtischer Raum","224","0.188389655009769","0.166850257531981","0.209929052487558"
"Sehr günstig","1986","Ländlicher Raum","102","0.200150023102335","0.166496520869863","0.233803525334807"
"Günstig","1986","Städtischer Raum","408","0.335099929078804","0.309098537260187","0.361101320897421"
"Günstig","1986","Ländlicher Raum","157","0.293379402106636","0.255083162451721","0.331675641761552"
"Angemessen","1986","Städtischer Raum","484","0.37289144758005","0.346253926194637","0.399528968965463"
"Angemessen","1986","Ländlicher Raum","207","0.369255045451064","0.328663247522422","0.409846843379706"
"Etwas zu hoch","1986","Städtischer Raum","121","0.0838280472418868","0.0685624285913874","0.0990936658923862"
"Etwas zu hoch","1986","Ländlicher Raum","55","0.0986355662295754","0.0735562809257594","0.123714851533391"
"Viel zu hoch","1986","Städtischer Raum","29","","",""
"Viel zu hoch","1986","Ländlicher Raum","22","","",""
"Sehr günstig","1987","Städtischer Raum","213","0.171464360523692","0.150848184748951","0.192080536298432"
"Sehr günstig","1987","Ländlicher Raum","109","0.20489685637569","0.170337803600085","0.239455909151296"
"Günstig","1987","Städtischer Raum","452","0.367990314228422","0.341612084870332","0.394368543586512"
"Günstig","1987","Ländlicher Raum","166","0.319123806687601","0.279212483693424","0.359035129681779"
"Angemessen","1987","Städtischer Raum","468","0.356533731592991","0.330335089362843","0.382732373823138"
"Angemessen","1987","Ländlicher Raum","195","0.380366394389021","0.338799172555781","0.421933616222261"
"Etwas zu hoch","1987","Städtischer Raum","115","0.0749568515238443","0.0605538753364144","0.0893598277112741"
"Etwas zu hoch","1987","Ländlicher Raum","42","0.075009168923383","0.0524559602478706","0.0975623775988953"
"Viel zu hoch","1987","Städtischer Raum","36","0.0290547421310513","0.0198677897711606","0.038241694490942"
"Viel zu hoch","1987","Ländlicher Raum","12","","",""
"Sehr günstig","1988","Städtischer Raum","219","0.179336668386504","0.157983893984746","0.200689442788261"
"Sehr günstig","1988","Ländlicher Raum","87","0.185352862367105","0.150590291369869","0.22011543336434"
"Günstig","1988","Städtischer Raum","430","0.356711783808026","0.330049412355231","0.383374155260821"
"Günstig","1988","Ländlicher Raum","165","0.354000054040034","0.311219601203082","0.396780506876986"
"Angemessen","1988","Städtischer Raum","465","0.368072968229399","0.341229558715011","0.394916377743787"
"Angemessen","1988","Ländlicher Raum","191","0.386842147631432","0.343272854662009","0.430411440600855"
"Etwas zu hoch","1988","Städtischer Raum","103","0.0760739125198428","0.0613177394679438","0.0908300855717419"
"Etwas zu hoch","1988","Ländlicher Raum","30","0.0595357754782595","0.038367395650373","0.0807041553061459"
"Viel zu hoch","1988","Städtischer Raum","23","","",""
"Viel zu hoch","1988","Ländlicher Raum","7","","",""
"Sehr günstig","1989","Städtischer Raum","246","0.208732547274203","0.186011471648247","0.231453622900159"
"Sehr günstig","1989","Ländlicher Raum","107","0.238182376361699","0.199630813461874","0.276733939261524"
"Günstig","1989","Städtischer Raum","453","0.378855872294349","0.351734893878661","0.405976850710037"
"Günstig","1989","Ländlicher Raum","160","0.346614807984841","0.303545304041459","0.389684311928223"
