year,age_gr,sex,ple0187,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2017,18-29 y.,male,,0.9920449227889565,45410,0.9912278359986505,0.9928620095792625
2017,18-29 y.,male,,0.007955077211043519,45410,0.007137990420737482,0.008772164001349557
2017,18-29 y.,female,,0.9928025191183086,45410,0.9920250162218115,0.9935800220148058
2017,18-29 y.,female,,0.007197480881691408,45410,0.006419977985194219,0.007974983778188597
2017,30-45 y.,male,,0.9809898393969191,45410,0.9797337936191358,0.9822458851747023
2017,30-45 y.,male,,0.01901016060308096,45410,0.017754114825297738,0.02026620638086418
2017,30-45 y.,female,,0.9619591060389919,45410,0.9601996274649666,0.9637185846130173
2017,30-45 y.,female,,0.038040893961008085,45410,0.03628141538698271,0.03980037253503346
2017,46-65 y.,male,,0.9623458125946764,45410,0.960594948080296,0.9640966771090569
2017,46-65 y.,male,,0.03765418740532352,45410,0.03590332289094311,0.039405051919703935
2017,46-65 y.,female,,0.9435724962630793,45410,0.9414501639997712,0.9456948285263873
2017,46-65 y.,female,,0.05642750373692078,45410,0.05430517147361276,0.0585498360002288
2017,66 and older,male,,0.9889885807504079,45410,0.9880287434831762,0.9899484180176396
2017,66 and older,male,,0.01101141924959217,45410,0.01005158198236048,0.01197125651682386
2017,66 and older,female,,0.9856402074192262,45410,0.9845459648413305,0.9867344499971219
2017,66 and older,female,,0.014359792580773833,45410,0.013265550002878155,0.015454035158669511
2019,18-29 y.,male,,0.9946438136047134,42417,0.9939491928897666,0.9953384343196603
2019,18-29 y.,male,,0.005356186395286556,42417,0.004661565680339741,0.006050807110233371
2019,18-29 y.,female,,0.9913836796756209,42417,0.9905041147606707,0.9922632445905711
2019,18-29 y.,female,,0.008616320324379118,42417,0.0077367554094289375,0.009495885239329298
2019,30-45 y.,male,,0.9692706405035172,42417,0.9676282161355196,0.9709130648715147
2019,30-45 y.,male,,0.030729359496482783,42417,0.029086935128485227,0.032371783864480336
2019,30-45 y.,female,,0.9587053571428571,42417,0.9568118125767762,0.960598901708938
2019,30-45 y.,female,,0.041294642857142856,42417,0.039401098291061934,0.04318818742322378
2019,46-65 y.,male,,0.951856946354883,42417,0.9498197224887694,0.9538941702209967
2019,46-65 y.,male,,0.048143053645116916,42417,0.046105829779003314,0.05018027751123052
2019,46-65 y.,female,,0.9403377110694184,42417,0.9380835861566813,0.9425918359821556
2019,46-65 y.,female,,0.05966228893058161,42417,0.0574081640178445,0.061916413843318724
2019,66 and older,male,,0.982830980541778,42417,0.981594753435292,0.9840672076482639
2019,66 and older,male,,0.01716901945822205,42417,0.015932792351736037,0.018405246564708065
2019,66 and older,female,,0.9800235017626322,42417,0.9786919316993136,0.9813550718259508
2019,66 and older,female,,0.0199764982373678,42417,0.018644928174049218,0.021308068300686385
2021,18-29 y.,male,,0.9920049200492005,27598,0.9909542034705557,0.9930556366278452
2021,18-29 y.,male,,0.007995079950799507,27598,0.0069443633721548055,0.009045796529444209
2021,18-29 y.,female,,0.9799870884441575,27598,0.978334812495361,0.981639364392954
2021,18-29 y.,female,,0.020012911555842477,27598,0.018360635607046056,0.0216651875046389
2021,30-45 y.,male,,0.9709016393442623,27598,0.9689185643213051,0.9728847143672196
2021,30-45 y.,male,,0.029098360655737704,27598,0.027115285632780498,0.03108143567869491
2021,30-45 y.,female,,0.949005424954792,27598,0.9464099693645894,0.9516008805449946
2021,30-45 y.,female,,0.050994575045207956,27598,0.04839911945500539,0.05359003063541052
2021,46-65 y.,male,,0.9441048034934498,27598,0.941394520665292,0.9468150863216077
2021,46-65 y.,male,,0.05589519650655022,27598,0.053184913678392315,0.058605479334708124
2021,46-65 y.,female,,0.9243186028049749,27598,0.9211981136061279,0.9274390920038219
2021,46-65 y.,female,,0.07568139719502513,27598,0.07256090799617812,0.07880188639387214
2021,66 and older,male,,0.9743160245672808,27598,0.9724496521312934,0.9761823970032683
2021,66 and older,male,,0.02568397543271915,27598,0.023817602996731753,0.027550347868706547
2021,66 and older,female,,0.9695259593679458,27598,0.9674979871164154,0.9715539316194762
2021,66 and older,female,,0.030474040632054177,27598,0.02844606838052375,0.032502012883584605
