year,bula_h,quintil_oecd,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Schleswig-Holstein,1st Quintile,No,0.98953,184,184,0.97478,1.00428
2017,Schleswig-Holstein,2nd Quintile,No,0.98031,156,156,0.95843,1.00218
2017,Schleswig-Holstein,3rd Quintile,No,0.99305,176,176,0.98074,1.00536
2017,Schleswig-Holstein,4th Quintile,No,0.96610,140,140,0.93601,0.99618
2017,Schleswig-Holstein,5th Quintile,No,0.98068,122,122,0.95615,1.00521
2017,Hamburg,1st Quintile,No,0.98377,74,74,0.95477,1.01276
2017,Hamburg,2nd Quintile,No,0.94955,56,56,0.89170,1.00739
2017,Hamburg,3rd Quintile,No,0.96725,74,74,0.92643,1.00808
2017,Hamburg,4th Quintile,No,0.96337,77,77,0.92113,1.00560
2017,Hamburg,5th Quintile,No,0.99238,107,107,0.97582,1.00893
2017,Lower Saxony,1st Quintile,No,0.98514,504,504,0.97457,0.99572
2017,Lower Saxony,2nd Quintile,No,0.97093,438,438,0.95517,0.98668
2017,Lower Saxony,3rd Quintile,No,0.96639,391,391,0.94850,0.98427
2017,Lower Saxony,4th Quintile,No,0.97959,418,418,0.96602,0.99316
2017,Lower Saxony,5th Quintile,No,0.97413,407,407,0.95869,0.98958
2017,Bremen,1st Quintile,No,0.90653,60,60,0.83225,0.98081
2017,Bremen,2nd Quintile,No,0.99517,39,39,0.97314,1.01721
2017,Bremen,5th Quintile,No,0.94221,37,37,0.86598,1.01843
2017,North Rhine-Westphalia,1st Quintile,No,0.97336,1068,1068,0.96369,0.98302
2017,North Rhine-Westphalia,2nd Quintile,No,0.98457,903,903,0.97653,0.99261
2017,North Rhine-Westphalia,3rd Quintile,No,0.98341,819,819,0.97466,0.99217
2017,North Rhine-Westphalia,4th Quintile,Yes,0.03259,35,884,0.02088,0.04430
2017,North Rhine-Westphalia,4th Quintile,No,0.96741,849,884,0.95570,0.97912
2017,North Rhine-Westphalia,5th Quintile,No,0.97257,969,969,0.96228,0.98286
2017,Hesse,1st Quintile,No,0.96587,312,312,0.94569,0.98605
2017,Hesse,2nd Quintile,No,0.98002,253,253,0.96275,0.99730
2017,Hesse,3rd Quintile,No,0.99623,282,282,0.98907,1.00340
2017,Hesse,4th Quintile,No,0.96689,295,295,0.94643,0.98734
2017,Hesse,5th Quintile,No,0.96097,373,373,0.94129,0.98065
2017,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97015,271,271,0.94985,0.99045
2017,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.97489,331,331,0.95801,0.99177
2017,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97557,251,251,0.95644,0.99471
2017,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.97228,255,255,0.95210,0.99247
2017,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.97285,239,239,0.95220,0.99350
2017,Baden-Wuerttemberg,1st Quintile,No,0.95057,313,313,0.92651,0.97462
2017,Baden-Wuerttemberg,2nd Quintile,No,0.96085,428,428,0.94245,0.97924
2017,Baden-Wuerttemberg,3rd Quintile,No,0.97319,508,508,0.95913,0.98725
2017,Baden-Wuerttemberg,4th Quintile,No,0.96902,622,622,0.95539,0.98265
2017,Baden-Wuerttemberg,5th Quintile,No,0.97760,695,695,0.96659,0.98861
2017,Bavaria,1st Quintile,No,0.96100,506,506,0.94411,0.97788
2017,Bavaria,2nd Quintile,No,0.97297,738,738,0.96126,0.98468
2017,Bavaria,3rd Quintile,No,0.97121,720,720,0.95899,0.98344
2017,Bavaria,4th Quintile,No,0.95961,763,763,0.94563,0.97358
2017,Bavaria,5th Quintile,No,0.96629,800,800,0.95377,0.97880
2017,Berlin,1st Quintile,No,0.95620,202,202,0.92790,0.98449
2017,Berlin,2nd Quintile,No,0.97719,175,175,0.95501,0.99937
2017,Berlin,3rd Quintile,No,0.97873,134,134,0.95420,1.00325
2017,Berlin,4th Quintile,No,0.95801,154,154,0.92623,0.98979
2017,Berlin,5th Quintile,No,0.97966,165,165,0.95805,1.00126
2017,Brandenburg,1st Quintile,No,0.98723,223,223,0.97246,1.00200
2017,Brandenburg,2nd Quintile,No,0.97544,214,214,0.95465,0.99623
2017,Brandenburg,3rd Quintile,No,0.99243,208,208,0.98063,1.00424
2017,Brandenburg,4th Quintile,No,0.99096,113,113,0.97344,1.00849
2017,Brandenburg,5th Quintile,No,0.93550,100,100,0.88711,0.98389
2017,Mecklenburg-Western Pomerania,2nd Quintile,No,0.98258,125,125,0.95955,1.00561
2017,Mecklenburg-Western Pomerania,3rd Quintile,No,0.97416,102,102,0.94322,1.00510
2017,Mecklenburg-Western Pomerania,4th Quintile,No,0.88491,55,55,0.79979,0.97003
2017,Mecklenburg-Western Pomerania,5th Quintile,No,0.98968,61,61,0.96410,1.01525
2017,Saxony,1st Quintile,No,0.99442,324,324,0.98629,1.00254
2017,Saxony,2nd Quintile,No,0.97309,366,366,0.95648,0.98969
2017,Saxony,3rd Quintile,No,0.98029,306,306,0.96469,0.99589
2017,Saxony,4th Quintile,No,0.98067,221,221,0.96247,0.99886
2017,Saxony,5th Quintile,No,0.96276,143,143,0.93162,0.99391
2017,Saxony-Anhalt,1st Quintile,No,0.96060,238,238,0.93583,0.98537
2017,Saxony-Anhalt,2nd Quintile,No,0.99178,184,184,0.97870,1.00486
2017,Saxony-Anhalt,3rd Quintile,No,0.99036,140,140,0.97412,1.00660
2017,Saxony-Anhalt,4th Quintile,No,0.99473,116,116,0.98151,1.00796
2017,Saxony-Anhalt,5th Quintile,No,0.95951,91,91,0.91878,1.00023
2017,Thuringa,1st Quintile,No,0.97553,168,168,0.95209,0.99896
2017,Thuringa,2nd Quintile,No,0.97250,259,259,0.95255,0.99246
2017,Thuringa,3rd Quintile,No,0.97886,156,156,0.95621,1.00151
2017,Thuringa,4th Quintile,No,0.99263,126,126,0.97764,1.00762
2017,Thuringa,5th Quintile,No,0.93832,99,99,0.89068,0.98595
2019,Schleswig-Holstein,1st Quintile,No,0.97301,168,168,0.94844,0.99759
2019,Schleswig-Holstein,2nd Quintile,No,0.98247,192,192,0.96385,1.00108
2019,Schleswig-Holstein,3rd Quintile,No,0.94557,163,163,0.91064,0.98051
2019,Schleswig-Holstein,4th Quintile,No,0.98762,139,139,0.96917,1.00607
2019,Schleswig-Holstein,5th Quintile,No,0.95087,145,145,0.91557,0.98617
2019,Hamburg,1st Quintile,No,0.98766,103,103,0.96624,1.00909
2019,Hamburg,2nd Quintile,No,0.99750,61,61,0.98488,1.01013
2019,Hamburg,3rd Quintile,No,0.90552,68,68,0.83549,0.97556
2019,Hamburg,4th Quintile,No,0.92370,93,93,0.86946,0.97795
2019,Hamburg,5th Quintile,No,0.99187,100,100,0.97418,1.00956
2019,Lower Saxony,1st Quintile,No,0.96928,466,466,0.95359,0.98496
2019,Lower Saxony,2nd Quintile,No,0.95516,439,439,0.93578,0.97454
2019,Lower Saxony,3rd Quintile,No,0.97002,415,415,0.95360,0.98645
2019,Lower Saxony,4th Quintile,No,0.96208,446,446,0.94433,0.97983
2019,Lower Saxony,5th Quintile,No,0.94947,471,471,0.92967,0.96927
2019,Bremen,2nd Quintile,No,0.87895,36,36,0.77089,0.98702
2019,Bremen,4th Quintile,No,0.99190,41,41,0.96413,1.01968
2019,North Rhine-Westphalia,1st Quintile,Yes,0.02832,31,992,0.01799,0.03865
2019,North Rhine-Westphalia,1st Quintile,No,0.97168,961,992,0.96135,0.98201
2019,North Rhine-Westphalia,2nd Quintile,Yes,0.03038,36,1005,0.01976,0.04099
2019,North Rhine-Westphalia,2nd Quintile,No,0.96962,969,1005,0.95901,0.98024
2019,North Rhine-Westphalia,3rd Quintile,No,0.96955,824,824,0.95781,0.98129
2019,North Rhine-Westphalia,4th Quintile,Yes,0.04429,41,914,0.03094,0.05763
2019,North Rhine-Westphalia,4th Quintile,No,0.95571,873,914,0.94237,0.96906
2019,North Rhine-Westphalia,5th Quintile,Yes,0.03684,42,1043,0.02541,0.04828
2019,North Rhine-Westphalia,5th Quintile,No,0.96316,1001,1043,0.95172,0.97459
2019,Hesse,1st Quintile,No,0.96431,236,236,0.94059,0.98803
2019,Hesse,2nd Quintile,No,0.99540,242,242,0.98685,1.00394
2019,Hesse,3rd Quintile,No,0.98378,270,270,0.96869,0.99888
2019,Hesse,4th Quintile,No,0.93672,266,266,0.90741,0.96603
2019,Hesse,5th Quintile,No,0.96401,390,390,0.94549,0.98252
2019,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97844,286,286,0.96158,0.99530
2019,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.98881,287,287,0.97662,1.00100
2019,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.96958,229,229,0.94729,0.99187
2019,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.96065,224,224,0.93513,0.98617
2019,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.97108,254,254,0.95043,0.99173
2019,Baden-Wuerttemberg,1st Quintile,No,0.97393,302,302,0.95593,0.99193
2019,Baden-Wuerttemberg,2nd Quintile,No,0.96084,392,392,0.94161,0.98007
2019,Baden-Wuerttemberg,3rd Quintile,No,0.97807,479,479,0.96494,0.99120
2019,Baden-Wuerttemberg,4th Quintile,No,0.96243,524,524,0.94613,0.97873
2019,Baden-Wuerttemberg,5th Quintile,No,0.97091,674,674,0.95821,0.98360
2019,Bavaria,1st Quintile,No,0.98277,450,450,0.97074,0.99481
2019,Bavaria,2nd Quintile,No,0.95279,660,660,0.93660,0.96898
2019,Bavaria,3rd Quintile,No,0.93420,683,683,0.91559,0.95281
2019,Bavaria,4th Quintile,No,0.98177,719,719,0.97199,0.99156
2019,Bavaria,5th Quintile,No,0.97064,857,857,0.95933,0.98195
2019,Berlin,1st Quintile,No,0.96356,188,188,0.93670,0.99042
2019,Berlin,2nd Quintile,No,0.96203,165,165,0.93278,0.99128
2019,Berlin,3rd Quintile,No,0.92301,142,142,0.87901,0.96701
2019,Berlin,4th Quintile,No,0.97456,138,138,0.94820,1.00093
2019,Berlin,5th Quintile,No,0.88885,165,165,0.84074,0.93696
2019,Brandenburg,1st Quintile,No,0.96642,253,253,0.94417,0.98866
2019,Brandenburg,2nd Quintile,No,0.99314,224,224,0.98231,1.00397
2019,Brandenburg,3rd Quintile,No,0.95491,191,191,0.92541,0.98442
2019,Brandenburg,4th Quintile,No,0.93158,157,157,0.89196,0.97120
2019,Brandenburg,5th Quintile,No,0.91562,120,120,0.86568,0.96556
2019,Mecklenburg-Western Pomerania,1st Quintile,No,0.97902,154,154,0.95631,1.00173
2019,Mecklenburg-Western Pomerania,2nd Quintile,No,0.99739,139,139,0.98888,1.00590
2019,Mecklenburg-Western Pomerania,3rd Quintile,No,0.95020,113,113,0.90991,0.99049
2019,Mecklenburg-Western Pomerania,4th Quintile,No,0.89134,61,61,0.81260,0.97009
2019,Mecklenburg-Western Pomerania,5th Quintile,No,0.96674,51,51,0.91703,1.01644
2019,Saxony,1st Quintile,No,0.98566,292,292,0.97200,0.99932
2019,Saxony,2nd Quintile,No,0.96130,384,384,0.94198,0.98061
2019,Saxony,3rd Quintile,No,0.96290,342,342,0.94284,0.98296
2019,Saxony,4th Quintile,No,0.92352,213,213,0.88774,0.95929
2019,Saxony,5th Quintile,No,0.99420,175,175,0.98291,1.00548
2019,Saxony-Anhalt,1st Quintile,No,0.92792,219,219,0.89359,0.96225
2019,Saxony-Anhalt,2nd Quintile,No,0.96332,204,204,0.93746,0.98918
2019,Saxony-Anhalt,3rd Quintile,No,0.98603,138,138,0.96638,1.00568
2019,Saxony-Anhalt,4th Quintile,No,0.95458,109,109,0.91530,0.99385
2019,Saxony-Anhalt,5th Quintile,No,0.98606,99,99,0.96286,1.00927
2019,Thuringa,1st Quintile,No,0.98546,179,179,0.96787,1.00304
2019,Thuringa,2nd Quintile,No,0.97720,224,224,0.95761,0.99679
2019,Thuringa,3rd Quintile,No,0.98342,187,187,0.96507,1.00177
2019,Thuringa,4th Quintile,No,0.94029,112,112,0.89622,0.98437
2019,Thuringa,5th Quintile,No,0.98614,87,87,0.96143,1.01085
2021,Schleswig-Holstein,1st Quintile,No,0.98557,237,237,0.97036,1.00079
2021,Schleswig-Holstein,2nd Quintile,No,0.94312,130,130,0.90315,0.98309
2021,Schleswig-Holstein,3rd Quintile,No,0.98531,120,120,0.96370,1.00693
2021,Schleswig-Holstein,4th Quintile,No,0.94505,132,132,0.90603,0.98408
2021,Schleswig-Holstein,5th Quintile,No,0.93161,155,155,0.89174,0.97148
2021,Hamburg,1st Quintile,No,0.97793,115,115,0.95095,1.00490
2021,Hamburg,2nd Quintile,No,0.92749,71,71,0.86674,0.98824
2021,Hamburg,3rd Quintile,No,0.88828,55,55,0.80426,0.97230
2021,Hamburg,4th Quintile,No,0.79537,72,72,0.70152,0.88921
2021,Hamburg,5th Quintile,No,0.97161,113,113,0.94085,1.00237
2021,Lower Saxony,1st Quintile,No,0.91625,445,445,0.89048,0.94202
2021,Lower Saxony,2nd Quintile,No,0.94912,328,328,0.92530,0.97294
2021,Lower Saxony,3rd Quintile,No,0.96022,309,309,0.93839,0.98204
2021,Lower Saxony,4th Quintile,No,0.94311,299,299,0.91681,0.96941
2021,Lower Saxony,5th Quintile,No,0.94425,379,379,0.92112,0.96738
