,Unnamed: 0,year,pgisced97,quintil_oecd,ple0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2017,Pre-primary Level,1st Quintile,No,1.0,96,21994,0.76993,1.26934
1,1,2017,Pre-primary Level,2nd Quintile,No,1.0,67,21994,0.75983,1.27043
2,2,2017,Pre-primary Level,3rd Quintile,No,1.0,70,21994,0.75284,1.36259
3,3,2017,Pre-primary Level,4th Quintile,No,1.0,62,21994,0.71989,1.27451
4,4,2017,Pre-primary Level,5th Quintile,No,1.0,50,21994,0.66073,1.4807
5,5,2017,Primary Level,1st Quintile,No,1.0,242,21994,0.85078,1.13424
6,6,2017,Primary Level,2nd Quintile,No,1.0,81,21994,0.77479,1.33025
7,7,2017,Primary Level,3rd Quintile,No,1.0,34,21994,0.67904,1.43126
8,8,2017,Lower Secondary Level,1st Quintile,No,1.0,1010,21994,0.92496,1.07802
9,9,2017,Lower Secondary Level,2nd Quintile,No,1.0,599,21994,0.91404,1.092
10,10,2017,Lower Secondary Level,3rd Quintile,No,1.0,404,21994,0.90764,1.09716
11,11,2017,Lower Secondary Level,4th Quintile,No,1.0,235,21994,0.85896,1.1289
12,12,2017,Lower Secondary Level,5th Quintile,No,1.0,96,21994,0.8026,1.23164
13,13,2017,Upper Secondary Level,1st Quintile,Yes,0.03372,77,21994,0.02269,0.04417
14,14,2017,Upper Secondary Level,1st Quintile,No,0.96628,2085,21994,0.91203,1.01773
15,15,2017,Upper Secondary Level,2nd Quintile,Yes,0.02819,75,21994,0.02145,0.03646
16,16,2017,Upper Secondary Level,2nd Quintile,No,0.97181,2551,21994,0.93116,1.01796
17,17,2017,Upper Secondary Level,3rd Quintile,Yes,0.0124,50,21994,0.00961,0.0155
18,18,2017,Upper Secondary Level,3rd Quintile,No,0.9876,2180,21994,0.939,1.02801
19,19,2017,Upper Secondary Level,4th Quintile,Yes,0.03247,62,21994,0.0252,0.04091
20,20,2017,Upper Secondary Level,4th Quintile,No,0.96753,1878,21994,0.9253,1.00359
21,21,2017,Upper Secondary Level,5th Quintile,Yes,0.03215,41,21994,0.02313,0.04193
22,22,2017,Upper Secondary Level,5th Quintile,No,0.96785,1334,21994,0.91565,1.01675
23,23,2017,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,314,21994,0.85867,1.13451
24,24,2017,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,428,21994,0.87798,1.13906
25,25,2017,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,388,21994,0.88133,1.1031
26,26,2017,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,358,21994,0.8757,1.12762
27,27,2017,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,309,21994,0.86655,1.15579
28,28,2017,First Stage of Tertiary Education,1st Quintile,No,1.0,93,21994,0.80556,1.2499
29,29,2017,First Stage of Tertiary Education,2nd Quintile,No,1.0,232,21994,0.8799,1.12687
30,30,2017,First Stage of Tertiary Education,3rd Quintile,No,1.0,266,21994,0.86943,1.11522
31,31,2017,First Stage of Tertiary Education,4th Quintile,No,1.0,333,21994,0.8805,1.11443
32,32,2017,First Stage of Tertiary Education,5th Quintile,No,1.0,329,21994,0.88281,1.1344
33,33,2017,Second Stage of Tertiary Education,1st Quintile,No,1.0,452,21994,0.88233,1.11653
34,34,2017,Second Stage of Tertiary Education,2nd Quintile,No,1.0,642,21994,0.88907,1.08961
35,35,2017,Second Stage of Tertiary Education,3rd Quintile,No,1.0,884,21994,0.92762,1.07674
36,36,2017,Second Stage of Tertiary Education,4th Quintile,Yes,0.04156,47,21994,0.02969,0.05391
37,37,2017,Second Stage of Tertiary Education,4th Quintile,No,0.95844,1236,21994,0.89385,1.01745
38,38,2017,Second Stage of Tertiary Education,5th Quintile,Yes,0.02671,72,21994,0.02066,0.03598
39,39,2017,Second Stage of Tertiary Education,5th Quintile,No,0.97329,2232,21994,0.92171,1.01787
40,40,2019,Pre-primary Level,1st Quintile,No,1.0,97,21958,0.73509,1.30601
41,41,2019,Pre-primary Level,2nd Quintile,No,1.0,71,21958,0.7306,1.36247
42,42,2019,Pre-primary Level,3rd Quintile,No,1.0,56,21958,0.69145,1.35447
43,43,2019,Pre-primary Level,4th Quintile,No,1.0,46,21958,0.58564,1.7081
44,44,2019,Pre-primary Level,5th Quintile,No,1.0,47,21958,0.68733,1.35077
45,45,2019,Primary Level,1st Quintile,No,1.0,237,21958,0.85109,1.16492
46,46,2019,Primary Level,2nd Quintile,No,1.0,76,21958,0.71752,1.3232
47,47,2019,Primary Level,3rd Quintile,No,1.0,39,21958,0.74122,1.33495
48,48,2019,Lower Secondary Level,1st Quintile,No,1.0,903,21958,0.93086,1.08906
49,49,2019,Lower Secondary Level,2nd Quintile,No,1.0,636,21958,0.90846,1.0852
50,50,2019,Lower Secondary Level,3rd Quintile,No,1.0,364,21958,0.87031,1.09489
51,51,2019,Lower Secondary Level,4th Quintile,No,1.0,241,21958,0.87108,1.12927
52,52,2019,Lower Secondary Level,5th Quintile,No,1.0,117,21958,0.82085,1.23728
53,53,2019,Upper Secondary Level,1st Quintile,Yes,0.03461,62,21958,0.02659,0.04435
