year,quintil_oecd,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,"Yes, happily",0.03378,112,1546,0.02477,0.04279
2009,1st Quintile,"Yes, depending on situation",0.15174,562,1546,0.13385,0.16963
2009,1st Quintile,Rather not,0.13816,487,1546,0.12096,0.15537
2009,1st Quintile,Never,0.11704,385,1546,0.10101,0.13307
2009,2nd Quintile,"Yes, happily",0.02823,90,1538,0.01995,0.03651
2009,2nd Quintile,"Yes, depending on situation",0.13534,567,1538,0.11823,0.15244
2009,2nd Quintile,Rather not,0.13515,515,1538,0.11805,0.15224
2009,2nd Quintile,Never,0.10838,366,1538,0.09284,0.12392
2009,3rd Quintile,"Yes, happily",0.01703,89,1816,0.01108,0.02298
2009,3rd Quintile,"Yes, depending on situation",0.17116,775,1816,0.15383,0.18849
2009,3rd Quintile,Rather not,0.16599,604,1816,0.14888,0.18311
2009,3rd Quintile,Never,0.09343,348,1816,0.08004,0.10682
2009,4th Quintile,"Yes, happily",0.02679,111,2078,0.01985,0.03374
2009,4th Quintile,"Yes, depending on situation",0.19319,858,2078,0.17621,0.21017
2009,4th Quintile,Rather not,0.17298,767,2078,0.15671,0.18924
2009,4th Quintile,Never,0.08448,342,2078,0.07252,0.09644
2009,5th Quintile,"Yes, happily",0.03194,194,3036,0.02569,0.03820
2009,5th Quintile,"Yes, depending on situation",0.22447,1288,3036,0.20962,0.23931
2009,5th Quintile,Rather not,0.22592,1116,3036,0.21104,0.24080
2009,5th Quintile,Never,0.08858,438,3036,0.07847,0.09869
2014,1st Quintile,"Yes, happily",0.04508,331,5666,0.03968,0.05048
2014,1st Quintile,"Yes, depending on situation",0.18472,1344,5666,0.17462,0.19483
2014,1st Quintile,Rather not,0.17930,1404,5666,0.16931,0.18929
2014,1st Quintile,Never,0.36117,2587,5666,0.34866,0.37368
2014,2nd Quintile,"Yes, happily",0.02734,237,5376,0.02298,0.03170
2014,2nd Quintile,"Yes, depending on situation",0.18646,1301,5376,0.17604,0.19687
2014,2nd Quintile,Rather not,0.20427,1429,5376,0.19349,0.21504
2014,2nd Quintile,Never,0.37127,2409,5376,0.35835,0.38418
2014,3rd Quintile,"Yes, happily",0.03976,240,5072,0.03438,0.04514
2014,3rd Quintile,"Yes, depending on situation",0.20201,1338,5072,0.19096,0.21306
2014,3rd Quintile,Rather not,0.24728,1463,5072,0.23541,0.25916
2014,3rd Quintile,Never,0.33056,2031,5072,0.31761,0.34350
2014,4th Quintile,"Yes, happily",0.03695,246,5057,0.03175,0.04215
2014,4th Quintile,"Yes, depending on situation",0.24211,1447,5057,0.23030,0.25391
2014,4th Quintile,Rather not,0.26047,1532,5057,0.24837,0.27257
2014,4th Quintile,Never,0.30305,1832,5057,0.29038,0.31571
2014,5th Quintile,"Yes, happily",0.04806,298,5303,0.04230,0.05382
2014,5th Quintile,"Yes, depending on situation",0.29368,1813,5303,0.28142,0.30594
2014,5th Quintile,Rather not,0.26197,1644,5303,0.25013,0.27380
2014,5th Quintile,Never,0.27020,1548,5303,0.25824,0.28215
2019,1st Quintile,"Yes, happily",0.05063,299,4269,0.04405,0.05721
2019,1st Quintile,"Yes, depending on situation",0.17468,996,4269,0.16329,0.18607
2019,1st Quintile,Rather not,0.18403,1051,4269,0.17240,0.19566
2019,1st Quintile,Never,0.32847,1923,4269,0.31438,0.34256
2019,2nd Quintile,"Yes, happily",0.04210,239,4655,0.03633,0.04787
2019,2nd Quintile,"Yes, depending on situation",0.16439,1073,4655,0.15375,0.17504
2019,2nd Quintile,Rather not,0.21731,1242,4655,0.20547,0.22916
2019,2nd Quintile,Never,0.37281,2101,4655,0.35892,0.38670
2019,3rd Quintile,"Yes, happily",0.03833,211,4419,0.03267,0.04399
2019,3rd Quintile,"Yes, depending on situation",0.20630,1168,4419,0.19437,0.21823
2019,3rd Quintile,Rather not,0.23402,1279,4419,0.22153,0.24650
2019,3rd Quintile,Never,0.33409,1761,4419,0.32018,0.34800
2019,4th Quintile,"Yes, happily",0.04584,205,4181,0.03950,0.05218
2019,4th Quintile,"Yes, depending on situation",0.22911,1235,4181,0.21637,0.24185
2019,4th Quintile,Rather not,0.25585,1271,4181,0.24262,0.26908
2019,4th Quintile,Never,0.29972,1470,4181,0.28583,0.31361
2019,5th Quintile,"Yes, happily",0.05845,275,4671,0.05172,0.06517
2019,5th Quintile,"Yes, depending on situation",0.26664,1526,4671,0.25396,0.27932
2019,5th Quintile,Rather not,0.28654,1514,4671,0.27357,0.29951
2019,5th Quintile,Never,0.26539,1356,4671,0.25273,0.27806
