year,age_gr,quintil_oecd,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,1st Quintile,"Yes, happily",0.08054,61,579,0.05836,0.10273
2009,17-29 y.,1st Quintile,"Yes, depending on situation",0.30537,252,579,0.26782,0.34292
2009,17-29 y.,1st Quintile,Rather not,0.24281,178,579,0.20785,0.27776
2009,17-29 y.,1st Quintile,Never,0.13064,88,579,0.10317,0.15812
2009,17-29 y.,2nd Quintile,"Yes, happily",0.06760,36,401,0.04300,0.09221
2009,17-29 y.,2nd Quintile,"Yes, depending on situation",0.23735,169,401,0.19565,0.27904
2009,17-29 y.,2nd Quintile,Rather not,0.24636,128,401,0.20414,0.28859
2009,17-29 y.,2nd Quintile,Never,0.16262,68,401,0.12646,0.19879
2009,17-29 y.,3rd Quintile,"Yes, happily",0.04445,37,454,0.02547,0.06342
2009,17-29 y.,3rd Quintile,"Yes, depending on situation",0.30065,215,454,0.25842,0.34287
2009,17-29 y.,3rd Quintile,Rather not,0.29020,140,454,0.24840,0.33199
2009,17-29 y.,3rd Quintile,Never,0.10430,62,454,0.07615,0.13244
2009,17-29 y.,4th Quintile,"Yes, happily",0.05926,44,456,0.03757,0.08096
2009,17-29 y.,4th Quintile,"Yes, depending on situation",0.28337,198,456,0.24196,0.32478
2009,17-29 y.,4th Quintile,Rather not,0.26372,155,456,0.22323,0.30421
2009,17-29 y.,4th Quintile,Never,0.10603,59,456,0.07774,0.13432
2009,17-29 y.,5th Quintile,"Yes, happily",0.04016,38,422,0.02141,0.05892
2009,17-29 y.,5th Quintile,"Yes, depending on situation",0.32022,169,422,0.27565,0.36479
2009,17-29 y.,5th Quintile,Rather not,0.32258,163,422,0.27792,0.36723
2009,17-29 y.,5th Quintile,Never,0.10766,52,422,0.07805,0.13727
2009,30-45 y.,1st Quintile,"Yes, depending on situation",0.23475,167,403,0.19332,0.27619
2009,30-45 y.,1st Quintile,Rather not,0.18666,133,403,0.14857,0.22475
2009,30-45 y.,1st Quintile,Never,0.17453,103,403,0.13743,0.21164
2009,30-45 y.,2nd Quintile,"Yes, depending on situation",0.21076,175,497,0.17487,0.24666
2009,30-45 y.,2nd Quintile,Rather not,0.20643,185,497,0.17081,0.24205
2009,30-45 y.,2nd Quintile,Never,0.17724,137,497,0.14363,0.21085
2009,30-45 y.,3rd Quintile,"Yes, depending on situation",0.25212,254,570,0.21644,0.28780
2009,30-45 y.,3rd Quintile,Rather not,0.22277,212,570,0.18858,0.25696
2009,30-45 y.,3rd Quintile,Never,0.12603,104,570,0.09876,0.15329
2009,30-45 y.,4th Quintile,"Yes, happily",0.04709,41,719,0.03159,0.06258
2009,30-45 y.,4th Quintile,"Yes, depending on situation",0.27756,283,719,0.24480,0.31031
2009,30-45 y.,4th Quintile,Rather not,0.24962,285,719,0.21796,0.28128
2009,30-45 y.,4th Quintile,Never,0.10900,110,719,0.08621,0.13180
2009,30-45 y.,5th Quintile,"Yes, happily",0.04633,62,856,0.03224,0.06042
2009,30-45 y.,5th Quintile,"Yes, depending on situation",0.28853,363,856,0.25816,0.31890
2009,30-45 y.,5th Quintile,Rather not,0.30349,316,856,0.27267,0.33431
2009,30-45 y.,5th Quintile,Never,0.11219,115,856,0.09104,0.13335
2009,46-65 y.,1st Quintile,"Yes, depending on situation",0.15844,121,368,0.12108,0.19580
2009,46-65 y.,1st Quintile,Rather not,0.16339,126,368,0.12556,0.20121
