year,migback,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,"Yes, happily",0.03003,546,8620,0.02643,0.03364
2009,No migration background,"Yes, depending on situation",0.18871,3680,8620,0.18045,0.19697
2009,No migration background,Rather not,0.16257,2978,8620,0.15478,0.17036
2009,No migration background,Never,0.08464,1416,8620,0.07876,0.09052
2009,Direct migration background,"Yes, depending on situation",0.12350,212,872,0.10165,0.14535
2009,Direct migration background,Rather not,0.20754,328,872,0.18061,0.23447
2009,Direct migration background,Never,0.20283,332,872,0.17613,0.22954
2009,Indirect migration background,"Yes, depending on situation",0.10242,158,474,0.07510,0.12975
2009,Indirect migration background,Rather not,0.16779,184,474,0.13412,0.20147
2009,Indirect migration background,Never,0.10086,132,474,0.07372,0.12800
2014,No migration background,"Yes, happily",0.04057,991,19708,0.03781,0.04332
2014,No migration background,"Yes, depending on situation",0.23369,5670,19708,0.22778,0.23960
2014,No migration background,Rather not,0.23868,5679,19708,0.23273,0.24463
2014,No migration background,Never,0.32380,7368,19708,0.31727,0.33034
2014,Direct migration background,"Yes, happily",0.03541,254,5092,0.03033,0.04048
2014,Direct migration background,"Yes, depending on situation",0.20735,1116,5092,0.19621,0.21848
2014,Direct migration background,Rather not,0.24321,1313,5092,0.23142,0.25499
2014,Direct migration background,Never,0.45403,2409,5092,0.44035,0.46771
2014,Indirect migration background,"Yes, happily",0.03466,107,1681,0.02591,0.04341
2014,Indirect migration background,"Yes, depending on situation",0.13085,457,1681,0.11473,0.14698
2014,Indirect migration background,Rather not,0.13706,483,1681,0.12062,0.15351
2014,Indirect migration background,Never,0.17225,634,1681,0.15419,0.19031
2019,No migration background,"Yes, happily",0.05130,1202,19706,0.04822,0.05438
2019,No migration background,"Yes, depending on situation",0.22555,5749,19706,0.21971,0.23138
2019,No migration background,Rather not,0.24174,5622,19706,0.23576,0.24771
2019,No migration background,Never,0.31594,7133,19706,0.30945,0.32243
2019,Direct migration background,"Yes, happily",0.04446,196,3831,0.03794,0.05099
2019,Direct migration background,"Yes, depending on situation",0.18091,812,3831,0.16872,0.19311
2019,Direct migration background,Rather not,0.23412,1020,3831,0.22071,0.24753
2019,Direct migration background,Never,0.41241,1803,3831,0.39682,0.42800
2019,Indirect migration background,"Yes, happily",0.02995,108,1542,0.02144,0.03846
2019,Indirect migration background,"Yes, depending on situation",0.12449,411,1542,0.10801,0.14097
2019,Indirect migration background,Rather not,0.16869,463,1542,0.14999,0.18738
2019,Indirect migration background,Never,0.18190,560,1542,0.16264,0.20116
