,Unnamed: 0,year,regtyp,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Urban regions,male,At least once per week,0.10975,517,13633,0.10311,0.11527
1,1,1990,Urban regions,male,At least once per month,0.08047,388,13633,0.07455,0.0876
2,2,1990,Urban regions,male,Seldom,0.29198,1214,13633,0.2819,0.30147
3,3,1990,Urban regions,male,Never,0.5178,2227,13633,0.50216,0.53267
4,4,1990,Urban regions,female,At least once per week,0.15079,652,13633,0.14167,0.15935
5,5,1990,Urban regions,female,At least once per month,0.11652,510,13633,0.10981,0.12406
6,6,1990,Urban regions,female,Seldom,0.29346,1301,13633,0.28323,0.30381
7,7,1990,Urban regions,female,Never,0.43923,2055,13633,0.42537,0.45288
8,8,1990,Rural regions,male,At least once per week,0.10471,188,13633,0.09708,0.11322
9,9,1990,Rural regions,male,At least once per month,0.08886,160,13633,0.08094,0.09592
10,10,1990,Rural regions,male,Seldom,0.28052,546,13633,0.26482,0.29838
11,11,1990,Rural regions,male,Never,0.5259,1420,13633,0.50638,0.54561
12,12,1990,Rural regions,female,At least once per week,0.14487,260,13633,0.13625,0.1554
13,13,1990,Rural regions,female,At least once per month,0.1317,261,13633,0.12298,0.14034
14,14,1990,Rural regions,female,Seldom,0.26754,591,13633,0.25431,0.28109
15,15,1990,Rural regions,female,Never,0.45589,1343,13633,0.44034,0.47329
16,16,1992,Urban regions,male,At least once per week,0.09765,440,13074,0.09152,0.1046
17,17,1992,Urban regions,male,At least once per month,0.06861,356,13074,0.06335,0.07459
18,18,1992,Urban regions,male,Seldom,0.27443,1093,13074,0.26378,0.28445
19,19,1992,Urban regions,male,Never,0.55931,2282,13074,0.54237,0.57438
20,20,1992,Urban regions,female,At least once per week,0.12865,547,13074,0.12107,0.13818
21,21,1992,Urban regions,female,At least once per month,0.10356,460,13074,0.09612,0.11141
22,22,1992,Urban regions,female,Seldom,0.28558,1198,13074,0.2753,0.29562
23,23,1992,Urban regions,female,Never,0.48221,2192,13074,0.46717,0.49446
24,24,1992,Rural regions,male,At least once per week,0.09861,172,13074,0.08911,0.10958
25,25,1992,Rural regions,male,At least once per month,0.07018,127,13074,0.06278,0.07792
26,26,1992,Rural regions,male,Seldom,0.25898,491,13074,0.24567,0.27386
27,27,1992,Rural regions,male,Never,0.57222,1393,13074,0.55221,0.59429
28,28,1992,Rural regions,female,At least once per week,0.12688,226,13074,0.11753,0.13664
29,29,1992,Rural regions,female,At least once per month,0.09835,188,13074,0.09064,0.10674
30,30,1992,Rural regions,female,Seldom,0.27725,580,13074,0.26428,0.29071
31,31,1992,Rural regions,female,Never,0.49752,1329,13074,0.47902,0.51837
32,32,1994,Urban regions,male,At least once per week,0.08752,415,12788,0.08169,0.09369
33,33,1994,Urban regions,male,At least once per month,0.07749,361,12788,0.07194,0.08427
34,34,1994,Urban regions,male,Seldom,0.28535,1118,12788,0.27403,0.29617
35,35,1994,Urban regions,male,Never,0.54964,2168,12788,0.53206,0.56618
36,36,1994,Urban regions,female,At least once per week,0.13133,531,12788,0.12344,0.13832
37,37,1994,Urban regions,female,At least once per month,0.09731,472,12788,0.09025,0.10455
