,Unnamed: 0,year,pgisced97,quintil_oecd,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Primary Level,1st Quintile,At least once per week,0.17189,52,8300,0.12488,0.23288
1,1,1990,Primary Level,1st Quintile,At least once per month,0.13347,36,8300,0.08133,0.20067
2,2,1990,Primary Level,1st Quintile,Seldom,0.21748,35,8300,0.14426,0.30515
3,3,1990,Primary Level,1st Quintile,Never,0.47716,112,8300,0.40381,0.55859
4,4,1990,Primary Level,2nd Quintile,At least once per week,0.19067,36,8300,0.14459,0.25023
5,5,1990,Primary Level,2nd Quintile,Seldom,0.19302,32,8300,0.14568,0.25013
6,6,1990,Primary Level,2nd Quintile,Never,0.61631,63,8300,0.48724,0.73663
7,7,1990,Primary Level,3rd Quintile,Seldom,0.51307,39,8300,0.33879,0.68813
8,8,1990,Primary Level,3rd Quintile,Never,0.48693,46,8300,0.33709,0.66711
9,9,1990,Primary Level,4th Quintile,Never,1.0,36,8300,0.64399,1.29731
10,10,1990,Lower Secondary Level,1st Quintile,At least once per week,0.2196,153,8300,0.19688,0.2446
11,11,1990,Lower Secondary Level,1st Quintile,At least once per month,0.15272,100,8300,0.12891,0.17807
12,12,1990,Lower Secondary Level,1st Quintile,Seldom,0.22946,179,8300,0.20659,0.25969
13,13,1990,Lower Secondary Level,1st Quintile,Never,0.39822,290,8300,0.36475,0.43438
14,14,1990,Lower Secondary Level,2nd Quintile,At least once per week,0.18664,100,8300,0.16108,0.21254
15,15,1990,Lower Secondary Level,2nd Quintile,At least once per month,0.13681,72,8300,0.11741,0.15827
16,16,1990,Lower Secondary Level,2nd Quintile,Seldom,0.32246,181,8300,0.29055,0.34899
17,17,1990,Lower Secondary Level,2nd Quintile,Never,0.35408,221,8300,0.32185,0.38872
18,18,1990,Lower Secondary Level,3rd Quintile,At least once per week,0.18358,81,8300,0.15429,0.21089
19,19,1990,Lower Secondary Level,3rd Quintile,At least once per month,0.10822,68,8300,0.08627,0.12562
20,20,1990,Lower Secondary Level,3rd Quintile,Seldom,0.31667,157,8300,0.28331,0.3485
21,21,1990,Lower Secondary Level,3rd Quintile,Never,0.39153,204,8300,0.34951,0.43216
22,22,1990,Lower Secondary Level,4th Quintile,At least once per week,0.16316,70,8300,0.14302,0.18437
23,23,1990,Lower Secondary Level,4th Quintile,At least once per month,0.13919,56,8300,0.11878,0.1592
24,24,1990,Lower Secondary Level,4th Quintile,Seldom,0.29174,121,8300,0.26236,0.32672
25,25,1990,Lower Secondary Level,4th Quintile,Never,0.4059,170,8300,0.36128,0.44529
26,26,1990,Lower Secondary Level,5th Quintile,At least once per week,0.19704,36,8300,0.16821,0.2262
27,27,1990,Lower Secondary Level,5th Quintile,Seldom,0.35878,73,8300,0.31507,0.41086
28,28,1990,Lower Secondary Level,5th Quintile,Never,0.44418,94,8300,0.38292,0.50639
29,29,1990,Upper Secondary Level,1st Quintile,At least once per week,0.1744,134,8300,0.15342,0.19684
30,30,1990,Upper Secondary Level,1st Quintile,At least once per month,0.13508,86,8300,0.11771,0.15185
31,31,1990,Upper Secondary Level,1st Quintile,Seldom,0.25675,182,8300,0.23438,0.27621
32,32,1990,Upper Secondary Level,1st Quintile,Never,0.43377,291,8300,0.40013,0.46331
33,33,1990,Upper Secondary Level,2nd Quintile,At least once per week,0.13323,124,8300,0.11919,0.15077
34,34,1990,Upper Secondary Level,2nd Quintile,At least once per month,0.13018,104,8300,0.11843,0.14424
35,35,1990,Upper Secondary Level,2nd Quintile,Seldom,0.32333,307,8300,0.30379,0.33964
36,36,1990,Upper Secondary Level,2nd Quintile,Never,0.41325,355,8300,0.38502,0.43884
37,37,1990,Upper Secondary Level,3rd Quintile,At least once per week,0.12157,128,8300,0.10961,0.13555
38,38,1990,Upper Secondary Level,3rd Quintile,At least once per month,0.10292,112,8300,0.09071,0.11396
39,39,1990,Upper Secondary Level,3rd Quintile,Seldom,0.37725,360,8300,0.35379,0.39959
40,40,1990,Upper Secondary Level,3rd Quintile,Never,0.39826,374,8300,0.37572,0.41985
41,41,1990,Upper Secondary Level,4th Quintile,At least once per week,0.12275,129,8300,0.11287,0.13352
42,42,1990,Upper Secondary Level,4th Quintile,At least once per month,0.10714,123,8300,0.09692,0.11925
43,43,1990,Upper Secondary Level,4th Quintile,Seldom,0.31832,338,8300,0.301,0.33747
44,44,1990,Upper Secondary Level,4th Quintile,Never,0.45179,464,8300,0.43151,0.4743
45,45,1990,Upper Secondary Level,5th Quintile,At least once per week,0.11422,103,8300,0.10566,0.1231
46,46,1990,Upper Secondary Level,5th Quintile,At least once per month,0.10008,95,8300,0.08781,0.11123
47,47,1990,Upper Secondary Level,5th Quintile,Seldom,0.35307,319,8300,0.33241,0.37467
48,48,1990,Upper Secondary Level,5th Quintile,Never,0.43262,387,8300,0.41068,0.45029
49,49,1990,Post-secondary Non-tertiary Level,4th Quintile,Never,1.0,37,8300,0.80535,1.22616
50,50,1990,Post-secondary Non-tertiary Level,5th Quintile,Never,1.0,36,8300,0.8301,1.1926
51,51,1990,First Stage of Tertiary Education,2nd Quintile,Never,1.0,31,8300,0.85525,1.14938
52,52,1990,First Stage of Tertiary Education,3rd Quintile,Never,1.0,38,8300,0.83788,1.21412
53,53,1990,First Stage of Tertiary Education,4th Quintile,Seldom,0.47301,42,8300,0.42228,0.51294
54,54,1990,First Stage of Tertiary Education,4th Quintile,Never,0.52699,42,8300,0.46929,0.59311
55,55,1990,First Stage of Tertiary Education,5th Quintile,Seldom,0.42717,64,8300,0.37436,0.47593
56,56,1990,First Stage of Tertiary Education,5th Quintile,Never,0.57283,69,8300,0.5222,0.637
57,57,1990,Second Stage of Tertiary Education,3rd Quintile,Never,1.0,37,8300,0.83998,1.19334
58,58,1990,Second Stage of Tertiary Education,4th Quintile,Seldom,0.43539,51,8300,0.37795,0.50516
59,59,1990,Second Stage of Tertiary Education,4th Quintile,Never,0.56461,70,8300,0.49862,0.61456
60,60,1990,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.17023,56,8300,0.14942,0.18504
61,61,1990,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.11706,41,8300,0.1005,0.13255
62,62,1990,Second Stage of Tertiary Education,5th Quintile,Seldom,0.33738,121,8300,0.31187,0.3621
63,63,1990,Second Stage of Tertiary Education,5th Quintile,Never,0.37534,137,8300,0.35049,0.40182
64,64,1992,Primary Level,1st Quintile,Never,1.0,94,12177,0.82233,1.15348
65,65,1992,Primary Level,2nd Quintile,At least once per week,0.22006,32,12177,0.16083,0.28873
66,66,1992,Primary Level,2nd Quintile,Seldom,0.26388,32,12177,0.18828,0.33709
67,67,1992,Primary Level,2nd Quintile,Never,0.51606,58,12177,0.41467,0.61666
68,68,1992,Primary Level,3rd Quintile,Seldom,0.30214,37,12177,0.20297,0.448
69,69,1992,Primary Level,3rd Quintile,Never,0.69786,68,12177,0.58686,0.85136
70,70,1992,Primary Level,4th Quintile,Seldom,0.30365,34,12177,0.23772,0.38908
71,71,1992,Primary Level,4th Quintile,Never,0.69635,52,12177,0.57135,0.85929
72,72,1992,Lower Secondary Level,1st Quintile,At least once per week,0.12747,91,12177,0.11002,0.14569
73,73,1992,Lower Secondary Level,1st Quintile,At least once per month,0.09541,69,12177,0.07745,0.11541
74,74,1992,Lower Secondary Level,1st Quintile,Seldom,0.22236,146,12177,0.20087,0.24447
