"pli0098_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","Westdeutschland, alte Bundeslaender","maennlich","37","0.0054351946551674","0.00332649976639098","0.00754388954394382"
"Taeglich","1990","Westdeutschland, alte Bundeslaender","weiblich","42","0.00890708012538819","0.00624493341091956","0.0115692268398568"
"Taeglich","1990","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1990","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1990","Westdeutschland, alte Bundeslaender","maennlich","603","0.121974241837003","0.112588311148843","0.131360172525163"
"Min 1x pro Woche","1990","Westdeutschland, alte Bundeslaender","weiblich","784","0.164600338866637","0.154093559081722","0.175107118651552"
"Min 1x pro Woche","1990","Ostdeutschland, neue Bundeslaender","maennlich","73","0.0379181209565946","0.0296782072085295","0.0461580347046597"
"Min 1x pro Woche","1990","Ostdeutschland, neue Bundeslaender","weiblich","91","0.0425979649314755","0.0343212764843186","0.0508746533786324"
"Min 1x pro Monat","1990","Westdeutschland, alte Bundeslaender","maennlich","491","0.0956807936540232","0.0872442819644856","0.104117305343561"
"Min 1x pro Monat","1990","Westdeutschland, alte Bundeslaender","weiblich","641","0.134625678976055","0.124954641299499","0.14429671665261"
"Min 1x pro Monat","1990","Ostdeutschland, neue Bundeslaender","maennlich","61","0.0300619858693401","0.0226952674828819","0.0374287042557982"
"Min 1x pro Monat","1990","Ostdeutschland, neue Bundeslaender","weiblich","138","0.0677414221726459","0.0574420593461832","0.0780407849991085"
"Seltener","1990","Westdeutschland, alte Bundeslaender","maennlich","1455","0.320408628562259","0.307025252534837","0.333792004589681"
"Seltener","1990","Westdeutschland, alte Bundeslaender","weiblich","1502","0.310108826343892","0.297003299691519","0.323214352996264"
"Seltener","1990","Ostdeutschland, neue Bundeslaender","maennlich","314","0.143212049948595","0.128100128058651","0.158323971838539"
"Seltener","1990","Ostdeutschland, neue Bundeslaender","weiblich","403","0.171252515321987","0.155812611173796","0.186692419470178"
"Nie","1990","Westdeutschland, alte Bundeslaender","maennlich","2084","0.456501141291547","0.442215165732452","0.470787116850643"
"Nie","1990","Westdeutschland, alte Bundeslaender","weiblich","1816","0.381758075688028","0.367992941086251","0.395523210289805"
"Nie","1990","Ostdeutschland, neue Bundeslaender","maennlich","1616","0.78880784322547","0.771199530313013","0.806416156137928"
"Nie","1990","Ostdeutschland, neue Bundeslaender","weiblich","1655","0.718408097573891","0.699974474661501","0.736841720486282"
"Taeglich","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Seltener","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Seltener","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Seltener","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Seltener","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nie","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Nie","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Nie","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nie","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Taeglich","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1992","Westdeutschland, alte Bundeslaender","maennlich","555","0.114630665745703","0.10538718583268","0.123874145658726"
"Min 1x pro Woche","1992","Westdeutschland, alte Bundeslaender","weiblich","704","0.151999543566788","0.141795036863519","0.162204050270057"
"Min 1x pro Woche","1992","Ostdeutschland, neue Bundeslaender","maennlich","62","0.0379911843969495","0.0293425627731096","0.0466398060207893"
"Min 1x pro Woche","1992","Ostdeutschland, neue Bundeslaender","weiblich","80","0.0381505470181603","0.0299123195611464","0.0463887744751742"
"Min 1x pro Monat","1992","Westdeutschland, alte Bundeslaender","maennlich","434","0.0791632275278951","0.0713293652940936","0.0869970897616966"
"Min 1x pro Monat","1992","Westdeutschland, alte Bundeslaender","weiblich","564","0.114813206023478","0.10575199560689","0.123874416440066"
"Min 1x pro Monat","1992","Ostdeutschland, neue Bundeslaender","maennlich","51","0.0258178992279897","0.0186433192988345","0.0329924791571449"
"Min 1x pro Monat","1992","Ostdeutschland, neue Bundeslaender","weiblich","91","0.0502122028625316","0.0408204258451814","0.0596039798798818"
"Seltener","1992","Westdeutschland, alte Bundeslaender","maennlich","1330","0.301841619293017","0.288522074107393","0.315161164478641"
"Seltener","1992","Westdeutschland, alte Bundeslaender","weiblich","1446","0.31174996698531","0.298584109221727","0.324915824748894"
"Seltener","1992","Ostdeutschland, neue Bundeslaender","maennlich","264","0.1364546342417","0.120925305685744","0.151983962797655"
"Seltener","1992","Ostdeutschland, neue Bundeslaender","weiblich","351","0.164997875593959","0.149034938241323","0.180960812946595"
"Nie","1992","Westdeutschland, alte Bundeslaender","maennlich","2244","0.504364487433385","0.489857530732537","0.518871444134234"
"Nie","1992","Westdeutschland, alte Bundeslaender","weiblich","2041","0.421437283424423","0.407402215166232","0.435472351682615"
"Nie","1992","Ostdeutschland, neue Bundeslaender","maennlich","1500","0.799736282133361","0.78163161719994","0.817840947066782"
"Nie","1992","Ostdeutschland, neue Bundeslaender","weiblich","1555","0.746639374525349","0.727934497878003","0.765344251172695"
"Taeglich","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Seltener","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Seltener","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Seltener","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Seltener","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nie","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Nie","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Nie","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nie","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Taeglich","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
