"pli0098_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","(noch) kein Abschluss","13","","",""
"Täglich","1990","Hauptschule","55","0.00782532517626335","0.00575255547453775","0.00989809487798896"
"Täglich","1990","Realschule","2","","",""
"Täglich","1990","(Fach-)Abitur","1","","",""
"Täglich","1990","AkademikerIn","5","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","152","0.144320463362619","0.121036141454075","0.167604785271163"
"Min 1x pro Woche","1990","Hauptschule","851","0.134297534066465","0.126276615025344","0.142318453107585"
"Min 1x pro Woche","1990","Realschule","276","0.10130535162746","0.0907884108065814","0.111822292448339"
"Min 1x pro Woche","1990","(Fach-)Abitur","97","0.116838620342195","0.095542248586434","0.138134992097957"
"Min 1x pro Woche","1990","AkademikerIn","141","0.104878861423866","0.0901572171773501","0.119600505670382"
"Min 1x pro Monat","1990","(noch) kein Abschluss","120","0.12146499399359","0.0998204138177943","0.143109574169386"
"Min 1x pro Monat","1990","Hauptschule","744","0.114574171707036","0.107081697739146","0.122066645674926"
"Min 1x pro Monat","1990","Realschule","243","0.0919139719554729","0.0818441585747862","0.10198378533616"
"Min 1x pro Monat","1990","(Fach-)Abitur","72","0.0644514481686825","0.0481719175032602","0.0807309788341048"
"Min 1x pro Monat","1990","AkademikerIn","117","0.0865251489577742","0.0730171535137836","0.100033144401765"
"Seltener","1990","(noch) kein Abschluss","208","0.291015470928658","0.260918659827749","0.321112282029567"
"Seltener","1990","Hauptschule","1987","0.298202128606235","0.287440768131524","0.308963489080946"
"Seltener","1990","Realschule","781","0.270454163313523","0.254971691944688","0.285936634682358"
"Seltener","1990","(Fach-)Abitur","237","0.27080642073335","0.241345706517917","0.300267134948783"
"Seltener","1990","AkademikerIn","394","0.272059241275858","0.250677100239611","0.293441382312105"
"Nie","1990","(noch) kein Abschluss","382","0.434350396144009","0.401507766787336","0.467193025500682"
"Nie","1990","Hauptschule","3305","0.445100840444001","0.433410099769805","0.456791581118196"
"Nie","1990","Realschule","1860","0.535267236537165","0.517883059568168","0.552651413506162"
"Nie","1990","(Fach-)Abitur","467","0.547752250779391","0.514755386750594","0.580749114808188"
"Nie","1990","AkademikerIn","1007","0.526833374786687","0.502844210321026","0.550822539252347"
"Täglich","1991","(noch) kein Abschluss","","","",""
"Täglich","1991","Hauptschule","","","",""
"Täglich","1991","Realschule","","","",""
"Täglich","1991","(Fach-)Abitur","","","",""
"Täglich","1991","AkademikerIn","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","Hauptschule","","","",""
"Min 1x pro Woche","1991","Realschule","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","AkademikerIn","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","Hauptschule","","","",""
"Min 1x pro Monat","1991","Realschule","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","AkademikerIn","","","",""
"Seltener","1991","(noch) kein Abschluss","","","",""
"Seltener","1991","Hauptschule","","","",""
"Seltener","1991","Realschule","","","",""
"Seltener","1991","(Fach-)Abitur","","","",""
"Seltener","1991","AkademikerIn","","","",""
"Nie","1991","(noch) kein Abschluss","","","",""
"Nie","1991","Hauptschule","","","",""
"Nie","1991","Realschule","","","",""
"Nie","1991","(Fach-)Abitur","","","",""
"Nie","1991","AkademikerIn","","","",""
"Täglich","1992","(noch) kein Abschluss","","","",""
"Täglich","1992","Hauptschule","","","",""
"Täglich","1992","Realschule","","","",""
"Täglich","1992","(Fach-)Abitur","","","",""
"Täglich","1992","AkademikerIn","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","147","0.134897722441059","0.112132281127864","0.157663163754254"
"Min 1x pro Woche","1992","Hauptschule","737","0.123204701457731","0.11519668166888","0.131212721246581"
"Min 1x pro Woche","1992","Realschule","236","0.0905865425060872","0.0804468143102039","0.10072627070197"
"Min 1x pro Woche","1992","(Fach-)Abitur","95","0.10202608752738","0.0821515644723333","0.121900610582427"
"Min 1x pro Woche","1992","AkademikerIn","144","0.110594791155556","0.0954111551148837","0.125778427196229"
"Min 1x pro Monat","1992","(noch) kein Abschluss","105","0.091567106853757","0.0723469817991424","0.110787231908372"
"Min 1x pro Monat","1992","Hauptschule","638","0.0952983512975159","0.0881442056809021","0.10245249691413"
"Min 1x pro Monat","1992","Realschule","190","0.0684778405037334","0.0595553641306812","0.0774003168767857"
"Min 1x pro Monat","1992","(Fach-)Abitur","73","0.0829444307275164","0.0648351717002709","0.101053689754762"
"Min 1x pro Monat","1992","AkademikerIn","97","0.0749933964361327","0.0622424464470645","0.0877443464252009"
"Seltener","1992","(noch) kein Abschluss","199","0.247299728742359","0.218548070763573","0.276051386721145"
"Seltener","1992","Hauptschule","1755","0.288831723318081","0.277789131356982","0.29987431527918"
"Seltener","1992","Realschule","770","0.277068144674233","0.261257274867285","0.29287901448118"
"Seltener","1992","(Fach-)Abitur","226","0.249852774542687","0.221426196636073","0.278279352449302"
"Seltener","1992","AkademikerIn","364","0.238917473282422","0.218273254809255","0.259561691755588"
"Nie","1992","(noch) kein Abschluss","414","0.526235441962826","0.492960954953564","0.559509928972087"
"Nie","1992","Hauptschule","3341","0.492665223926672","0.480484147690968","0.504846300162377"
"Nie","1992","Realschule","1882","0.563867472315947","0.546348382318557","0.581386562313337"
"Nie","1992","(Fach-)Abitur","497","0.565176707202416","0.532626199510238","0.597727214894593"
"Nie","1992","AkademikerIn","1034","0.575494339125889","0.551565541030005","0.599423137221774"
"Täglich","1993","(noch) kein Abschluss","","","",""
"Täglich","1993","Hauptschule","","","",""
"Täglich","1993","Realschule","","","",""
"Täglich","1993","(Fach-)Abitur","","","",""
"Täglich","1993","AkademikerIn","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","Hauptschule","","","",""
"Min 1x pro Woche","1993","Realschule","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","AkademikerIn","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","Hauptschule","","","",""
"Min 1x pro Monat","1993","Realschule","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","AkademikerIn","","","",""
"Seltener","1993","(noch) kein Abschluss","","","",""
"Seltener","1993","Hauptschule","","","",""
"Seltener","1993","Realschule","","","",""
"Seltener","1993","(Fach-)Abitur","","","",""
"Seltener","1993","AkademikerIn","","","",""
"Nie","1993","(noch) kein Abschluss","","","",""
"Nie","1993","Hauptschule","","","",""
"Nie","1993","Realschule","","","",""
"Nie","1993","(Fach-)Abitur","","","",""
"Nie","1993","AkademikerIn","","","",""
"Täglich","1994","(noch) kein Abschluss","","","",""
"Täglich","1994","Hauptschule","","","",""
"Täglich","1994","Realschule","","","",""
"Täglich","1994","(Fach-)Abitur","","","",""
"Täglich","1994","AkademikerIn","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","139","0.125488294297843","0.103139129941785","0.1478374586539"
"Min 1x pro Woche","1994","Hauptschule","702","0.123123759835193","0.114853701355841","0.131393818314545"
"Min 1x pro Woche","1994","Realschule","219","0.0897063441411693","0.079526427599585","0.0998862606827536"
"Min 1x pro Woche","1994","(Fach-)Abitur","99","0.105311342842563","0.0854006559334399","0.125222029751686"
