year,pgisced97,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Seldom,0.22156,42,123,0.14787,0.29526
1990,No answer / don't know,Never,0.54887,81,123,0.46057,0.63717
1990,Pre-primary Level,At least once per week,0.17947,34,169,0.12144,0.23750
1990,Pre-primary Level,Seldom,0.36722,55,169,0.29433,0.44012
1990,Pre-primary Level,Never,0.33555,80,169,0.26415,0.40695
1990,Primary Level,At least once per week,0.15078,127,633,0.12288,0.17867
1990,Primary Level,At least once per month,0.12336,91,633,0.09772,0.14900
1990,Primary Level,Seldom,0.24744,139,633,0.21380,0.28108
1990,Primary Level,Never,0.47842,276,633,0.43948,0.51737
1990,Lower Secondary Level,At least once per week,0.17521,466,2950,0.16149,0.18893
1990,Lower Secondary Level,At least once per month,0.12699,352,2950,0.11497,0.13900
1990,Lower Secondary Level,Seldom,0.27152,788,2950,0.25546,0.28757
1990,Lower Secondary Level,Never,0.42629,1344,2950,0.40844,0.44413
1990,Upper Secondary Level,At least once per week,0.11031,697,6992,0.10297,0.11766
1990,Upper Secondary Level,At least once per month,0.09920,627,6992,0.09219,0.10621
1990,Upper Secondary Level,Seldom,0.29224,1898,6992,0.28158,0.30290
1990,Upper Secondary Level,Never,0.49825,3770,6992,0.48653,0.50997
1990,Post-secondary Non-tertiary Level,At least once per week,0.11127,41,342,0.07789,0.14464
1990,Post-secondary Non-tertiary Level,Seldom,0.28834,107,342,0.24026,0.33642
1990,Post-secondary Non-tertiary Level,Never,0.53558,194,342,0.48265,0.58852
1990,First Stage of Tertiary Education,At least once per week,0.13553,87,760,0.11118,0.15988
1990,First Stage of Tertiary Education,At least once per month,0.08759,65,760,0.06747,0.10770
1990,First Stage of Tertiary Education,Seldom,0.31528,239,760,0.28223,0.34834
1990,First Stage of Tertiary Education,Never,0.46160,369,760,0.42614,0.49707
1990,Second Stage of Tertiary Education,At least once per week,0.11460,146,1664,0.09929,0.12991
1990,Second Stage of Tertiary Education,At least once per month,0.08647,117,1664,0.07296,0.09998
1990,Second Stage of Tertiary Education,Seldom,0.27203,394,1664,0.25065,0.29342
1990,Second Stage of Tertiary Education,Never,0.52689,1007,1664,0.50289,0.55089
1992,No answer / don't know,Seldom,0.25755,45,150,0.18733,0.32776
1992,No answer / don't know,Never,0.55273,105,150,0.47290,0.63257
1992,Pre-primary Level,Seldom,0.31608,45,145,0.24014,0.39202
1992,Pre-primary Level,Never,0.47960,100,145,0.39800,0.56120
1992,Primary Level,At least once per week,0.14533,115,623,0.11763,0.17302
1992,Primary Level,At least once per month,0.09797,80,623,0.07461,0.12133
1992,Primary Level,Seldom,0.21815,144,623,0.18569,0.25061
1992,Primary Level,Never,0.53855,284,623,0.49938,0.57773
1992,Lower Secondary Level,At least once per week,0.15044,382,2755,0.13709,0.16380
1992,Lower Secondary Level,At least once per month,0.11043,310,2755,0.09873,0.12214
1992,Lower Secondary Level,Seldom,0.26358,679,2755,0.24713,0.28004
1992,Lower Secondary Level,Never,0.47554,1384,2755,0.45689,0.49419
1992,Upper Secondary Level,At least once per week,0.09473,566,6658,0.08769,0.10176
1992,Upper Secondary Level,At least once per month,0.07988,527,6658,0.07336,0.08639
1992,Upper Secondary Level,Seldom,0.28626,1773,6658,0.27540,0.29712
1992,Upper Secondary Level,Never,0.53913,3792,6658,0.52716,0.55111
1992,Post-secondary Non-tertiary Level,At least once per week,0.09543,43,358,0.06495,0.12591
1992,Post-secondary Non-tertiary Level,Seldom,0.26040,95,358,0.21488,0.30592
1992,Post-secondary Non-tertiary Level,Never,0.57128,220,358,0.51994,0.62262
1992,First Stage of Tertiary Education,At least once per week,0.13550,91,758,0.11112,0.15988
1992,First Stage of Tertiary Education,At least once per month,0.08151,58,758,0.06202,0.10100
1992,First Stage of Tertiary Education,Seldom,0.31111,228,758,0.27813,0.34409
1992,First Stage of Tertiary Education,Never,0.47188,381,758,0.43632,0.50744
1992,Second Stage of Tertiary Education,At least once per week,0.11059,144,1639,0.09540,0.12578
1992,Second Stage of Tertiary Education,At least once per month,0.07502,97,1639,0.06226,0.08777
1992,Second Stage of Tertiary Education,Seldom,0.23886,364,1639,0.21821,0.25951
1992,Second Stage of Tertiary Education,Never,0.57553,1034,1639,0.55159,0.59946
1994,No answer / don't know,Seldom,0.21576,45,166,0.15299,0.27852
1994,No answer / don't know,Never,0.52966,121,166,0.45350,0.60582
1994,Pre-primary Level,Seldom,0.27818,57,186,0.21360,0.34275
1994,Pre-primary Level,Never,0.50607,129,186,0.43402,0.57812
1994,Primary Level,At least once per week,0.13477,105,554,0.10631,0.16323
1994,Primary Level,At least once per month,0.11095,85,554,0.08477,0.13713
1994,Primary Level,Seldom,0.25943,144,554,0.22289,0.29596
1994,Primary Level,Never,0.49485,220,554,0.45318,0.53653
1994,Lower Secondary Level,At least once per week,0.15510,348,2473,0.14083,0.16937
1994,Lower Secondary Level,At least once per month,0.11301,294,2473,0.10053,0.12549
1994,Lower Secondary Level,Seldom,0.26261,638,2473,0.24526,0.27995
1994,Lower Secondary Level,Never,0.46928,1193,2473,0.44961,0.48896
1994,Upper Secondary Level,At least once per week,0.09526,562,6530,0.08814,0.10238
1994,Upper Secondary Level,At least once per month,0.08641,552,6530,0.07960,0.09323
1994,Upper Secondary Level,Seldom,0.29087,1791,6530,0.27985,0.30189
1994,Upper Secondary Level,Never,0.52746,3625,6530,0.51535,0.53957
1994,Post-secondary Non-tertiary Level,At least once per week,0.08487,40,357,0.05592,0.11382
1994,Post-secondary Non-tertiary Level,Seldom,0.29264,109,357,0.24537,0.33990
1994,Post-secondary Non-tertiary Level,Never,0.54440,208,357,0.49267,0.59614
1994,First Stage of Tertiary Education,At least once per week,0.13217,85,744,0.10782,0.15652
1994,First Stage of Tertiary Education,At least once per month,0.07553,62,744,0.05653,0.09453
1994,First Stage of Tertiary Education,Seldom,0.30183,231,744,0.26882,0.33483
1994,First Stage of Tertiary Education,Never,0.49048,366,744,0.45453,0.52642
1994,Second Stage of Tertiary Education,At least once per week,0.10383,143,1645,0.08908,0.11857
1994,Second Stage of Tertiary Education,At least once per month,0.07148,101,1645,0.05903,0.08393
1994,Second Stage of Tertiary Education,Seldom,0.25795,406,1645,0.23680,0.27910
1994,Second Stage of Tertiary Education,Never,0.56674,995,1645,0.54278,0.59069
1995,No answer / don't know,At least once per week,0.15372,34,234,0.10741,0.20004
1995,No answer / don't know,Seldom,0.26094,68,234,0.20456,0.31733
1995,No answer / don't know,Never,0.48695,132,234,0.42277,0.55113
1995,Pre-primary Level,At least once per week,0.11722,41,265,0.07842,0.15603
1995,Pre-primary Level,Seldom,0.28138,69,265,0.22714,0.33563
1995,Pre-primary Level,Never,0.53318,155,265,0.47300,0.59337
1995,Primary Level,At least once per week,0.16443,114,526,0.13272,0.19614
1995,Primary Level,At least once per month,0.11695,77,526,0.08946,0.14444
1995,Primary Level,Seldom,0.22828,115,526,0.19238,0.26419
1995,Primary Level,Never,0.49033,220,526,0.44757,0.53310
1995,Lower Secondary Level,At least once per week,0.17132,398,2476,0.15648,0.18616
1995,Lower Secondary Level,At least once per month,0.12200,319,2476,0.10910,0.13489
1995,Lower Secondary Level,Seldom,0.26331,640,2476,0.24595,0.28066
1995,Lower Secondary Level,Never,0.44338,1119,2476,0.42381,0.46295
1995,Upper Secondary Level,At least once per week,0.10323,638,6679,0.09593,0.11052
1995,Upper Secondary Level,At least once per month,0.09001,581,6679,0.08315,0.09688
1995,Upper Secondary Level,Seldom,0.27711,1759,6679,0.26637,0.28784
1995,Upper Secondary Level,Never,0.52966,3701,6679,0.51769,0.54163
1995,Post-secondary Non-tertiary Level,At least once per week,0.10771,64,469,0.07963,0.13580
1995,Post-secondary Non-tertiary Level,At least once per month,0.09135,45,469,0.06525,0.11745
1995,Post-secondary Non-tertiary Level,Seldom,0.26141,124,469,0.22160,0.30122
1995,Post-secondary Non-tertiary Level,Never,0.53952,236,469,0.49436,0.58468
1995,First Stage of Tertiary Education,At least once per week,0.12038,82,748,0.09705,0.14372
1995,First Stage of Tertiary Education,At least once per month,0.07594,57,748,0.05694,0.09494
1995,First Stage of Tertiary Education,Seldom,0.31478,236,748,0.28147,0.34808
1995,First Stage of Tertiary Education,Never,0.48890,373,748,0.45305,0.52475
1995,Second Stage of Tertiary Education,At least once per week,0.09829,147,1745,0.08432,0.11226
1995,Second Stage of Tertiary Education,At least once per month,0.08795,134,1745,0.07466,0.10124
1995,Second Stage of Tertiary Education,Seldom,0.24169,412,1745,0.22160,0.26178
1995,Second Stage of Tertiary Education,Never,0.57207,1052,1745,0.54885,0.59529
1996,No answer / don't know,At least once per month,0.12977,31,232,0.08643,0.17310
1996,No answer / don't know,Seldom,0.21610,59,232,0.16302,0.26918
1996,No answer / don't know,Never,0.52546,142,232,0.46107,0.58986
1996,Pre-primary Level,Seldom,0.26085,66,245,0.20575,0.31594
1996,Pre-primary Level,Never,0.58151,179,245,0.51962,0.64341
1996,Primary Level,At least once per week,0.13594,84,489,0.10553,0.16635
1996,Primary Level,At least once per month,0.13739,80,489,0.10685,0.16793
1996,Primary Level,Seldom,0.25604,131,489,0.21732,0.29476
1996,Primary Level,Never,0.47063,194,489,0.42634,0.51491
1996,Lower Secondary Level,At least once per week,0.15865,330,2371,0.14394,0.17336
1996,Lower Secondary Level,At least once per month,0.10652,273,2371,0.09410,0.11894
1996,Lower Secondary Level,Seldom,0.28547,652,2371,0.26728,0.30365
1996,Lower Secondary Level,Never,0.44936,1116,2371,0.42934,0.46939
1996,Upper Secondary Level,At least once per week,0.09305,564,6601,0.08604,0.10006
1996,Upper Secondary Level,At least once per month,0.09107,564,6601,0.08413,0.09801
1996,Upper Secondary Level,Seldom,0.30567,1870,6601,0.29456,0.31679
1996,Upper Secondary Level,Never,0.51021,3603,6601,0.49815,0.52227
1996,Post-secondary Non-tertiary Level,At least once per week,0.08661,51,471,0.06118,0.11204
1996,Post-secondary Non-tertiary Level,At least once per month,0.07704,39,471,0.05294,0.10115
1996,Post-secondary Non-tertiary Level,Seldom,0.30720,141,471,0.26549,0.34891
1996,Post-secondary Non-tertiary Level,Never,0.52914,240,471,0.48402,0.57427
1996,First Stage of Tertiary Education,At least once per week,0.11691,81,757,0.09401,0.13982
1996,First Stage of Tertiary Education,At least once per month,0.07985,69,757,0.06053,0.09917
1996,First Stage of Tertiary Education,Seldom,0.33908,246,757,0.30533,0.37282
1996,First Stage of Tertiary Education,Never,0.46416,361,757,0.42861,0.49971
1996,Second Stage of Tertiary Education,At least once per week,0.10518,153,1758,0.09083,0.11952
1996,Second Stage of Tertiary Education,At least once per month,0.07639,124,1758,0.06397,0.08881
1996,Second Stage of Tertiary Education,Seldom,0.27003,445,1758,0.24927,0.29079
1996,Second Stage of Tertiary Education,Never,0.54841,1036,1758,0.52514,0.57168
1997,No answer / don't know,At least once per week,0.14035,31,238,0.09612,0.18457
1997,No answer / don't know,Seldom,0.27768,63,238,0.22066,0.33470
1997,No answer / don't know,Never,0.50416,144,238,0.44051,0.56782
1997,Pre-primary Level,At least once per week,0.11061,31,288,0.07432,0.14689
1997,Pre-primary Level,Seldom,0.30322,85,288,0.25004,0.35640
1997,Pre-primary Level,Never,0.51321,172,288,0.45538,0.57104
1997,Primary Level,At least once per week,0.13641,91,462,0.10508,0.16774
1997,Primary Level,At least once per month,0.11406,58,462,0.08504,0.14308
1997,Primary Level,Seldom,0.23577,130,462,0.19702,0.27451
1997,Primary Level,Never,0.51377,183,462,0.46814,0.55939
1997,Lower Secondary Level,At least once per week,0.15674,328,2313,0.14192,0.17156
1997,Lower Secondary Level,At least once per month,0.09802,246,2313,0.08590,0.11014
1997,Lower Secondary Level,Seldom,0.29252,659,2313,0.27398,0.31107
1997,Lower Secondary Level,Never,0.45272,1080,2313,0.43243,0.47301
1997,Upper Secondary Level,At least once per week,0.09464,541,6441,0.08749,0.10179
1997,Upper Secondary Level,At least once per month,0.08707,540,6441,0.08019,0.09396
1997,Upper Secondary Level,Seldom,0.30185,1846,6441,0.29063,0.31306
1997,Upper Secondary Level,Never,0.51644,3514,6441,0.50424,0.52865
1997,Post-secondary Non-tertiary Level,At least once per week,0.08922,50,423,0.06202,0.11641
1997,Post-secondary Non-tertiary Level,Seldom,0.33146,137,423,0.28654,0.37637
1997,Post-secondary Non-tertiary Level,Never,0.52928,236,423,0.48166,0.57691
1997,First Stage of Tertiary Education,At least once per week,0.11665,77,748,0.09363,0.13968
1997,First Stage of Tertiary Education,At least once per month,0.07302,57,748,0.05437,0.09168
1997,First Stage of Tertiary Education,Seldom,0.34798,258,748,0.31382,0.38214
1997,First Stage of Tertiary Education,Never,0.46234,356,748,0.42659,0.49810
1997,Second Stage of Tertiary Education,At least once per week,0.10045,146,1758,0.08640,0.11451
1997,Second Stage of Tertiary Education,At least once per month,0.09148,144,1758,0.07800,0.10496
1997,Second Stage of Tertiary Education,Seldom,0.26133,459,1758,0.24079,0.28188
1997,Second Stage of Tertiary Education,Never,0.54673,1009,1758,0.52345,0.57001
1998,No answer / don't know,At least once per week,0.12759,68,598,0.10083,0.15435
1998,No answer / don't know,At least once per month,0.11662,68,598,0.09087,0.14237
1998,No answer / don't know,Seldom,0.30054,170,598,0.26376,0.33732
1998,No answer / don't know,Never,0.45525,292,598,0.41530,0.49520
1998,Pre-primary Level,At least once per week,0.11035,37,310,0.07541,0.14528
1998,Pre-primary Level,Seldom,0.29872,99,310,0.24768,0.34975
1998,Pre-primary Level,Never,0.51109,174,310,0.45536,0.56683
1998,Primary Level,At least once per week,0.17300,89,444,0.13777,0.20822
1998,Primary Level,At least once per month,0.13782,65,444,0.10572,0.16992
1998,Primary Level,Seldom,0.23394,110,444,0.19452,0.27336
1998,Primary Level,Never,0.45524,180,444,0.40887,0.50162
1998,Lower Secondary Level,At least once per week,0.15246,347,2515,0.13841,0.16652
1998,Lower Secondary Level,At least once per month,0.12875,309,2515,0.11566,0.14184
1998,Lower Secondary Level,Seldom,0.27958,705,2515,0.26204,0.29712
1998,Lower Secondary Level,Never,0.43921,1154,2515,0.41981,0.45861
1998,Upper Secondary Level,At least once per week,0.09345,610,6984,0.08662,0.10027
1998,Upper Secondary Level,At least once per month,0.08902,590,6984,0.08234,0.09569
1998,Upper Secondary Level,Seldom,0.30796,2073,6984,0.29713,0.31878
1998,Upper Secondary Level,Never,0.50958,3711,6984,0.49786,0.52131
1998,Post-secondary Non-tertiary Level,At least once per week,0.10100,53,501,0.07459,0.12741
1998,Post-secondary Non-tertiary Level,At least once per month,0.08589,48,501,0.06133,0.11045
1998,Post-secondary Non-tertiary Level,Seldom,0.30323,142,501,0.26293,0.34352
1998,Post-secondary Non-tertiary Level,Never,0.50989,258,501,0.46607,0.55371
1998,First Stage of Tertiary Education,At least once per week,0.10495,77,814,0.08388,0.12601
1998,First Stage of Tertiary Education,At least once per month,0.08053,68,814,0.06182,0.09923
1998,First Stage of Tertiary Education,Seldom,0.34000,287,814,0.30743,0.37256
1998,First Stage of Tertiary Education,Never,0.47453,382,814,0.44020,0.50886
1998,Second Stage of Tertiary Education,At least once per week,0.09585,162,1956,0.08280,0.10890
1998,Second Stage of Tertiary Education,At least once per month,0.09472,158,1956,0.08174,0.10770
1998,Second Stage of Tertiary Education,Seldom,0.27871,543,1956,0.25884,0.29859
1998,Second Stage of Tertiary Education,Never,0.53072,1093,1956,0.50860,0.55284
1999,No answer / don't know,Seldom,0.28404,75,231,0.22576,0.34232
1999,No answer / don't know,Never,0.50739,156,231,0.44278,0.57201
1999,Pre-primary Level,Seldom,0.38774,109,276,0.33015,0.44532
1999,Pre-primary Level,Never,0.52064,167,276,0.46160,0.57969
1999,Primary Level,At least once per week,0.13214,66,426,0.09995,0.16434
1999,Primary Level,At least once per month,0.14764,68,426,0.11391,0.18136
1999,Primary Level,Seldom,0.25612,121,426,0.21462,0.29762
1999,Primary Level,Never,0.46410,171,426,0.41668,0.51151
1999,Lower Secondary Level,At least once per week,0.15415,320,2429,0.13979,0.16851
1999,Lower Secondary Level,At least once per month,0.09900,252,2429,0.08712,0.11088
1999,Lower Secondary Level,Seldom,0.29584,706,2429,0.27769,0.31400
1999,Lower Secondary Level,Never,0.45101,1151,2429,0.43122,0.47080
1999,Upper Secondary Level,At least once per week,0.08769,550,6897,0.08102,0.09437
1999,Upper Secondary Level,At least once per month,0.08411,565,6897,0.07756,0.09066
1999,Upper Secondary Level,Seldom,0.31889,2103,6897,0.30789,0.32989
1999,Upper Secondary Level,Never,0.50931,3679,6897,0.49751,0.52110
1999,Post-secondary Non-tertiary Level,At least once per week,0.09267,43,501,0.06726,0.11809
1999,Post-secondary Non-tertiary Level,At least once per month,0.06194,35,501,0.04081,0.08307
1999,Post-secondary Non-tertiary Level,Seldom,0.37729,175,501,0.33480,0.41977
1999,Post-secondary Non-tertiary Level,Never,0.46810,248,501,0.42436,0.51183
1999,First Stage of Tertiary Education,At least once per week,0.11025,77,807,0.08863,0.13187
1999,First Stage of Tertiary Education,At least once per month,0.07186,69,807,0.05403,0.08969
1999,First Stage of Tertiary Education,Seldom,0.34765,284,807,0.31477,0.38053
1999,First Stage of Tertiary Education,Never,0.47024,377,807,0.43578,0.50469
1999,Second Stage of Tertiary Education,At least once per week,0.08552,138,1947,0.07309,0.09794
1999,Second Stage of Tertiary Education,At least once per month,0.08863,157,1947,0.07600,0.10125
1999,Second Stage of Tertiary Education,Seldom,0.29993,562,1947,0.27957,0.32028
1999,Second Stage of Tertiary Education,Never,0.52593,1090,1947,0.50374,0.54811
2001,No answer / don't know,Never,0.72338,79,79,0.62410,0.82265
2001,Pre-primary Level,At least once per week,0.06550,35,536,0.04453,0.08646
