"pli0098_h","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","16-34 Jahre alt","","","",""
"Taeglich","1990","35-65 Jahre alt","48","0.00690787530377287","0.00497131900160801","0.00884443160593773"
"Taeglich","1990","66 und älter","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","438","0.0808907713413691","0.0735513591140985","0.0882301835686398"
"Min 1x pro Woche","1990","35-65 Jahre alt","840","0.127102713614074","0.119314782573922","0.134890644654226"
"Min 1x pro Woche","1990","66 und älter","272","0.197069196163541","0.176768986974938","0.217369405352144"
"Min 1x pro Monat","1990","16-34 Jahre alt","418","0.0753461391106515","0.0682413968998173","0.0824508813214856"
"Min 1x pro Monat","1990","35-65 Jahre alt","706","0.103935316861241","0.0967999818780013","0.11107065184448"
"Min 1x pro Monat","1990","66 und älter","207","0.154178665494448","0.135749590401011","0.172607740587885"
"Seltener","1990","16-34 Jahre alt","1406","0.289378658418599","0.277172455039622","0.301584861797576"
"Seltener","1990","35-65 Jahre alt","1940","0.306169035439066","0.295392712784505","0.316945358093627"
"Seltener","1990","66 und älter","328","0.214395101690396","0.193451006572468","0.235339196808324"
"Nie","1990","16-34 Jahre alt","3025","0.552152582203599","0.538767445213262","0.565537719193936"
"Nie","1990","35-65 Jahre alt","3493","0.455885058781847","0.444240149233913","0.46752996832978"
"Nie","1990","66 und älter","652","0.424684953738194","0.399459534994258","0.44991037248213"
"Taeglich","1991","16-34 Jahre alt","","","",""
"Taeglich","1991","35-65 Jahre alt","","","",""
"Taeglich","1991","66 und älter","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","","","",""
"Min 1x pro Woche","1991","66 und älter","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","","","",""
"Min 1x pro Monat","1991","66 und älter","","","",""
"Seltener","1991","16-34 Jahre alt","","","",""
"Seltener","1991","35-65 Jahre alt","","","",""
"Seltener","1991","66 und älter","","","",""
"Nie","1991","16-34 Jahre alt","","","",""
"Nie","1991","35-65 Jahre alt","","","",""
"Nie","1991","66 und älter","","","",""
"Taeglich","1992","16-34 Jahre alt","","","",""
"Taeglich","1992","35-65 Jahre alt","","","",""
"Taeglich","1992","66 und älter","","","",""
"Min 1x pro Woche","1992","16-34 Jahre alt","377","0.0682988268282716","0.061289174279758","0.0753084793767852"
"Min 1x pro Woche","1992","35-65 Jahre alt","768","0.11872730139054","0.111061064315042","0.126393538466039"
"Min 1x pro Woche","1992","66 und älter","256","0.1852857812285","0.165342664856197","0.205228897600802"
"Min 1x pro Monat","1992","16-34 Jahre alt","372","0.0649922328229957","0.0581422436266121","0.0718422220193794"
"Min 1x pro Monat","1992","35-65 Jahre alt","592","0.0833658672228637","0.0768143190626717","0.0899174153830558"
"Min 1x pro Monat","1992","66 und älter","176","0.12925035403649","0.112030405349316","0.146470302723665"
"Seltener","1992","16-34 Jahre alt","1253","0.274673058875582","0.262270066264819","0.287076051486345"
"Seltener","1992","35-65 Jahre alt","1807","0.293185977998952","0.282397107869379","0.303974848128526"
"Seltener","1992","66 und älter","331","0.228530226454813","0.206977579673264","0.250082873236362"
"Nie","1992","16-34 Jahre alt","2973","0.59203588147315","0.578379471483189","0.605692291463112"
"Nie","1992","35-65 Jahre alt","3672","0.504720853387644","0.492871287643903","0.516570419131384"
"Nie","1992","66 und älter","695","0.456933638280197","0.431364131791894","0.4825031447685"
"Taeglich","1993","16-34 Jahre alt","","","",""
"Taeglich","1993","35-65 Jahre alt","","","",""
"Taeglich","1993","66 und älter","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","","","",""
"Min 1x pro Woche","1993","66 und älter","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","","","",""
"Min 1x pro Monat","1993","66 und älter","","","",""
"Seltener","1993","16-34 Jahre alt","","","",""
"Seltener","1993","35-65 Jahre alt","","","",""
"Seltener","1993","66 und älter","","","",""
"Nie","1993","16-34 Jahre alt","","","",""
"Nie","1993","35-65 Jahre alt","","","",""
"Nie","1993","66 und älter","","","",""
"Taeglich","1994","16-34 Jahre alt","","","",""
"Taeglich","1994","35-65 Jahre alt","","","",""
"Taeglich","1994","66 und älter","","","",""
"Min 1x pro Woche","1994","16-34 Jahre alt","343","0.0612944425660025","0.0545036631912931","0.0680852219407119"
