"pli0098_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","Schleswig-Holstein","West","","","",""
"Taeglich","1990","Schleswig-Holstein","Ost","","","",""
"Taeglich","1990","Hamburg","West","","","",""
"Taeglich","1990","Hamburg","Ost","","","",""
"Taeglich","1990","Niedersachsen","West","","","",""
"Taeglich","1990","Niedersachsen","Ost","","","",""
"Taeglich","1990","Bremen","West","","","",""
"Taeglich","1990","Bremen","Ost","","","",""
"Taeglich","1990","Nordrhein-Westfalen","West","38","0.0113099960577647","0.00720085702425597","0.0154191350912735"
"Taeglich","1990","Nordrhein-Westfalen","Ost","","","",""
"Taeglich","1990","Hessen","West","","","",""
"Taeglich","1990","Hessen","Ost","","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","West","","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","Ost","","","",""
"Taeglich","1990","Baden-Württemberg","West","","","",""
"Taeglich","1990","Baden-Württemberg","Ost","","","",""
"Taeglich","1990","Bayern","West","","","",""
"Taeglich","1990","Bayern","Ost","","","",""
"Taeglich","1990","Saarland","West","","","",""
"Taeglich","1990","Saarland","Ost","","","",""
"Taeglich","1990","Berlin","West","","","",""
"Taeglich","1990","Berlin","Ost","","","",""
"Taeglich","1990","Brandenburg","West","","","",""
"Taeglich","1990","Brandenburg","Ost","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","West","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","Ost","","","",""
"Taeglich","1990","Sachsen","West","","","",""
"Taeglich","1990","Sachsen","Ost","","","",""
"Taeglich","1990","Sachsen-Anhalt","West","","","",""
"Taeglich","1990","Sachsen-Anhalt","Ost","","","",""
"Taeglich","1990","Thüringen","West","","","",""
"Taeglich","1990","Thüringen","Ost","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","West","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Woche","1990","Hamburg","West","","","",""
"Min 1x pro Woche","1990","Hamburg","Ost","","","",""
"Min 1x pro Woche","1990","Niedersachsen","West","81","0.074018446034879","0.057560103079032","0.090476788990726"
"Min 1x pro Woche","1990","Niedersachsen","Ost","","","",""
"Min 1x pro Woche","1990","Bremen","West","","","",""
"Min 1x pro Woche","1990","Bremen","Ost","","","",""
"Min 1x pro Woche","1990","Nordrhein-Westfalen","West","379","0.149303647909378","0.135454851453506","0.16315244436525"
"Min 1x pro Woche","1990","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Woche","1990","Hessen","West","110","0.101469598998347","0.0825067768229243","0.120432421173769"
"Min 1x pro Woche","1990","Hessen","Ost","","","",""
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","West","119","0.184333967667556","0.154973054161437","0.213694881173675"
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Woche","1990","Baden-Württemberg","West","334","0.193017378750537","0.174641567131493","0.211393190369581"
"Min 1x pro Woche","1990","Baden-Württemberg","Ost","","","",""
"Min 1x pro Woche","1990","Bayern","West","305","0.196538387931699","0.1770059798369","0.216070796026499"
"Min 1x pro Woche","1990","Bayern","Ost","","","",""
"Min 1x pro Woche","1990","Saarland","West","","","",""
"Min 1x pro Woche","1990","Saarland","Ost","","","",""
"Min 1x pro Woche","1990","Berlin","West","","","",""
"Min 1x pro Woche","1990","Berlin","Ost","","","",""
"Min 1x pro Woche","1990","Brandenburg","West","","","",""
"Min 1x pro Woche","1990","Brandenburg","Ost","","","",""
"Min 1x pro Woche","1990","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Woche","1990","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Woche","1990","Sachsen","West","","","",""
"Min 1x pro Woche","1990","Sachsen","Ost","44","0.0401807956975709","0.0294807671388558","0.0508808242562859"
"Min 1x pro Woche","1990","Sachsen-Anhalt","West","","","",""
"Min 1x pro Woche","1990","Sachsen-Anhalt","Ost","30","0.0346387099967908","0.021911380364473","0.0473660396291086"
"Min 1x pro Woche","1990","Thüringen","West","","","",""
"Min 1x pro Woche","1990","Thüringen","Ost","51","0.0795351951282843","0.0600405425312619","0.0990298477253066"
"Min 1x pro Monat","1990","Schleswig-Holstein","West","","","",""
"Min 1x pro Monat","1990","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Monat","1990","Hamburg","West","","","",""
"Min 1x pro Monat","1990","Hamburg","Ost","","","",""
"Min 1x pro Monat","1990","Niedersachsen","West","73","0.0790002228124261","0.0620428378623519","0.0959576077625002"
"Min 1x pro Monat","1990","Niedersachsen","Ost","","","",""
"Min 1x pro Monat","1990","Bremen","West","","","",""
"Min 1x pro Monat","1990","Bremen","Ost","","","",""
"Min 1x pro Monat","1990","Nordrhein-Westfalen","West","274","0.109326512268404","0.0972006802715149","0.121452344265293"
"Min 1x pro Monat","1990","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Monat","1990","Hessen","West","132","0.12295495781995","0.102331922569547","0.143577993070353"
"Min 1x pro Monat","1990","Hessen","Ost","","","",""
"Min 1x pro Monat","1990","Rheinland-Pfalz,Saarland","West","83","0.135367005769484","0.109462041173558","0.16127197036541"
"Min 1x pro Monat","1990","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Monat","1990","Baden-Württemberg","West","262","0.13622602127221","0.120254498433455","0.152197544110965"
"Min 1x pro Monat","1990","Baden-Württemberg","Ost","","","",""
"Min 1x pro Monat","1990","Bayern","West","258","0.162994059435923","0.144838915887332","0.181149202984514"
"Min 1x pro Monat","1990","Bayern","Ost","","","",""
"Min 1x pro Monat","1990","Saarland","West","","","",""
"Min 1x pro Monat","1990","Saarland","Ost","","","",""
"Min 1x pro Monat","1990","Berlin","West","","","",""
"Min 1x pro Monat","1990","Berlin","Ost","","","",""
"Min 1x pro Monat","1990","Brandenburg","West","","","",""
"Min 1x pro Monat","1990","Brandenburg","Ost","","","",""
"Min 1x pro Monat","1990","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Monat","1990","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Monat","1990","Sachsen","West","","","",""
"Min 1x pro Monat","1990","Sachsen","Ost","74","0.0633865062057923","0.0501107409255331","0.0766622714860516"
"Min 1x pro Monat","1990","Sachsen-Anhalt","West","","","",""
"Min 1x pro Monat","1990","Sachsen-Anhalt","Ost","39","0.0551580725885322","0.039269107279965","0.0710470378970993"
"Min 1x pro Monat","1990","Thüringen","West","","","",""
"Min 1x pro Monat","1990","Thüringen","Ost","35","0.051833833581088","0.0358610310238904","0.0678066361382855"
"Seltener","1990","Schleswig-Holstein","West","107","0.38033970376109","0.323678446881896","0.437000960640284"
"Seltener","1990","Schleswig-Holstein","Ost","","","",""
"Seltener","1990","Hamburg","West","40","0.235262365067245","0.170737588687375","0.299787141447114"
"Seltener","1990","Hamburg","Ost","","","",""
"Seltener","1990","Niedersachsen","West","337","0.341190217162989","0.311384933225831","0.370995501100146"
"Seltener","1990","Niedersachsen","Ost","","","",""
"Seltener","1990","Bremen","West","","","",""
"Seltener","1990","Bremen","Ost","","","",""
"Seltener","1990","Nordrhein-Westfalen","West","737","0.293343214731817","0.275651015237316","0.311035414226317"
"Seltener","1990","Nordrhein-Westfalen","Ost","","","",""
"Seltener","1990","Hessen","West","352","0.39225743178303","0.36159447497564","0.42292038859042"
"Seltener","1990","Hessen","Ost","","","",""
"Seltener","1990","Rheinland-Pfalz,Saarland","West","236","0.350679959914977","0.314547663264476","0.386812256565479"
"Seltener","1990","Rheinland-Pfalz,Saarland","Ost","","","",""
"Seltener","1990","Baden-Württemberg","West","578","0.331945558137792","0.310019750932537","0.353871365343047"
"Seltener","1990","Baden-Württemberg","Ost","","","",""
"Seltener","1990","Bayern","West","478","0.297276474248966","0.274810666082339","0.319742282415593"
"Seltener","1990","Bayern","Ost","","","",""
"Seltener","1990","Saarland","West","","","",""
"Seltener","1990","Saarland","Ost","","","",""
"Seltener","1990","Berlin","West","65","0.205488052559094","0.161491455179719","0.249484649938469"
"Seltener","1990","Berlin","Ost","","","",""
"Seltener","1990","Brandenburg","West","","","",""
"Seltener","1990","Brandenburg","Ost","94","0.140278146067158","0.114805563585548","0.165750728548768"
"Seltener","1990","Mecklenburg-Vorpommern","West","","","",""
"Seltener","1990","Mecklenburg-Vorpommern","Ost","79","0.171126996576215","0.137746182569297","0.204507810583132"
"Seltener","1990","Sachsen","West","","","",""
"Seltener","1990","Sachsen","Ost","254","0.184063080511244","0.162948007463826","0.205178153558661"
"Seltener","1990","Sachsen-Anhalt","West","","","",""
"Seltener","1990","Sachsen-Anhalt","Ost","105","0.123614569396292","0.100706214527155","0.146522924265429"
"Seltener","1990","Thüringen","West","","","",""
"Seltener","1990","Thüringen","Ost","154","0.179385985866863","0.15174229983619","0.207029671897536"
"Nie","1990","Schleswig-Holstein","West","153","0.532615716841821","0.474382929564895","0.590848504118746"
"Nie","1990","Schleswig-Holstein","Ost","","","",""
"Nie","1990","Hamburg","West","109","0.689515712415807","0.619129767689153","0.759901657142462"
"Nie","1990","Hamburg","Ost","","","",""
"Nie","1990","Niedersachsen","West","477","0.499772575234083","0.468339641427962","0.531205509040204"
"Nie","1990","Niedersachsen","Ost","","","",""
"Nie","1990","Bremen","West","70","0.705690222886738","0.61767883414956","0.793701611623915"
"Nie","1990","Bremen","Ost","","","",""
"Nie","1990","Nordrhein-Westfalen","West","1116","0.436716629032637","0.417443471676399","0.455989786388875"
"Nie","1990","Nordrhein-Westfalen","Ost","","","",""
"Nie","1990","Hessen","West","371","0.374859401900088","0.344458135956793","0.405260667843383"
"Nie","1990","Hessen","Ost","","","",""
"Nie","1990","Rheinland-Pfalz,Saarland","West","231","0.328192261202652","0.292637533337962","0.363746989067341"
"Nie","1990","Rheinland-Pfalz,Saarland","Ost","","","",""
"Nie","1990","Baden-Württemberg","West","588","0.335492580283619","0.313508535027797","0.357476625539441"
"Nie","1990","Baden-Württemberg","Ost","","","",""
"Nie","1990","Bayern","West","536","0.332570239739146","0.309412615406687","0.355727864071606"
"Nie","1990","Bayern","Ost","","","",""
"Nie","1990","Saarland","West","","","",""
"Nie","1990","Saarland","Ost","","","",""
"Nie","1990","Berlin","West","221","0.686094488024637","0.63556242584033","0.736626550208945"
"Nie","1990","Berlin","Ost","247","0.815607485640438","0.771203032535818","0.860011938745059"
"Nie","1990","Brandenburg","West","","","",""
"Nie","1990","Brandenburg","Ost","580","0.800432716909959","0.771116625079606","0.829748808740312"
"Nie","1990","Mecklenburg-Vorpommern","West","","","",""
"Nie","1990","Mecklenburg-Vorpommern","Ost","381","0.772719369354846","0.735575617126903","0.80986312158279"
"Nie","1990","Sachsen","West","","","",""
"Nie","1990","Sachsen","Ost","922","0.712369617585393","0.687706326622402","0.737032908548385"
"Nie","1990","Sachsen-Anhalt","West","","","",""
"Nie","1990","Sachsen-Anhalt","Ost","619","0.786588648018385","0.758072287731268","0.815105008305502"
"Nie","1990","Thüringen","West","","","",""
"Nie","1990","Thüringen","Ost","500","0.689244985423764","0.655900185842442","0.722589785005087"
"Taeglich","1991","Schleswig-Holstein","West","","","",""
"Taeglich","1991","Schleswig-Holstein","Ost","","","",""
"Taeglich","1991","Hamburg","West","","","",""
"Taeglich","1991","Hamburg","Ost","","","",""
"Taeglich","1991","Niedersachsen","West","","","",""
"Taeglich","1991","Niedersachsen","Ost","","","",""
"Taeglich","1991","Bremen","West","","","",""
"Taeglich","1991","Bremen","Ost","","","",""
"Taeglich","1991","Nordrhein-Westfalen","West","","","",""
"Taeglich","1991","Nordrhein-Westfalen","Ost","","","",""
"Taeglich","1991","Hessen","West","","","",""
"Taeglich","1991","Hessen","Ost","","","",""
"Taeglich","1991","Rheinland-Pfalz,Saarland","West","","","",""
"Taeglich","1991","Rheinland-Pfalz,Saarland","Ost","","","",""
"Taeglich","1991","Baden-Württemberg","West","","","",""
"Taeglich","1991","Baden-Württemberg","Ost","","","",""
"Taeglich","1991","Bayern","West","","","",""
"Taeglich","1991","Bayern","Ost","","","",""
"Taeglich","1991","Saarland","West","","","",""
"Taeglich","1991","Saarland","Ost","","","",""
"Taeglich","1991","Berlin","West","","","",""
