"pli0098_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1990","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1990","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1990","66 und älter","Realschulabschluss","","","",""
"Taeglich","1990","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1990","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","(noch) kein Abschluss","46","0.131731368157584","0.0961985113317983","0.16726422498337"
"Min 1x pro Woche","1990","16-34 Jahre alt","Hauptschulabschluss","151","0.0690869319915329","0.0572990784950777","0.0808747854879882"
"Min 1x pro Woche","1990","16-34 Jahre alt","Realschulabschluss","133","0.0722752073793915","0.0606897053311624","0.0838607094276206"
"Min 1x pro Woche","1990","16-34 Jahre alt","(Fach-)Abitur","65","0.113097161552428","0.0878185445429902","0.138375778561865"
"Min 1x pro Woche","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1990","35-65 Jahre alt","(noch) kein Abschluss","98","0.156126824812961","0.124686250886462","0.18756739873946"
"Min 1x pro Woche","1990","35-65 Jahre alt","Hauptschulabschluss","509","0.132153278392326","0.121807316075102","0.14249924070955"
"Min 1x pro Woche","1990","35-65 Jahre alt","Realschulabschluss","106","0.115943721638087","0.096642972233593","0.135244471042582"
"Min 1x pro Woche","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1990","35-65 Jahre alt","AkademikerInnen","92","0.106026472779976","0.0874134795603963","0.124639465999556"
"Min 1x pro Woche","1990","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1990","66 und älter","Hauptschulabschluss","199","0.200910651088332","0.177243085841313","0.224578216335352"
"Min 1x pro Woche","1990","66 und älter","Realschulabschluss","37","0.185774052500746","0.130904119094347","0.240643985907144"
"Min 1x pro Woche","1990","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1990","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Monat","1990","16-34 Jahre alt","(noch) kein Abschluss","44","0.118519557527133","0.0845601722426572","0.152478942811608"
"Min 1x pro Monat","1990","16-34 Jahre alt","Hauptschulabschluss","166","0.0839280218458232","0.0710395773507945","0.0968164663408519"
"Min 1x pro Monat","1990","16-34 Jahre alt","Realschulabschluss","117","0.0707459966588503","0.0592742708371704","0.0822177224805301"
"Min 1x pro Monat","1990","16-34 Jahre alt","(Fach-)Abitur","48","0.059229477738353","0.0403886387988844","0.0780703166778215"
"Min 1x pro Monat","1990","16-34 Jahre alt","AkademikerInnen","30","0.0665466274733829","0.0450001702527267","0.0880930846940391"
"Min 1x pro Monat","1990","35-65 Jahre alt","(noch) kein Abschluss","73","0.099407989402373","0.073490806092195","0.125325172712551"
"Min 1x pro Monat","1990","35-65 Jahre alt","Hauptschulabschluss","437","0.111901421055096","0.102270700170479","0.121532141939712"
"Min 1x pro Monat","1990","35-65 Jahre alt","Realschulabschluss","89","0.0902022750335765","0.0729322977532051","0.107472252313948"
"Min 1x pro Monat","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1990","35-65 Jahre alt","AkademikerInnen","74","0.0883201558854572","0.0711648753985947","0.10547543637232"
"Min 1x pro Monat","1990","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1990","66 und älter","Hauptschulabschluss","149","0.150271501854852","0.129164194367992","0.171378809341711"
"Min 1x pro Monat","1990","66 und älter","Realschulabschluss","37","0.195799043597862","0.139815934723331","0.251782152472393"
"Min 1x pro Monat","1990","66 und älter","(Fach-)Abitur","","","",""
