year,quintil_oecd,pli0098_h,proportion,n,lower_confidence,upper_confidence
1990,-6,Nie,0.23730070448646645,18165,0.2311139261428352,0.2434874828300977
1990,1. Quintil,Nie,0.10300333704115684,18165,0.09858295881078896,0.10742371527152472
1990,2. Quintil,Nie,0.08149796069707083,18165,0.07751916349823347,0.08547675789590818
1990,1. Quintil,Seltener,0.07193177604746014,18165,0.06817436495126415,0.07568918714365612
1990,2. Quintil,Seltener,0.06592510196514646,18165,0.06231637000453717,0.06953383392575575
1990,3. Quintil,Nie,0.05702632554690397,18165,0.053654028292165735,0.0603986228016422
1990,-6,Seltener,0.05235446792732666,18165,0.04911526463585,0.05559367121880332
1990,1. Quintil,Min 1x pro Woche,0.047089358546533185,18165,0.04400882568525163,0.05016989140781474
1990,3. Quintil,Seltener,0.04315906562847609,18165,0.04020381539422412,0.04611431586272805
1990,1. Quintil,Min 1x pro Monat,0.03203559510567297,18165,0.0294747432119026,0.034596446999443344
1990,2. Quintil,Min 1x pro Woche,0.029662588060808306,18165,0.027195388502505354,0.03212978761911126
1990,4. Quintil,Nie,0.02936596218020022,18165,0.026910754430293234,0.03182116993010721
1990,2. Quintil,Min 1x pro Monat,0.025954764553207266,18165,0.023642505544265086,0.028267023562149447
1990,4. Quintil,Seltener,0.023581757508342602,18165,0.021375051907765223,0.02578846310891998
1990,3. Quintil,Min 1x pro Woche,0.016981831664812756,18165,0.0151028981704235,0.018860765159202014
1990,3. Quintil,Min 1x pro Monat,0.014386355209492028,18165,0.012654677313480717,0.01611803310550334
1990,-6,Min 1x pro Monat,0.014312198739340008,18165,0.01258492472154414,0.016039472757135874
1990,-6,Min 1x pro Woche,0.011494252873563218,18165,0.009944122081466493,0.013044383665659944
1990,5. Quintil,Nie,0.011049314052651095,18165,0.009529139889201456,0.012569488216100733
1990,5. Quintil,Seltener,0.00978865406006674,18165,0.008356915210254051,0.01122039290987943
1990,4. Quintil,Min 1x pro Woche,0.009492028179458658,18165,0.008081938067171543,0.010902118291745772
1990,4. Quintil,Min 1x pro Monat,0.006822395253985911,18165,0.005625323267873923,0.008019467240097899
1990,5. Quintil,Min 1x pro Monat,0.0029662588060808304,18165,0.0021754020693512837,0.003757115542810377
1990,5. Quintil,Min 1x pro Woche,0.002817945865776789,18165,0.0020470567387704066,0.003588834992783171
1992,1. Quintil,Nie,0.23043712898003238,17350,0.2241709237788127,0.23670333418125206
1992,2. Quintil,Nie,0.1477141315241693,17350,0.142434422378742,0.1529938406695966
1992,3. Quintil,Nie,0.0878883663557166,17350,0.08367532205991492,0.09210141065151829
1992,1. Quintil,Seltener,0.07424254105311849,17350,0.07034149250008255,0.07814358960615443
1992,2. Quintil,Seltener,0.07031069308457327,17350,0.06650629513263624,0.0741150910365103
1992,4. Quintil,Nie,0.06298666255493023,17350,0.05937170238346745,0.066601622726393
1992,3. Quintil,Seltener,0.05774419859686994,17350,0.05427327606246805,0.06121512113127183
1992,4. Quintil,Seltener,0.03993524015110631,17350,0.03702160782833582,0.0428488724738768
1992,1. Quintil,Min 1x pro Woche,0.0382391488705574,17350,0.03538554301266371,0.041092754728451086
1992,2. Quintil,Min 1x pro Woche,0.030221262817053427,17350,0.027673852141291526,0.03276867349281533
1992,1. Quintil,Min 1x pro Monat,0.028602266594711278,17350,0.026121961531503365,0.03108257165791919
1992,2. Quintil,Min 1x pro Monat,0.026751985197748823,17350,0.02435096340023494,0.029153006995262708
1992,5. Quintil,Nie,0.023668182869478065,17350,0.02140620937752774,0.02593015636142839
1992,3. Quintil,Min 1x pro Woche,0.0181173386785907,17350,0.016132691419120236,0.020101985938061166
1992,3. Quintil,Min 1x pro Monat,0.016575437514455324,17350,0.014675631064905976,0.01847524396400467
1992,5. Quintil,Seltener,0.014339680826459023,17350,0.012570632444110911,0.016108729208807133
1992,4. Quintil,Min 1x pro Woche,0.014108395651838718,17350,0.01235346592275691,0.015863325380920525
1992,4. Quintil,Min 1x pro Monat,0.010407832857913808,17350,0.008897701899442789,0.011917963816384828
1992,5. Quintil,Min 1x pro Woche,0.004240228201372292,17350,0.0032733356036941034,0.005207120799050479
1992,5. Quintil,Min 1x pro Monat,0.0034692776193046026,17350,0.0025943518558649396,0.004344203382744266
1994,2. Quintil,Nie,0.15534750872738812,16642,0.1498439387524312,0.16085107870234502
1994,1. Quintil,Nie,0.14146302761028245,16642,0.1361681699682496,0.1467578852523153
1994,3. Quintil,Nie,0.11813709933354491,16642,0.11323313841569727,0.12304106025139255
1994,4. Quintil,Nie,0.08203744842907014,16642,0.07786806470354471,0.08620683215459557
