,Unnamed: 0,year,regtyp,sampreg,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Urban regions,West,At least once per week,0.14083,1115,13633,0.13525,0.14607
1,1,1990,Urban regions,West,At least once per month,0.10614,847,13633,0.10094,0.11134
2,2,1990,Urban regions,West,Seldom,0.30776,2285,13633,0.30008,0.31566
3,3,1990,Urban regions,West,Never,0.44528,3196,13633,0.43613,0.45545
4,4,1990,Urban regions,East,At least once per week,0.04167,54,13633,0.0363,0.04696
5,5,1990,Urban regions,East,At least once per month,0.03592,51,13633,0.03168,0.04024
6,6,1990,Urban regions,East,Seldom,0.15304,230,13633,0.145,0.16257
7,7,1990,Urban regions,East,Never,0.76937,1086,13633,0.74987,0.78815
8,8,1990,Rural regions,West,At least once per week,0.18205,339,13633,0.17275,0.19116
9,9,1990,Rural regions,West,At least once per month,0.14671,277,13633,0.13843,0.15547
10,10,1990,Rural regions,West,Seldom,0.34746,662,13633,0.33404,0.36047
11,11,1990,Rural regions,West,Never,0.32378,676,13633,0.30977,0.34055
12,12,1990,Rural regions,East,At least once per week,0.04069,109,13633,0.03745,0.04478
13,13,1990,Rural regions,East,At least once per month,0.05758,144,13633,0.05253,0.06268
14,14,1990,Rural regions,East,Seldom,0.16318,475,13633,0.15637,0.16985
15,15,1990,Rural regions,East,Never,0.73855,2087,13633,0.72424,0.75202
16,16,1992,Urban regions,West,At least once per week,0.12253,940,13074,0.11752,0.12843
17,17,1992,Urban regions,West,At least once per month,0.09315,774,13074,0.08818,0.09879
18,18,1992,Urban regions,West,Seldom,0.29481,2087,13074,0.28623,0.30215
19,19,1992,Urban regions,West,Never,0.48951,3461,13074,0.48055,0.50051
20,20,1992,Urban regions,East,At least once per week,0.04006,47,13074,0.03503,0.0459
21,21,1992,Urban regions,East,At least once per month,0.03347,42,13074,0.02766,0.03938
22,22,1992,Urban regions,East,Seldom,0.1566,204,13074,0.14502,0.16752
23,23,1992,Urban regions,East,Never,0.76986,1013,13074,0.74617,0.79571
24,24,1992,Rural regions,West,At least once per week,0.16261,304,13074,0.15259,0.17337
25,25,1992,Rural regions,West,At least once per month,0.11397,217,13074,0.10555,0.12348
26,26,1992,Rural regions,West,Seldom,0.34779,672,13074,0.33026,0.36429
27,27,1992,Rural regions,West,Never,0.37563,787,13074,0.35688,0.39387
28,28,1992,Rural regions,East,At least once per week,0.03856,94,13074,0.03427,0.04247
29,29,1992,Rural regions,East,At least once per month,0.04044,98,13074,0.03631,0.04422
30,30,1992,Rural regions,East,Seldom,0.14873,399,13074,0.14035,0.15767
31,31,1992,Rural regions,East,Never,0.77228,1935,13074,0.75387,0.79095
32,32,1994,Urban regions,West,At least once per week,0.11904,900,12788,0.11365,0.12387
33,33,1994,Urban regions,West,At least once per month,0.09403,786,12788,0.0888,0.1001
34,34,1994,Urban regions,West,Seldom,0.30502,2169,12788,0.29596,0.31281
35,35,1994,Urban regions,West,Never,0.48191,3252,12788,0.47027,0.49319
36,36,1994,Urban regions,East,At least once per week,0.03471,46,12788,0.03119,0.03901
37,37,1994,Urban regions,East,At least once per month,0.03391,47,12788,0.0285,0.03866
38,38,1994,Urban regions,East,Seldom,0.15065,188,12788,0.14056,0.16292
39,39,1994,Urban regions,East,Never,0.78073,1019,12788,0.75327,0.80406
40,40,1994,Rural regions,West,At least once per week,0.16948,297,12788,0.15907,0.1842
41,41,1994,Rural regions,West,At least once per month,0.13556,256,12788,0.12487,0.14619
42,42,1994,Rural regions,West,Seldom,0.33577,659,12788,0.32085,0.35501
43,43,1994,Rural regions,West,Never,0.35919,722,12788,0.33976,0.3779
44,44,1994,Rural regions,East,At least once per week,0.03597,94,12788,0.03244,0.03967
45,45,1994,Rural regions,East,At least once per month,0.03662,84,12788,0.03154,0.04171
46,46,1994,Rural regions,East,Seldom,0.15135,405,12788,0.1433,0.1594
47,47,1994,Rural regions,East,Never,0.77606,1864,12788,0.75613,0.7993
48,48,1995,Urban regions,West,At least once per week,0.13003,1067,13191,0.1247,0.13572
49,49,1995,Urban regions,West,At least once per month,0.09597,837,13191,0.09058,0.10103
50,50,1995,Urban regions,West,Seldom,0.28697,2125,13191,0.27678,0.29582
51,51,1995,Urban regions,West,Never,0.48703,3419,13191,0.47613,0.49954
52,52,1995,Urban regions,East,At least once per week,0.0395,51,13191,0.0351,0.04412
53,53,1995,Urban regions,East,At least once per month,0.03737,45,13191,0.03252,0.04315
54,54,1995,Urban regions,East,Seldom,0.14562,179,13191,0.13105,0.1589
55,55,1995,Urban regions,East,Never,0.77751,935,13191,0.7526,0.80551
