,Unnamed: 0,year,bula_h,pgisced97,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,Lower Secondary Level,Never,1.0,39,11295,0.81627,1.17816
1,1,1990,Schleswig-Holstein,Upper Secondary Level,Seldom,0.41971,61,11295,0.36051,0.46336
2,2,1990,Schleswig-Holstein,Upper Secondary Level,Never,0.58029,85,11295,0.53072,0.63028
3,3,1990,Hamburg,Upper Secondary Level,Never,1.0,66,11295,0.87724,1.1224
4,4,1990,Lower Saxony,Lower Secondary Level,Seldom,0.39795,80,11295,0.34734,0.44728
5,5,1990,Lower Saxony,Lower Secondary Level,Never,0.60205,110,11295,0.53805,0.66454
6,6,1990,Lower Saxony,Upper Secondary Level,At least once per week,0.05582,31,11295,0.04523,0.06771
7,7,1990,Lower Saxony,Upper Secondary Level,Seldom,0.37039,170,11295,0.34229,0.39792
8,8,1990,Lower Saxony,Upper Secondary Level,Never,0.57379,269,11295,0.53999,0.6148
9,9,1990,Lower Saxony,First Stage of Tertiary Education,Seldom,1.0,33,11295,0.84218,1.15597
10,10,1990,Lower Saxony,Second Stage of Tertiary Education,Never,1.0,36,11295,0.86565,1.15641
11,11,1990,Bremen,Upper Secondary Level,Never,1.0,35,11295,0.88696,1.10921
12,12,1990,North Rhine-Westphalia,Primary Level,At least once per week,0.13383,32,11295,0.11204,0.15892
13,13,1990,North Rhine-Westphalia,Primary Level,Seldom,0.23943,40,11295,0.18445,0.30969
14,14,1990,North Rhine-Westphalia,Primary Level,Never,0.62674,87,11295,0.52546,0.72053
15,15,1990,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.19562,110,11295,0.16925,0.22231
16,16,1990,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.10407,59,11295,0.08652,0.12261
17,17,1990,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.2572,158,11295,0.2283,0.28669
18,18,1990,North Rhine-Westphalia,Lower Secondary Level,Never,0.44311,286,11295,0.4036,0.47916
19,19,1990,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.14417,184,11295,0.13341,0.15526
20,20,1990,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.1225,140,11295,0.11285,0.13046
21,21,1990,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.29276,368,11295,0.27771,0.31053
22,22,1990,North Rhine-Westphalia,Upper Secondary Level,Never,0.44057,519,11295,0.42113,0.46181
23,23,1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,1.0,44,11295,0.79904,1.18647
24,24,1990,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.52023,53,11295,0.46073,0.5754
25,25,1990,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.47977,47,11295,0.42209,0.54686
26,26,1990,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.19348,32,11295,0.16898,0.22243
27,27,1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.37647,66,11295,0.33971,0.42491
28,28,1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.43005,82,11295,0.3863,0.47455
29,29,1990,Hesse,Lower Secondary Level,At least once per week,0.15116,41,11295,0.10509,0.20117
30,30,1990,Hesse,Lower Secondary Level,At least once per month,0.12003,39,11295,0.08842,0.15175
31,31,1990,Hesse,Lower Secondary Level,Seldom,0.40805,93,11295,0.35499,0.46531
32,32,1990,Hesse,Lower Secondary Level,Never,0.32077,89,11295,0.26393,0.38966
33,33,1990,Hesse,Upper Secondary Level,At least once per week,0.09244,40,11295,0.07131,0.11366
34,34,1990,Hesse,Upper Secondary Level,At least once per month,0.12084,58,11295,0.09861,0.14096
35,35,1990,Hesse,Upper Secondary Level,Seldom,0.407,179,11295,0.37836,0.44284
36,36,1990,Hesse,Upper Secondary Level,Never,0.37972,174,11295,0.34486,0.42053
37,37,1990,Hesse,Second Stage of Tertiary Education,Never,1.0,36,11295,0.84821,1.17865
38,38,1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per week,0.22485,38,11295,0.1933,0.25842
39,39,1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.41575,78,11295,0.36904,0.45575
40,40,1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.3594,69,11295,0.3067,0.40855
41,41,1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.15837,50,11295,0.14072,0.17517
42,42,1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.12132,38,11295,0.10454,0.14446
