"pli0098_h","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","(noch) kein Abschluss","maennlich","7","","",""
"Taeglich","1990","(noch) kein Abschluss","weiblich","6","","",""
"Taeglich","1990","Hauptschule","maennlich","25","","",""
"Taeglich","1990","Hauptschule","weiblich","30","0.00970395284928223","0.00651013119532221","0.0128977745032423"
"Taeglich","1990","Realschule","maennlich","","","",""
"Taeglich","1990","Realschule","weiblich","2","","",""
"Taeglich","1990","(Fach-)Abitur","maennlich","1","","",""
"Taeglich","1990","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1990","AkademikerIn","maennlich","2","","",""
"Taeglich","1990","AkademikerIn","weiblich","3","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","maennlich","65","0.145137683166034","0.110618836630217","0.179656529701851"
"Min 1x pro Woche","1990","(noch) kein Abschluss","weiblich","87","0.143487078794418","0.111960659829374","0.175013497759463"
"Min 1x pro Woche","1990","Hauptschule","maennlich","359","0.110697100931546","0.100029275555214","0.121364926307877"
"Min 1x pro Woche","1990","Hauptschule","weiblich","492","0.154079388413464","0.142317125681136","0.165841651145793"
"Min 1x pro Woche","1990","Realschule","maennlich","104","0.0767917646247331","0.0631573518663015","0.0904261773831646"
"Min 1x pro Woche","1990","Realschule","weiblich","172","0.120253620617717","0.104778466086631","0.135728775148803"
"Min 1x pro Woche","1990","(Fach-)Abitur","maennlich","52","0.111138666416733","0.0836987729706052","0.138578559862861"
"Min 1x pro Woche","1990","(Fach-)Abitur","weiblich","45","0.124979239141881","0.0912834721901758","0.158675006093586"
"Min 1x pro Woche","1990","AkademikerIn","maennlich","76","0.0946051301145455","0.0755688746159955","0.113641385613096"
"Min 1x pro Woche","1990","AkademikerIn","weiblich","65","0.11993651125703","0.0967775060135634","0.143095516500496"
"Min 1x pro Monat","1990","(noch) kein Abschluss","maennlich","54","0.0990111868577939","0.0697413751955668","0.128280998520021"
"Min 1x pro Monat","1990","(noch) kein Abschluss","weiblich","66","0.144362941750283","0.112756621169462","0.175969262331104"
"Min 1x pro Monat","1990","Hauptschule","maennlich","307","0.0930304855045486","0.0831542392774474","0.10290673173165"
"Min 1x pro Monat","1990","Hauptschule","weiblich","437","0.132632063277022","0.121581618864059","0.143682507689985"
"Min 1x pro Monat","1990","Realschule","maennlich","78","0.0634867956491049","0.0510006632708649","0.0759729280273448"
"Min 1x pro Monat","1990","Realschule","weiblich","165","0.113887328332351","0.0987729828194426","0.129001673845259"
"Min 1x pro Monat","1990","(Fach-)Abitur","maennlich","34","0.050452306493058","0.0313435807591513","0.0695610322269646"
"Min 1x pro Monat","1990","(Fach-)Abitur","weiblich","38","0.0844448862550808","0.0561129567285427","0.112776815781619"
"Min 1x pro Monat","1990","AkademikerIn","maennlich","65","0.0902523162232335","0.071614508620022","0.108890123826445"
"Min 1x pro Monat","1990","AkademikerIn","weiblich","52","0.0810624423847492","0.0616070481058574","0.100517836663641"
"Seltener","1990","(noch) kein Abschluss","maennlich","102","0.327233959834973","0.281252864797309","0.373215054872637"
"Seltener","1990","(noch) kein Abschluss","weiblich","106","0.254080573350374","0.214930464344906","0.293230682355841"
"Seltener","1990","Hauptschule","maennlich","945","0.30205345084879","0.28644226466046","0.31766463703712"
"Seltener","1990","Hauptschule","weiblich","1042","0.294973954987131","0.280116370259988","0.309831539714274"
"Seltener","1990","Realschule","maennlich","330","0.257646703499271","0.23525191864931","0.280041488349232"
"Seltener","1990","Realschule","weiblich","451","0.280353946385471","0.25898318570863","0.301724707062313"
"Seltener","1990","(Fach-)Abitur","maennlich","133","0.265666119089287","0.227105172026496","0.304227066152079"
"Seltener","1990","(Fach-)Abitur","weiblich","104","0.278147749583884","0.232490561415737","0.323804937752032"
"Seltener","1990","AkademikerIn","maennlich","232","0.288305251105393","0.258842158975618","0.317768343235169"
"Seltener","1990","AkademikerIn","weiblich","162","0.248248347275024","0.217454243288849","0.279042451261198"
"Nie","1990","(noch) kein Abschluss","maennlich","172","0.419291712889767","0.370935169778951","0.467648256000583"
"Nie","1990","(noch) kein Abschluss","weiblich","210","0.449706943047386","0.404970330193304","0.494443555901468"
"Nie","1990","Hauptschule","maennlich","1687","0.488634905015843","0.471639140539587","0.505630669492099"
"Nie","1990","Hauptschule","weiblich","1618","0.4086106404731","0.392594960264927","0.424626320681273"
"Nie","1990","Realschule","maennlich","953","0.602074736226891","0.577010456018908","0.627139016434874"
"Nie","1990","Realschule","weiblich","907","0.483627039019494","0.459850742774725","0.507403335264263"
"Nie","1990","(Fach-)Abitur","maennlich","284","0.572485737783887","0.529295015936025","0.61567645963175"
"Nie","1990","(Fach-)Abitur","weiblich","183","0.512428125019154","0.461497027949993","0.563359222088314"
