year,bula_h,regtyp,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Urban regions,Seldom,0.28141,47,127,0.20289,0.35993
1990,Schleswig-Holstein,Urban regions,Never,0.45157,80,127,0.36467,0.53846
1990,Schleswig-Holstein,Rural regions,Seldom,0.32680,60,133,0.24678,0.40682
1990,Schleswig-Holstein,Rural regions,Never,0.41289,73,133,0.32890,0.49689
1990,Hamburg,Urban regions,Seldom,0.20957,40,149,0.14400,0.27514
1990,Hamburg,Urban regions,Never,0.61424,109,149,0.53582,0.69267
1990,Lower Saxony,Urban regions,At least once per week,0.05849,46,478,0.03743,0.07955
1990,Lower Saxony,Urban regions,At least once per month,0.07309,40,478,0.04974,0.09645
1990,Lower Saxony,Urban regions,Seldom,0.26098,154,478,0.22157,0.30039
1990,Lower Saxony,Urban regions,Never,0.48016,238,478,0.43532,0.52499
1990,Lower Saxony,Rural regions,At least once per week,0.07610,39,494,0.05269,0.09950
1990,Lower Saxony,Rural regions,At least once per month,0.06217,33,494,0.04086,0.08349
1990,Lower Saxony,Rural regions,Seldom,0.31433,183,494,0.27335,0.35531
1990,Lower Saxony,Rural regions,Never,0.37764,239,494,0.33484,0.42043
1990,Bremen,Urban regions,Never,0.59724,70,70,0.48151,0.71296
1990,North Rhine-Westphalia,Urban regions,At least once per week,0.12708,391,2473,0.11395,0.14021
1990,North Rhine-Westphalia,Urban regions,At least once per month,0.08691,261,2473,0.07581,0.09802
1990,North Rhine-Westphalia,Urban regions,Seldom,0.24168,718,2473,0.22480,0.25855
1990,North Rhine-Westphalia,Urban regions,Never,0.36380,1103,2473,0.34484,0.38277
1990,Hesse,Urban regions,At least once per week,0.08278,104,842,0.06416,0.10141
1990,Hesse,Urban regions,At least once per month,0.09670,111,842,0.07673,0.11668
1990,Hesse,Urban regions,Seldom,0.32672,308,842,0.29502,0.35842
1990,Hesse,Urban regions,Never,0.32137,319,842,0.28980,0.35293
1990,Hesse,Rural regions,Seldom,0.34669,44,96,0.25099,0.44240
1990,Hesse,Rural regions,Never,0.28064,52,96,0.19029,0.37100
1990,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.16636,108,559,0.13546,0.19726
1990,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.11287,68,559,0.08662,0.13913
1990,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.27108,179,559,0.23420,0.30797
1990,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.30074,204,559,0.26269,0.33879
1990,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.44148,57,57,0.31142,0.57154
1990,Baden-Wuerttemberg,Urban regions,At least once per week,0.15628,295,1539,0.13814,0.17443
1990,Baden-Wuerttemberg,Urban regions,At least once per month,0.10751,225,1539,0.09203,0.12299
1990,Baden-Wuerttemberg,Urban regions,Seldom,0.27130,511,1539,0.24907,0.29352
1990,Baden-Wuerttemberg,Urban regions,Never,0.27068,508,1539,0.24848,0.29289
1990,Baden-Wuerttemberg,Rural regions,At least once per week,0.17086,49,233,0.12243,0.21930
1990,Baden-Wuerttemberg,Rural regions,At least once per month,0.12382,37,233,0.08143,0.16620
1990,Baden-Wuerttemberg,Rural regions,Seldom,0.24793,67,233,0.19236,0.30350
1990,Baden-Wuerttemberg,Rural regions,Never,0.27096,80,233,0.21377,0.32815
1990,Bavaria,Urban regions,At least once per week,0.11988,127,834,0.09782,0.14194
1990,Bavaria,Urban regions,At least once per month,0.10279,109,834,0.08216,0.12341
1990,Bavaria,Urban regions,Seldom,0.25115,249,834,0.22170,0.28060
1990,Bavaria,Urban regions,Never,0.38888,349,834,0.35578,0.42199
1990,Bavaria,Rural regions,At least once per week,0.22316,191,756,0.19346,0.25286
1990,Bavaria,Rural regions,At least once per month,0.16729,149,756,0.14067,0.19391
1990,Bavaria,Rural regions,Seldom,0.24349,229,756,0.21288,0.27411
1990,Bavaria,Rural regions,Never,0.16780,187,756,0.14114,0.19445
1990,Berlin,Urban regions,At least once per week,0.05353,34,582,0.03523,0.07184
1990,Berlin,Urban regions,Seldom,0.14501,92,582,0.11638,0.17364
1990,Berlin,Urban regions,Never,0.59635,456,582,0.55645,0.63624
1990,Brandenburg,Urban regions,Never,0.49375,43,43,0.34255,0.64496
1990,Brandenburg,Rural regions,Seldom,0.09932,79,607,0.07551,0.12314
1990,Brandenburg,Rural regions,Never,0.61947,528,607,0.58082,0.65813
1990,Mecklenburg-Western Pomerania,Urban regions,Never,0.61163,42,42,0.46244,0.76081
1990,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.14515,78,411,0.11105,0.17925
1990,Mecklenburg-Western Pomerania,Rural regions,Never,0.58051,333,411,0.53274,0.62827
1990,Saxony,Urban regions,At least once per month,0.04129,35,639,0.02585,0.05673
1990,Saxony,Urban regions,Seldom,0.15135,146,639,0.12354,0.17916
1990,Saxony,Urban regions,Never,0.53500,458,639,0.49630,0.57371
1990,Saxony,Rural regions,At least once per month,0.05834,39,586,0.03935,0.07733
1990,Saxony,Rural regions,Seldom,0.13345,107,586,0.10589,0.16101
1990,Saxony,Rural regions,Never,0.54737,440,586,0.50703,0.58770
1990,Saxony-Anhalt,Urban regions,Never,0.73306,149,149,0.66179,0.80433
1990,Saxony-Anhalt,Rural regions,At least once per month,0.05143,36,591,0.03361,0.06925
1990,Saxony-Anhalt,Rural regions,Seldom,0.10558,91,591,0.08078,0.13038
1990,Saxony-Anhalt,Rural regions,Never,0.57950,464,591,0.53967,0.61934
1990,Thuringa,Urban regions,Seldom,0.10021,31,190,0.05740,0.14302
1990,Thuringa,Urban regions,Never,0.60566,159,190,0.53599,0.67534
1990,Thuringa,Rural regions,At least once per week,0.07598,42,517,0.05311,0.09884
1990,Thuringa,Rural regions,At least once per month,0.05767,33,517,0.03755,0.07778
1990,Thuringa,Rural regions,Seldom,0.15802,120,517,0.12654,0.18949
1990,Thuringa,Rural regions,Never,0.49153,322,517,0.44839,0.53466
1992,Schleswig-Holstein,Urban regions,Never,0.48960,96,96,0.38908,0.59013
1992,Schleswig-Holstein,Rural regions,Seldom,0.29669,50,118,0.21392,0.37947
1992,Schleswig-Holstein,Rural regions,Never,0.42801,68,118,0.33836,0.51767
1992,Hamburg,Urban regions,Never,0.60965,91,91,0.50886,0.71043
1992,Lower Saxony,Urban regions,At least once per week,0.06054,41,436,0.03813,0.08295
1992,Lower Saxony,Urban regions,Seldom,0.25063,131,436,0.20990,0.29135
1992,Lower Saxony,Urban regions,Never,0.48150,264,436,0.43454,0.52845
1992,Lower Saxony,Rural regions,At least once per week,0.06734,34,464,0.04451,0.09017
1992,Lower Saxony,Rural regions,Seldom,0.29485,175,464,0.25331,0.33638
1992,Lower Saxony,Rural regions,Never,0.39178,255,464,0.34732,0.43625
1992,Bremen,Urban regions,Never,0.59282,59,59,0.46638,0.71926
