"pli0098_h","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Taeglich","1990","16-34 Jahre alt","Hamburg","","","",""
"Taeglich","1990","16-34 Jahre alt","Niedersachsen","","","",""
"Taeglich","1990","16-34 Jahre alt","Bremen","","","",""
"Taeglich","1990","16-34 Jahre alt","Nordrhein-Westfalen","","","",""
"Taeglich","1990","16-34 Jahre alt","Hessen","","","",""
"Taeglich","1990","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","16-34 Jahre alt","Baden-Wuerttemberg","","","",""
"Taeglich","1990","16-34 Jahre alt","Bayern","","","",""
"Taeglich","1990","16-34 Jahre alt","Saarland","","","",""
"Taeglich","1990","16-34 Jahre alt","Berlin","","","",""
"Taeglich","1990","16-34 Jahre alt","Brandenburg","","","",""
"Taeglich","1990","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","16-34 Jahre alt","Sachsen","","","",""
"Taeglich","1990","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Taeglich","1990","16-34 Jahre alt","Thueringen","","","",""
"Taeglich","1990","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Taeglich","1990","35-65 Jahre alt","Hamburg","","","",""
"Taeglich","1990","35-65 Jahre alt","Niedersachsen","","","",""
"Taeglich","1990","35-65 Jahre alt","Bremen","","","",""
"Taeglich","1990","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"Taeglich","1990","35-65 Jahre alt","Hessen","","","",""
"Taeglich","1990","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"Taeglich","1990","35-65 Jahre alt","Bayern","","","",""
"Taeglich","1990","35-65 Jahre alt","Saarland","","","",""
"Taeglich","1990","35-65 Jahre alt","Berlin","","","",""
"Taeglich","1990","35-65 Jahre alt","Brandenburg","","","",""
"Taeglich","1990","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","35-65 Jahre alt","Sachsen","","","",""
"Taeglich","1990","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Taeglich","1990","35-65 Jahre alt","Thueringen","","","",""
"Taeglich","1990","66 und älter","Schleswig-Holstein","","","",""
"Taeglich","1990","66 und älter","Hamburg","","","",""
"Taeglich","1990","66 und älter","Niedersachsen","","","",""
"Taeglich","1990","66 und älter","Bremen","","","",""
"Taeglich","1990","66 und älter","Nordrhein-Westfalen","","","",""
"Taeglich","1990","66 und älter","Hessen","","","",""
"Taeglich","1990","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1990","66 und älter","Baden-Wuerttemberg","","","",""
"Taeglich","1990","66 und älter","Bayern","","","",""
"Taeglich","1990","66 und älter","Saarland","","","",""
"Taeglich","1990","66 und älter","Berlin","","","",""
"Taeglich","1990","66 und älter","Brandenburg","","","",""
"Taeglich","1990","66 und älter","Mecklenburg-Vorpommern","","","",""
"Taeglich","1990","66 und älter","Sachsen","","","",""
"Taeglich","1990","66 und älter","Sachsen-Anhalt","","","",""
"Taeglich","1990","66 und älter","Thueringen","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Hamburg","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Niedersachsen","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Bremen","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Nordrhein-Westfalen","101","0.0834373713149306","0.0663401143278675","0.100534628301994"
"Min 1x pro Woche","1990","16-34 Jahre alt","Hessen","30","0.0368046997427332","0.0172737752997125","0.056335624185754"
"Min 1x pro Woche","1990","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","Baden-Wuerttemberg","96","0.132803698938501","0.108185830009783","0.15742156786722"
"Min 1x pro Woche","1990","16-34 Jahre alt","Bayern","84","0.133984868007015","0.106997346800498","0.160972389213531"
