"pli0098_h","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Taeglich","1990","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Taeglich","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Taeglich","1990","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Taeglich","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","66 und älter","kein Migrationshintergrund","","","",""
"Taeglich","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Taeglich","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","16-34 Jahre alt","kein Migrationshintergrund","291","0.0772359314250633","0.0690831231987028","0.0853887396514239"
"Min 1x pro Woche","1990","16-34 Jahre alt","direkter Migrationshintergrund","118","0.108552830935946","0.088418750226922","0.128686911644969"
"Min 1x pro Woche","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","35-65 Jahre alt","kein Migrationshintergrund","564","0.123722450822767","0.11491753539921","0.132527366246324"
"Min 1x pro Woche","1990","35-65 Jahre alt","direkter Migrationshintergrund","274","0.151339530723165","0.133946939553212","0.168732121893117"
"Min 1x pro Woche","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","66 und älter","kein Migrationshintergrund","245","0.193658641901653","0.172703015356488","0.214614268446818"
"Min 1x pro Woche","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","16-34 Jahre alt","kein Migrationshintergrund","276","0.072254731370947","0.0643479502885927","0.0801615124533013"
"Min 1x pro Monat","1990","16-34 Jahre alt","direkter Migrationshintergrund","113","0.101806433635673","0.0822343976693101","0.121378469602037"
"Min 1x pro Monat","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","35-65 Jahre alt","kein Migrationshintergrund","480","0.10111409244812","0.0930521773721567","0.109176007524084"
"Min 1x pro Monat","1990","35-65 Jahre alt","direkter Migrationshintergrund","225","0.125969073252574","0.109865714153632","0.142072432351516"
"Min 1x pro Monat","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","66 und älter","kein Migrationshintergrund","197","0.156699465561528","0.137422099836592","0.175976831286464"
"Min 1x pro Monat","1990","66 und älter","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","66 und älter","indirekter Migrationshintergrund","","","",""
