year,sampreg,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,At least once per week,0.15034,1454,9397,0.14311,0.15756
1990,West,At least once per month,0.11550,1124,9397,0.10904,0.12196
1990,West,Seldom,0.31691,2947,9397,0.30750,0.32632
1990,West,Never,0.41726,3872,9397,0.40729,0.42723
1990,East,At least once per week,0.04029,163,4323,0.03443,0.04616
1990,East,At least once per month,0.04933,196,4323,0.04287,0.05579
1990,East,Seldom,0.15898,715,4323,0.14808,0.16988
1990,East,Never,0.75139,3249,4323,0.73851,0.76428
1992,West,At least once per week,0.13185,1244,9254,0.12496,0.13874
1992,West,At least once per month,0.09798,991,9254,0.09193,0.10404
1992,West,Seldom,0.30702,2760,9254,0.29762,0.31642
1992,West,Never,0.46314,4259,9254,0.45298,0.47331
1992,East,At least once per week,0.03836,142,3937,0.03236,0.04436
1992,East,At least once per month,0.03721,141,3937,0.03129,0.04312
1992,East,Seldom,0.15024,613,3937,0.13907,0.16140
1992,East,Never,0.77420,3041,3937,0.76114,0.78726
1994,West,At least once per week,0.13063,1197,9041,0.12368,0.13758
1994,West,At least once per month,0.10360,1042,9041,0.09731,0.10988
1994,West,Seldom,0.31205,2828,9041,0.30250,0.32161
1994,West,Never,0.45372,3974,9041,0.44346,0.46398
1994,East,At least once per week,0.03551,140,3747,0.02959,0.04144
1994,East,At least once per month,0.03565,131,3747,0.02971,0.04159
1994,East,Seldom,0.15111,593,3747,0.13964,0.16258
1994,East,Never,0.77773,2883,3747,0.76441,0.79104
1995,West,At least once per week,0.13897,1382,9529,0.13203,0.14592
1995,West,At least once per month,0.10812,1127,9529,0.10189,0.11436
1995,West,Seldom,0.29785,2824,9529,0.28867,0.30704
1995,West,Never,0.45505,4196,9529,0.44505,0.46505
1995,East,At least once per week,0.03490,136,3662,0.02896,0.04085
1995,East,At least once per month,0.04110,135,3662,0.03467,0.04753
1995,East,Seldom,0.15699,599,3662,0.14520,0.16877
1995,East,Never,0.76701,2792,3662,0.75331,0.78070
1996,West,At least once per week,0.12706,1194,9330,0.12030,0.13382
1996,West,At least once per month,0.10408,1064,9330,0.09788,0.11028
1996,West,Seldom,0.32446,2957,9330,0.31496,0.33396
1996,West,Never,0.44440,4115,9330,0.43432,0.45448
1996,East,At least once per week,0.03515,127,3670,0.02919,0.04111
1996,East,At least once per month,0.03739,134,3670,0.03125,0.04353
1996,East,Seldom,0.17732,653,3670,0.16497,0.18968
1996,East,Never,0.75014,2756,3670,0.73613,0.76414
1997,West,At least once per week,0.12817,1182,9140,0.12131,0.13502
1997,West,At least once per month,0.09599,953,9140,0.08995,0.10203
1997,West,Seldom,0.32848,3047,9140,0.31885,0.33811
1997,West,Never,0.44735,3958,9140,0.43716,0.45755
1997,East,At least once per week,0.03196,113,3612,0.02622,0.03769
1997,East,At least once per month,0.05127,173,3612,0.04408,0.05847
1997,East,Seldom,0.16429,590,3612,0.15221,0.17638
1997,East,Never,0.75248,2736,3612,0.73840,0.76655
1998,West,At least once per week,0.12595,1314,10300,0.11954,0.13235
1998,West,At least once per month,0.11018,1152,10300,0.10413,0.11622
