"pli0098_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","17-29","(noch) kein Abschluss","1","","",""
"Täglich","1990","17-29","Hauptschule","7","","",""
"Täglich","1990","17-29","Realschule","1","","",""
"Täglich","1990","17-29","(Fach-)Abitur","","","",""
"Täglich","1990","17-29","AkademikerIn","","","",""
"Täglich","1990","30-45","(noch) kein Abschluss","2","","",""
"Täglich","1990","30-45","Hauptschule","12","","",""
"Täglich","1990","30-45","Realschule","","","",""
"Täglich","1990","30-45","(Fach-)Abitur","","","",""
"Täglich","1990","30-45","AkademikerIn","3","","",""
"Täglich","1990","46-65","(noch) kein Abschluss","10","","",""
"Täglich","1990","46-65","Hauptschule","20","","",""
"Täglich","1990","46-65","Realschule","1","","",""
"Täglich","1990","46-65","(Fach-)Abitur","1","","",""
"Täglich","1990","46-65","AkademikerIn","2","","",""
"Täglich","1990","66","(noch) kein Abschluss","","","",""
"Täglich","1990","66","Hauptschule","","","",""
"Täglich","1990","66","Realschule","","","",""
"Täglich","1990","66","(Fach-)Abitur","","","",""
"Täglich","1990","66","AkademikerIn","","","",""
"Min 1x pro Woche","1990","17-29","(noch) kein Abschluss","43","0.142266332179282","0.102605003875196","0.181927660483369"
"Min 1x pro Woche","1990","17-29","Hauptschule","115","0.0732601893331366","0.0589858494174059","0.0875345292488673"
"Min 1x pro Woche","1990","17-29","Realschule","101","0.0756006658269137","0.0617972930539406","0.0894040385998869"
"Min 1x pro Woche","1990","17-29","(Fach-)Abitur","54","0.104993967007293","0.0776557819144109","0.132332152100175"
"Min 1x pro Woche","1990","17-29","AkademikerIn","15","","",""
"Min 1x pro Woche","1990","30-45","(noch) kein Abschluss","30","0.101475363268418","0.0619323842792082","0.141018342257628"
"Min 1x pro Woche","1990","30-45","Hauptschule","164","0.0854294001484371","0.0725272371488175","0.0983315631480567"
"Min 1x pro Woche","1990","30-45","Realschule","72","0.0672744893356804","0.0527077933012171","0.0818411853701436"
"Min 1x pro Woche","1990","30-45","(Fach-)Abitur","21","","",""
"Min 1x pro Woche","1990","30-45","AkademikerIn","55","0.078921566634933","0.060273385712406","0.0975697475574601"
"Min 1x pro Woche","1990","46-65","(noch) kein Abschluss","70","0.173359378173809","0.132515858245551","0.214202898102068"
"Min 1x pro Woche","1990","46-65","Hauptschule","377","0.144882708919295","0.131821989121585","0.157943428717005"
"Min 1x pro Woche","1990","46-65","Realschule","66","0.156686736288291","0.122248826085823","0.191124646490759"
"Min 1x pro Woche","1990","46-65","(Fach-)Abitur","15","","",""
"Min 1x pro Woche","1990","46-65","AkademikerIn","51","0.120229599733932","0.0925148712214153","0.147944328246448"
