year,quintil_oecd_hh,rentown,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Owner,Yes,0.38247,168,396,0.33454,0.43040
2016,1st Quintile,Owner,No,0.61753,228,396,0.56960,0.66546
2016,1st Quintile,Tenant,Yes,0.43788,1229,2689,0.41913,0.45664
2016,1st Quintile,Tenant,No,0.55668,1460,2689,0.53790,0.57546
2016,2nd Quintile,Owner,Yes,0.46795,553,1022,0.43734,0.49855
2016,2nd Quintile,Owner,No,0.51929,469,1022,0.48864,0.54993
2016,2nd Quintile,Tenant,Yes,0.49825,1118,2010,0.47638,0.52011
2016,2nd Quintile,Tenant,No,0.49695,892,2010,0.47509,0.51881
2016,3rd Quintile,Owner,Yes,0.58326,843,1338,0.55683,0.60968
2016,3rd Quintile,Owner,No,0.41431,495,1338,0.38790,0.44071
2016,3rd Quintile,Tenant,Yes,0.63468,921,1399,0.60944,0.65992
2016,3rd Quintile,Tenant,No,0.36436,478,1399,0.33913,0.38959
2016,4th Quintile,Owner,Yes,0.64779,1087,1554,0.62404,0.67155
2016,4th Quintile,Owner,No,0.34508,467,1554,0.32143,0.36872
2016,4th Quintile,Tenant,Yes,0.71080,828,1097,0.68396,0.73764
2016,4th Quintile,Tenant,No,0.28558,269,1097,0.25884,0.31233
2016,5th Quintile,Owner,Yes,0.75267,1556,1978,0.73365,0.77169
2016,5th Quintile,Owner,No,0.24733,422,1978,0.22831,0.26635
2016,5th Quintile,Tenant,Yes,0.76024,620,774,0.73014,0.79034
2016,5th Quintile,Tenant,No,0.23186,154,774,0.20211,0.26161
2017,1st Quintile,Owner,Yes,0.43213,193,390,0.38290,0.48136
2017,1st Quintile,Owner,No,0.56638,197,390,0.51713,0.61563
2017,1st Quintile,Tenant,Yes,0.45973,1781,4439,0.44506,0.47439
2017,1st Quintile,Tenant,No,0.53696,2658,4439,0.52229,0.55163
2017,2nd Quintile,Owner,Yes,0.52443,631,1095,0.49483,0.55402
2017,2nd Quintile,Owner,No,0.46705,464,1095,0.43749,0.49662
2017,2nd Quintile,Tenant,Yes,0.55143,1288,2227,0.53077,0.57209
2017,2nd Quintile,Tenant,No,0.44603,939,2227,0.42538,0.46668
2017,3rd Quintile,Owner,Yes,0.60010,1026,1529,0.57554,0.62466
2017,3rd Quintile,Owner,No,0.39575,503,1529,0.37123,0.42027
2017,3rd Quintile,Tenant,Yes,0.66764,1102,1573,0.64435,0.69093
2017,3rd Quintile,Tenant,No,0.33203,471,1573,0.30875,0.35531
2017,4th Quintile,Owner,Yes,0.69474,1327,1793,0.67341,0.71606
2017,4th Quintile,Owner,No,0.30280,466,1793,0.28152,0.32407
2017,4th Quintile,Tenant,Yes,0.71885,955,1247,0.69389,0.74382
2017,4th Quintile,Tenant,No,0.27921,292,1247,0.25430,0.30412
2017,5th Quintile,Owner,Yes,0.78735,1824,2242,0.77040,0.80429
2017,5th Quintile,Owner,No,0.21077,418,2242,0.19388,0.22765
2017,5th Quintile,Tenant,Yes,0.82390,709,851,0.79830,0.84951
2017,5th Quintile,Tenant,No,0.17610,142,851,0.15049,0.20170
2018,1st Quintile,Owner,Yes,0.44857,202,383,0.39869,0.49844
2018,1st Quintile,Owner,No,0.55143,181,383,0.50156,0.60131
2018,1st Quintile,Tenant,Yes,0.45095,2031,4968,0.43711,0.46479
2018,1st Quintile,Tenant,No,0.54667,2937,4968,0.53282,0.56051
2018,2nd Quintile,Owner,Yes,0.56205,645,1084,0.53250,0.59160
2018,2nd Quintile,Owner,No,0.43653,439,1084,0.40699,0.46607
2018,2nd Quintile,Tenant,Yes,0.58158,1416,2358,0.56167,0.60150
2018,2nd Quintile,Tenant,No,0.41534,942,2358,0.39545,0.43524
2018,3rd Quintile,Owner,Yes,0.65728,975,1397,0.63238,0.68217
2018,3rd Quintile,Owner,No,0.33801,422,1397,0.31320,0.36283
2018,3rd Quintile,Tenant,Yes,0.67481,1123,1595,0.65181,0.69780
2018,3rd Quintile,Tenant,No,0.32208,472,1595,0.29914,0.34502
2018,4th Quintile,Owner,Yes,0.70739,1290,1709,0.68581,0.72897
2018,4th Quintile,Owner,No,0.28815,419,1709,0.26667,0.30963
2018,4th Quintile,Tenant,Yes,0.75672,910,1188,0.73231,0.78113
2018,4th Quintile,Tenant,No,0.23955,278,1188,0.21527,0.26383
2018,5th Quintile,Owner,Yes,0.82523,1821,2173,0.80926,0.84120
2018,5th Quintile,Owner,No,0.17477,352,2173,0.15880,0.19074
2018,5th Quintile,Tenant,Yes,0.81118,695,840,0.78470,0.83767
2018,5th Quintile,Tenant,No,0.18290,145,840,0.15674,0.20906
2019,1st Quintile,Owner,Yes,0.54026,225,391,0.49080,0.58972
2019,1st Quintile,Owner,No,0.45878,166,391,0.40933,0.50824
2019,1st Quintile,Tenant,Yes,0.49472,1390,2553,0.47532,0.51412
2019,1st Quintile,Tenant,No,0.46160,1163,2553,0.44226,0.48094
2019,2nd Quintile,Owner,Yes,0.58729,643,1030,0.55721,0.61738
2019,2nd Quintile,Owner,No,0.41209,387,1030,0.38201,0.44216
2019,2nd Quintile,Tenant,Yes,0.61648,1303,2000,0.59516,0.63780
2019,2nd Quintile,Tenant,No,0.37858,697,2000,0.35732,0.39984
2019,3rd Quintile,Owner,Yes,0.66420,996,1407,0.63951,0.68888
2019,3rd Quintile,Owner,No,0.33369,411,1407,0.30905,0.35834
2019,3rd Quintile,Tenant,Yes,0.69336,1069,1463,0.66972,0.71700
2019,3rd Quintile,Tenant,No,0.30241,394,1463,0.27886,0.32595
2019,4th Quintile,Owner,Yes,0.73573,1390,1779,0.71523,0.75622
2019,4th Quintile,Owner,No,0.26091,389,1779,0.24050,0.28132
2019,4th Quintile,Tenant,Yes,0.75510,909,1146,0.73019,0.78001
2019,4th Quintile,Tenant,No,0.24474,237,1146,0.21984,0.26965
2019,5th Quintile,Owner,Yes,0.80441,2742,3264,0.79080,0.81802
2019,5th Quintile,Owner,No,0.19531,522,3264,0.18171,0.20892
2019,5th Quintile,Tenant,Yes,0.81536,909,1088,0.79230,0.83843
2019,5th Quintile,Tenant,No,0.18430,179,1088,0.16125,0.20735
2021,1st Quintile,Owner,Yes,0.31347,104,283,0.25932,0.36761
2021,1st Quintile,Owner,No,0.68653,179,283,0.63239,0.74068
2021,1st Quintile,Tenant,Yes,0.38490,1134,2950,0.36734,0.40246
2021,1st Quintile,Tenant,No,0.61384,1816,2950,0.59626,0.63141
2021,2nd Quintile,Owner,Yes,0.40526,308,677,0.36825,0.44227
2021,2nd Quintile,Owner,No,0.58858,369,677,0.55148,0.62568
2021,2nd Quintile,Tenant,Yes,0.49217,798,1689,0.46832,0.51602
2021,2nd Quintile,Tenant,No,0.50662,891,1689,0.48277,0.53047
2021,3rd Quintile,Owner,Yes,0.49691,504,927,0.46470,0.52911
2021,3rd Quintile,Owner,No,0.50184,423,927,0.46964,0.53405
2021,3rd Quintile,Tenant,Yes,0.54610,648,1142,0.51721,0.57499
2021,3rd Quintile,Tenant,No,0.45007,494,1142,0.42120,0.47893
2021,4th Quintile,Owner,Yes,0.55022,730,1210,0.52218,0.57827
2021,4th Quintile,Owner,No,0.44655,480,1210,0.41853,0.47457
2021,4th Quintile,Tenant,Yes,0.59181,546,886,0.55943,0.62419
2021,4th Quintile,Tenant,No,0.40800,340,886,0.37562,0.44038
2021,5th Quintile,Owner,Yes,0.60075,1299,1986,0.57921,0.62230
2021,5th Quintile,Owner,No,0.39593,687,1986,0.37441,0.41744
2021,5th Quintile,Tenant,Yes,0.68031,500,736,0.64660,0.71403
2021,5th Quintile,Tenant,No,0.31969,236,736,0.28597,0.35340
