year,bula_h,hhtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Couple without children,No,0.88027,38,38,0.77566,0.98488
1996,Schleswig-Holstein,Couple with children,No,0.89544,50,50,0.80976,0.98112
1996,Hamburg,Single-person household,No,0.96309,42,42,0.90538,1.02080
1996,Lower Saxony,Single-person household,No,0.97765,112,112,0.95014,1.00515
1996,Lower Saxony,Couple without children,No,0.94499,148,148,0.90813,0.98185
1996,Lower Saxony,Couple with children,No,0.87852,178,178,0.83040,0.92665
1996,North Rhine-Westphalia,Single-person household,No,0.97367,282,282,0.95495,0.99239
1996,North Rhine-Westphalia,Couple without children,No,0.94870,322,322,0.92456,0.97283
1996,North Rhine-Westphalia,Single parent,No,0.97527,76,76,0.94012,1.01042
1996,North Rhine-Westphalia,Couple with children,Yes,0.14251,63,540,0.11300,0.17202
1996,North Rhine-Westphalia,Couple with children,No,0.85749,477,540,0.82798,0.88700
1996,Hesse,Couple without children,No,0.97957,143,143,0.95630,1.00284
1996,Hesse,Couple with children,No,0.90206,166,166,0.85671,0.94741
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98166,61,61,0.94771,1.01561
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97173,97,97,0.93857,1.00488
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.84925,118,118,0.78441,0.91408
1996,Baden-Wuerttemberg,Single-person household,No,0.98222,167,167,0.96211,1.00232
1996,Baden-Wuerttemberg,Couple without children,No,0.94690,199,199,0.91566,0.97813
1996,Baden-Wuerttemberg,Single parent,No,0.92170,42,42,0.83947,1.00393
1996,Baden-Wuerttemberg,Couple with children,Yes,0.12561,36,369,0.09175,0.15947
1996,Baden-Wuerttemberg,Couple with children,No,0.87439,333,369,0.84053,0.90825
1996,Bavaria,Single-person household,No,0.97554,191,191,0.95357,0.99750
1996,Bavaria,Couple without children,No,0.94683,218,218,0.91697,0.97668
1996,Bavaria,Single parent,No,0.88015,43,43,0.78192,0.97838
1996,Bavaria,Couple with children,Yes,0.13683,40,351,0.10082,0.17283
1996,Bavaria,Couple with children,No,0.86317,311,351,0.82717,0.89918
1996,Berlin,Single-person household,No,0.97480,89,89,0.94205,1.00755
1996,Berlin,Couple without children,No,0.92432,74,74,0.86365,0.98499
1996,Berlin,Couple with children,No,0.80227,90,90,0.71952,0.88501
1996,Brandenburg,Single-person household,No,0.98005,58,58,0.94376,1.01635
1996,Brandenburg,Couple without children,No,0.90210,76,76,0.83484,0.96936
1996,Brandenburg,Couple with children,No,0.76991,86,86,0.68043,0.85939
1996,Mecklenburg-Western Pomerania,Single-person household,No,0.99010,35,35,0.95682,1.02338
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.85493,51,51,0.75731,0.95255
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.86866,73,73,0.79063,0.94668
1996,Saxony,Single-person household,No,0.98478,92,92,0.95963,1.00994
1996,Saxony,Couple without children,No,0.94096,160,160,0.90433,0.97760
1996,Saxony,Couple with children,Yes,0.20865,50,229,0.15591,0.26140
1996,Saxony,Couple with children,No,0.79135,179,229,0.73860,0.84409
1996,Saxony-Anhalt,Single-person household,No,0.97271,57,57,0.93003,1.01538
1996,Saxony-Anhalt,Couple without children,No,0.88780,92,92,0.82296,0.95265
1996,Saxony-Anhalt,Couple with children,No,0.88377,125,125,0.82736,0.94018
1996,Thuringa,Single-person household,No,0.96014,58,58,0.90935,1.01093
1996,Thuringa,Couple without children,No,0.88313,75,75,0.80993,0.95633
1996,Thuringa,Couple with children,No,0.79235,110,110,0.71620,0.86850
2001,Schleswig-Holstein,Single-person household,No,0.98337,93,93,0.95723,1.00950
2001,Schleswig-Holstein,Couple without children,No,0.93704,120,120,0.89340,0.98068
2001,Schleswig-Holstein,Couple with children,No,0.86523,97,97,0.79692,0.93354
2001,Hamburg,Single-person household,No,0.96154,85,85,0.92041,1.00266
2001,Hamburg,Couple without children,No,0.97397,42,42,0.92523,1.02271
2001,Hamburg,Couple with children,No,0.87581,32,32,0.75971,0.99191
2001,Lower Saxony,Single-person household,No,0.95846,195,195,0.93038,0.98654
2001,Lower Saxony,Couple without children,No,0.90800,286,286,0.87444,0.94155
2001,Lower Saxony,Single parent,No,0.90721,48,48,0.82426,0.99016
2001,Lower Saxony,Couple with children,Yes,0.18522,59,366,0.14536,0.22507
2001,Lower Saxony,Couple with children,No,0.81478,307,366,0.77493,0.85464
2001,Bremen,Single-person household,No,0.96610,40,40,0.90930,1.02290
2001,North Rhine-Westphalia,Single-person household,No,0.97578,590,590,0.96336,0.98819
2001,North Rhine-Westphalia,Couple without children,Yes,0.04417,33,795,0.02988,0.05846
2001,North Rhine-Westphalia,Couple without children,No,0.95583,762,795,0.94154,0.97012
2001,North Rhine-Westphalia,Single parent,No,0.95732,122,122,0.92130,0.99334
2001,North Rhine-Westphalia,Couple with children,Yes,0.12222,99,895,0.10075,0.14369
2001,North Rhine-Westphalia,Couple with children,No,0.87778,796,895,0.85631,0.89925
2001,North Rhine-Westphalia,Other Combinations,No,0.92291,32,32,0.82902,1.01681
2001,Hesse,Single-person household,No,0.98482,177,177,0.96675,1.00288
2001,Hesse,Couple without children,No,0.96918,240,240,0.94727,0.99109
2001,Hesse,Single parent,No,0.81790,31,31,0.67979,0.95600
2001,Hesse,Couple with children,Yes,0.13133,40,291,0.09246,0.17021
2001,Hesse,Couple with children,No,0.86867,251,291,0.82979,0.90754
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.97684,159,159,0.95339,1.00029
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97023,196,196,0.94638,0.99409
2001,"Rhineland-Palatinate, Saarland",Single parent,No,0.79012,39,39,0.66064,0.91960
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.18457,45,281,0.13912,0.23001
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.81543,236,281,0.76999,0.86088
2001,Baden-Wuerttemberg,Single-person household,No,0.97569,318,318,0.95873,0.99264
2001,Baden-Wuerttemberg,Couple without children,No,0.96747,352,352,0.94891,0.98603
2001,Baden-Wuerttemberg,Single parent,No,0.94048,77,77,0.88729,0.99367
2001,Baden-Wuerttemberg,Couple with children,Yes,0.12641,75,551,0.09863,0.15418
2001,Baden-Wuerttemberg,Couple with children,No,0.87359,476,551,0.84582,0.90137
2001,Bavaria,Single-person household,No,0.96112,400,400,0.94215,0.98009
2001,Bavaria,Couple without children,No,0.96981,449,449,0.95396,0.98565
2001,Bavaria,Single parent,No,0.81645,88,88,0.73510,0.89779
2001,Bavaria,Couple with children,Yes,0.13759,84,584,0.10962,0.16555
2001,Bavaria,Couple with children,No,0.86241,500,584,0.83445,0.89038
2001,Berlin,Single-person household,No,0.99250,174,174,0.97965,1.00536
2001,Berlin,Couple without children,No,0.96039,107,107,0.92326,0.99752
2001,Berlin,Single parent,No,0.82053,39,39,0.69852,0.94255
2001,Berlin,Couple with children,No,0.86312,114,114,0.79974,0.92649
2001,Brandenburg,Single-person household,No,0.94636,112,112,0.90445,0.98828
2001,Brandenburg,Couple without children,No,0.88225,153,153,0.83102,0.93349
2001,Brandenburg,Couple with children,Yes,0.21468,32,166,0.15203,0.27733
2001,Brandenburg,Couple with children,No,0.78532,134,166,0.72267,0.84797
2001,Mecklenburg-Western Pomerania,Single-person household,No,0.95256,83,83,0.90655,0.99857
2001,Mecklenburg-Western Pomerania,Couple without children,No,0.83962,70,70,0.75303,0.92621
2001,Mecklenburg-Western Pomerania,Couple with children,No,0.76967,69,69,0.66960,0.86975
2001,Saxony,Single-person household,No,0.96649,192,192,0.94097,0.99201
2001,Saxony,Couple without children,No,0.90068,259,259,0.86418,0.93717
2001,Saxony,Single parent,No,0.83468,37,37,0.71333,0.95602
2001,Saxony,Couple with children,Yes,0.18194,50,299,0.13814,0.22575
2001,Saxony,Couple with children,No,0.81806,249,299,0.77425,0.86186
2001,Saxony-Anhalt,Single-person household,No,0.95370,103,103,0.91292,0.99448
2001,Saxony-Anhalt,Couple without children,Yes,0.14645,32,184,0.09522,0.19768
2001,Saxony-Anhalt,Couple without children,No,0.85355,152,184,0.80232,0.90478
2001,Saxony-Anhalt,Couple with children,Yes,0.20054,31,171,0.14035,0.26073
2001,Saxony-Anhalt,Couple with children,No,0.79946,140,171,0.73927,0.85965
2001,Thuringa,Single-person household,No,0.97929,119,119,0.95360,1.00499
2001,Thuringa,Couple without children,No,0.81999,123,123,0.75182,0.88817
2001,Thuringa,Single parent,No,0.85019,31,31,0.72248,0.97790
2001,Thuringa,Couple with children,Yes,0.20141,34,177,0.14216,0.26067
2001,Thuringa,Couple with children,No,0.79859,143,177,0.73933,0.85784
2006,Schleswig-Holstein,Single-person household,No,0.97440,93,93,0.94213,1.00667
2006,Schleswig-Holstein,Couple without children,No,0.97056,142,142,0.94266,0.99846
2006,Schleswig-Holstein,Couple with children,No,0.83722,98,98,0.76375,0.91068
2006,Hamburg,Couple without children,No,0.97510,54,54,0.93316,1.01705
2006,Hamburg,Couple with children,No,0.86050,42,42,0.75444,0.96655
2006,Lower Saxony,Single-person household,No,0.96323,242,242,0.93947,0.98699
2006,Lower Saxony,Couple without children,No,0.92587,343,343,0.89811,0.95364
2006,Lower Saxony,Single parent,No,0.72593,50,50,0.60103,0.85082
2006,Lower Saxony,Couple with children,Yes,0.23519,75,356,0.19107,0.27931
2006,Lower Saxony,Couple with children,No,0.76481,281,356,0.72069,0.80893
2006,Bremen,Single-person household,No,0.98833,33,33,0.95112,1.02554
2006,North Rhine-Westphalia,Single-person household,No,0.98044,632,632,0.96963,0.99124
2006,North Rhine-Westphalia,Couple without children,Yes,0.04509,39,896,0.03150,0.05869
2006,North Rhine-Westphalia,Couple without children,No,0.95491,857,896,0.94131,0.96850
2006,North Rhine-Westphalia,Single parent,No,0.88120,136,136,0.82662,0.93578
2006,North Rhine-Westphalia,Couple with children,Yes,0.15342,123,803,0.12848,0.17836
2006,North Rhine-Westphalia,Couple with children,No,0.84658,680,803,0.82164,0.87152
2006,Hesse,Single-person household,No,0.98722,217,217,0.97224,1.00220
2006,Hesse,Couple without children,No,0.95193,294,294,0.92743,0.97642
2006,Hesse,Single parent,No,0.89878,39,39,0.80288,0.99468
2006,Hesse,Couple with children,Yes,0.17656,50,261,0.13022,0.22291
2006,Hesse,Couple with children,No,0.82344,211,261,0.77709,0.86978
2006,"Rhineland-Palatinate, Saarland",Single-person household,No,0.95309,197,197,0.92348,0.98269
2006,"Rhineland-Palatinate, Saarland",Couple without children,No,0.96212,203,203,0.93580,0.98845
2006,"Rhineland-Palatinate, Saarland",Single parent,No,0.91477,42,42,0.82930,1.00024
2006,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.19941,49,238,0.14854,0.25029
2006,"Rhineland-Palatinate, Saarland",Couple with children,No,0.80059,189,238,0.74971,0.85146
2006,Baden-Wuerttemberg,Single-person household,No,0.99039,381,381,0.98058,1.00020
2006,Baden-Wuerttemberg,Couple without children,No,0.94834,442,442,0.92768,0.96900
2006,Baden-Wuerttemberg,Single parent,No,0.85354,79,79,0.77508,0.93201
2006,Baden-Wuerttemberg,Couple with children,Yes,0.14794,76,506,0.11697,0.17891
2006,Baden-Wuerttemberg,Couple with children,No,0.85206,430,506,0.82109,0.88303
2006,Bavaria,Single-person household,No,0.99283,432,432,0.98487,1.00080
2006,Bavaria,Couple without children,No,0.94924,537,537,0.93066,0.96783
2006,Bavaria,Single parent,No,0.87715,94,94,0.81043,0.94387
2006,Bavaria,Couple with children,Yes,0.20675,109,583,0.17384,0.23965
2006,Bavaria,Couple with children,No,0.79325,474,583,0.76035,0.82616
