year,quintil_oecd_hh,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.07541,69,908,0.05823,0.09260
1996,1st Quintile,Urban regions,No,0.92459,839,908,0.90740,0.94177
1996,1st Quintile,Rural regions,Yes,0.07735,49,503,0.05398,0.10072
1996,1st Quintile,Rural regions,No,0.92265,454,503,0.89928,0.94602
1996,2nd Quintile,Urban regions,Yes,0.08029,80,890,0.06242,0.09815
1996,2nd Quintile,Urban regions,No,0.91971,810,890,0.90185,0.93758
1996,2nd Quintile,Rural regions,Yes,0.08400,53,511,0.05992,0.10807
1996,2nd Quintile,Rural regions,No,0.91600,458,511,0.89193,0.94008
1996,3rd Quintile,Urban regions,Yes,0.07986,78,850,0.06162,0.09809
1996,3rd Quintile,Urban regions,No,0.92014,772,850,0.90191,0.93838
1996,3rd Quintile,Rural regions,Yes,0.10613,73,544,0.08022,0.13203
1996,3rd Quintile,Rural regions,No,0.89387,471,544,0.86797,0.91978
1996,4th Quintile,Urban regions,Yes,0.06521,71,905,0.04912,0.08131
1996,4th Quintile,Urban regions,No,0.93479,834,905,0.91869,0.95088
1996,4th Quintile,Rural regions,Yes,0.07725,42,392,0.05079,0.10371
1996,4th Quintile,Rural regions,No,0.92275,350,392,0.89629,0.94921
1996,5th Quintile,Urban regions,Yes,0.05172,53,850,0.03682,0.06662
1996,5th Quintile,Urban regions,No,0.94828,797,850,0.93338,0.96318
1996,5th Quintile,Rural regions,No,0.94554,255,255,0.91763,0.97345
2001,1st Quintile,Urban regions,Yes,0.05784,96,1434,0.04576,0.06993
2001,1st Quintile,Urban regions,No,0.94216,1338,1434,0.93007,0.95424
2001,1st Quintile,Rural regions,Yes,0.11262,104,797,0.09066,0.13458
2001,1st Quintile,Rural regions,No,0.88738,693,797,0.86542,0.90934
2001,2nd Quintile,Urban regions,Yes,0.08443,145,1494,0.07033,0.09853
2001,2nd Quintile,Urban regions,No,0.91557,1349,1494,0.90147,0.92967
2001,2nd Quintile,Rural regions,Yes,0.14118,154,966,0.11921,0.16315
2001,2nd Quintile,Rural regions,No,0.85882,812,966,0.83685,0.88079
2001,3rd Quintile,Urban regions,Yes,0.07666,139,1555,0.06343,0.08989
2001,3rd Quintile,Urban regions,No,0.92334,1416,1555,0.91011,0.93657
2001,3rd Quintile,Rural regions,Yes,0.08583,93,881,0.06732,0.10434
2001,3rd Quintile,Rural regions,No,0.91417,788,881,0.89566,0.93268
2001,4th Quintile,Urban regions,Yes,0.07195,128,1615,0.05935,0.08456
2001,4th Quintile,Urban regions,No,0.92805,1487,1615,0.91544,0.94065
2001,4th Quintile,Rural regions,Yes,0.08505,72,754,0.06512,0.10497
2001,4th Quintile,Rural regions,No,0.91495,682,754,0.89503,0.93488
2001,5th Quintile,Urban regions,Yes,0.04604,94,1682,0.03602,0.05605
2001,5th Quintile,Urban regions,No,0.95396,1588,1682,0.94395,0.96398
2001,5th Quintile,Rural regions,Yes,0.06931,39,499,0.04700,0.09161
2001,5th Quintile,Rural regions,No,0.93069,460,499,0.90839,0.95300
2006,1st Quintile,Urban regions,Yes,0.06698,111,1331,0.05354,0.08041
2006,1st Quintile,Urban regions,No,0.93302,1220,1331,0.91959,0.94646
2006,1st Quintile,Rural regions,Yes,0.11056,102,765,0.08832,0.13280
2006,1st Quintile,Rural regions,No,0.88944,663,765,0.86720,0.91168
