year,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.07328,585,6630,0.06701,0.07956
1996,No,0.92672,6045,6630,0.92044,0.93299
2001,Yes,0.07748,1064,11680,0.07263,0.08233
2001,No,0.92252,10616,11680,0.91767,0.92737
2006,Yes,0.08049,1167,12265,0.07568,0.08531
2006,No,0.91951,11098,12265,0.91469,0.92432
2011,Yes,0.06562,1036,12084,0.06120,0.07003
2011,No,0.93438,11048,12084,0.92997,0.93880
2016,Yes,0.02374,441,14301,0.02125,0.02624
2016,No,0.97626,13860,14301,0.97376,0.97875
2021,Yes,0.02829,398,11056,0.02520,0.03138
2021,No,0.97171,10658,11056,0.96862,0.97480
