year,quintil_oecd_hh,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,West,Yes,0.07738,74,970,0.06055,0.09420
1996,1st Quintile,West,No,0.92262,896,970,0.90580,0.93945
1996,1st Quintile,East,Yes,0.07228,44,441,0.04808,0.09648
1996,1st Quintile,East,No,0.92772,397,441,0.90352,0.95192
1996,2nd Quintile,West,Yes,0.07462,74,903,0.05747,0.09177
1996,2nd Quintile,West,No,0.92538,829,903,0.90823,0.94253
1996,2nd Quintile,East,Yes,0.10240,59,498,0.07575,0.12906
1996,2nd Quintile,East,No,0.89760,439,498,0.87094,0.92425
1996,3rd Quintile,West,Yes,0.07539,78,948,0.05858,0.09221
1996,3rd Quintile,West,No,0.92461,870,948,0.90779,0.94142
1996,3rd Quintile,East,Yes,0.13911,73,446,0.10696,0.17126
1996,3rd Quintile,East,No,0.86089,373,446,0.82874,0.89304
1996,4th Quintile,West,Yes,0.05838,70,1004,0.04387,0.07289
1996,4th Quintile,West,No,0.94162,934,1004,0.92711,0.95613
1996,4th Quintile,East,Yes,0.13482,43,293,0.09564,0.17399
1996,4th Quintile,East,No,0.86518,250,293,0.82601,0.90436
1996,5th Quintile,West,Yes,0.05275,60,962,0.03862,0.06688
1996,5th Quintile,West,No,0.94725,902,962,0.93312,0.96138
1996,5th Quintile,East,No,0.95385,150,150,0.92016,0.98754
2001,1st Quintile,West,Yes,0.06792,114,1548,0.05539,0.08046
2001,1st Quintile,West,No,0.93208,1434,1548,0.91954,0.94461
2001,1st Quintile,East,Yes,0.09930,86,683,0.07685,0.12175
2001,1st Quintile,East,No,0.90070,597,683,0.87825,0.92315
2001,2nd Quintile,West,Yes,0.09309,174,1674,0.07916,0.10701
2001,2nd Quintile,West,No,0.90691,1500,1674,0.89299,0.92084
2001,2nd Quintile,East,Yes,0.14126,125,786,0.11689,0.16562
2001,2nd Quintile,East,No,0.85874,661,786,0.83438,0.88311
2001,3rd Quintile,West,Yes,0.07323,150,1763,0.06107,0.08539
2001,3rd Quintile,West,No,0.92677,1613,1763,0.91461,0.93893
2001,3rd Quintile,East,Yes,0.10350,82,673,0.08047,0.12653
2001,3rd Quintile,East,No,0.89650,591,673,0.87347,0.91953
2001,4th Quintile,West,Yes,0.07173,152,1915,0.06017,0.08329
2001,4th Quintile,West,No,0.92827,1763,1915,0.91671,0.93983
2001,4th Quintile,East,Yes,0.10081,48,454,0.07308,0.12854
2001,4th Quintile,East,No,0.89919,406,454,0.87146,0.92692
2001,5th Quintile,West,Yes,0.04496,105,1934,0.03572,0.05419
2001,5th Quintile,West,No,0.95504,1829,1934,0.94581,0.96428
2001,5th Quintile,East,No,0.87485,219,219,0.83093,0.91878
2006,1st Quintile,West,Yes,0.07367,130,1433,0.06014,0.08720
