year,bula_h,rentown,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,No,0.90396,66,66,0.83233,0.97559
1996,Schleswig-Holstein,Tenant,No,0.95716,70,70,0.90939,1.00494
1996,Hamburg,Tenant,No,0.99013,68,68,0.96646,1.01380
1996,Lower Saxony,Owner,No,0.92576,218,218,0.89088,0.96064
1996,Lower Saxony,Tenant,No,0.92678,274,274,0.89588,0.95768
1996,Bremen,Tenant,No,0.97082,36,36,0.91506,1.02658
1996,North Rhine-Westphalia,Owner,Yes,0.08583,43,430,0.05933,0.11234
1996,North Rhine-Westphalia,Owner,No,0.91417,387,430,0.88766,0.94067
1996,North Rhine-Westphalia,Tenant,Yes,0.05725,52,859,0.04171,0.07280
1996,North Rhine-Westphalia,Tenant,No,0.94275,807,859,0.92720,0.95829
1996,Hesse,Owner,No,0.93591,143,143,0.89563,0.97619
1996,Hesse,Tenant,No,0.97915,298,298,0.96290,0.99540
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.91104,151,151,0.86548,0.95660
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.95112,164,164,0.91802,0.98422
1996,Baden-Wuerttemberg,Owner,Yes,0.08906,31,342,0.05882,0.11929
1996,Baden-Wuerttemberg,Owner,No,0.91094,311,342,0.88071,0.94118
1996,Baden-Wuerttemberg,Tenant,Yes,0.05357,32,498,0.03377,0.07337
1996,Baden-Wuerttemberg,Tenant,No,0.94643,466,498,0.92663,0.96623
1996,Bavaria,Owner,Yes,0.09570,40,357,0.06514,0.12626
1996,Bavaria,Owner,No,0.90430,317,357,0.87374,0.93486
1996,Bavaria,Tenant,No,0.94842,474,474,0.92849,0.96835
1996,Berlin,Tenant,No,0.93011,260,260,0.89906,0.96116
1996,Brandenburg,Owner,No,0.84560,90,90,0.77053,0.92067
1996,Brandenburg,Tenant,No,0.89102,165,165,0.84332,0.93871
1996,Mecklenburg-Western Pomerania,Owner,No,0.76473,44,44,0.63795,0.89151
1996,Mecklenburg-Western Pomerania,Tenant,No,0.96749,133,133,0.93724,0.99775
1996,Saxony,Owner,Yes,0.20667,34,158,0.14333,0.27001
1996,Saxony,Owner,No,0.79333,124,158,0.72999,0.85667
1996,Saxony,Tenant,Yes,0.06705,32,390,0.04219,0.09190
1996,Saxony,Tenant,No,0.93295,358,390,0.90810,0.95781
1996,Saxony-Anhalt,Owner,No,0.89303,99,99,0.83184,0.95423
1996,Saxony-Anhalt,Tenant,No,0.91662,196,196,0.87782,0.95542
1996,Thuringa,Owner,No,0.83601,116,116,0.76834,0.90368
1996,Thuringa,Tenant,No,0.91703,163,163,0.87456,0.95951
2001,Schleswig-Holstein,Owner,No,0.92309,191,191,0.88520,0.96097
2001,Schleswig-Holstein,Tenant,No,0.95656,145,145,0.92327,0.98986
2001,Hamburg,Owner,No,0.96787,35,35,0.90859,1.02715
2001,Hamburg,Tenant,No,0.95108,136,136,0.91469,0.98747
2001,Lower Saxony,Owner,Yes,0.12773,64,522,0.09907,0.15640
2001,Lower Saxony,Owner,No,0.87227,458,522,0.84360,0.90093
2001,Lower Saxony,Tenant,Yes,0.07936,33,439,0.05405,0.10468
2001,Lower Saxony,Tenant,No,0.92064,406,439,0.89532,0.94595
2001,Bremen,Owner,No,0.89540,34,34,0.79098,0.99982
2001,Bremen,Tenant,No,0.96765,58,58,0.92172,1.01358
2001,North Rhine-Westphalia,Owner,Yes,0.06321,72,1047,0.04846,0.07796
2001,North Rhine-Westphalia,Owner,No,0.93679,975,1047,0.92204,0.95154
2001,North Rhine-Westphalia,Tenant,Yes,0.05576,86,1438,0.04389,0.06762
2001,North Rhine-Westphalia,Tenant,No,0.94424,1352,1438,0.93238,0.95611
2001,Hesse,Owner,Yes,0.07345,35,359,0.04643,0.10048
2001,Hesse,Owner,No,0.92655,324,359,0.89952,0.95357
2001,Hesse,Tenant,No,0.94975,392,392,0.92810,0.97141
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.09765,42,411,0.06892,0.12638
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.90235,369,411,0.87362,0.93108
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.92036,284,284,0.88882,0.95191
2001,Baden-Wuerttemberg,Owner,Yes,0.08214,63,634,0.06075,0.10353
2001,Baden-Wuerttemberg,Owner,No,0.91786,571,634,0.89647,0.93925
2001,Baden-Wuerttemberg,Tenant,Yes,0.04654,45,728,0.03122,0.06185
2001,Baden-Wuerttemberg,Tenant,No,0.95346,683,728,0.93815,0.96878
2001,Bavaria,Owner,Yes,0.09089,89,864,0.07171,0.11007
2001,Bavaria,Owner,No,0.90911,775,864,0.88993,0.92829
2001,Bavaria,Tenant,Yes,0.05729,53,752,0.04066,0.07391
2001,Bavaria,Tenant,No,0.94271,699,752,0.92609,0.95934
2001,Berlin,Owner,No,0.87212,52,52,0.78047,0.96378
