year,bula_h,quintil_oecd,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Lower Saxony,1st Quintile,No,1.0,42,1432,1.0,1.0
2009,Lower Saxony,2nd Quintile,No,1.0,35,1432,1.0,1.0
2009,Lower Saxony,3rd Quintile,No,1.0,32,1432,1.0,1.0
2009,Lower Saxony,4th Quintile,No,1.0,32,1432,1.0,1.0
2009,Lower Saxony,5th Quintile,No,1.0,44,1432,1.0,1.0
2009,North Rhine-Westphalia,1st Quintile,No,1.0,86,1432,1.0,1.0
2009,North Rhine-Westphalia,2nd Quintile,No,1.0,62,1432,1.0,1.0
2009,North Rhine-Westphalia,3rd Quintile,No,1.0,58,1432,1.0,1.0
2009,North Rhine-Westphalia,4th Quintile,No,1.0,77,1432,1.0,1.0
2009,North Rhine-Westphalia,5th Quintile,No,1.0,122,1432,1.0,1.0
2009,Hesse,1st Quintile,No,1.0,32,1432,1.0,1.0
2009,Hesse,4th Quintile,No,1.0,36,1432,1.0,1.0
2009,Hesse,5th Quintile,No,1.0,63,1432,1.0,1.0
2009,Baden-Wuerttemberg,1st Quintile,No,1.0,48,1432,1.0,1.0
2009,Baden-Wuerttemberg,2nd Quintile,No,1.0,41,1432,1.0,1.0
2009,Baden-Wuerttemberg,3rd Quintile,No,1.0,53,1432,1.0,1.0
2009,Baden-Wuerttemberg,4th Quintile,No,1.0,51,1432,1.0,1.0
2009,Baden-Wuerttemberg,5th Quintile,No,1.0,98,1432,1.0,1.0
2009,Bavaria,1st Quintile,No,1.0,50,1432,1.0,1.0
2009,Bavaria,2nd Quintile,No,1.0,44,1432,1.0,1.0
2009,Bavaria,3rd Quintile,No,1.0,61,1432,1.0,1.0
2009,Bavaria,4th Quintile,No,1.0,68,1432,1.0,1.0
2009,Bavaria,5th Quintile,No,1.0,132,1432,1.0,1.0
2009,Berlin,1st Quintile,No,1.0,33,1432,1.0,1.0
2009,Berlin,5th Quintile,No,1.0,32,1432,1.0,1.0
2014,Schleswig-Holstein,1st Quintile,No,1.0,48,2378,1.0,1.0
2014,Lower Saxony,1st Quintile,No,1.0,79,2378,1.0,1.0
2014,Lower Saxony,2nd Quintile,No,1.0,54,2378,1.0,1.0
2014,Lower Saxony,3rd Quintile,No,1.0,60,2378,1.0,1.0
2014,Lower Saxony,4th Quintile,No,1.0,70,2378,1.0,1.0
2014,Lower Saxony,5th Quintile,No,1.0,56,2378,1.0,1.0
2014,North Rhine-Westphalia,1st Quintile,No,1.0,160,2378,1.0,1.0
2014,North Rhine-Westphalia,2nd Quintile,No,1.0,114,2378,1.0,1.0
2014,North Rhine-Westphalia,3rd Quintile,No,1.0,123,2378,1.0,1.0
2014,North Rhine-Westphalia,4th Quintile,No,1.0,104,2378,1.0,1.0
2014,North Rhine-Westphalia,5th Quintile,No,1.0,121,2378,1.0,1.0
2014,Hesse,1st Quintile,No,1.0,78,2378,1.0,1.0
2014,Hesse,2nd Quintile,No,1.0,41,2378,1.0,1.0
