year,age_gr,bula_h,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Lower Saxony,No,0.93160,71,71,0.87247,0.99074
2009,17-29 y.,North Rhine-Westphalia,No,0.90808,124,124,0.85702,0.95914
2009,17-29 y.,Hesse,No,0.89990,52,52,0.81752,0.98227
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.94215,37,37,0.86588,1.01841
2009,17-29 y.,Baden-Wuerttemberg,No,0.87136,89,89,0.80141,0.94131
2009,17-29 y.,Bavaria,No,0.86247,119,119,0.80033,0.92461
2009,17-29 y.,Berlin,No,0.71224,40,40,0.57015,0.85433
2009,17-29 y.,Saxony,No,0.82782,44,44,0.71497,0.94066
2009,30-45 y.,Lower Saxony,No,0.99513,57,57,0.97690,1.01336
2009,30-45 y.,North Rhine-Westphalia,No,0.99893,149,149,0.99365,1.00420
2009,30-45 y.,Hesse,No,0.97465,54,54,0.93233,1.01697
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.87773,37,37,0.77071,0.98474
2009,30-45 y.,Baden-Wuerttemberg,No,0.89271,95,95,0.83015,0.95528
2009,30-45 y.,Bavaria,No,0.94278,110,110,0.89917,0.98638
2009,30-45 y.,Berlin,No,0.97857,48,48,0.93716,1.01997
2009,30-45 y.,Saxony,No,0.96400,38,38,0.90397,1.02403
2009,46-65 y.,Lower Saxony,No,0.95093,49,49,0.88982,1.01204
2009,46-65 y.,North Rhine-Westphalia,No,0.93670,109,109,0.89078,0.98263
2009,46-65 y.,Hesse,No,0.87954,64,64,0.79917,0.95992
2009,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.98934,33,33,0.95376,1.02492
2009,46-65 y.,Baden-Wuerttemberg,No,0.99054,86,86,0.96997,1.01112
2009,46-65 y.,Bavaria,No,0.92801,110,110,0.87949,0.97654
2014,17-29 y.,Schleswig-Holstein,No,0.80265,32,32,0.66254,0.94275
2014,17-29 y.,Lower Saxony,No,0.94267,107,107,0.89842,0.98693
2014,17-29 y.,North Rhine-Westphalia,No,0.92281,203,203,0.88600,0.95961
2014,17-29 y.,Hesse,No,0.81737,77,77,0.73051,0.90424
2014,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.86084,45,45,0.75857,0.96311
2014,17-29 y.,Baden-Wuerttemberg,No,0.93858,130,130,0.89715,0.98001
2014,17-29 y.,Bavaria,Yes,0.17919,37,206,0.12669,0.23168
2014,17-29 y.,Bavaria,No,0.82081,169,206,0.76832,0.87331
2014,17-29 y.,Berlin,No,0.91908,48,48,0.84111,0.99704
2014,17-29 y.,Saxony,No,0.92619,31,31,0.83263,1.01975
2014,30-45 y.,Schleswig-Holstein,No,0.93843,51,51,0.87180,1.00506
2014,30-45 y.,Lower Saxony,No,0.98248,94,94,0.95581,1.00914
2014,30-45 y.,North Rhine-Westphalia,No,0.89516,220,220,0.85458,0.93573
2014,30-45 y.,Hesse,No,0.93626,85,85,0.88402,0.98850
2014,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.96437,53,53,0.91399,1.01475
2014,30-45 y.,Baden-Wuerttemberg,No,0.94142,163,163,0.90526,0.97759
2014,30-45 y.,Bavaria,No,0.97737,194,194,0.95639,0.99835
2014,30-45 y.,Berlin,No,0.91806,76,76,0.85599,0.98014
2014,30-45 y.,Saxony,No,0.93635,41,41,0.86070,1.01201
2014,46-65 y.,Lower Saxony,No,0.97782,103,103,0.94924,1.00640
2014,46-65 y.,North Rhine-Westphalia,No,0.97074,162,162,0.94470,0.99677
2014,46-65 y.,Hesse,No,0.95399,91,91,0.91071,0.99728
2014,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.97605,46,46,0.93138,1.02072
2014,46-65 y.,Baden-Wuerttemberg,No,0.95703,122,122,0.92089,0.99316
2014,46-65 y.,Bavaria,No,0.98048,161,161,0.95905,1.00192
2014,46-65 y.,Berlin,No,0.99384,34,34,0.96714,1.02054
2014,66 and older,North Rhine-Westphalia,No,0.85989,37,37,0.74651,0.97328
2019,17-29 y.,Schleswig-Holstein,No,0.90319,42,42,0.81267,0.99370
2019,17-29 y.,Lower Saxony,No,0.86672,97,97,0.79873,0.93471
2019,17-29 y.,North Rhine-Westphalia,No,0.91573,252,252,0.88136,0.95009
2019,17-29 y.,Hesse,No,0.83773,80,80,0.75642,0.91903
2019,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.92978,46,46,0.85512,1.00444
2019,17-29 y.,Baden-Wuerttemberg,No,0.90315,122,122,0.85045,0.95585
2019,17-29 y.,Bavaria,Yes,0.15656,33,167,0.10128,0.21184
2019,17-29 y.,Bavaria,No,0.84344,134,167,0.78816,0.89872
2019,17-29 y.,Berlin,No,0.92279,45,45,0.84391,1.00166
2019,17-29 y.,Saxony,No,0.95279,43,43,0.88865,1.01693
2019,17-29 y.,Saxony-Anhalt,No,0.94250,31,31,0.85920,1.02581
2019,30-45 y.,Schleswig-Holstein,No,0.88998,50,50,0.80237,0.97760
2019,30-45 y.,Lower Saxony,No,0.93847,58,58,0.87609,1.00085
2019,30-45 y.,North Rhine-Westphalia,No,0.96667,207,207,0.94216,0.99118
2019,30-45 y.,Hesse,No,0.95037,68,68,0.89837,1.00237
2019,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.98429,43,43,0.94669,1.02190
2019,30-45 y.,Baden-Wuerttemberg,No,0.98897,129,129,0.97089,1.00706
2019,30-45 y.,Bavaria,No,0.87646,159,159,0.82515,0.92777
2019,30-45 y.,Berlin,No,0.93441,93,93,0.88382,0.98500
2019,30-45 y.,Saxony,No,0.92373,48,48,0.84785,0.99962
2019,30-45 y.,Thuringa,No,0.99820,31,31,0.98302,1.01337
2019,46-65 y.,Lower Saxony,No,0.97613,89,89,0.94424,1.00802
2019,46-65 y.,North Rhine-Westphalia,No,0.98359,252,252,0.96787,0.99931
2019,46-65 y.,Hesse,No,0.98914,105,105,0.96923,1.00906
2019,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.92419,60,60,0.85665,0.99173
2019,46-65 y.,Baden-Wuerttemberg,No,0.93226,131,131,0.88907,0.97546
2019,46-65 y.,Bavaria,No,0.95218,187,187,0.92151,0.98284
2019,46-65 y.,Berlin,No,0.97090,52,52,0.92478,1.01703
2019,46-65 y.,Saxony,No,0.97866,47,47,0.93690,1.02042
2019,66 and older,Bavaria,No,0.88651,33,33,0.77660,0.99641
