year,bula_h,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.027809845726754677,47,2008,0.02769918197329177,0.027920509480217584
2009,Hamburg,No,0.027952069362507603,43,2008,0.027841131110151626,0.02806300761486358
2009,Lower Saxony,No,0.08136744243828756,185,2008,0.0811834386575081,0.08155144621906701
2009,North Rhine-Westphalia,No,0.20428570736105692,405,2008,0.20401435845930713,0.2045570562628067
2009,Hesse,No,0.09693740329010017,179,2008,0.09673827401363702,0.09713653256656332
2009,"Rhineland-Palatinate, Saarland",No,0.05639449256117538,112,2008,0.056239238103880464,0.0565497470184703
2009,Baden-Wuerttemberg,No,0.1472773460306694,291,2008,0.1470388383481782,0.14751585371316056
2009,Bavaria,No,0.19455720082208353,356,2008,0.19429077795135183,0.19482362369281522
2009,Berlin,No,0.06412675564304945,124,2008,0.06396187918575238,0.06429163210034652
2009,Brandenburg,No,0.022692384132592593,54,2008,0.022592156793120002,0.022792611472065183
2009,Saxony,No,0.03613554032165412,110,2008,0.03600993566020199,0.03626114498310625
2009,Saxony-Anhalt,No,0.02281038561673616,52,2008,0.022709904088367157,0.022910867145105165
2009,Thuringa,No,0.01765342669333247,50,2008,0.017564797382186543,0.0177420560044784
2014,Schleswig-Holstein,No,0.03363338056460624,123,3178,0.03350831547705322,0.03375844565215926
2014,Hamburg,No,0.021265829414931048,46,3178,0.02116574800632221,0.021365910823539884
2014,Lower Saxony,No,0.09135744371005208,319,3178,0.09115757335826782,0.09155731406183634
2014,Bremen,No,0.009345070541788866,33,3178,0.009278323447345308,0.009411817636232424
2014,North Rhine-Westphalia,Yes,0.016950628500763606,42,3178,0.016861079562998343,0.01704017743852887
2014,North Rhine-Westphalia,No,0.20519561431307975,622,3178,0.20491546211432343,0.20547576651183608
2014,Hesse,No,0.0918162569102178,263,3178,0.09161593588948452,0.09201657793095108
2014,"Rhineland-Palatinate, Saarland",No,0.04955955729158048,154,3178,0.04940899852998263,0.04971011605317833
2014,Baden-Wuerttemberg,Yes,0.010077900921648323,35,3178,0.010008611741482628,0.010147190101814018
2014,Baden-Wuerttemberg,No,0.13885792050703505,432,3178,0.13861803577622064,0.13909780523784945
2014,Bavaria,Yes,0.012721970470002305,49,3178,0.012644224694735579,0.012799716245269032
2014,Bavaria,No,0.1601106529277414,545,3178,0.1598562623500921,0.16036504350539071
2014,Berlin,No,0.05518397032732963,161,3178,0.05502556857963993,0.055342372075019325
2014,Brandenburg,No,0.015218851349736889,68,3178,0.015133925349311786,0.015303777350161992
2014,Mecklenburg-Western Pomerania,No,0.009804039076941084,34,3178,0.009735688377546377,0.009872389776335791
2014,Saxony,No,0.03796544785182399,102,3178,0.037832870460414926,0.03809802524323306
2014,Saxony-Anhalt,No,0.021321719945234997,71,3178,0.0212215099680686,0.021421929922401394
2014,Thuringa,No,0.019613745375486415,79,3178,0.019517548992194763,0.019709941758778066
2019,Schleswig-Holstein,No,0.04139096332435023,137,3326,0.041254947467223274,0.041526979181477186
2019,Hamburg,No,0.015825188313687,53,3326,0.01573997124671825,0.015910405380655752
2019,Lower Saxony,No,0.0800078782330275,260,3326,0.07982262130977506,0.08019313515627995
2019,Bremen,No,0.007121154563852106,34,3326,0.007063737715371782,0.007178571412332429
2019,North Rhine-Westphalia,Yes,0.011922658291978505,53,3326,0.011848544670536072,0.011996771913420938
2019,North Rhine-Westphalia,No,0.22896849524596138,739,3326,0.2286815890395057,0.22925540145241707
2019,Hesse,No,0.08890731788318043,267,3326,0.08871297615972233,0.08910165960663853
2019,"Rhineland-Palatinate, Saarland",No,0.051449131792858344,160,3326,0.05129828525243337,0.051599978333283315
2019,Baden-Wuerttemberg,No,0.1544429069503045,407,3326,0.15419614882143237,0.1546896650791766
2019,Bavaria,Yes,0.015398247594904825,56,3326,0.015314169673257742,0.015482325516551909
2019,Bavaria,No,0.1427091320066194,513,3326,0.14247029259242577,0.142947971420813
2019,Berlin,No,0.06929118931949026,206,3326,0.06911778419141129,0.06946459444756922
2019,Brandenburg,No,0.01291255690765823,78,3326,0.012835466568905623,0.012989647246410838
2019,Mecklenburg-Western Pomerania,No,0.01373661472253014,50,3326,0.013657135734251698,0.01381609371080858
2019,Saxony,No,0.028848535149026685,143,3326,0.028734241688088302,0.028962828609965068
2019,Saxony-Anhalt,No,0.020534890823924522,85,3326,0.020438050395898633,0.020631731251950412
2019,Thuringa,No,0.01653313887664599,85,3326,0.016446067875434803,0.01662020987785718
