year,plj0092,quintil_oecd,sampreg,proportion,n,lower_confidence,upper_confidence
2009,Yes,5th Quintile,West,0.3313253012048193,21983,0.32510305290793795,0.33754754950170063
2009,Yes,1st Quintile,West,0.16265060240963855,21983,0.15777201842705246,0.16752918639222464
2009,Yes,3rd Quintile,West,0.10843373493975904,21983,0.10432345299226771,0.11254401688725037
2009,Yes,4th Quintile,West,0.10240963855421686,21983,0.09840169036968173,0.106417586738752
2009,Yes,5th Quintile,East,0.07228915662650602,21983,0.0688657736492882,0.07571253960372384
2009,Yes,2nd Quintile,West,0.06626506024096386,21983,0.0629767961107313,0.06955332437119642
2009,Yes,3rd Quintile,East,0.06626506024096386,21983,0.0629767961107313,0.06955332437119642
2009,Yes,1st Quintile,East,0.04819277108433735,21983,0.04536152225140057,0.051024019917274135
2009,Yes,2nd Quintile,East,0.030120481927710843,21983,0.027861033444789914,0.03237993041063177
2009,Yes,4th Quintile,East,0.012048192771084338,21983,0.010605939856690515,0.01349044568547816
2009,No,5th Quintile,West,0.2921951219512195,21983,0.2861833036279813,0.2982069402744577
2009,No,4th Quintile,West,0.19073170731707317,21983,0.18553808574457034,0.195925328889576
2009,No,3rd Quintile,West,0.14097560975609755,21983,0.1363752973055685,0.1455759222066266
2009,No,1st Quintile,West,0.10829268292682927,21983,0.10418475029012804,0.1124006155635305
2009,No,2nd Quintile,West,0.10146341463414635,21983,0.09747192311580893,0.10545490615248376
2009,No,4th Quintile,East,0.041463414634146344,21983,0.038827996860474764,0.04409883240781792
2009,No,5th Quintile,East,0.04,21983,0.03740953216842832,0.04259046783157168
2009,No,3rd Quintile,East,0.03853658536585366,21983,0.03599200841983678,0.041081162311870534
2009,No,2nd Quintile,East,0.024878048780487806,21983,0.022819077848258856,0.026937019712716757
2009,No,1st Quintile,East,0.021463414634146343,21983,0.01954761302838827,0.023379216239904417
2014,Yes,5th Quintile,West,0.2838983050847458,38694,0.27940565071727264,0.28839095945221893
2014,Yes,4th Quintile,West,0.2076271186440678,38694,0.20358563246447647,0.21166860482365912
2014,Yes,3rd Quintile,West,0.15677966101694915,38694,0.1531568168393674,0.1604025051945309
2014,Yes,1st Quintile,West,0.15254237288135594,38694,0.1489598538766388,0.1561248918860731
2014,Yes,2nd Quintile,West,0.0847457627118644,38694,0.08197075542331618,0.08752077000041263
2014,Yes,5th Quintile,East,0.03389830508474576,38694,0.03209514339495739,0.03570146677453413
2014,Yes,1st Quintile,East,0.025423728813559324,38694,0.023855310885516675,0.026992146741601972
2014,Yes,3rd Quintile,East,0.0211864406779661,38694,0.019751568393960705,0.022621312961971497
2014,Yes,2nd Quintile,East,0.0211864406779661,38694,0.019751568393960705,0.022621312961971497
2014,Yes,4th Quintile,East,0.012711864406779662,38694,0.011595616024238057,0.013828112789321266
2014,No,5th Quintile,West,0.2605703048180924,38694,0.25619664337546416,0.26494396626072064
2014,No,4th Quintile,West,0.20911176663389053,38694,0.20505965827593578,0.21316387499184528
2014,No,3rd Quintile,West,0.1415929203539823,38694,0.13811914545512988,0.14506669525283472
2014,No,2nd Quintile,West,0.13503769255981646,38694,0.1316323535523316,0.1384430315673013
2014,No,1st Quintile,West,0.11897738446411013,38694,0.11575141691221758,0.12220335201600269
2014,No,2nd Quintile,East,0.029826286463454605,38694,0.02813132978799291,0.0315212431389163
2014,No,3rd Quintile,East,0.028843002294329727,38694,0.027175374166032842,0.03051063042262661
2014,No,4th Quintile,East,0.028515240904621434,38694,0.026856835226607458,0.03017364658263541
2014,No,5th Quintile,East,0.028187479514913145,38694,0.026538354328546277,0.029836604701280012
2014,No,1st Quintile,East,0.01933792199278925,38694,0.017965780648126366,0.020710063337452136
2019,Yes,5th Quintile,West,0.38071065989847713,42417,0.37608971896093407,0.3853316008360202
2019,Yes,4th Quintile,West,0.2182741116751269,42417,0.2143430083514811,0.2222052149987727
2019,Yes,2nd Quintile,West,0.116751269035533,42417,0.1136952334096259,0.1198073046614401
2019,Yes,3rd Quintile,West,0.09644670050761421,42417,0.09363734518045219,0.09925605583477623
2019,Yes,1st Quintile,West,0.09137055837563451,42417,0.0886284624805008,0.09411265427076823
2019,Yes,2nd Quintile,East,0.025380710659898477,42417,0.023883939222147613,0.02687748209764934
2019,Yes,3rd Quintile,East,0.025380710659898477,42417,0.023883939222147613,0.02687748209764934
2019,Yes,4th Quintile,East,0.02030456852791878,42417,0.018962333646872605,0.021646803408964955
2019,Yes,1st Quintile,East,0.015228426395939087,42417,0.014063009358254512,0.016393843433623663
2019,Yes,5th Quintile,East,0.01015228426395939,42417,0.009198275917899392,0.011106292610019388
2019,No,5th Quintile,West,0.36103896103896105,42417,0.3564680757651018,0.3656098463128203
2019,No,4th Quintile,West,0.19703153988868274,42417,0.19324621451433358,0.2008168652630319
2019,No,3rd Quintile,West,0.13024118738404453,42417,0.12703816709872195,0.1334442076693671
2019,No,2nd Quintile,West,0.09128014842300557,42417,0.08853927314697962,0.09402102369903151
2019,No,1st Quintile,West,0.07087198515769945,42417,0.0684298979249801,0.0733140723904188
2019,No,5th Quintile,East,0.05046382189239332,42417,0.04838061729962534,0.0525470264851613
2019,No,4th Quintile,East,0.036734693877551024,42417,0.034944511537292694,0.03852487621780935
2019,No,3rd Quintile,East,0.023747680890538032,42417,0.022298649685098888,0.025196712095977177
2019,No,1st Quintile,East,0.021150278293135438,42417,0.01978096712377641,0.022519589462494466
2019,No,2nd Quintile,East,0.017439703153988868,42417,0.016193940674058178,0.018685465633919558
