year,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.41952,1155,2395,0.39975,0.43929
1996,Owner,No,0.58048,1240,2395,0.56071,0.60025
1996,Tenant,Yes,0.29122,1326,4236,0.27753,0.30490
1996,Tenant,No,0.70878,2910,4236,0.69510,0.72247
2001,Owner,Yes,0.42723,2479,5267,0.41387,0.44059
2001,Owner,No,0.57277,2788,5267,0.55941,0.58613
2001,Tenant,Yes,0.30014,2098,6413,0.28892,0.31136
2001,Tenant,No,0.69986,4315,6413,0.68864,0.71108
2006,Owner,Yes,0.40885,2675,6003,0.39641,0.42129
2006,Owner,No,0.59115,3328,6003,0.57871,0.60359
2006,Tenant,Yes,0.29322,2034,6260,0.28194,0.30450
2006,Tenant,No,0.70678,4226,6260,0.69550,0.71806
2011,Owner,Yes,0.38270,2507,5944,0.37034,0.39506
2011,Owner,No,0.61730,3437,5944,0.60494,0.62966
2011,Tenant,Yes,0.27868,1976,6140,0.26747,0.28990
2011,Tenant,No,0.72132,4164,6140,0.71010,0.73253
2016,Owner,Yes,0.36832,2715,6302,0.35641,0.38023
2016,Owner,No,0.63168,3587,6302,0.61977,0.64359
2016,Tenant,Yes,0.27482,2570,7999,0.26504,0.28460
2016,Tenant,No,0.72518,5429,7999,0.71540,0.73496
2021,Owner,Yes,0.37393,2254,5083,0.36063,0.38723
2021,Owner,No,0.62607,2829,5083,0.61277,0.63937
2021,Tenant,Yes,0.26973,1842,6004,0.25850,0.28095
2021,Tenant,No,0.73027,4162,6004,0.71905,0.74150
