year,bula_h,hhtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Single-person household,No,0.90225,31,31,0.79598,1.00852
1996,Hamburg,Single-person household,No,0.80723,35,35,0.67463,0.93983
1996,Lower Saxony,Single-person household,No,0.85283,95,95,0.78121,0.92445
1996,Lower Saxony,Couple without children,Yes,0.31010,54,157,0.23752,0.38269
1996,Lower Saxony,Couple without children,No,0.68990,103,157,0.61731,0.76248
1996,Lower Saxony,Couple with children,Yes,0.51885,93,198,0.44908,0.58863
1996,Lower Saxony,Couple with children,No,0.48115,105,198,0.41137,0.55092
1996,North Rhine-Westphalia,Single-person household,Yes,0.18907,56,290,0.14393,0.23422
1996,North Rhine-Westphalia,Single-person household,No,0.81093,234,290,0.76578,0.85607
1996,North Rhine-Westphalia,Couple without children,Yes,0.30883,90,335,0.25928,0.35838
1996,North Rhine-Westphalia,Couple without children,No,0.69117,245,335,0.64162,0.74072
1996,North Rhine-Westphalia,Single parent,No,0.58965,49,49,0.45049,0.72880
1996,North Rhine-Westphalia,Couple with children,Yes,0.47013,225,540,0.42799,0.51226
1996,North Rhine-Westphalia,Couple with children,No,0.52987,315,540,0.48774,0.57201
1996,Hesse,Single-person household,No,0.79458,79,79,0.70492,0.88424
1996,Hesse,Couple without children,Yes,0.28581,43,147,0.21253,0.35910
1996,Hesse,Couple without children,No,0.71419,104,147,0.64090,0.78747
1996,Hesse,Couple with children,Yes,0.39159,63,184,0.32087,0.46231
1996,Hesse,Couple with children,No,0.60841,121,184,0.53769,0.67913
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.77530,48,48,0.65597,0.89463
1996,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.41608,40,101,0.31947,0.51269
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.58392,61,101,0.48731,0.68053
1996,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.46247,68,141,0.37987,0.54506
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.53753,73,141,0.45494,0.62013
1996,Baden-Wuerttemberg,Single-person household,Yes,0.21592,37,171,0.15407,0.27777
1996,Baden-Wuerttemberg,Single-person household,No,0.78408,134,171,0.72223,0.84593
1996,Baden-Wuerttemberg,Couple without children,Yes,0.32405,73,213,0.26104,0.38705
1996,Baden-Wuerttemberg,Couple without children,No,0.67595,140,213,0.61295,0.73896
1996,Baden-Wuerttemberg,Couple with children,Yes,0.41485,124,369,0.36451,0.46519
1996,Baden-Wuerttemberg,Couple with children,No,0.58515,245,369,0.53481,0.63549
1996,Bavaria,Single-person household,Yes,0.19370,41,196,0.13823,0.24917
1996,Bavaria,Single-person household,No,0.80630,155,196,0.75083,0.86177
1996,Bavaria,Couple without children,Yes,0.31150,72,232,0.25177,0.37122
1996,Bavaria,Couple without children,No,0.68850,160,232,0.62878,0.74823
1996,Bavaria,Couple with children,Yes,0.46785,151,351,0.41557,0.52012
1996,Bavaria,Couple with children,No,0.53215,200,351,0.47988,0.58443
1996,Berlin,Single-person household,No,0.72374,68,68,0.61667,0.83081
1996,Berlin,Couple without children,No,0.70719,55,55,0.58582,0.82857
1996,Berlin,Couple with children,Yes,0.47271,46,107,0.37767,0.56776
1996,Berlin,Couple with children,No,0.52729,61,107,0.43224,0.62233
1996,Brandenburg,Single-person household,No,0.84121,49,49,0.73782,0.94461
1996,Brandenburg,Couple without children,Yes,0.50326,41,86,0.39697,0.60955
1996,Brandenburg,Couple without children,No,0.49674,45,86,0.39045,0.60303
1996,Brandenburg,Couple with children,Yes,0.66074,77,112,0.57266,0.74882
1996,Brandenburg,Couple with children,No,0.33926,35,112,0.25118,0.42734
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.58367,34,34,0.41548,0.75186
1996,Mecklenburg-Western Pomerania,Couple with children,Yes,0.51589,47,86,0.40965,0.62214
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.48411,39,86,0.37786,0.59035
1996,Saxony,Single-person household,No,0.79476,74,74,0.70211,0.88741
1996,Saxony,Couple without children,Yes,0.31075,52,167,0.24035,0.38115
1996,Saxony,Couple without children,No,0.68925,115,167,0.61885,0.75965
1996,Saxony,Couple with children,Yes,0.57822,134,229,0.51412,0.64232
1996,Saxony,Couple with children,No,0.42178,95,229,0.35768,0.48588
1996,Saxony-Anhalt,Single-person household,No,0.73745,43,43,0.60438,0.87053
1996,Saxony-Anhalt,Couple without children,Yes,0.45678,50,103,0.36011,0.55345
1996,Saxony-Anhalt,Couple without children,No,0.54322,53,103,0.44655,0.63989
1996,Saxony-Anhalt,Couple with children,Yes,0.61572,89,143,0.53571,0.69572
1996,Saxony-Anhalt,Couple with children,No,0.38428,54,143,0.30428,0.46429
1996,Thuringa,Single-person household,No,0.82236,48,48,0.71308,0.93163
1996,Thuringa,Couple without children,Yes,0.39052,37,87,0.28741,0.49363
1996,Thuringa,Couple without children,No,0.60948,50,87,0.50637,0.71259
1996,Thuringa,Couple with children,Yes,0.67299,94,140,0.59500,0.75098
1996,Thuringa,Couple with children,No,0.32701,46,140,0.24902,0.40500
2001,Schleswig-Holstein,Single-person household,No,0.77535,75,75,0.68025,0.87044
2001,Schleswig-Holstein,Couple without children,Yes,0.32080,46,128,0.23962,0.40198
2001,Schleswig-Holstein,Couple without children,No,0.67920,82,128,0.59802,0.76038
2001,Schleswig-Holstein,Couple with children,Yes,0.58836,65,113,0.49722,0.67951
2001,Schleswig-Holstein,Couple with children,No,0.41164,48,113,0.32049,0.50278
2001,Hamburg,Single-person household,No,0.79032,69,69,0.69357,0.88708
2001,Hamburg,Couple without children,No,0.70315,32,32,0.54232,0.86398
2001,Lower Saxony,Single-person household,Yes,0.24553,51,202,0.18602,0.30503
2001,Lower Saxony,Single-person household,No,0.75447,151,202,0.69497,0.81398
2001,Lower Saxony,Couple without children,Yes,0.41209,121,311,0.35730,0.46688
2001,Lower Saxony,Couple without children,No,0.58791,190,311,0.53312,0.64270
2001,Lower Saxony,Couple with children,Yes,0.53677,189,366,0.48561,0.58792
2001,Lower Saxony,Couple with children,No,0.46323,177,366,0.41208,0.51439
2001,Bremen,Single-person household,No,0.77646,31,31,0.62738,0.92555
2001,North Rhine-Westphalia,Single-person household,Yes,0.20292,124,603,0.17079,0.23505
2001,North Rhine-Westphalia,Single-person household,No,0.79708,479,603,0.76495,0.82921
2001,North Rhine-Westphalia,Couple without children,Yes,0.29005,228,795,0.25849,0.32162
2001,North Rhine-Westphalia,Couple without children,No,0.70995,567,795,0.67838,0.74151
2001,North Rhine-Westphalia,Single parent,Yes,0.34055,52,131,0.25909,0.42202
2001,North Rhine-Westphalia,Single parent,No,0.65945,79,131,0.57798,0.74091
2001,North Rhine-Westphalia,Couple with children,Yes,0.48555,407,895,0.45278,0.51831
2001,North Rhine-Westphalia,Couple with children,No,0.51445,488,895,0.48169,0.54722
2001,Hesse,Single-person household,Yes,0.19998,40,180,0.14138,0.25857
2001,Hesse,Single-person household,No,0.80002,140,180,0.74143,0.85862
