year,bula_h,quintil_oecd_hh,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Lower Saxony,1st Quintile,No,0.66406,69,69,0.55180,0.77632
1996,Lower Saxony,2nd Quintile,Yes,0.35853,39,93,0.26054,0.45653
1996,Lower Saxony,2nd Quintile,No,0.64147,54,93,0.54347,0.73946
1996,Lower Saxony,3rd Quintile,Yes,0.39630,50,122,0.30915,0.48346
1996,Lower Saxony,3rd Quintile,No,0.60370,72,122,0.51654,0.69085
1996,Lower Saxony,4th Quintile,Yes,0.32226,42,117,0.23721,0.40730
1996,Lower Saxony,4th Quintile,No,0.67774,75,117,0.59270,0.76279
1996,Lower Saxony,5th Quintile,Yes,0.29416,37,99,0.20394,0.38437
1996,Lower Saxony,5th Quintile,No,0.70584,62,99,0.61563,0.79606
1996,North Rhine-Westphalia,1st Quintile,Yes,0.30962,79,282,0.25556,0.36368
1996,North Rhine-Westphalia,1st Quintile,No,0.69038,203,282,0.63632,0.74444
1996,North Rhine-Westphalia,2nd Quintile,Yes,0.32155,93,271,0.26584,0.37726
1996,North Rhine-Westphalia,2nd Quintile,No,0.67845,178,271,0.62274,0.73416
1996,North Rhine-Westphalia,3rd Quintile,Yes,0.38096,85,228,0.31779,0.44414
1996,North Rhine-Westphalia,3rd Quintile,No,0.61904,143,228,0.55586,0.68221
1996,North Rhine-Westphalia,4th Quintile,Yes,0.32747,81,254,0.26964,0.38530
1996,North Rhine-Westphalia,4th Quintile,No,0.67253,173,254,0.61470,0.73036
1996,North Rhine-Westphalia,5th Quintile,Yes,0.28440,82,253,0.22870,0.34010
1996,North Rhine-Westphalia,5th Quintile,No,0.71560,171,253,0.65990,0.77130
1996,Hesse,1st Quintile,No,0.75925,83,83,0.66671,0.85179
1996,Hesse,2nd Quintile,No,0.75773,59,59,0.64747,0.86800
1996,Hesse,3rd Quintile,No,0.69824,62,62,0.58305,0.81343
1996,Hesse,4th Quintile,Yes,0.42978,39,91,0.32750,0.53205
1996,Hesse,4th Quintile,No,0.57022,52,91,0.46795,0.67250
1996,Hesse,5th Quintile,No,0.72491,72,72,0.62104,0.82879
1996,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.65112,44,44,0.50867,0.79358
1996,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.62421,37,37,0.46600,0.78242
1996,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.66932,45,45,0.53031,0.80833
1996,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.42482,36,81,0.31650,0.53315
1996,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.57518,45,81,0.46685,0.68350
1996,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.58107,35,35,0.41523,0.74692
1996,Baden-Wuerttemberg,1st Quintile,Yes,0.27180,45,160,0.20265,0.34096
1996,Baden-Wuerttemberg,1st Quintile,No,0.72820,115,160,0.65904,0.79735
1996,Baden-Wuerttemberg,2nd Quintile,Yes,0.30939,51,170,0.23969,0.37908
1996,Baden-Wuerttemberg,2nd Quintile,No,0.69061,119,170,0.62092,0.76031
1996,Baden-Wuerttemberg,3rd Quintile,Yes,0.29469,44,165,0.22491,0.36446
1996,Baden-Wuerttemberg,3rd Quintile,No,0.70531,121,165,0.63554,0.77509
1996,Baden-Wuerttemberg,4th Quintile,Yes,0.35849,62,183,0.28882,0.42816
1996,Baden-Wuerttemberg,4th Quintile,No,0.64151,121,183,0.57184,0.71118
1996,Baden-Wuerttemberg,5th Quintile,Yes,0.36587,64,162,0.29147,0.44027
1996,Baden-Wuerttemberg,5th Quintile,No,0.63413,98,162,0.55973,0.70853
1996,Bavaria,1st Quintile,Yes,0.32927,51,153,0.25456,0.40398
1996,Bavaria,1st Quintile,No,0.67073,102,153,0.59602,0.74544
1996,Bavaria,2nd Quintile,Yes,0.28162,43,143,0.20764,0.35560
1996,Bavaria,2nd Quintile,No,0.71838,100,143,0.64440,0.79236
1996,Bavaria,3rd Quintile,Yes,0.37417,72,183,0.30386,0.44447
1996,Bavaria,3rd Quintile,No,0.62583,111,183,0.55553,0.69614
1996,Bavaria,4th Quintile,Yes,0.39910,77,183,0.32795,0.47025
1996,Bavaria,4th Quintile,No,0.60090,106,183,0.52975,0.67205
1996,Bavaria,5th Quintile,Yes,0.28763,63,199,0.22458,0.35068
1996,Bavaria,5th Quintile,No,0.71237,136,199,0.64932,0.77542
1996,Berlin,1st Quintile,No,0.63924,40,40,0.48852,0.78995
1996,Berlin,2nd Quintile,No,0.64179,32,32,0.47300,0.81057
1996,Berlin,3rd Quintile,No,0.59866,38,38,0.44071,0.75660
1996,Berlin,4th Quintile,Yes,0.41154,31,68,0.29370,0.52938
1996,Berlin,4th Quintile,No,0.58846,37,68,0.47062,0.70630
1996,Berlin,5th Quintile,No,0.76127,48,48,0.63939,0.88315
1996,Brandenburg,1st Quintile,No,0.61507,35,35,0.45151,0.77863
1996,Brandenburg,2nd Quintile,Yes,0.47016,40,84,0.36279,0.57754
1996,Brandenburg,2nd Quintile,No,0.52984,44,84,0.42246,0.63721
1996,Brandenburg,3rd Quintile,Yes,0.51494,39,39,0.35604,0.67385
1996,Mecklenburg-Western Pomerania,1st Quintile,No,0.62615,33,33,0.45851,0.79379
1996,Saxony,1st Quintile,Yes,0.31062,52,137,0.23285,0.38839
1996,Saxony,1st Quintile,No,0.68938,85,137,0.61161,0.76715
1996,Saxony,2nd Quintile,Yes,0.48173,76,154,0.40255,0.56090
1996,Saxony,2nd Quintile,No,0.51827,78,154,0.43910,0.59745
1996,Saxony,3rd Quintile,Yes,0.36359,59,133,0.28153,0.44566
1996,Saxony,3rd Quintile,No,0.63641,74,133,0.55434,0.71847
1996,Saxony,4th Quintile,Yes,0.43414,36,83,0.32686,0.54142
1996,Saxony,4th Quintile,No,0.56586,47,83,0.45858,0.67314
1996,Saxony-Anhalt,1st Quintile,Yes,0.39450,31,73,0.28161,0.50739
1996,Saxony-Anhalt,1st Quintile,No,0.60550,42,73,0.49261,0.71839
1996,Saxony-Anhalt,2nd Quintile,Yes,0.39091,44,91,0.29010,0.49173
1996,Saxony-Anhalt,2nd Quintile,No,0.60909,47,91,0.50827,0.70990
1996,Saxony-Anhalt,3rd Quintile,Yes,0.60862,52,84,0.50362,0.71362
1996,Saxony-Anhalt,3rd Quintile,No,0.39138,32,84,0.28638,0.49638
1996,Saxony-Anhalt,4th Quintile,Yes,0.51399,34,34,0.34346,0.68452
1996,Thuringa,1st Quintile,Yes,0.39147,40,81,0.28452,0.49843
1996,Thuringa,1st Quintile,No,0.60853,41,81,0.50157,0.71548
1996,Thuringa,2nd Quintile,Yes,0.36280,42,97,0.26662,0.45898
1996,Thuringa,2nd Quintile,No,0.63720,55,97,0.54102,0.73338
1996,Thuringa,3rd Quintile,Yes,0.47085,47,89,0.36656,0.57514
1996,Thuringa,3rd Quintile,No,0.52915,42,89,0.42486,0.63344
2001,Schleswig-Holstein,1st Quintile,No,0.62086,34,34,0.45532,0.78640
2001,Schleswig-Holstein,2nd Quintile,No,0.70305,46,46,0.56954,0.83655
2001,Schleswig-Holstein,3rd Quintile,No,0.68157,45,45,0.54392,0.81923
2001,Schleswig-Holstein,4th Quintile,Yes,0.38703,38,81,0.28029,0.49376
2001,Schleswig-Holstein,4th Quintile,No,0.61297,43,81,0.50624,0.71971
2001,Schleswig-Holstein,5th Quintile,Yes,0.36929,33,88,0.26788,0.47071
2001,Schleswig-Holstein,5th Quintile,No,0.63071,55,88,0.52929,0.73212
2001,Hamburg,1st Quintile,No,0.85082,32,32,0.72541,0.97624
2001,Hamburg,5th Quintile,No,0.83420,41,41,0.71894,0.94945
2001,Lower Saxony,1st Quintile,Yes,0.41808,70,171,0.34393,0.49223
2001,Lower Saxony,1st Quintile,No,0.58192,101,171,0.50777,0.65607
2001,Lower Saxony,2nd Quintile,Yes,0.42646,80,174,0.35276,0.50016
2001,Lower Saxony,2nd Quintile,No,0.57354,94,174,0.49984,0.64724
2001,Lower Saxony,3rd Quintile,Yes,0.43480,98,213,0.36807,0.50153
