year,bula_h,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.82449,499,499,0.79107,0.85790
2009,Hamburg,No,0.90567,263,263,0.87028,0.94106
2009,Lower Saxony,No,0.83246,1607,1607,0.81419,0.85072
2009,Bremen,No,0.88755,117,117,0.83006,0.94504
2009,North Rhine-Westphalia,Yes,0.01506,53,3628,0.01110,0.01902
2009,North Rhine-Westphalia,No,0.82192,3575,3628,0.80947,0.83437
2009,Hesse,No,0.80337,1195,1195,0.78083,0.82592
2009,"Rhineland-Palatinate, Saarland",No,0.81543,1011,1011,0.79151,0.83936
2009,Baden-Wuerttemberg,No,0.81521,2077,2077,0.79852,0.83191
2009,Bavaria,Yes,0.01269,39,2609,0.00840,0.01699
2009,Bavaria,No,0.82672,2570,2609,0.81219,0.84124
2009,Berlin,No,0.84814,672,672,0.82098,0.87529
2009,Brandenburg,No,0.83405,774,774,0.80783,0.86028
2009,Mecklenburg-Western Pomerania,No,0.86352,464,464,0.83225,0.89479
2009,Saxony,No,0.85051,1341,1341,0.83141,0.86960
2009,Saxony-Anhalt,No,0.86377,756,756,0.83930,0.88824
2009,Thuringa,No,0.83844,810,810,0.81308,0.86381
2011,Schleswig-Holstein,No,0.74105,639,639,0.70706,0.77504
2011,Hamburg,No,0.80108,309,309,0.75650,0.84566
2011,Lower Saxony,No,0.74421,1878,1878,0.72447,0.76394
2011,Bremen,No,0.74621,123,123,0.66899,0.82343
2011,North Rhine-Westphalia,Yes,0.02012,90,4131,0.01584,0.02440
2011,North Rhine-Westphalia,No,0.74392,4041,4131,0.73061,0.75724
2011,Hesse,No,0.71317,1381,1381,0.68931,0.73704
2011,"Rhineland-Palatinate, Saarland",No,0.74486,1187,1187,0.72005,0.76967
2011,Baden-Wuerttemberg,Yes,0.01500,46,2486,0.01022,0.01978
2011,Baden-Wuerttemberg,No,0.73377,2440,2486,0.71639,0.75115
2011,Bavaria,Yes,0.01671,66,3184,0.01226,0.02116
2011,Bavaria,No,0.75308,3118,3184,0.73810,0.76806
2011,Berlin,No,0.78227,769,769,0.75308,0.81146
2011,Brandenburg,No,0.77096,860,860,0.74286,0.79906
2011,Mecklenburg-Western Pomerania,No,0.77583,502,502,0.73932,0.81235
2011,Saxony,No,0.77507,1374,1374,0.75299,0.79716
2011,Saxony-Anhalt,No,0.77592,841,841,0.74772,0.80412
2011,Thuringa,No,0.77593,859,859,0.74803,0.80383
2013,Schleswig-Holstein,No,0.70248,580,580,0.66525,0.73972
2013,Hamburg,No,0.70737,301,301,0.65589,0.75886
2013,Lower Saxony,Yes,0.01605,39,1775,0.01021,0.02190
2013,Lower Saxony,No,0.70234,1736,1775,0.68106,0.72362
2013,Bremen,No,0.63997,117,117,0.55262,0.72733
2013,North Rhine-Westphalia,Yes,0.01248,61,3718,0.00891,0.01605
2013,North Rhine-Westphalia,No,0.67839,3657,3718,0.66337,0.69340
2013,Hesse,Yes,0.02411,37,1290,0.01574,0.03248
2013,Hesse,No,0.66239,1253,1290,0.63658,0.68821
2013,"Rhineland-Palatinate, Saarland",No,0.69021,1073,1073,0.66252,0.71789
2013,Baden-Wuerttemberg,Yes,0.01336,38,2123,0.00847,0.01824
2013,Baden-Wuerttemberg,No,0.66135,2085,2123,0.64121,0.68149
2013,Bavaria,Yes,0.01474,60,2947,0.01039,0.01909
2013,Bavaria,No,0.69015,2887,2947,0.67346,0.70685
2013,Berlin,No,0.69913,754,754,0.66637,0.73189
2013,Brandenburg,No,0.73313,757,757,0.70160,0.76466
2013,Mecklenburg-Western Pomerania,No,0.75618,442,442,0.71611,0.79626
2013,Saxony,Yes,0.01770,32,1335,0.01062,0.02478
2013,Saxony,No,0.77671,1303,1335,0.75436,0.79906
2013,Saxony-Anhalt,No,0.75354,733,733,0.72232,0.78476
2013,Thuringa,No,0.76630,778,778,0.73654,0.79605
2015,Schleswig-Holstein,No,0.82273,854,854,0.79710,0.84836
2015,Hamburg,No,0.80335,415,415,0.76506,0.84163
2015,Lower Saxony,Yes,0.01976,48,2421,0.01421,0.02530
2015,Lower Saxony,No,0.80915,2373,2421,0.79349,0.82481
2015,Bremen,No,0.80974,169,169,0.75039,0.86910
2015,North Rhine-Westphalia,Yes,0.01446,80,5165,0.01121,0.01772
2015,North Rhine-Westphalia,No,0.80360,5085,5165,0.79276,0.81443
2015,Hesse,Yes,0.02529,43,1705,0.01783,0.03274
2015,Hesse,No,0.77578,1662,1705,0.75598,0.79559
2015,"Rhineland-Palatinate, Saarland",No,0.81657,1469,1469,0.79677,0.83637
2015,Baden-Wuerttemberg,Yes,0.01919,53,2985,0.01427,0.02411
2015,Baden-Wuerttemberg,No,0.80587,2932,2985,0.79168,0.82006
2015,Bavaria,Yes,0.01667,69,4027,0.01271,0.02062
2015,Bavaria,No,0.79866,3958,4027,0.78627,0.81104
2015,Berlin,No,0.80292,897,897,0.77687,0.82897
2015,Brandenburg,No,0.81249,962,962,0.78781,0.83717
2015,Mecklenburg-Western Pomerania,No,0.82626,546,546,0.79445,0.85807
2015,Saxony,No,0.83602,1481,1481,0.81715,0.85488
2015,Saxony-Anhalt,No,0.83130,855,855,0.80619,0.85642
2015,Thuringa,No,0.80394,892,892,0.77787,0.83001
2017,Schleswig-Holstein,No,0.80845,933,933,0.78318,0.83371
2017,Hamburg,No,0.80654,457,457,0.77028,0.84279
2017,Lower Saxony,Yes,0.02532,58,2697,0.01939,0.03125
2017,Lower Saxony,No,0.81045,2639,2697,0.79566,0.82525
2017,Bremen,No,0.76522,214,214,0.70830,0.82214
2017,North Rhine-Westphalia,Yes,0.01571,87,5524,0.01243,0.01899
2017,North Rhine-Westphalia,No,0.81725,5437,5524,0.80706,0.82744
2017,Hesse,Yes,0.01829,35,1789,0.01208,0.02450
2017,Hesse,No,0.80778,1754,1789,0.78952,0.82605
2017,"Rhineland-Palatinate, Saarland",No,0.80531,1497,1497,0.78524,0.82537
2017,Baden-Wuerttemberg,Yes,0.01729,52,3018,0.01263,0.02194
2017,Baden-Wuerttemberg,No,0.81079,2966,3018,0.79681,0.82477
2017,Bavaria,Yes,0.01688,67,4211,0.01299,0.02077
2017,Bavaria,No,0.82183,4144,4211,0.81027,0.83339
2017,Berlin,No,0.84773,977,977,0.82518,0.87027
2017,Brandenburg,No,0.80004,1006,1006,0.77532,0.82477
2017,Mecklenburg-Western Pomerania,No,0.80330,560,560,0.77035,0.83625
2017,Saxony,Yes,0.01854,42,1653,0.01204,0.02505
2017,Saxony,No,0.83163,1611,1653,0.81359,0.84967
2017,Saxony-Anhalt,Yes,0.03210,31,923,0.02072,0.04348
2017,Saxony-Anhalt,No,0.80862,892,923,0.78323,0.83401
2017,Thuringa,No,0.83199,954,954,0.80826,0.85573
2019,Schleswig-Holstein,No,0.79136,939,939,0.76535,0.81736
2019,Hamburg,No,0.80119,519,519,0.76682,0.83556
2019,Lower Saxony,Yes,0.02493,63,2493,0.01881,0.03106
2019,Lower Saxony,No,0.80651,2430,2493,0.79100,0.82202
2019,Bremen,No,0.81957,215,215,0.76805,0.87110
2019,North Rhine-Westphalia,Yes,0.01970,107,5406,0.01600,0.02341
2019,North Rhine-Westphalia,No,0.81952,5299,5406,0.80926,0.82977
2019,Hesse,Yes,0.01903,38,1711,0.01255,0.02550
2019,Hesse,No,0.81091,1673,1711,0.79235,0.82947
2019,"Rhineland-Palatinate, Saarland",Yes,0.02826,37,1466,0.01977,0.03674
2019,"Rhineland-Palatinate, Saarland",No,0.80693,1429,1466,0.78672,0.82714
2019,Baden-Wuerttemberg,Yes,0.02015,54,2799,0.01495,0.02536
2019,Baden-Wuerttemberg,No,0.79636,2745,2799,0.78144,0.81128
2019,Bavaria,Yes,0.01194,56,3951,0.00855,0.01532
2019,Bavaria,No,0.81646,3895,3951,0.80439,0.82853
2019,Berlin,No,0.82870,1006,1006,0.80541,0.85199
2019,Brandenburg,Yes,0.03277,36,1111,0.02230,0.04325
2019,Brandenburg,No,0.77903,1075,1111,0.75462,0.80343
2019,Mecklenburg-Western Pomerania,No,0.80417,602,602,0.77244,0.83590
2019,Saxony,Yes,0.01565,37,1634,0.00963,0.02168
2019,Saxony,No,0.83671,1597,1634,0.81878,0.85464
2019,Saxony-Anhalt,No,0.82333,866,866,0.79792,0.84875
2019,Thuringa,No,0.83195,900,900,0.80751,0.85639
2021,Schleswig-Holstein,No,0.75257,812,812,0.72287,0.78227
2021,Hamburg,No,0.83162,442,442,0.79669,0.86654
2021,Lower Saxony,Yes,0.01816,37,1881,0.01213,0.02420
2021,Lower Saxony,No,0.80067,1844,1881,0.78262,0.81873
2021,Bremen,No,0.90183,150,150,0.85406,0.94961
2021,North Rhine-Westphalia,Yes,0.01901,79,4112,0.01483,0.02318
2021,North Rhine-Westphalia,No,0.80333,4033,4112,0.79118,0.81548
2021,Hesse,No,0.80684,1301,1301,0.78538,0.82830
2021,"Rhineland-Palatinate, Saarland",Yes,0.04824,36,996,0.03492,0.06155
2021,"Rhineland-Palatinate, Saarland",No,0.78785,960,996,0.76244,0.81325
2021,Baden-Wuerttemberg,Yes,0.01271,40,2167,0.00799,0.01743
2021,Baden-Wuerttemberg,No,0.80807,2127,2167,0.79149,0.82466
2021,Bavaria,Yes,0.01887,49,2852,0.01387,0.02386
2021,Bavaria,No,0.79827,2803,2852,0.78354,0.81300
2021,Berlin,No,0.81065,897,897,0.78500,0.83631
2021,Brandenburg,No,0.78476,683,683,0.75392,0.81561
2021,Mecklenburg-Western Pomerania,No,0.82786,404,404,0.79101,0.86472
2021,Saxony,No,0.81918,1137,1137,0.79680,0.84156
2021,Saxony-Anhalt,No,0.81636,588,588,0.78503,0.84768
2021,Thuringa,No,0.78708,613,613,0.75465,0.81952
